Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2008-03-18;18.31;18.4;18.29;18.4;430815.0
2008-03-19;18.26;18.4;18.26;18.4;137999.0
2008-03-20;17.98;17.98;17.98;17.98;35978.0
2008-03-25;18.47;18.47;18.43;18.43;55330.0
2008-03-26;18.46;18.46;18.39;18.4;460250.0
2008-03-27;18.44;18.65;18.44;18.65;94196.0
2008-03-28;18.69;18.72;18.64;18.64;327572.0
2008-03-31;18.64;18.64;18.64;18.64;1994.0
2008-04-01;;;;18.64;
2008-04-02;19.3;19.31;19.21;19.21;202505.0
2008-04-03;;;;19.21;
2008-04-04;;;;19.21;
2008-04-07;19.94;19.95;19.87;19.87;855648.0
2008-04-08;;;;19.87;
2008-04-09;19.79;19.79;19.79;19.79;98950.0
2008-04-10;19.7;19.7;19.7;19.7;197000.0
2008-04-11;19.75;19.75;19.75;19.75;1383.0
2008-04-14;19.5;19.5;19.45;19.45;253.0
2008-04-15;19.59;19.59;19.28;19.52;73611.0
2008-04-16;19.65;19.65;19.65;19.65;4991.0
2008-04-17;;;;19.65;
2008-04-18;20.01;20.06;20.01;20.05;723164.0
2008-04-21;20.01;20.01;19.94;19.94;160289.0
2008-04-22;;;;19.94;
2008-04-23;19.73;19.73;19.56;19.56;153139.0
2008-04-24;19.7;19.98;19.67;19.94;481351.0
2008-04-25;;;;19.94;
2008-04-28;20.15;20.21;20.13;20.13;319311.0
2008-04-29;20.06;20.06;19.98;19.99;459097.0
2008-04-30;20.03;20.05;19.95;20.05;172461.0
2008-05-02;20.26;20.35;20.21;20.33;206827.0
2008-05-05;20.3;20.37;20.3;20.37;154744.0
2008-05-06;20.27;20.27;20.27;20.27;5007.0
2008-05-07;20.39;20.39;20.39;20.39;4996.0
2008-05-08;20.22;20.22;20.2;20.2;3333.0
2008-05-09;20.04;20.04;19.77;19.77;308483.0
2008-05-12;19.98;19.98;19.98;19.98;9990.0
2008-05-13;20.0;20.0;19.97;19.97;150859.0
2008-05-14;20.17;20.23;20.17;20.23;185614.0
2008-05-15;20.19;20.24;20.15;20.24;313340.0
2008-05-16;20.41;20.42;20.28;20.29;1176095.0
2008-05-19;20.31;20.31;20.2;20.2;105535.0
2008-05-20;20.14;20.14;20.06;20.06;108288.0
2008-05-21;;;;20.06;
2008-05-22;19.97;20.17;19.97;20.17;241215.0
2008-05-23;20.05;20.05;20.04;20.04;3167.0
2008-05-26;;;;20.04;
2008-05-27;19.7;19.88;19.65;19.88;12523.0
2008-05-28;19.87;19.93;19.82;19.82;173435.0
2008-05-29;19.75;19.75;19.75;19.75;10448.0
2008-05-30;20.05;20.11;20.05;20.11;213216.0
2008-06-02;19.77;19.77;19.77;19.77;59.0
2008-06-03;19.84;19.85;19.84;19.85;198450.0
2008-06-04;19.58;19.58;19.58;19.58;7440.0
2008-06-05;19.79;19.82;19.75;19.75;395750.0
2008-06-06;19.39;19.39;19.39;19.39;7969.0
2008-06-09;19.2;19.27;19.12;19.16;437785.0
2008-06-10;19.08;19.08;19.0;19.0;5603.0
2008-06-11;19.0;19.0;18.6;18.6;6160.0
2008-06-12;18.72;18.76;18.63;18.65;333307.0
2008-06-13;18.5;18.55;18.5;18.55;8920.0
2008-06-16;18.75;18.75;18.73;18.73;281924.0
2008-06-17;18.77;18.88;18.76;18.77;379759.0
2008-06-18;;;;18.77;
2008-06-19;18.46;18.47;18.46;18.47;141553.0
2008-06-20;18.51;18.51;17.97;18.07;961969.0
2008-06-23;18.18;18.18;18.04;18.14;412644.0
2008-06-24;18.1;18.1;17.82;17.82;3553.0
2008-06-25;18.2;18.2;18.2;18.2;6497.0
2008-06-26;18.09;18.15;18.03;18.05;414305.0
2008-06-27;17.66;17.83;17.66;17.83;226148.0
2008-06-30;17.72;17.78;17.72;17.77;29031.0
2008-07-01;17.46;17.48;17.42;17.44;464377.0
2008-07-02;17.87;17.87;17.83;17.84;145230.0
2008-07-03;17.48;17.72;17.48;17.72;2487.0
2008-07-04;17.48;17.48;17.48;17.48;1608.0
2008-07-07;17.58;17.58;17.54;17.54;140513.0
2008-07-08;17.3;17.3;17.22;17.23;249760.0
2008-07-09;17.42;17.52;17.42;17.49;217988.0
2008-07-10;17.52;17.52;17.38;17.38;143423.0
2008-07-11;17.19;17.19;16.94;16.94;17830.0
2008-07-14;17.04;17.04;17.04;17.04;716.0
2008-07-15;16.72;16.72;16.42;16.42;257632.0
2008-07-16;16.39;16.6;16.3;16.6;7482.0
2008-07-17;16.8;16.97;16.76;16.97;569412.0
2008-07-18;16.82;17.02;16.82;17.02;136316.0
2008-07-21;17.09;17.29;17.09;17.29;15128.0
2008-07-22;16.98;17.02;16.98;17.02;1106.0
2008-07-23;17.48;17.58;17.48;17.58;9837.0
2008-07-24;17.65;17.65;17.65;17.65;10061.0
2008-07-25;17.3;17.3;17.3;17.3;6280.0
2008-07-28;;;;17.3;
2008-07-29;17.1;17.1;17.1;17.1;1710.0
2008-07-30;17.28;17.28;17.28;17.28;136547.0
2008-07-31;17.49;17.49;17.21;17.21;274199.0
2008-08-01;17.25;17.26;17.19;17.19;138159.0
2008-08-04;16.98;16.98;16.98;16.98;134176.0
2008-08-05;17.33;17.53;17.33;17.53;357138.0
2008-08-06;17.62;17.63;17.52;17.63;178868.0
2008-08-07;17.68;17.86;17.68;17.74;358263.0
2008-08-08;17.71;17.74;17.62;17.73;289549.0
2008-08-11;17.93;17.95;17.93;17.95;180786.0
2008-08-12;17.94;17.98;17.94;17.98;20392.0
2008-08-13;17.81;17.81;17.54;17.54;279336.0
2008-08-14;17.58;17.58;17.58;17.58;17580.0
2008-08-18;17.58;17.58;17.58;17.58;879.0
2008-08-19;17.38;17.38;17.23;17.23;1790.0
2008-08-20;17.2;17.2;17.17;17.17;8227.0
2008-08-21;17.03;17.03;17.03;17.03;15940.0
2008-08-22;16.94;16.94;16.94;16.94;149106.0
2008-08-25;;;;16.94;
2008-08-26;16.85;17.07;16.85;17.07;96448.0
2008-08-27;16.99;16.99;16.94;16.94;85119.0
2008-08-28;17.04;17.41;17.04;17.41;388933.0
2008-08-29;17.47;17.54;17.45;17.53;862993.0
2008-09-01;17.43;17.57;17.43;17.57;156394.0
2008-09-02;17.67;17.72;17.67;17.72;311503.0
2008-09-03;;;;17.72;
2008-09-04;17.58;17.62;17.4;17.4;15085.0
2008-09-05;17.07;17.07;16.85;16.85;23827.0
2008-09-08;17.37;17.47;17.37;17.44;93015.0
2008-09-09;17.4;17.4;17.27;17.27;9731.0
2008-09-10;17.14;17.2;17.1;17.1;154296.0
2008-09-11;17.14;17.14;17.0;17.0;5985.0
2008-09-12;17.27;17.32;17.16;17.22;353710.0
2008-09-15;16.81;16.85;16.51;16.77;324394.0
2008-09-16;16.54;16.58;16.2;16.34;481936.0
2008-09-17;16.43;16.43;15.94;15.94;154174.0
2008-09-18;15.84;15.96;15.68;15.68;595637.0
2008-09-19;16.37;16.95;16.37;16.95;598247.0
2008-09-22;17.02;17.22;16.78;16.78;3809697.0
2008-09-23;16.6;16.66;16.41;16.66;959673.0
2008-09-24;16.62;16.63;16.55;16.55;1080148.0
2008-09-25;16.52;16.64;16.52;16.64;466231.0
2008-09-26;16.67;16.67;16.5;16.5;168292.0
2008-09-29;16.4;16.4;15.88;15.88;680393.0
2008-09-30;15.43;15.88;15.43;15.64;3133989.0
2008-10-01;15.8;15.8;15.39;15.68;881802.0
2008-10-02;15.81;16.21;15.68;15.68;2366765.0
