Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-02-01;97.1;97.57;97.1;97.57;4564.74
2017-02-02;97.09;97.2;97.09;97.09;14081.42
2017-02-03;97.31;97.47;97.17;97.17;10213.05
2017-02-06;97.42;97.43;97.21;97.22;118110.62
2017-02-07;97.77;97.83;97.63;97.64;130426.42
2017-02-08;97.71;97.71;97.1;97.16;60801.21
2017-02-09;97.3;97.3;97.3;97.3;973.0
2017-02-10;98.03;98.5;98.0;98.25;221880.83
2017-02-13;98.04;98.6;98.04;98.6;78563.66
2017-02-14;98.34;98.8;98.25;98.78;105493.88
2017-02-15;98.97;99.51;98.92;98.94;63164.56
2017-02-16;101.0;101.0;98.14;98.14;118827.78
2017-02-17;98.13;98.27;97.9;98.27;192055.23
2017-02-20;98.97;98.97;98.27;98.27;55008.49
2017-02-21;98.79;99.22;98.77;99.19;2200957.23
2017-02-22;99.38;99.4;98.95;98.95;146466.35
2017-02-23;98.98;99.16;98.62;98.81;281321.01
2017-02-24;98.67;98.68;98.13;98.67;125247.06
2017-02-27;98.67;98.67;98.4;98.43;36981.65
2017-02-28;98.6;98.6;98.17;98.18;74551.01
2017-03-01;98.9;99.18;98.84;99.01;160360.8
2017-03-02;99.02;99.24;98.99;99.18;200326.99
2017-03-03;99.15;99.2;98.71;98.73;209100.77
2017-03-06;98.63;98.63;98.31;98.63;35629.43
2017-03-07;98.75;99.11;98.71;98.78;42078.6
2017-03-08;98.87;98.9;98.87;98.9;40941.15
2017-03-09;98.62;98.63;98.0;98.0;22148.09
2017-03-10;98.16;98.22;97.99;98.0;26194.12
2017-03-13;97.72;97.72;97.59;97.59;37597.2
2017-03-14;97.97;98.02;97.57;97.57;301958.92
2017-03-15;97.94;97.94;97.85;97.85;13702.6
2017-03-16;97.12;97.26;97.12;97.26;44202.89
2017-03-17;97.0;97.0;97.0;97.0;1455.0
2017-03-20;96.92;96.92;96.7;96.7;13552.18
2017-03-21;96.62;96.63;96.3;96.44;46894.78
2017-03-22;97.6;97.6;95.81;95.81;53055.43
2017-03-23;96.29;96.35;96.17;96.25;60085.37
2017-03-24;96.17;96.21;95.98;96.06;123295.04
2017-03-27;96.1;96.1;95.45;95.45;135857.42
2017-03-28;95.79;95.8;95.69;95.7;64850.48
2017-03-29;96.4;96.41;96.23;96.23;38528.37
2017-03-30;96.94;96.95;96.94;96.95;24237.1
2017-03-31;97.39;97.41;97.29;97.29;34157.53
2017-04-03;97.77;97.94;97.77;97.81;33078.0
2017-04-04;;;;97.81;
2017-04-05;97.39;97.5;97.39;97.46;54853.16
2017-04-06;97.46;97.46;97.46;97.46;6822.2
2017-04-07;97.62;97.73;97.33;97.33;192620.04
2017-04-10;;;;97.33;
2017-04-11;97.33;97.33;97.33;97.33;778.64
2017-04-12;97.3;97.58;97.3;97.58;217317.48
2017-04-13;97.38;97.4;97.38;97.4;51129.7
2017-04-18;96.78;96.79;96.63;96.64;27553.44
2017-04-19;96.0;96.3;96.0;96.3;15379.0
2017-04-20;96.0;96.06;95.59;95.87;73288.74
2017-04-21;96.45;96.47;96.45;96.47;26817.82
2017-04-24;95.3;95.31;94.93;95.25;521483.61
2017-04-25;94.93;94.93;94.88;94.88;47253.42
2017-04-26;95.07;95.11;95.05;95.05;26047.32
2017-04-27;95.06;95.4;95.06;95.4;56407.64
2017-04-28;95.08;95.1;95.08;95.1;5800.16
2017-05-02;94.97;94.98;94.78;94.94;41398.75
2017-05-03;94.88;94.88;94.61;94.7;18194.75
2017-05-04;94.7;94.7;94.15;94.15;445737.67
2017-05-05;93.94;94.07;93.9;93.96;181449.03
2017-05-08;94.35;94.35;94.28;94.31;19525.23
2017-05-09;94.63;94.63;94.63;94.63;20345.45
2017-05-10;94.89;94.89;94.8;94.8;34059.21
2017-05-11;94.98;94.98;94.97;94.97;12442.1
2017-05-12;95.24;95.24;95.24;95.24;8381.12
2017-05-15;94.14;94.17;93.82;93.88;49565.48
2017-05-16;93.29;93.29;93.01;93.01;23388.29
2017-05-17;92.6;92.65;92.14;92.14;531780.03
2017-05-18;92.1;92.1;92.08;92.1;18784.68
2017-05-19;92.23;92.23;91.88;91.88;118784.27
2017-05-22;92.07;92.17;91.26;91.6;125480.46
2017-05-23;91.48;91.48;91.35;91.46;55856.13
2017-05-24;92.07;92.12;91.8;91.8;69575.83
2017-05-25;91.23;91.58;91.22;91.53;18284.47
2017-05-26;91.51;91.56;91.49;91.56;37055.46
2017-05-29;91.91;92.0;91.51;91.53;33701.92
2017-05-30;92.37;92.37;91.8;91.8;39881.55
2017-05-31;91.75;91.95;91.34;91.34;104257.15
2017-06-01;91.54;91.64;91.47;91.47;31759.64
2017-06-02;91.65;91.65;91.41;91.41;537993.44
2017-06-05;91.15;91.15;90.97;91.13;12483.93
2017-06-06;91.28;91.28;91.2;91.2;40150.4
2017-06-07;91.12;91.34;90.97;90.97;25807.16
2017-06-08;90.92;91.35;90.92;91.35;24173.08
2017-06-09;91.7;91.86;91.68;91.68;78089.71
2017-06-12;91.47;91.56;91.47;91.5;169653.16
2017-06-13;91.29;91.3;91.05;91.05;53313.97
2017-06-14;91.34;91.39;91.24;91.39;344489.47
2017-06-15;91.23;91.23;91.06;91.06;113665.65
2017-06-16;91.0;91.0;90.71;90.71;39458.62
2017-06-19;90.73;90.73;90.57;90.6;614537.96
2017-06-20;91.07;91.07;90.82;90.82;41477.9
2017-06-21;91.07;91.07;90.91;90.94;20919.69
2017-06-22;90.66;90.85;90.66;90.81;24423.2
