Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-08-01;4.949;4.949;4.9445;4.9445;38642.308
2023-08-02;4.9465;4.9465;4.9465;4.9465;19073.704
2023-08-04;4.9315;4.9315;4.9275;4.9275;38016.304
2023-08-21;4.917;4.917;4.917;4.917;18959.952
2023-08-23;4.9375;4.9375;4.9375;4.9375;19039.0
2023-08-28;4.935;4.935;4.935;4.935;19029.36
2023-09-05;4.9355;4.9355;4.9355;4.9355;19031.288
2023-09-08;4.9335;4.9335;4.9335;4.9335;19023.576
2023-09-29;4.9035;4.9035;4.9035;4.9035;37815.792
2023-10-04;4.8765;4.8765;4.8765;4.8765;18803.784
2023-10-23;4.869;4.877;4.869;4.877;37580.576
2023-10-30;4.9255;4.9255;4.919;4.919;37960.392
2023-11-09;4.9775;4.9775;4.9775;4.9775;7600.6425
2023-11-16;4.998;4.998;4.998;4.998;19272.288
2023-11-29;5.042;5.042;5.042;5.042;38883.904
2023-11-30;5.061;5.061;5.061;5.061;19515.216
2023-12-06;5.105;5.105;5.105;5.105;19684.88
2023-12-07;5.111;5.111;5.109;5.109;39408.32
2023-12-14;5.156;5.156;5.152;5.152;39747.648
2023-12-15;5.164;5.164;5.164;5.164;19912.384
2023-12-20;5.177;5.177;5.177;5.177;19962.512
2023-12-21;5.183;5.19;5.183;5.19;39998.288
2023-12-28;5.203;5.203;5.203;5.203;40125.536
2024-01-02;5.175;5.175;5.173;5.173;59852.832
2024-01-03;5.156;5.156;5.156;5.156;19881.536
2024-01-11;5.142;5.142;5.142;5.142;19827.552
2024-01-15;5.152;5.152;5.152;5.152;19866.112
2024-01-16;5.148;5.148;5.148;5.148;19850.688
2024-01-18;5.129;5.129;5.129;5.129;19777.424
2024-01-19;5.13;5.13;5.13;5.13;39562.56
2024-01-23;5.139;5.139;5.139;5.139;19815.984
2024-01-25;5.143;5.151;5.143;5.151;39693.664
2024-01-26;5.161;5.161;5.158;5.158;19905.974
2024-01-29;5.169;5.173;5.169;5.173;79745.936
2024-02-01;5.177;5.177;5.177;5.177;19962.512
2024-02-05;5.15;5.15;5.15;5.15;19858.4
2024-02-13;5.143;5.143;5.143;5.143;19831.408
2024-02-15;5.151;5.151;5.151;5.151;19862.256
2024-02-19;5.139;5.139;5.139;5.139;19815.984
2024-02-20;5.145;5.145;5.145;5.145;19839.12
2024-02-22;5.133;5.137;5.133;5.137;39601.12
2024-02-27;5.137;5.137;5.137;5.137;19808.272
2024-03-04;5.163;5.163;5.163;5.163;10067.85
2024-03-07;5.179;5.179;5.179;5.179;19970.224
2024-03-08;5.182;5.188;5.182;5.188;59972.368
2024-03-12;5.178;5.181;5.178;5.181;39944.304
2024-03-20;5.193;5.193;5.193;5.193;1007.442
2024-03-21;5.178;5.178;5.178;5.178;19966.368
2024-03-28;5.2;5.204;5.2;5.204;21676.566
2024-04-02;5.191;5.191;5.191;5.191;10163.978
2024-04-18;5.169;5.169;5.169;5.169;8528.85
2024-04-24;5.155;5.164;5.155;5.164;51453.26
2024-04-26;5.155;5.155;5.155;5.155;19949.85
2024-04-29;5.173;5.173;5.173;5.173;3253.817
2024-04-30;5.161;5.161;5.161;5.161;1517.334
2024-05-02;5.166;5.166;5.166;5.166;8389.584
2024-05-03;5.173;5.173;5.173;5.173;10128.734
2024-05-06;5.2;5.2;5.196;5.196;19591.176
2024-05-07;5.203;5.21;5.203;5.21;29771.864
2024-05-08;5.198;5.206;5.198;5.206;50874.352
2024-05-09;5.19;5.19;5.19;5.19;20817.09
2024-05-10;5.189;5.189;5.189;5.189;18488.407
2024-05-13;5.19;5.19;5.19;5.19;10852.29
2024-05-14;5.183;5.183;5.183;5.183;9039.152
2024-05-16;5.202;5.204;5.202;5.204;35962.026
2024-05-17;5.192;5.192;5.192;5.192;30170.712
2024-05-20;5.189;5.189;5.189;5.189;7217.899
2024-05-21;5.198;5.198;5.198;5.198;37425.6
2024-05-22;5.185;5.185;5.185;5.185;27216.065
2024-05-23;5.187;5.187;5.187;5.187;24996.153
2024-05-24;5.169;5.169;5.169;5.169;43285.206
2024-05-27;5.189;5.189;5.189;5.189;23973.18
2024-05-28;5.189;5.189;5.189;5.189;32052.453
2024-05-30;5.171;5.171;5.171;5.171;84240.761
2024-05-31;5.194;5.194;5.175;5.175;54686.068
2024-06-03;5.183;5.183;5.183;5.183;49368.075
2024-06-04;5.198;5.198;5.198;5.198;26618.958
2024-06-05;5.2;5.208;5.2;5.208;49138.742
2024-06-06;5.2;5.2;5.2;5.2;52904.8
2024-06-07;5.176;5.18;5.176;5.18;50414.26
2024-06-11;5.172;5.172;5.172;5.172;23056.776
2024-06-12;5.2;5.2;5.2;5.2;80054.0
2024-06-13;5.202;5.202;5.202;5.202;49887.18
2024-06-14;5.212;5.221;5.212;5.221;67182.479
2024-06-17;5.207;5.207;5.194;5.194;29330.093
2024-06-18;5.2;5.216;5.2;5.216;32920.208
2024-06-19;5.208;5.208;5.206;5.206;38082.082
2024-06-20;5.202;5.209;5.202;5.205;86064.165
2024-06-21;5.219;5.219;5.219;5.219;90841.914
2024-06-24;5.208;5.22;5.208;5.22;48466.812
2024-06-25;5.215;5.215;5.215;5.215;599.725
2024-06-26;5.211;5.211;5.21;5.21;111739.578
2024-06-27;5.22;5.22;5.22;5.22;90754.92
2024-06-28;5.214;5.214;5.214;5.214;49809.342
2024-07-01;5.203;5.203;5.203;5.203;71504.829
2024-07-02;5.2;5.21;5.2;5.21;114447.304
2024-07-03;5.211;5.219;5.211;5.219;50990.73
2024-07-04;5.217;5.225;5.217;5.225;72303.505
2024-07-05;5.227;5.245;5.227;5.245;34915.878
2024-07-08;5.229;5.236;5.229;5.236;37365.454
2024-07-09;5.227;5.236;5.227;5.236;80941.33
2024-07-10;5.235;5.235;5.235;5.235;46759.02
2024-07-11;5.248;5.248;5.248;5.248;56604.928
2024-07-12;5.241;5.253;5.241;5.253;59597.253
2024-07-15;5.246;5.256;5.242;5.256;56100.132
2024-07-16;5.248;5.26;5.248;5.26;63934.845
2024-07-17;5.257;5.266;5.252;5.252;72655.103
2024-07-18;5.259;5.259;5.259;5.259;101935.197
2024-07-19;5.252;5.252;5.252;5.252;42966.612
2024-07-22;5.253;5.258;5.252;5.252;87072.588
2024-07-23;5.254;5.263;5.254;5.258;33405.448
2024-07-24;5.265;5.27;5.265;5.27;73595.415
2024-07-25;5.267;5.272;5.267;5.272;116432.839
2024-07-26;5.274;5.28;5.274;5.28;113761.65
2024-07-29;5.287;5.287;5.287;5.287;46530.887
2024-07-30;5.288;5.29;5.288;5.29;75230.45
2024-07-31;5.3;5.306;5.3;5.306;97910.44
2024-08-01;5.299;5.303;5.297;5.303;120034.967
2024-08-05;5.301;5.301;5.3;5.3;63733.222
2024-08-06;5.276;5.317;5.276;5.297;206164.54
2024-08-07;5.287;5.294;5.287;5.294;59707.288
2024-08-08;5.291;5.297;5.287;5.287;71176.131
2024-08-09;5.297;5.3;5.297;5.3;153267.291
2024-08-12;5.297;5.297;5.293;5.293;80204.611
2024-08-13;5.303;5.303;5.303;5.303;2402.259
2024-08-19;5.307;5.307;5.307;5.307;7270.59
2024-08-20;5.313;5.313;5.313;5.313;796.95
2024-08-21;5.312;5.319;5.312;5.319;56654.783
2024-08-22;5.316;5.316;5.316;5.316;76778.988
2024-08-23;5.31;5.31;5.31;5.31;73729.35
2024-08-26;5.314;5.314;5.314;5.314;36879.16
2024-08-27;5.307;5.311;5.307;5.311;218815.293
2024-08-28;5.315;5.315;5.314;5.314;68038.142
2024-08-29;5.317;5.317;5.312;5.315;73461.965
2024-08-30;5.316;5.316;5.316;5.316;55451.196
2024-09-02;5.304;5.304;5.304;5.304;42538.08
2024-09-03;5.313;5.314;5.313;5.314;77932.818
2024-09-04;5.32;5.32;5.32;5.32;33457.48
2024-09-05;5.327;5.35;5.327;5.329;111046.695
2024-09-06;5.343;5.343;5.34;5.34;27004.491
2024-09-09;5.338;5.339;5.338;5.339;46828.042
2024-09-10;5.344;5.344;5.344;5.344;24828.224
2024-09-11;5.344;5.344;5.344;5.344;63534.816
2024-09-12;5.352;5.352;5.352;5.352;50249.928
2024-09-13;5.348;5.352;5.348;5.352;59819.586
2024-09-16;5.348;5.351;5.348;5.351;69519.104
2024-09-17;5.35;5.35;5.35;5.35;45154.0
2024-09-18;5.344;5.346;5.339;5.339;164220.669
2024-09-19;5.351;5.355;5.351;5.355;84116.304
2024-09-20;5.354;5.354;5.354;5.354;42130.626
2024-09-23;5.361;5.365;5.36;5.36;47984.852
