Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-03-20;23.89;23.94;23.59;23.66;4184.0
2007-03-21;23.81;24.06;23.81;24.06;13145.0
2007-03-22;24.22;24.8;24.22;24.8;98598.0
2007-03-23;24.56;24.81;24.5;24.66;166014.0
2007-03-26;24.74;24.83;24.27;24.27;69968.0
2007-03-27;24.37;24.37;24.02;24.28;47166.0
2007-03-28;24.15;24.24;24.1;24.24;145720.0
2007-03-29;24.42;24.85;24.36;24.85;21579.0
2007-03-30;24.82;24.97;24.72;24.85;67072.0
2007-04-02;24.61;24.79;24.61;24.66;10659.0
2007-04-03;25.0;25.42;24.75;25.42;122846.0
2007-04-04;25.87;25.91;25.59;25.83;49369.0
2007-04-05;25.85;26.34;25.85;26.26;39010.0
2007-04-10;25.9;26.15;25.84;25.84;160898.0
2007-04-11;26.1;26.54;25.89;26.54;76938.0
2007-04-12;26.12;26.12;25.72;25.75;154551.0
2007-04-13;26.0;26.24;25.86;25.86;330674.0
2007-04-16;26.6;26.81;26.48;26.81;135255.0
2007-04-17;26.82;26.82;26.43;26.5;97690.0
2007-04-18;26.98;26.98;26.0;26.15;62256.0
2007-04-19;25.8;26.6;25.6;26.49;494636.0
2007-04-20;26.83;27.44;26.68;27.39;418888.0
2007-04-23;27.03;27.37;27.03;27.35;251076.0
2007-04-24;27.26;27.26;26.61;27.1;541587.0
2007-04-25;27.15;27.76;27.15;27.73;45705.0
2007-04-26;27.63;28.05;27.5;27.5;135877.0
2007-04-27;27.74;28.5;26.67;27.09;216905.0
2007-04-30;27.0;27.2;24.91;25.51;1213452.0
2007-05-02;25.86;25.86;25.01;25.4;288132.0
2007-05-03;25.36;25.87;25.2;25.87;318537.0
2007-05-04;25.85;25.85;25.11;25.56;141637.0
2007-05-07;25.3;26.01;25.3;25.77;127668.0
2007-05-08;25.7;25.79;25.55;25.79;263772.0
2007-05-09;25.83;26.3;25.83;25.9;60926.0
2007-05-10;26.26;26.43;25.97;26.04;475990.0
2007-05-11;25.75;26.0;25.36;26.0;76602.0
2007-05-14;26.07;26.17;25.94;26.14;84792.0
2007-05-15;25.99;26.18;25.99;26.0;152587.0
2007-05-16;26.22;26.54;26.22;26.38;165147.0
2007-05-17;26.66;26.99;26.6;26.6;243176.0
2007-05-18;27.0;27.04;26.7;27.0;44935.0
2007-05-21;27.3;27.3;26.86;27.27;116522.0
2007-05-22;27.28;27.56;27.21;27.21;156554.0
2007-05-23;27.0;27.23;26.81;27.11;121596.0
2007-05-24;27.1;27.1;26.62;26.96;94421.0
2007-05-25;26.61;27.19;26.61;27.19;255497.0
2007-05-28;27.6;27.65;27.49;27.6;123713.0
2007-05-29;27.7;27.7;27.37;27.7;163628.0
2007-05-30;27.8;27.8;26.98;27.13;162842.0
2007-05-31;27.14;28.06;27.14;28.06;185906.0
2007-06-01;27.95;27.95;27.56;27.93;112118.0
2007-06-04;28.2;28.2;27.3;27.65;347021.0
2007-06-05;27.66;27.83;27.29;27.73;71777.0
2007-06-06;27.59;27.7;26.8;26.81;200379.0
2007-06-07;27.3;27.3;26.35;26.4;78208.0
2007-06-08;26.05;26.4;25.22;26.0;576325.0
2007-06-11;25.99;26.43;25.99;26.43;102244.0
2007-06-12;26.63;26.69;25.97;25.97;43354.0
2007-06-13;26.02;26.28;25.82;26.28;33989.0
2007-06-14;26.74;26.91;26.5;26.91;121659.0
2007-06-15;26.91;27.64;26.8;27.55;122710.0
2007-06-18;27.7;28.04;27.69;27.74;310141.0
2007-06-19;28.13;28.13;27.75;27.75;35758.0
2007-06-20;27.67;27.9;27.6;27.65;59055.0
2007-06-21;27.65;27.68;27.25;27.54;113019.0
2007-06-22;27.44;27.44;26.74;26.9;30263.0
2007-06-25;26.9;27.06;26.7;27.06;398466.0
2007-06-26;26.54;27.08;26.54;26.89;186431.0
2007-06-27;26.8;26.84;26.39;26.59;68899.0
2007-06-28;26.84;27.25;26.76;27.25;87334.0
2007-06-29;27.25;27.91;27.13;27.9;161347.0
2007-07-02;27.7;28.42;27.7;28.42;264175.0
2007-07-03;28.55;29.45;28.25;29.32;371024.0
2007-07-04;29.37;29.85;29.16;29.8;256132.0
2007-07-05;29.82;30.15;29.6;29.85;343119.0
2007-07-06;30.2;30.2;29.55;29.88;120090.0
2007-07-09;30.14;30.95;30.12;30.78;310043.0
2007-07-10;30.81;30.81;30.0;30.2;219954.0
2007-07-11;30.0;30.0;29.11;29.93;235551.0
2007-07-12;30.0;31.22;30.0;31.22;219989.0
2007-07-13;31.76;31.81;31.0;31.13;557461.0
2007-07-16;31.42;31.42;30.97;31.31;910035.0
2007-07-17;31.14;31.14;30.56;30.99;233445.0
2007-07-18;30.5;30.76;30.4;30.4;107770.0
2007-07-19;31.0;32.51;30.98;31.94;1086098.0
2007-07-20;32.45;32.66;31.25;31.42;791322.0
2007-07-23;32.83;34.43;32.83;34.43;1072756.0
2007-07-24;34.17;34.76;33.7;33.75;1179549.0
2007-07-25;34.3;34.3;32.85;33.15;636941.0
2007-07-26;33.56;33.56;31.02;31.3;554937.0
2007-07-27;31.3;31.3;29.53;30.6;509678.0
2007-07-30;30.23;30.97;29.34;30.23;391111.0
