Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2003-02-28;;7.83;7.83;7.83;10180.0
2003-03-03;;7.95;7.91;7.92;2640.0
2003-03-04;;7.76;7.7;7.7;233200.0
2003-03-05;;;;7.7;
2003-03-06;;7.65;7.62;7.65;3290.0
2003-03-07;;;;7.65;
2003-03-10;;;;7.65;
2003-03-11;;;;7.65;
2003-03-12;;7.36;7.36;7.36;29440.0
2003-03-13;;;;7.36;
2003-03-14;;7.89;7.77;7.88;1512870.0
2003-03-17;;7.85;7.79;7.85;3910.0
2003-03-18;;8.36;8.21;8.25;87530.0
2003-03-19;;8.39;8.25;8.34;127110.0
2003-03-20;;8.23;8.23;8.23;990.0
2003-03-21;;8.49;8.4;8.49;67940.0
2003-03-24;;8.42;8.29;8.29;154020.0
2003-03-25;;8.25;8.18;8.2;268640.0
2003-03-26;;8.36;8.28;8.29;978580.0
2003-03-27;;8.2;8.15;8.18;620170.0
2003-03-28;;8.21;8.18;8.18;28650.0
2003-03-31;;8.0;7.85;7.85;794120.0
2003-04-01;;7.93;7.9;7.9;17820.0
2003-04-02;;8.16;8.09;8.16;5470.0
2003-04-03;;8.4;8.19;8.32;65860.0
2003-04-04;;8.36;8.26;8.26;21300.0
2003-04-07;;8.67;8.4;8.6;1609890.0
2003-04-08;;8.45;8.35;8.35;450670.0
2003-04-09;;8.39;8.24;8.39;5910.0
2003-04-10;;8.23;8.14;8.14;52420.0
2003-04-11;;8.36;8.14;8.24;17790.0
2003-04-14;;8.29;8.23;8.23;24930.0
2003-04-15;;8.42;8.3;8.4;59890.0
2003-04-16;;8.48;8.3;8.3;35440.0
2003-04-17;;8.18;8.12;8.12;46200.0
2003-04-22;;8.29;8.17;8.17;229130.0
2003-04-23;;8.41;8.35;8.39;30640.0
2003-04-24;;8.37;8.3;8.3;407130.0
2003-04-25;;8.36;8.23;8.23;8380.0
2003-04-28;;8.36;8.22;8.36;48830.0
2003-04-29;;8.45;8.35;8.35;413010.0
2003-04-30;;8.31;8.22;8.22;43910.0
2003-05-02;;8.27;8.16;8.27;178430.0
2003-05-05;;8.41;8.28;8.28;2358210.0
2003-05-06;;8.32;8.24;8.29;503940.0
2003-05-07;;8.29;8.2;8.29;135910.0
2003-05-08;;8.25;8.1;8.16;71030.0
2003-05-09;;8.14;8.05;8.14;28630.0
2003-05-12;;8.15;8.03;8.14;3828740.0
