Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-01-26;26.885;26.885;26.885;26.885;11022.85
2023-01-27;27.48;27.48;27.18;27.18;142872.36
2023-01-31;25.825;26.035;25.825;26.035;379792.74
2023-02-01;26.425;26.45;26.425;26.45;21678.75
2023-02-02;26.06;26.15;25.94;25.94;104638.95
2023-02-03;25.91;25.92;25.845;25.845;157109.29
2023-02-07;25.11;25.615;25.11;25.615;31203.05
2023-02-10;25.43;25.43;25.43;25.43;10426.3
2023-02-14;25.475;25.475;25.475;25.475;10444.75
2023-02-15;25.34;25.34;25.34;25.34;4282.46
2023-02-22;24.625;24.685;24.46;24.46;33183.215
2023-02-28;23.78;23.78;23.78;23.78;9749.8
2023-03-21;23.565;23.565;23.565;23.565;9661.65
2023-03-22;23.69;23.7;23.69;23.7;19429.9
2023-03-28;24.24;24.275;24.24;24.275;29839.8
2023-04-05;23.96;24.06;23.96;24.06;27619.26
2023-06-09;22.72;22.72;22.72;22.72;9315.2
2023-10-27;21.535;21.535;21.535;21.535;8829.35
2023-11-01;21.29;21.29;21.21;21.21;99719.8
2023-11-02;21.275;21.275;21.215;21.23;99782.1
2023-11-03;21.755;21.755;21.585;21.585;13962.275
2023-11-06;21.815;21.815;21.73;21.73;16544.55
2023-11-09;21.625;21.695;21.625;21.695;23184.95
2023-11-10;21.185;21.185;21.185;21.185;8685.85
