Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-10-25;87.62;87.62;87.62;87.62;126435.66
2018-11-20;85.65;85.81;85.65;85.81;121483.7
2018-11-29;85.62;85.62;85.62;85.62;59934.0
2018-12-28;87.24;87.24;87.24;87.24;959.64
2019-01-07;88.6;88.6;88.6;88.6;974.6
2019-01-09;88.66;88.76;88.66;88.76;70097.9
2019-01-10;88.79;88.79;88.43;88.45;205462.75
2019-01-14;88.4;88.4;88.3;88.3;169351.8
2019-01-15;88.66;88.66;88.55;88.56;91954.88
2019-01-16;88.94;89.02;88.91;88.91;254526.55
2019-01-17;88.98;88.98;88.98;88.98;113182.56
2019-01-23;89.9;89.9;89.9;89.9;3775.8
2019-01-25;90.5;90.5;90.5;90.5;1086.0
2019-01-31;91.04;91.13;91.04;91.13;60116.1
2019-02-01;91.18;91.18;91.13;91.13;29622.75
2019-02-14;90.8;90.8;90.8;90.8;998.8
2019-02-15;90.95;90.95;90.95;90.95;4547.5
2019-02-18;90.96;90.97;90.96;90.97;2001.3
2019-02-22;91.39;91.39;91.39;91.39;8316.5
2019-03-01;91.59;91.59;91.59;91.59;7327.2
2019-03-04;90.91;90.91;90.91;90.91;2000.0
2019-03-05;91.2;91.2;91.2;91.2;2462.4
2019-03-07;91.17;91.21;91.17;91.21;18238.0
2019-03-11;91.33;91.33;91.33;91.33;7306.4
2019-03-13;91.75;91.92;91.75;91.92;143743.5
2019-03-15;91.86;91.91;91.86;91.91;64319.5
2019-03-19;92.36;92.36;91.9;91.9;184048.2
2019-03-20;92.18;92.18;92.18;92.18;460.9
2019-03-26;92.43;92.43;92.43;92.43;27729.0
2019-03-28;92.12;92.12;92.12;92.12;1842.4
2019-04-04;92.87;92.87;92.87;92.87;84976.1
2019-04-10;92.46;92.46;92.44;92.44;27734.0
2019-04-15;92.52;92.52;92.52;92.52;370.1
2019-04-26;92.74;92.74;92.74;92.74;1020.1
2019-05-03;92.93;92.93;92.93;92.93;4367.7
2019-05-06;92.94;93.18;92.94;93.18;5583.6
2019-05-15;92.72;92.98;92.5;92.98;52707.1
2019-05-16;92.96;92.96;92.96;92.96;20451.2
2019-05-24;92.86;92.86;92.86;92.86;58501.8
2019-05-27;92.94;92.94;92.94;92.94;464.7
2019-05-28;92.86;92.86;92.86;92.86;185.7
2019-05-31;92.97;92.97;92.97;92.97;74376.0
2019-06-03;93.02;93.02;93.0;93.0;8928.4
2019-06-04;93.35;93.35;93.35;93.35;1213.6
2019-06-05;94.01;94.01;94.01;94.01;9589.0
2019-06-06;93.9;93.9;93.9;93.9;110426.4
2019-06-07;94.31;94.31;94.31;94.31;2452.1
2019-06-11;94.84;94.86;94.8;94.8;50457.5
2019-06-13;94.53;94.53;93.96;93.96;4149.6
2019-06-14;94.45;94.45;94.45;94.45;4911.4
2019-06-17;94.03;94.56;94.03;94.56;471.7
2019-06-25;96.17;96.17;96.17;96.17;981895.7
2019-07-01;96.5;96.5;96.5;96.5;1061.5
2019-07-02;97.61;97.61;96.75;97.32;84386.4
2019-07-03;97.47;97.47;97.47;97.47;2436.8
2019-07-05;96.94;96.94;96.41;96.41;622599.3
2019-07-09;96.06;96.06;96.06;96.06;480.3
2019-07-10;96.47;96.47;96.47;96.47;5209.4
2019-07-11;96.37;96.37;96.37;96.37;1445.6
2019-07-12;96.6;96.6;95.99;95.99;364528.3
2019-07-15;96.57;96.57;96.57;96.57;579.4
2019-07-16;96.57;96.91;96.57;96.91;31492.4
2019-07-19;96.59;97.14;96.59;97.14;709928.4
2019-07-23;97.56;97.56;97.56;97.56;2146.3
2019-08-01;97.22;97.22;97.15;97.15;11174.6
2019-08-02;97.1;97.1;97.1;97.1;11652.0
2019-08-05;96.72;96.75;96.58;96.75;389459.1
2019-08-09;97.58;97.92;97.58;97.92;5863.6
2019-08-12;96.85;96.85;96.85;96.85;7457.5
2019-08-13;97.37;97.37;97.37;97.37;1168.4
2019-08-16;97.5;97.65;97.5;97.65;30558.4
2019-08-19;97.6;97.6;97.26;97.53;10516.1
2019-08-20;97.18;97.66;97.18;97.66;56195.5
2019-08-21;97.86;97.86;97.86;97.86;13406.8
2019-08-22;98.22;98.24;97.88;97.88;202244.6
2019-08-23;97.88;97.88;97.84;97.84;115750.7
2019-08-26;97.92;97.92;97.92;97.92;13415.0
2019-08-27;98.27;98.51;98.27;98.51;380195.8
2019-08-28;98.62;98.62;98.62;98.62;1972.4
2019-08-29;98.68;98.98;98.48;98.48;82265.4
2019-08-30;98.91;99.09;98.79;98.81;139864.1
2019-09-02;99.31;99.55;98.94;98.94;51338.1
2019-09-03;99.28;99.28;99.03;99.22;130379.9
2019-09-04;99.7;99.7;99.7;99.7;2093.7
2019-09-05;100.05;100.05;99.68;99.82;5171048.9
2019-09-06;99.4;99.55;99.4;99.55;26477.9
2019-09-09;99.87;99.87;99.58;99.59;223233.4
2019-09-10;99.12;99.34;98.8;99.16;976275.7
2019-09-11;98.64;98.89;98.36;98.78;488011.8
2019-09-12;99.1;99.77;98.99;99.42;291573.3
2019-09-13;99.0;99.0;98.19;98.19;390323.7
2019-09-16;98.07;98.34;98.0;98.33;98431.0
2019-09-17;98.39;98.55;98.39;98.55;55527.4
2019-09-18;98.84;98.97;98.67;98.89;752631.7
2019-09-19;98.82;98.87;98.54;98.77;133087.9
2019-09-20;98.92;99.22;98.78;99.14;1154557.1
2019-09-23;99.03;99.14;98.81;98.81;38147.3
2019-09-24;98.95;98.96;98.43;98.48;170534.6
2019-09-25;98.47;98.47;98.01;98.09;103182.1
2019-09-26;98.33;98.34;98.09;98.09;21226.6
2019-09-27;98.47;98.52;98.25;98.43;182404.3
2019-09-30;98.46;98.46;98.09;98.22;276612.3
2019-10-01;98.39;98.39;97.97;98.2;597892.4
2019-10-02;97.85;97.93;97.82;97.93;51287.1
2019-10-03;98.07;98.33;97.96;98.33;332386.4
2019-10-04;98.42;98.59;98.42;98.5;1445630.4
2019-10-07;98.91;98.91;98.6;98.79;61912.5
2019-10-08;98.4;98.63;98.07;98.19;62531.4
2019-10-09;98.15;98.39;98.15;98.23;691579.7
2019-10-10;98.1;98.12;97.62;97.85;321866.7
2019-10-11;98.08;98.2;97.83;98.06;333496.5
2019-10-14;97.88;98.0;97.79;98.0;42206.7
2019-10-15;98.36;98.36;97.94;97.94;406517.6
2019-10-16;98.07;98.07;97.65;97.95;41896.7
2019-10-17;97.8;98.13;97.71;98.13;21260.4
2019-10-18;98.11;98.17;98.09;98.17;157826.1
2019-10-21;98.12;98.15;97.9;98.12;173571.0
2019-10-22;98.12;98.24;98.12;98.24;65090.0
2019-10-23;98.28;98.29;98.1;98.1;34764.1
2019-10-24;98.61;98.61;98.3;98.3;255030.1
2019-10-25;98.58;98.63;98.48;98.59;72944.2
2019-10-28;98.54;98.64;98.54;98.64;8680.1
2019-10-29;98.49;98.49;98.2;98.2;203663.9
2019-10-30;98.21;98.33;97.99;98.17;52899.6
2019-10-31;98.43;98.74;98.35;98.74;237963.0
2019-11-01;98.59;99.08;98.58;99.08;206176.0
2019-11-04;99.08;99.17;98.57;98.57;343502.1
2019-11-05;99.05;99.05;98.14;98.35;100662.4
2019-11-06;98.35;98.51;98.35;98.51;145942.0
2019-11-07;98.64;98.65;98.21;98.38;36605.5
2019-11-08;98.31;98.31;98.03;98.3;27498.4
2019-11-11;98.15;98.18;97.99;98.14;78312.0
2019-11-12;98.21;98.21;98.01;98.04;67981.1
2019-11-13;98.02;98.02;97.71;97.71;24963.9
2019-11-14;98.31;98.51;98.25;98.51;81900.9
2019-11-15;98.43;98.49;98.28;98.28;48288.3
2019-11-18;98.99;98.99;97.92;98.04;347005.5
2019-11-19;97.76;97.76;97.32;97.32;98870.2
2019-11-20;97.73;97.73;97.43;97.61;62353.2
2019-11-21;97.57;97.57;97.36;97.44;182629.7
2019-11-22;97.48;97.68;97.46;97.53;96062.4
2019-11-25;97.46;97.75;97.46;97.75;49812.4
2019-11-26;97.72;97.79;97.56;97.56;49014.1
2019-11-27;97.76;97.78;97.5;97.5;7134.6
2019-11-28;97.69;97.69;97.56;97.69;19819.2
2019-11-29;97.69;97.69;97.55;97.6;11322.5
2019-12-02;97.8;99.08;97.12;97.12;78592.3
2019-12-03;97.2;97.2;97.04;97.14;83940.5
2019-12-04;97.3;97.69;97.3;97.63;155176.6
2019-12-05;97.7;97.74;97.7;97.73;50426.9
2019-12-06;97.9;98.06;97.7;98.06;64877.1
2019-12-09;98.11;98.28;98.09;98.09;43887.3
2019-12-10;98.35;98.55;98.22;98.4;133309.2
2019-12-11;98.45;98.7;98.45;98.7;67647.0
2019-12-12;99.29;99.29;98.83;98.83;9115.8
2019-12-13;99.22;99.23;98.88;99.06;59919.6
2019-12-16;99.47;99.54;99.32;99.49;336190.4
2019-12-17;99.67;99.85;99.61;99.84;288404.5
2019-12-18;99.95;99.99;99.65;99.99;28872.9
2019-12-19;100.05;100.05;99.75;99.75;152598.8
2019-12-20;99.71;100.01;99.57;99.95;508384.82
2019-12-23;100.04;100.2;99.87;100.2;135347.0
2019-12-27;100.47;100.47;100.33;100.37;28402.29
2019-12-30;100.39;100.45;100.0;100.0;118955.47
2020-01-02;100.42;100.42;100.16;100.26;171201.83
2020-01-03;100.08;100.08;100.0;100.0;177206.4
2020-01-06;100.13;100.13;99.97;100.1;12905.18
2020-01-07;100.31;100.36;100.23;100.36;13041.13
2020-01-08;100.18;100.4;100.18;100.4;47319.97
2020-01-09;100.73;100.73;100.21;100.27;92294.9
2020-01-10;100.51;100.53;100.4;100.48;192320.39
2020-01-13;100.4;100.45;100.17;100.17;40351.71
2020-01-14;100.53;100.53;100.11;100.11;31462.31
2020-01-15;100.46;100.59;100.31;100.59;71053.72
2020-01-16;101.1;101.1;100.68;100.9;338398.42
2020-01-17;100.95;101.05;100.71;100.88;412917.63
2020-01-20;101.0;101.02;100.8;100.9;220672.86
2020-01-21;100.86;100.86;100.63;100.84;37678.95
2020-01-22;100.96;101.12;100.77;100.77;35780.07
2020-01-23;101.36;101.36;100.71;100.83;40553.32
2020-01-24;100.78;100.94;100.7;100.7;51783.3
2020-01-27;100.67;100.67;100.11;100.11;7712.63
2020-01-28;100.93;101.01;100.64;101.01;10083.9
2020-01-29;101.03;101.17;100.96;101.17;44067.28
2020-01-30;100.99;101.28;100.99;101.16;423265.28
2020-01-31;101.01;101.52;101.01;101.48;2441182.64
2020-02-03;101.4;101.48;101.17;101.46;54663.09
2020-02-04;100.78;101.51;100.78;101.15;63239.41
2020-02-05;101.32;101.49;101.28;101.49;323420.57
2020-02-06;101.5;101.8;101.4;101.4;719134.53
2020-02-07;101.82;101.82;101.43;101.61;221554.35
2020-02-10;101.65;101.65;101.29;101.58;260538.91
2020-02-11;101.6;101.76;101.32;101.5;54401.61
2020-02-12;101.5;101.79;101.5;101.75;98268.23
2020-02-13;101.85;101.85;101.55;101.84;178420.89
2020-02-14;102.08;102.13;101.8;102.11;202817.05
2020-02-17;102.31;102.37;102.05;102.35;50856.62
2020-02-18;102.43;102.43;101.95;102.24;67900.23
2020-02-19;102.35;102.42;102.2;102.2;94895.88
2020-02-20;102.2;102.66;102.2;102.52;99765.52
2020-02-21;102.46;102.87;102.25;102.87;128406.75
2020-02-24;102.87;102.97;102.1;102.19;118660.02
2020-02-25;102.22;102.22;101.64;101.64;425332.56
2020-02-26;101.9;101.9;100.59;101.54;109079.1
2020-02-27;101.68;101.68;99.95;100.05;112181.68
2020-02-28;98.42;99.54;97.64;99.54;77123.08
2020-03-02;99.91;100.82;99.48;100.82;959211.97
2020-03-03;100.88;101.38;100.78;101.38;367796.12
2020-03-04;102.06;102.6;101.83;102.6;34201.64
2020-03-05;102.54;102.54;101.31;101.71;31203.9
2020-03-06;100.71;100.71;100.11;100.18;23494.27
2020-03-09;94.91;96.6;94.17;96.2;87971.62
2020-03-10;96.2;96.94;96.2;96.94;491620.62
2020-03-11;94.35;94.74;93.19;93.19;512391.38
2020-03-12;87.75;88.08;84.78;84.78;528151.45
2020-03-13;87.0;88.85;85.86;86.22;400513.06
2020-03-16;84.63;84.63;83.39;83.39;199189.26
2020-03-17;81.95;83.51;81.67;83.51;101376.56
2020-03-18;82.55;82.55;78.57;78.89;33601.77
2020-03-19;76.74;76.74;72.49;72.49;290212.58
2020-03-20;81.05;81.59;80.78;81.07;64648.64
2020-03-23;75.81;80.0;75.81;80.0;67546.22
2020-03-24;81.32;82.14;81.32;81.5;71066.36
2020-03-25;84.94;84.94;82.52;84.75;29761.38
2020-03-26;85.49;87.2;85.49;86.09;71646.11
2020-03-27;87.15;87.15;85.28;85.66;24885.41
2020-03-30;85.66;85.66;84.55;84.55;11112.94
2020-03-31;86.04;86.04;84.89;85.66;154544.16
2020-04-01;83.69;83.89;83.69;83.89;7119.65
2020-04-02;83.7;83.91;82.45;82.83;451333.16
2020-04-03;83.95;83.95;83.39;83.79;8356.29
2020-04-06;84.59;84.68;84.2;84.31;36663.32
2020-04-07;85.81;86.2;85.7;85.77;14429.46
2020-04-08;85.21;85.6;85.21;85.6;46293.4
