Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-12-20;100.27;100.27;100.27;100.27;501.35
2019-02-05;100.9;100.9;100.9;100.9;5045.0
2019-02-06;101.0;101.0;100.99;100.99;10099.5
2019-02-08;101.02;101.02;101.02;101.02;5051.0
2019-02-25;101.15;101.15;101.15;101.15;5057.5
2019-03-04;101.23;101.23;101.23;101.23;506.2
2019-03-05;101.28;101.28;101.28;101.28;5064.0
2019-03-06;101.24;101.24;101.24;101.24;5062.0
2019-03-07;101.22;101.22;101.22;101.22;5061.0
2019-03-08;101.24;101.25;101.24;101.25;47381.8
2019-03-11;101.3;101.32;101.29;101.32;104546.5
2019-03-12;101.37;101.37;101.37;101.37;20274.0
2019-03-13;101.44;101.44;101.44;101.44;30127.7
2019-03-14;101.47;101.53;101.47;101.53;45174.4
2019-03-15;101.54;101.62;101.54;101.6;751476.0
2019-03-18;101.6;101.6;101.6;101.6;23876.0
2019-03-19;101.5;101.5;101.5;101.5;10150.0
2019-03-20;101.66;101.66;101.63;101.63;39845.1
2019-03-21;101.7;101.7;101.7;101.7;2542.5
2019-03-22;101.72;101.75;101.72;101.75;386884.2
2019-03-25;101.71;101.73;101.71;101.73;35296.4
2019-03-26;101.72;101.72;101.7;101.7;233343.7
2019-03-27;101.83;101.83;101.83;101.83;213843.0
2019-03-28;101.92;102.02;101.92;102.02;127418.1
2019-03-29;101.96;101.96;101.96;101.96;44862.4
2019-04-01;101.98;102.05;101.98;102.05;24897.5
2019-04-02;101.99;102.04;101.99;102.04;56726.5
2019-04-03;102.05;102.05;102.05;102.05;4490.2
2019-04-04;101.9;101.9;101.9;101.9;264940.0
2019-04-08;101.9;101.9;101.9;101.9;7031.1
2019-04-09;101.92;101.92;101.92;101.92;25174.2
2019-04-10;101.93;101.93;101.93;101.93;24972.9
2019-04-11;102.03;102.04;102.03;102.04;9693.4
2019-04-15;101.98;101.98;101.98;101.98;17336.6
2019-04-18;102.02;102.02;102.02;102.02;19995.9
2019-04-26;102.29;102.32;102.29;102.32;147633.5
2019-04-29;102.21;102.21;102.21;102.21;15331.5
2019-05-03;102.28;102.36;102.28;102.36;51977.1
2019-05-07;102.33;102.33;102.33;102.33;4911.8
