Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-04-03;7.883;7.898;7.883;7.898;1972.65
2018-04-11;7.975;7.975;7.975;7.975;1595.0
2018-04-17;8.133;8.133;8.133;8.133;2439.9
2018-04-18;8.153;8.153;8.153;8.153;4076.5
2018-04-19;8.157;8.162;8.146;8.162;13984.63
2018-04-23;8.159;8.159;8.159;8.159;2447.7
2018-04-24;8.187;8.187;8.185;8.187;4911.8
2018-04-26;8.139;8.168;8.129;8.168;3259.6
2018-05-02;8.312;8.312;8.3;8.3;1129.232
2018-05-03;8.261;8.261;8.131;8.188;5735.1
2018-05-04;8.24;8.24;8.24;8.24;824.0
2018-05-07;8.376;8.417;8.374;8.409;26525.275
2018-05-08;8.4;8.438;8.4;8.438;2538.6
2018-05-09;8.44;8.44;8.432;8.432;2530.4
2018-05-11;8.51;8.51;8.51;8.51;851.0
2018-05-14;8.548;8.551;8.533;8.551;1810.976
2018-05-15;8.543;8.561;8.543;8.561;5629.51
2018-05-16;8.562;8.562;8.562;8.562;856.2
2018-05-18;8.454;8.611;8.454;8.602;2995.2
2018-05-22;8.684;8.684;8.684;8.684;868.4
2018-05-25;8.766;8.766;8.655;8.655;3482.426
2018-05-29;8.656;8.67;8.655;8.667;3480.739
2018-05-30;8.614;8.614;8.613;8.613;4315.114
2018-05-31;8.617;8.617;8.612;8.612;4134.26
2018-06-01;8.608;8.646;8.608;8.645;4464.439
2018-06-04;8.692;8.7;8.685;8.693;31311.4
2018-06-05;8.677;8.717;8.677;8.695;14915.362
2018-06-06;8.677;8.677;8.677;8.677;503.266
2018-06-07;8.686;8.686;8.678;8.678;5207.6
2018-06-13;8.756;8.834;8.73;8.834;13440.66
2018-06-14;8.672;8.731;8.672;8.731;1740.3
2018-06-15;8.831;8.831;8.82;8.82;617.543
2018-06-20;8.784;8.799;8.78;8.78;7958.632
2018-06-22;8.706;8.706;8.706;8.706;870.6
2018-06-25;8.646;8.647;8.605;8.605;12949.5
2018-06-27;8.544;8.64;8.544;8.64;2573.1
2018-06-28;8.627;8.636;8.549;8.582;78720.252
2018-06-29;8.639;8.639;8.605;8.632;897.688
2018-07-02;8.538;8.538;8.53;8.53;614.168
2018-07-03;8.588;8.588;8.588;8.588;858.8
2018-07-05;8.597;8.598;8.594;8.594;18052.7
2018-07-06;8.597;8.597;8.597;8.597;8597.0
2018-07-09;8.661;8.668;8.661;8.668;10400.9
2018-07-10;8.734;8.743;8.734;8.743;30025.425
2018-07-11;8.689;8.697;8.689;8.697;60872.338
2018-07-12;8.72;8.728;8.703;8.703;9592.6
2018-07-16;8.768;8.768;8.768;8.768;499.776
2018-07-17;8.716;8.716;8.716;8.716;8.716
2018-07-18;8.832;8.837;8.828;8.837;48037.027
2018-07-19;8.837;8.952;8.823;8.823;14532.424
2018-07-20;8.823;8.823;8.709;8.776;30509.541
2018-07-23;8.762;8.766;8.761;8.761;10010.367
2018-07-30;8.762;8.856;8.762;8.855;39848.407
2018-07-31;8.8;8.8;8.765;8.8;7083.525
2018-08-01;8.833;8.833;8.833;8.833;618.31
2018-08-06;8.951;8.954;8.948;8.954;16036.011
2018-08-07;8.977;8.982;8.977;8.982;4490.5
2018-08-08;8.953;8.968;8.953;8.968;16178.325
2018-08-10;8.98;8.98;8.98;8.98;1005.76
2018-08-13;9.0;9.0;9.0;9.0;5400.0
2018-08-16;8.979;8.979;8.979;8.979;493.845
2018-08-20;9.031;9.042;9.031;9.042;10846.7
2018-08-21;8.971;8.988;8.971;8.988;4936.1
2018-08-22;8.942;8.942;8.942;8.942;715.36
2018-08-23;8.942;8.942;8.942;8.942;3004.512
