Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-07-19;8.598;8.598;8.598;8.598;1986.138
2021-07-20;8.564;8.564;8.564;8.564;7133.812
2021-07-23;8.658;8.658;8.658;8.658;51948.0
2021-08-16;8.546;8.553;8.53;8.53;17809.575
2021-08-17;8.454;8.454;8.454;8.454;1437.18
2021-08-18;8.484;8.491;8.484;8.49;22750.62
2021-08-19;8.399;8.399;8.35;8.387;37798.64
2021-08-20;8.311;8.379;8.311;8.379;34749.6
2021-08-23;8.42;8.422;8.42;8.422;9432.6
2021-08-24;8.501;8.501;8.501;8.501;3825.45
2021-08-25;8.567;8.567;8.567;8.567;5140.2
2021-08-26;8.542;8.542;8.53;8.53;17500.9
2021-08-27;8.538;8.538;8.532;8.532;4010.76
2021-08-30;8.552;8.552;8.532;8.532;13240.2
2021-08-31;8.596;8.596;8.572;8.572;27849.424
2021-09-02;8.607;8.607;8.607;8.607;172.14
2021-09-06;8.682;8.682;8.682;8.682;6945.6
2021-09-07;8.585;8.585;8.565;8.581;18154.6
2021-09-09;8.503;8.503;8.503;8.503;3996.41
2021-09-10;8.495;8.507;8.495;8.507;16586.85
2021-09-14;8.472;8.472;8.472;8.472;19485.6
2021-09-15;8.426;8.426;8.4;8.4;8665.78
2021-09-16;8.362;8.385;8.362;8.385;13304.78
2021-09-17;8.34;8.34;8.34;8.34;667.2
2021-09-20;8.295;8.295;8.295;8.295;8295.0
2021-09-24;8.182;8.182;8.182;8.182;981.84
2021-09-28;8.264;8.264;8.25;8.25;2165.0
2021-10-04;8.369;8.369;8.36;8.36;5146.863
2021-10-05;8.399;8.399;8.399;8.399;302.364
2021-10-08;8.325;8.325;8.325;8.325;416.25
2021-10-15;8.415;8.415;8.415;8.415;5049.0
2021-10-21;8.508;8.508;8.508;8.508;3403.2
2021-10-25;8.596;8.596;8.596;8.596;10057.32
2021-11-02;8.55;8.55;8.541;8.541;1238.67
2021-11-03;8.512;8.512;8.5;8.5;2553.0
2021-11-05;8.484;8.484;8.484;8.484;3444.504
2021-11-08;8.535;8.535;8.535;8.535;3960.24
2021-11-10;8.5;8.5;8.5;8.5;17000.0
2021-11-15;8.605;8.605;8.605;8.605;17210.0
2021-11-18;8.58;8.58;8.58;8.58;128.7
2021-11-24;8.652;8.652;8.652;8.652;259.56
2021-11-25;8.664;8.664;8.664;8.664;4332.0
2021-11-26;8.481;8.481;8.387;8.387;19248.579
2021-11-30;8.536;8.572;8.266;8.325;227138.19
2021-12-01;8.369;8.369;8.369;8.369;1673.8
2021-12-06;8.468;8.468;8.468;8.468;2963.8
2021-12-09;8.481;8.481;8.481;8.481;1272.15
2021-12-13;8.54;8.54;8.54;8.54;854.0
2021-12-15;8.48;8.48;8.47;8.47;8903.5
2021-12-16;8.472;8.472;8.472;8.472;5083.2
2021-12-20;8.374;8.374;8.374;8.374;5024.4
2021-12-23;8.545;8.545;8.545;8.545;854.5
2021-12-28;8.646;8.646;8.646;8.646;2939.64
2021-12-30;8.668;8.668;8.667;8.667;10488.27
2022-01-03;8.677;8.677;8.677;8.677;997.855
2022-01-04;8.726;8.733;8.726;8.733;4539.405
2022-01-05;8.728;8.728;8.728;8.728;872.8
2022-01-14;8.768;8.768;8.688;8.688;5179.424
2022-01-19;8.8;8.861;8.8;8.861;5729.15
2022-01-21;8.683;8.683;8.683;8.683;2170.75
2022-01-28;8.402;8.402;8.402;8.402;840.2
2022-02-11;8.763;8.763;8.763;8.763;3067.05
2022-02-14;8.797;8.797;8.797;8.797;4398.5
2022-02-15;8.645;8.787;8.645;8.787;140649.263
2022-02-16;8.79;8.824;8.79;8.824;9674.1
2022-02-22;8.67;8.67;8.67;8.67;4335.0
2022-02-23;8.717;8.717;8.716;8.716;74088.001
2022-02-28;8.679;8.679;8.652;8.652;6505.2
2022-03-01;8.743;8.743;8.743;8.743;3234.91
2022-03-02;8.713;8.716;8.713;8.716;4095.815
2022-03-03;8.764;8.764;8.764;8.764;3505.6
2022-03-04;8.71;8.71;8.702;8.702;5553.468
2022-03-08;8.58;8.58;8.58;8.58;1896.18
2022-03-11;8.505;8.505;8.505;8.505;3572.1
2022-03-14;8.501;8.501;8.501;8.501;5100.6
2022-03-16;8.512;8.512;8.512;8.512;1276.8
2022-03-22;8.71;8.731;8.71;8.731;6085.628
2022-03-23;8.756;8.756;8.756;8.756;5253.6
2022-03-24;8.854;8.854;8.854;8.854;10111.268
2022-03-28;8.871;8.91;8.85;8.85;6306.93
2022-04-01;8.95;8.95;8.95;8.95;3580.0
2022-04-05;9.12;9.12;9.12;9.12;12768.0
2022-04-06;9.005;9.005;9.005;9.005;1530.85
2022-04-08;9.019;9.019;9.019;9.019;9920.9
2022-04-13;8.945;8.981;8.945;8.981;10611.923
2022-04-19;8.945;8.945;8.945;8.945;9991.565
2022-04-21;8.999;8.999;8.999;8.999;39595.6
2022-04-28;8.938;8.938;8.938;8.938;3575.2
2022-05-05;9.024;9.024;9.024;9.024;6316.8
2022-05-06;8.801;8.801;8.801;8.801;8801.0
2022-05-16;8.698;8.698;8.698;8.698;121.772
2022-05-17;8.76;8.76;8.76;8.76;3766.8
2022-05-23;8.7;8.7;8.687;8.687;9856.258
2022-05-25;8.6;8.607;8.6;8.607;15131.008
2022-05-27;8.707;8.707;8.707;8.707;3482.8
2022-05-31;8.83;8.83;8.83;8.83;3002.2
2022-06-01;8.801;8.801;8.801;8.801;1320.15
2022-06-03;8.874;8.874;8.874;8.874;4880.7
2022-06-14;8.174;8.174;8.174;8.174;2860.9
2022-06-15;8.171;8.171;8.171;8.171;792.587
2022-06-21;8.086;8.086;8.086;8.086;29918.2
2022-07-07;8.282;8.282;8.282;8.282;1242.3
2022-07-12;8.237;8.237;8.237;8.237;18945.1
2022-08-03;8.466;8.466;8.466;8.466;1693.2
2022-08-16;8.615;8.66;8.615;8.637;6587.918
2022-08-17;8.538;8.538;8.538;8.538;119.532
2022-08-24;8.6;8.6;8.6;8.6;40076.0
