Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2009-05-26;8.64;8.68;8.57;8.57;155.3
2009-05-27;;;;8.57;
2009-05-28;;;;8.57;
2009-05-29;8.8;8.8;8.8;8.8;105.6
2009-06-01;;;;8.8;
2009-06-02;;;;8.8;
2009-06-03;10.16;10.28;10.16;10.28;153450.9
2009-06-04;;;;10.28;
2009-06-05;10.62;10.62;10.47;10.47;159513.8
2009-06-08;10.5;10.5;10.5;10.5;315.0
2009-06-09;10.24;10.24;10.24;10.24;153600.0
2009-06-10;;;;10.24;
2009-06-11;10.49;10.51;10.49;10.51;2413.3
2009-06-12;10.21;10.21;10.21;10.21;153150.0
2009-06-15;10.07;10.07;10.07;10.07;151050.0
2009-06-16;10.02;10.02;10.02;10.02;1002.0
2009-06-17;9.56;9.56;9.56;9.56;956.0
2009-06-18;;;;9.56;
2009-06-19;;;;9.56;
2009-06-22;9.16;9.16;9.15;9.15;311363.2
2009-06-23;;;;9.15;
2009-06-24;9.03;9.03;8.94;8.94;921.1
2009-06-25;;;;8.94;
2009-06-26;9.54;9.54;9.54;9.54;143.1
2009-06-29;;;;9.54;
2009-06-30;9.26;9.26;9.25;9.25;277724.0
2009-07-01;8.95;8.95;8.95;8.95;268.5
2009-07-02;;;;8.95;
2009-07-03;;;;8.95;
2009-07-06;;;;8.95;
2009-07-07;;;;8.95;
2009-07-08;7.91;7.91;7.91;7.91;88101.6
2009-07-09;8.07;8.07;8.02;8.02;950.9
2009-07-10;;;;8.02;
2009-07-13;;;;8.02;
2009-07-14;;;;8.02;
2009-07-15;;;;8.02;
2009-07-16;8.8;8.8;8.8;8.8;1320.0
2009-07-17;;;;8.8;
2009-07-20;;;;8.8;
2009-07-21;8.83;8.83;8.83;8.83;132520.6
2009-07-22;8.76;8.76;8.76;8.76;963.6
2009-07-23;8.82;8.82;8.82;8.82;1411.2
2009-07-24;;;;8.82;
2009-07-27;;;;8.82;
2009-07-28;9.27;9.27;9.27;9.27;139050.0
2009-07-29;8.79;8.79;8.7;8.7;302280.2
2009-07-30;;;;8.7;
2009-07-31;;;;8.7;
2009-08-03;9.41;9.41;9.34;9.34;7988.0
2009-08-04;9.55;9.55;9.55;9.55;4297.5
2009-08-05;10.1;10.35;10.1;10.22;522847.7
2009-08-06;10.3;10.3;10.12;10.12;155815.6
2009-08-07;9.6;10.09;9.6;10.09;346134.2
2009-08-10;10.04;10.04;9.85;9.85;1841.3
2009-08-11;9.98;9.98;9.98;9.98;2994.0
2009-08-12;9.75;9.75;9.74;9.74;769.8
2009-08-13;10.15;10.15;10.15;10.15;192850.0
2009-08-14;10.2;10.2;10.2;10.2;7650.0
2009-08-17;9.69;9.74;9.46;9.52;865090.3
2009-08-18;9.69;9.69;9.69;9.69;48450.0
2009-08-19;;;;9.69;
2009-08-20;9.76;9.76;9.76;9.76;976.0
2009-08-21;9.5;9.73;9.5;9.73;332588.8
2009-08-24;9.95;9.95;9.6;9.6;2025.7
2009-08-25;9.63;9.63;9.63;9.63;1097.8
2009-08-26;9.79;9.79;9.64;9.64;146068.5
2009-08-27;;;;9.64;
2009-08-28;;;;9.64;
2009-08-31;9.67;9.67;9.67;9.67;1643.9
2009-09-01;;;;9.67;
2009-09-02;9.3;9.3;9.3;9.3;139500.0
2009-09-03;;;;9.3;
2009-09-04;;;;9.3;
2009-09-07;9.95;9.95;9.87;9.87;112986.0
2009-09-08;10.13;10.2;10.13;10.2;3042.5
2009-09-09;10.14;10.14;10.14;10.14;14196.0
2009-09-10;;;;10.14;
2009-09-11;10.2;10.74;10.2;10.74;365216.0
2009-09-14;10.8;10.8;10.33;10.39;108556.9
2009-09-15;10.45;10.45;10.45;10.45;1567.5
2009-09-16;10.81;10.97;10.81;10.9;18474.0
2009-09-17;10.99;11.06;10.91;11.04;20262.8
2009-09-18;10.78;10.84;10.78;10.84;119080.0
2009-09-21;10.55;10.55;10.55;10.55;5802.5
2009-09-22;;;;10.55;
2009-09-23;10.75;10.75;10.55;10.55;19264.5
2009-09-24;;;;10.55;
2009-09-25;10.06;10.08;10.0;10.0;153266.7
2009-09-28;9.97;9.97;9.97;9.97;1495.5
2009-09-29;;;;9.97;
2009-09-30;;;;9.97;
2009-10-01;;;;9.97;
2009-10-02;9.99;9.99;9.95;9.95;3176.8
2009-10-05;9.96;9.96;9.96;9.96;597.6
2009-10-06;10.29;10.29;10.29;10.29;1543.5
2009-10-07;10.5;10.65;10.5;10.65;2727.6
2009-10-08;10.7;10.7;10.7;10.7;5350.0
2009-10-09;10.8;10.93;10.7;10.93;46687.6
2009-10-12;10.83;10.89;10.83;10.86;14379.2
2009-10-13;10.9;11.2;10.9;11.04;14834.0
2009-10-14;10.98;11.07;10.98;11.02;15083.5
2009-10-15;10.9;10.9;10.71;10.71;10256.0
2009-10-16;10.87;10.87;10.75;10.75;19491.0
2009-10-19;10.93;10.99;10.92;10.99;11060.9
2009-10-20;11.17;11.17;10.83;11.11;7580.6
2009-10-21;10.98;10.98;10.98;10.98;3733.2
2009-10-22;10.75;11.06;10.75;10.9;7101.1
2009-10-23;11.09;11.09;11.09;11.09;1109.0
2009-10-26;10.76;10.79;10.76;10.79;51557.8
2009-10-27;10.63;10.63;10.47;10.47;5503.6
2009-10-28;;;;10.47;
2009-10-29;10.62;10.64;10.45;10.62;5410.3
2009-10-30;;;;10.62;
2009-11-02;10.69;10.7;10.55;10.55;19014.5
2009-11-03;10.72;10.72;10.42;10.42;16400.6
2009-11-04;11.23;11.23;11.23;11.23;3121.9
2009-11-05;11.1;11.15;11.02;11.02;14039.2
2009-11-06;11.04;11.04;10.7;10.7;8467.0
2009-11-09;10.96;10.96;10.96;10.79;3090.7
2009-11-10;11.92;11.93;11.73;10.72;50300.6
2009-11-11;;;;10.8;
2009-11-12;11.14;11.14;10.98;10.98;7410.1
2009-11-13;;;;10.98;
2009-11-16;11.92;11.93;11.73;11.93;50300.6
2009-11-17;12.0;12.3;11.97;12.2;17706.5
2009-11-18;12.67;12.71;12.48;12.55;28665.9
2009-11-19;12.08;12.27;11.86;12.1;17837.1
2009-11-20;12.33;12.33;11.89;12.15;2025.8
2009-11-23;12.82;12.82;12.5;12.54;54807.9
2009-11-24;12.4;12.6;12.35;12.39;8222.1
2009-11-25;12.41;12.65;12.41;12.65;17098.6
2009-11-26;12.5;12.5;12.23;12.42;27843.7
2009-11-27;12.25;12.27;11.9;12.27;24090.9
2009-11-30;12.26;12.27;12.26;12.27;7357.0
2009-12-01;12.5;12.7;12.4;12.7;16393.7
