Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2006-11-20;33.08;33.45;32.78;33.43;60206.0
2006-11-21;33.22;33.54;33.1;33.25;164454.0
2006-11-22;33.16;33.16;32.17;32.21;497905.0
2006-11-23;32.19;32.74;31.7;32.32;135653.0
2006-11-24;32.3;32.3;31.5;31.66;90319.0
2006-11-27;32.12;32.4;32.0;32.36;261173.0
2006-11-28;31.66;31.67;31.05;31.24;476382.0
2006-11-29;31.48;32.21;31.48;32.19;207327.0
2006-11-30;32.45;32.72;32.03;32.03;430219.0
2006-12-01;32.61;32.61;31.8;31.8;111417.0
2006-12-04;31.88;31.88;31.4;31.58;251042.0
2006-12-05;31.84;32.0;31.5;32.0;140027.0
2006-12-06;32.24;32.37;32.0;32.3;152664.0
2006-12-07;32.42;34.01;32.42;34.0;293321.0
2006-12-08;33.96;34.0;33.4;33.4;139470.0
2006-12-11;33.7;33.97;33.5;33.81;253957.0
2006-12-12;34.41;34.41;33.55;33.64;226663.0
2006-12-13;33.5;33.52;33.3;33.38;87085.0
2006-12-14;33.66;34.26;33.5;34.2;209390.0
2006-12-15;34.2;34.9;34.2;34.71;239667.0
2006-12-18;34.99;34.99;34.36;34.47;265493.0
2006-12-19;34.35;34.35;33.5;33.55;269924.0
2006-12-20;33.62;33.89;33.41;33.42;403109.0
2006-12-21;33.51;33.77;33.49;33.77;194168.0
2006-12-22;33.66;33.77;33.4;33.77;84852.0
2006-12-27;33.76;33.76;33.37;33.74;546710.0
2006-12-28;33.89;34.41;33.88;34.4;244692.0
2006-12-29;34.47;34.47;34.04;34.04;453667.0
2007-01-02;35.34;35.39;33.81;34.04;1113219.0
2007-01-03;34.08;34.52;34.07;34.43;556949.0
2007-01-04;34.6;34.62;34.1;34.2;875582.0
2007-01-05;34.05;34.05;33.5;33.6;512802.0
2007-01-08;33.4;33.4;32.55;33.15;759230.0
2007-01-09;33.4;33.65;32.52;32.65;356482.0
2007-01-10;32.5;32.5;31.65;32.05;578631.0
2007-01-11;32.59;33.3;32.54;33.12;307172.0
2007-01-12;33.47;34.03;33.46;33.89;401152.0
2007-01-15;34.12;34.92;34.1;34.75;530440.0
2007-01-16;34.96;34.96;34.32;34.7;469011.0
2007-01-17;34.44;34.99;34.44;34.91;398884.0
2007-01-18;34.99;36.0;34.99;35.85;637135.0
2007-01-19;35.63;36.66;35.57;36.06;1019478.0
2007-01-22;36.93;37.24;36.5;37.0;893643.0
2007-01-23;36.69;36.95;36.35;36.75;840856.0
2007-01-24;37.21;37.77;36.95;37.73;831182.0
2007-01-25;37.65;37.95;37.1;37.47;806779.0
2007-01-26;37.99;38.0;36.51;36.98;537813.0
2007-01-29;37.22;37.35;36.5;36.67;773491.0
2007-01-30;36.61;36.63;36.0;36.48;535480.0
2007-01-31;36.51;37.06;36.39;36.43;459226.0
2007-02-01;37.2;38.0;37.2;37.76;793990.0
2007-02-02;38.0;38.98;37.97;38.8;3123825.0
2007-02-05;39.0;39.0;38.0;38.35;1339356.0
2007-02-06;38.5;38.79;37.9;38.03;1493128.0
2007-02-07;38.22;38.22;37.45;37.71;1065216.0
2007-02-08;37.7;37.7;36.62;37.03;1110676.0
2007-02-09;37.3;37.8;37.25;37.52;1414908.0
2007-02-12;37.45;37.64;37.0;37.35;1021605.0
2007-02-13;37.51;37.96;37.25;37.96;803393.0
2007-02-14;38.2;38.52;38.01;38.36;700340.0
2007-02-15;38.8;39.57;38.8;39.02;1642514.0
2007-02-16;39.03;39.39;38.8;38.96;642910.0
2007-02-19;39.39;39.88;39.08;39.85;1251040.0
2007-02-20;39.88;40.0;39.21;39.3;811305.0
2007-02-21;39.4;39.56;38.1;38.35;1203730.0
2007-02-22;38.9;39.54;38.61;39.2;517778.0
2007-02-23;39.23;39.23;38.67;38.72;696265.0
2007-02-26;38.77;39.01;38.41;39.01;372377.0
2007-02-27;38.6;38.6;36.0;36.15;2021615.0
2007-02-28;35.9;35.9;34.54;35.75;1248046.0
2007-03-01;35.83;36.21;33.34;33.9;1109738.0
2007-03-02;33.3;35.24;33.06;34.54;568125.0
2007-03-05;34.6;34.6;32.0;33.69;469959.0
2007-03-06;33.31;34.69;33.31;34.54;562158.0
2007-03-07;34.95;35.0;34.44;34.7;233254.0
2007-03-08;35.1;35.72;35.1;35.72;727919.0
2007-03-09;35.71;36.5;35.1;36.3;394694.0
2007-03-12;36.5;36.96;36.12;36.31;541026.0
2007-03-13;36.2;36.65;35.54;35.92;288268.0
2007-03-14;35.67;35.67;33.5;34.52;311909.0
2007-03-15;34.97;35.77;34.97;35.63;377137.0
2007-03-16;35.46;35.91;34.9;35.78;161344.0
2007-03-19;35.98;36.2;35.7;36.04;136913.0
2007-03-20;36.43;36.5;36.05;36.14;153131.0
2007-03-21;36.2;36.6;36.0;36.42;291145.0
2007-03-22;36.65;37.73;36.65;37.5;1479085.0
2007-03-23;37.43;37.9;37.43;37.65;281249.0
2007-03-26;38.0;38.0;37.0;37.28;865266.0
2007-03-27;37.36;37.37;36.8;36.9;312310.0
2007-03-28;36.98;37.4;36.67;36.9;316654.0
2007-03-29;37.31;37.45;37.01;37.45;261268.0
2007-03-30;37.55;37.9;37.4;37.67;387703.0
2007-04-02;38.0;38.0;37.42;37.52;210186.0
2007-04-03;37.7;38.97;37.7;38.84;635983.0
2007-04-04;38.95;39.75;38.95;39.3;778410.0
2007-04-05;39.5;40.4;39.5;40.19;797658.0
