Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-06-01;10.348;10.404;10.348;10.404;250448.466
2021-06-07;10.522;10.522;10.522;10.522;22959.004
2021-06-09;10.514;10.516;10.514;10.516;123413.776
2021-06-10;10.456;10.462;10.456;10.462;11764.2
2021-06-14;10.524;10.524;10.524;10.524;15786.0
2021-06-15;10.508;10.508;10.508;10.508;136.604
2021-06-16;10.516;10.516;10.516;10.516;841.28
2021-06-17;10.5;10.5;10.49;10.49;12662.23
2021-06-18;10.4;10.4;10.32;10.32;4197.424
2021-06-22;10.336;10.336;10.336;10.336;42367.264
2021-06-24;10.294;10.348;10.294;10.342;81823.46
2021-06-25;10.406;10.406;10.406;10.406;2081.2
2021-06-29;10.354;10.382;10.354;10.376;39476.234
2021-06-30;10.246;10.278;10.246;10.278;11086.762
2021-07-01;10.35;10.35;10.35;10.35;93.15
2021-07-08;10.05;10.05;10.05;10.05;603.0
2021-07-15;10.174;10.174;10.174;10.174;111.914
2021-07-19;9.812;9.845;9.779;9.838;1077062.79
2021-07-26;10.326;10.334;10.326;10.334;269022.482
2021-07-28;10.3;10.3;10.3;10.3;515.0
2021-07-30;10.42;10.42;10.42;10.42;521.0
2021-08-02;10.412;10.412;10.412;10.412;312.36
2021-08-11;10.854;10.854;10.854;10.854;759.78
2021-08-12;10.86;10.86;10.86;10.86;760.2
2021-08-16;10.83;10.86;10.83;10.86;4268.34
2021-08-17;10.772;10.772;10.772;10.772;8617.6
2021-08-23;10.68;10.68;10.676;10.676;16126.4
2021-08-31;10.684;10.7;10.684;10.7;4279.2
2021-09-01;10.748;10.748;10.748;10.748;333.188
2021-09-03;10.762;10.762;10.762;10.762;137645.98
2021-09-07;10.712;10.712;10.712;10.712;136899.36
2021-09-08;10.57;10.65;10.57;10.65;212.2
2021-09-15;10.576;10.576;10.576;10.576;623.984
2021-09-17;10.718;10.718;10.718;10.718;107.18
2021-09-22;10.524;10.524;10.524;10.524;4735.8
2021-09-29;10.606;10.606;10.606;10.606;138408.3
2021-09-30;10.66;10.66;10.566;10.566;12698.0
2021-10-01;10.554;10.554;10.554;10.554;875.982
2021-10-07;10.67;10.67;10.67;10.67;32.01
2021-10-08;10.72;10.72;10.72;10.72;10076.8
2021-10-14;10.778;10.798;10.766;10.798;50401.624
2021-10-15;10.868;10.9;10.868;10.9;9420.292
2021-10-18;10.878;10.878;10.878;10.878;9583.518
2021-10-19;10.856;10.898;10.856;10.898;23245.116
2021-10-20;10.94;10.94;10.928;10.94;29559.616
2021-10-21;10.964;10.98;10.964;10.964;17293.276
2021-10-22;11.012;11.038;11.012;11.038;16556.938
2021-10-25;11.036;11.036;11.036;11.036;44.144
2021-10-26;11.116;11.156;11.116;11.156;13809.94
2021-10-27;11.126;11.126;11.116;11.116;14406.636
2021-10-28;11.07;11.086;11.07;11.086;12892.49
2021-10-29;11.096;11.096;11.036;11.082;78895.058
2021-11-01;11.244;11.256;11.244;11.256;3261.84
2021-11-02;11.222;11.276;11.222;11.276;49524.278
2021-11-03;11.284;11.322;11.284;11.322;24249.442
2021-11-04;11.366;11.384;11.366;11.384;62025.888
2021-11-05;11.442;11.502;11.442;11.502;8361.474
2021-11-08;11.48;11.5;11.474;11.478;97515.038
2021-11-09;11.452;11.452;11.366;11.38;15824.522
2021-11-10;11.408;11.408;11.352;11.404;60542.4
2021-11-11;11.394;11.444;11.394;11.442;11847.236
2021-11-12;11.462;11.474;11.462;11.47;102482.054
2021-11-15;11.504;11.53;11.504;11.53;23010.652
2021-11-17;11.51;11.51;11.5;11.504;80763.3
2021-11-18;11.482;11.484;11.43;11.44;33960.346
2021-11-19;11.498;11.498;11.298;11.32;19349.156
2021-11-22;11.68;11.68;11.34;11.34;88955.234
2021-11-23;11.246;11.25;11.222;11.238;19557.888
2021-11-24;11.268;11.282;11.208;11.282;30471.428
2021-11-25;11.296;11.296;11.262;11.262;534954.268
2021-11-26;10.9;10.938;10.818;10.818;15215.824
2021-11-29;10.858;10.858;10.836;10.836;24745.184
2021-11-30;10.618;10.788;10.614;10.788;35700.472
2021-12-01;10.908;10.972;10.908;10.972;168919.2
2021-12-02;10.84;10.84;10.818;10.834;2383.38
2021-12-03;10.888;10.888;10.78;10.78;2339.3
2021-12-06;10.82;11.018;10.82;11.018;90961.798
2021-12-07;11.184;11.184;11.184;11.184;8164.32
2021-12-08;11.246;11.246;11.246;11.246;4498.4
2021-12-13;11.2;11.2;11.2;11.2;6944.0
2021-12-14;11.088;11.096;11.088;11.096;1139784.12
2021-12-15;11.098;11.102;11.098;11.102;2031.366
2021-12-16;11.166;11.182;11.162;11.162;10514.038
2021-12-17;11.028;11.028;10.974;10.984;106564.532
2021-12-20;10.866;10.866;10.852;10.854;21760.264
2021-12-21;11.036;11.036;11.036;11.036;54197.796
2021-12-22;11.052;11.052;11.052;11.052;2763.0
2021-12-23;11.174;11.194;11.16;11.194;20427.246
2021-12-27;11.292;11.292;11.292;11.292;553.308
2021-12-28;11.426;11.428;11.426;11.428;2765.176
2021-12-30;11.364;11.364;11.358;11.358;4817.336
2022-01-03;11.472;11.53;11.472;11.53;112342.186
2022-01-04;11.55;11.65;11.55;11.624;37832.518
2022-01-05;11.652;11.652;11.652;11.652;1561.368
2022-01-07;11.522;11.546;11.504;11.504;2774115.102
2022-01-10;11.496;11.496;11.374;11.376;190832.786
2022-01-11;11.5;11.5;11.47;11.47;57.38
2022-01-12;11.494;11.508;11.46;11.498;13748.332
2022-01-13;11.538;11.538;11.514;11.536;7186.264
2022-01-14;11.526;11.526;11.394;11.454;15426.284
2022-01-17;11.464;11.516;11.464;11.516;1888.304
2022-01-18;11.386;11.426;11.386;11.418;38287.168
2022-01-19;11.338;11.4;11.338;11.388;179372.104
2022-01-20;11.382;11.432;11.382;11.432;2555.232
2022-01-21;11.312;11.348;11.186;11.222;125179.222
2022-01-24;11.074;11.074;10.852;10.852;4706.904
2022-01-25;10.954;10.954;10.84;10.846;30272.688
2022-01-26;11.084;11.1;11.066;11.094;235675.378
2022-01-27;11.088;11.272;11.088;11.194;22529.678
2022-01-28;11.052;11.098;11.022;11.098;12239.452
2022-01-31;11.266;11.266;11.19;11.204;29364.012
2022-02-01;11.292;11.37;11.288;11.37;850754.992
2022-02-02;11.414;11.492;11.406;11.46;278548.632
2022-02-03;11.404;11.404;11.31;11.31;2654.32
2022-02-04;11.216;11.216;11.088;11.096;34779.916
2022-02-07;10.97;10.972;10.922;10.972;27387.242
2022-02-08;11.102;11.118;11.018;11.02;52388.216
2022-02-09;11.216;11.322;11.2;11.314;226348.124
2022-02-10;11.358;11.382;11.342;11.348;16358.524
2022-02-11;11.218;11.274;11.168;11.254;205766.286
2022-02-14;10.852;11.036;10.852;10.974;11017.2
2022-02-15;11.148;11.262;11.148;11.262;24236.338
2022-02-16;11.24;11.26;11.204;11.26;15765.43
2022-02-17;11.25;11.25;11.25;11.25;1125.0
2022-02-18;11.116;11.196;11.08;11.11;9685.788
2022-02-21;11.054;11.054;10.802;10.872;41520.378
2022-02-22;10.6;10.9;10.6;10.858;36461.192
2022-02-23;10.998;10.998;10.982;10.982;1318.624
2022-02-24;10.392;10.544;10.248;10.362;58593.546
2022-02-25;10.4;10.756;10.4;10.756;40922.486
2022-02-28;10.522;10.522;10.454;10.454;1308.45
2022-03-01;10.628;10.628;10.178;10.178;45968.448
