Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-09-08;283.9;286.95;283.9;284.0;32649.5
2017-09-11;288.0;288.0;286.95;287.27;49996.78
2017-09-12;288.44;288.5;288.24;288.25;22496.53
2017-09-13;288.78;288.88;288.65;288.88;27724.08
2017-09-14;288.5;288.5;288.5;288.5;1442.5
2017-09-15;288.5;289.25;287.95;289.25;69292.43
2017-09-18;289.97;290.25;289.05;289.05;56248.31
2017-09-19;290.16;290.16;289.66;290.05;24933.06
2017-09-20;290.0;290.78;290.0;290.19;13931.83
2017-09-21;289.7;290.48;289.7;289.85;47856.16
2017-09-22;290.38;291.39;290.35;291.06;47081.38
2017-09-25;291.06;291.38;290.31;290.64;43647.98
2017-09-26;290.3;290.5;289.8;290.0;44377.0
2017-09-27;290.98;290.98;290.98;290.98;13094.1
2017-09-28;292.95;292.95;292.28;292.28;592042.71
2017-09-29;293.95;294.4;292.64;294.05;1168386.48
2017-10-02;295.25;296.15;295.18;295.64;72161.8
2017-10-03;295.44;297.67;295.44;297.25;87935.42
2017-10-04;297.7;297.7;295.12;296.44;69086.92
2017-10-05;296.42;296.79;295.66;296.79;70195.12
2017-10-06;296.09;296.93;295.75;295.75;121090.89
2017-10-09;296.0;296.6;295.82;296.01;127596.78
2017-10-10;295.39;296.0;295.39;296.0;50272.4
2017-10-11;296.3;296.3;296.17;296.17;23696.12
2017-10-12;297.09;297.4;297.09;297.4;21706.41
2017-10-13;296.97;297.8;296.97;297.66;69843.24
2017-10-16;297.88;297.95;297.46;297.46;41976.1
2017-10-17;296.73;297.8;296.73;297.72;38067.47
2017-10-18;297.97;298.47;297.69;298.27;139252.64
2017-10-19;298.31;298.31;294.2;294.3;59871.74
2017-10-20;296.49;296.49;295.83;295.95;107520.11
2017-10-23;295.75;296.2;295.58;296.0;71295.62
2017-10-24;296.0;296.49;295.33;296.16;121278.57
2017-10-25;295.19;295.66;295.19;295.56;36642.03
2017-10-26;292.78;298.2;291.4;291.4;39188.57
2017-10-27;297.05;298.6;296.35;296.35;51523.32
2017-10-30;298.67;299.62;298.0;298.48;122017.78
2017-10-31;299.69;299.69;298.99;299.63;48185.79
2017-11-01;300.25;302.15;300.25;302.13;63694.66
2017-11-02;301.34;301.34;299.1;299.92;15325.64
2017-11-03;300.2;301.1;300.2;301.1;58649.51
2017-11-06;299.91;301.18;299.91;301.18;42724.64
2017-11-07;301.08;301.08;299.45;299.45;49836.28
2017-11-08;297.28;297.66;296.71;297.58;26770.29
2017-11-09;297.78;297.78;292.21;292.39;63988.41
2017-11-10;292.0;293.65;292.0;293.65;71274.5
2017-11-13;291.79;291.79;288.32;289.9;248748.17
2017-11-14;292.0;292.0;290.16;290.16;5515268.7
2017-11-15;287.1;287.54;285.91;287.54;14321.74
2017-11-16;289.0;290.35;289.0;290.35;32734.82
2017-11-20;290.52;292.99;290.52;292.99;63533.13
2017-11-21;291.41;294.7;291.41;293.41;55238.15
2017-11-22;295.79;296.25;294.58;294.58;31028.14
2017-11-23;293.06;295.34;293.06;293.25;75463.62
2017-11-24;295.64;295.64;295.0;295.54;41062.11
2017-11-27;296.15;296.15;295.25;295.25;10650.7
2017-11-28;294.45;295.2;293.85;295.15;29769.25
2017-11-29;296.65;296.65;296.65;296.65;10086.1
2017-11-30;294.4;295.6;294.4;295.2;68479.6
2017-12-01;296.65;296.65;293.5;294.85;119179.8
2017-12-04;294.9;296.0;294.25;294.3;79999.7
2017-12-05;294.2;294.8;289.6;294.4;173005.65
2017-12-06;292.0;293.1;292.0;293.1;7612.9
2017-12-07;294.15;294.2;294.15;294.15;24415.1
2017-12-08;296.25;296.45;296.15;296.15;23103.9
2017-12-11;297.2;297.25;295.4;296.2;203382.65
2017-12-12;296.0;297.5;295.6;296.7;46883.65
2017-12-13;297.35;297.4;297.0;297.15;37434.1
2017-12-14;296.9;296.9;295.85;296.5;127017.4
2017-12-15;296.0;296.0;295.25;295.25;34309.0
2017-12-18;298.05;298.05;298.05;298.05;44707.5
2017-12-19;300.45;300.95;299.95;299.95;77253.3
2017-12-20;300.0;300.55;299.05;300.45;70789.5
2017-12-21;298.0;299.5;298.0;299.5;45959.35
2017-12-22;299.4;299.4;299.4;299.4;7784.4
2017-12-27;299.0;299.4;298.05;299.4;51988.35
2017-12-28;299.95;301.15;299.95;301.15;21962.35
2018-01-02;299.1;300.45;299.1;300.45;9598.2
2018-01-03;301.95;303.9;301.95;302.15;23314.25
2018-01-04;305.7;307.1;305.7;307.0;64903.6
2018-01-05;308.6;309.35;307.35;309.35;31132.2
2018-01-08;311.0;311.25;309.0;311.2;163961.2
2018-01-09;312.95;313.1;312.75;313.1;16275.4
2018-01-10;312.4;312.4;310.8;311.25;109470.75
2018-01-11;309.8;311.3;309.8;311.0;37274.65
2018-01-12;311.05;311.1;311.0;311.0;41987.25
2018-01-15;313.2;313.2;311.0;311.6;54580.3
2018-01-16;311.7;312.9;311.55;312.05;47150.1
2018-01-17;311.55;311.75;310.25;311.4;47956.0
2018-01-18;311.75;312.0;311.0;311.0;34628.5
2018-01-19;313.3;314.75;313.3;314.75;193571.95
2018-01-22;313.8;315.4;313.8;315.4;36493.35
2018-01-23;315.5;316.5;315.5;316.4;27480.0
2018-01-24;316.6;316.85;315.6;315.6;122471.35
2018-01-25;314.25;314.85;313.3;313.3;102405.85
2018-01-26;314.5;315.0;314.05;314.1;32386.2
2018-01-29;314.6;315.2;314.05;314.05;20451.4
2018-01-30;313.0;313.0;309.3;309.3;1742559.2
2018-01-31;308.9;311.55;308.9;310.25;638756.85
2018-02-01;310.25;313.15;308.8;309.75;45558.95
2018-02-02;308.35;308.35;306.9;306.9;40285.6
2018-02-05;299.0;302.45;299.0;300.7;97660.1
2018-02-06;298.95;298.95;292.55;294.75;112338.4
2018-02-07;297.7;300.6;297.7;300.6;75965.1
2018-02-08;300.0;300.0;295.0;295.0;68658.75
2018-02-09;292.65;295.25;290.3;292.15;229290.05
2018-02-12;295.0;296.45;294.45;294.45;62216.05
2018-02-13;294.45;296.1;293.1;293.45;114902.55
2018-02-14;295.0;296.75;294.45;296.75;178430.5
2018-02-15;299.35;301.15;299.0;300.25;82217.55
2018-02-16;299.0;301.8;298.95;301.45;187295.25
2018-02-19;305.95;305.95;300.45;300.45;138552.1
2018-02-20;301.1;302.7;301.1;302.7;54199.6
2018-02-21;300.5;303.45;300.1;302.9;67321.05
2018-02-22;300.05;300.05;299.2;299.9;51247.55
2018-02-23;300.0;301.85;299.95;301.15;49653.7
2018-02-26;301.8;303.2;301.5;302.5;64946.1
2018-02-27;302.4;302.85;300.7;301.85;184950.3
2018-02-28;300.25;301.6;300.15;301.05;67008.25
2018-03-01;300.45;300.9;296.9;297.25;142861.65
2018-03-02;292.15;292.5;291.0;291.1;37950.4
2018-03-05;292.05;293.65;292.05;293.65;93589.35
2018-03-06;296.05;298.7;296.05;298.35;151234.0
2018-03-07;297.35;298.6;296.4;298.6;33321.6
2018-03-08;302.5;303.5;302.5;303.5;1212.0
2018-03-09;303.6;304.5;302.65;302.85;25778.3
2018-03-12;303.9;304.2;303.3;304.2;39173.2
2018-03-13;304.8;305.45;302.6;302.6;100586.15
2018-03-14;303.85;303.85;301.4;302.55;121398.2
2018-03-15;303.3;303.6;300.8;302.4;692431.2
2018-03-16;301.55;301.85;301.0;301.6;98604.4
2018-03-19;299.85;300.45;299.8;300.4;26400.35
2018-03-20;300.05;301.3;300.05;300.95;25578.9
2018-03-21;300.7;301.35;299.85;301.2;35809.2
2018-03-22;296.6;296.6;294.8;294.8;34214.8
2018-03-23;291.8;294.15;291.8;293.7;11716.3
2018-03-26;293.5;295.7;292.0;292.0;25537.95
2018-03-27;295.2;297.2;295.2;295.3;84398.45
2018-03-28;292.7;292.7;292.15;292.15;2924.25
2018-03-29;294.4;296.1;294.4;295.0;19785.65
2018-04-03;287.6;293.85;287.6;293.85;80178.5
2018-04-04;291.15;292.0;291.15;291.5;33795.2
2018-04-05;296.5;297.5;296.25;297.5;619112.0
2018-04-06;296.15;297.05;296.1;297.0;40042.7
2018-04-09;298.35;298.35;296.5;297.15;26741.45
2018-04-10;298.7;299.05;298.7;299.05;37060.5
