Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-03-03;19.98;19.984;19.98;19.984;15987.012
2020-05-25;19.516;19.518;19.506;19.51;48786.738
2020-06-23;19.7;19.7;19.7;19.7;19700.0
2020-06-30;19.776;19.78;19.776;19.78;19779.804
2020-07-16;19.48;19.482;19.48;19.482;4870.404
2020-07-17;19.49;19.49;19.49;19.49;4872.5
2020-07-22;19.618;19.62;19.618;19.62;4747.956
2020-08-24;19.668;19.67;19.668;19.67;130018.614
2020-08-28;19.526;19.528;19.526;19.528;39055.908
2020-09-10;19.572;19.572;19.57;19.57;60256.122
2020-09-28;19.766;19.768;19.766;19.768;1047.624
2020-10-08;19.822;19.826;19.822;19.826;5551.092
2020-10-09;19.86;19.864;19.86;19.864;15116.312
2020-11-13;19.926;19.926;19.924;19.924;9962.094
2020-11-18;19.968;19.97;19.968;19.97;24962.412
2020-11-19;19.964;19.964;19.962;19.962;49905.088
2020-11-26;19.952;19.952;19.952;19.952;9976.0
2020-12-14;19.89;19.89;19.89;19.89;99.45
2020-12-15;19.918;19.918;19.918;19.918;139.426
2020-12-17;19.862;19.862;19.862;19.862;99.31
2020-12-28;19.822;19.822;19.822;19.822;99.11
2020-12-29;19.84;19.84;19.84;19.84;99.2
2021-01-05;19.87;19.874;19.87;19.874;9936.84
2021-01-08;19.844;19.846;19.844;19.846;99229.918
2021-01-15;19.8;19.8;19.8;19.8;158.4
2021-01-19;19.744;19.744;19.744;19.744;296.16
2021-02-05;19.666;19.666;19.666;19.666;5899.8
2021-02-11;19.686;19.69;19.686;19.69;19689.82
2021-02-26;19.298;19.35;19.298;19.332;303927.962
2021-03-05;19.362;19.362;19.362;19.362;18974.76
2021-03-11;19.432;19.432;19.432;19.432;952.168
2021-03-17;19.352;19.352;19.352;19.352;151313.288
2021-04-08;19.386;19.388;19.386;19.388;4459.152
2021-04-16;19.278;19.306;19.278;19.306;964.18
2021-04-19;19.29;19.29;19.234;19.256;95125.12
2021-04-26;19.268;19.282;19.268;19.282;53201.272
2021-04-27;19.264;19.264;19.264;19.264;48795.712
2021-05-14;18.996;18.996;18.996;18.996;37802.04
2021-05-26;19.184;19.184;19.184;19.184;36468.784
2021-06-09;19.22;19.22;19.22;19.22;76072.76
2021-06-16;19.258;19.258;19.258;19.258;77783.062
2021-07-01;19.224;19.224;19.224;19.224;19.224
2021-07-02;19.284;19.284;19.284;19.284;3278.28
2021-07-12;19.16;19.164;19.156;19.156;209079.058
2021-07-14;19.194;19.194;19.192;19.192;67172.02
2021-07-15;19.214;19.214;19.21;19.21;16389.33
2021-07-22;19.332;19.332;19.332;19.332;89603.82
2021-07-28;19.366;19.368;19.366;19.368;38735.906
2021-07-29;19.366;19.37;19.366;19.37;27040.356
2021-08-02;19.406;19.428;19.406;19.428;19881.376
2021-08-03;19.418;19.438;19.418;19.438;21860.696
2021-08-04;19.44;19.44;19.422;19.43;19837.124
2021-08-16;19.424;19.424;19.424;19.424;19.424
2021-08-18;19.416;19.416;19.416;19.416;1164.96
2021-08-30;19.356;19.356;19.356;19.356;169132.728
2021-08-31;19.256;19.256;19.256;19.256;16887.512
2021-09-01;19.246;19.246;19.246;19.246;76.984
2021-09-03;19.27;19.272;19.27;19.272;96353.906
2021-09-07;19.18;19.182;19.166;19.166;83127.888
2021-09-15;19.2;19.2;19.2;19.2;192.0
2021-09-16;19.2;19.2;19.2;19.2;172.8
2021-09-20;19.2;19.2;19.2;19.2;211.2
2021-09-22;19.234;19.24;19.234;19.24;50571.612
2021-09-28;19.03;19.048;19.028;19.048;139461.832
2021-09-29;19.066;19.068;19.066;19.068;15769.156
2021-10-01;19.066;19.066;19.066;19.066;285.99
2021-10-04;19.046;19.05;19.046;19.05;13772.062
2021-10-05;19.082;19.082;19.034;19.034;7263.954
2021-10-06;19.016;19.016;19.016;19.016;380.32
2021-10-08;18.99;18.99;18.99;18.99;9912.78
2021-10-14;18.978;18.978;18.978;18.978;1252.548
2021-10-15;19.036;19.036;19.036;19.036;76.144
2021-10-21;18.96;18.96;18.96;18.96;119011.92
2021-10-22;18.95;18.954;18.95;18.954;63749.06
2021-10-27;19.064;19.064;19.064;19.064;9532.0
2021-10-28;19.032;19.032;19.032;19.032;4948.32
2021-10-29;18.926;18.928;18.926;18.928;88071.898
2021-11-01;18.9;18.9;18.9;18.9;94.5
2021-11-04;19.056;19.06;19.056;19.06;95293.804
2021-11-15;19.124;19.124;19.124;19.124;133.868
2021-11-16;19.122;19.122;19.122;19.122;133.854
2021-11-24;19.06;19.06;19.06;19.06;3411.74
2021-11-25;19.078;19.078;19.078;19.078;538285.77
2021-11-29;19.15;19.15;19.15;19.15;95750.0
2021-11-30;19.238;19.238;19.238;19.238;96190.0
2021-12-01;19.196;19.196;19.196;19.196;1074.976
2021-12-02;19.272;19.272;19.272;19.272;165430.848
2021-12-03;19.29;19.29;19.29;19.29;20003.73
2021-12-06;19.31;19.318;19.31;19.318;40153.95
2021-12-07;19.294;19.298;19.292;19.292;13080.984
2021-12-10;19.048;19.08;19.048;19.08;1105.008
2021-12-15;19.12;19.12;19.12;19.12;267.68
2021-12-22;18.956;18.956;18.956;18.956;85965.46
2021-12-23;18.89;18.892;18.89;18.892;31171.704
2021-12-28;18.87;18.87;18.87;18.87;76442.37
2022-01-03;18.712;18.712;18.712;18.712;318.104
2022-01-07;18.652;18.654;18.652;18.654;1305.698
2022-01-13;18.648;18.648;18.648;18.648;372.96
2022-01-17;18.648;18.648;18.648;18.648;74.592
2022-01-26;18.636;18.636;18.636;18.636;254679.576
2022-01-27;18.644;18.646;18.644;18.646;31847.282
2022-01-28;18.58;18.582;18.58;18.582;9290.918
2022-01-31;18.528;18.59;18.528;18.568;60473.356
2022-02-01;18.512;18.516;18.51;18.516;21641.104
2022-02-02;18.51;18.512;18.51;18.512;49704.548
2022-02-04;18.252;18.252;18.252;18.252;157587.768
2022-02-08;18.11;18.11;18.11;18.11;54.33
2022-02-10;18.162;18.178;18.162;18.178;181791.998
2022-02-15;18.0;18.0;18.0;18.0;90.0
2022-02-28;18.126;18.156;18.126;18.154;47128.4
2022-03-01;18.608;18.608;18.608;18.608;260.512
2022-03-14;18.0;18.0;17.97;17.97;278320.02
2022-03-15;18.008;18.008;18.008;18.008;126.056
2022-03-16;17.952;17.952;17.952;17.952;1148.928
2022-03-18;17.96;17.96;17.96;17.96;4992.88
2022-03-21;17.872;17.898;17.872;17.898;94391.664
