Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-11-10;10.764;10.798;10.76;10.798;7369.848
2020-11-11;10.908;11.0;10.908;11.0;11467.2
2020-11-12;11.004;11.03;11.004;11.016;18137.02
2020-11-16;10.99;11.098;10.968;11.084;118921.7
2020-11-17;11.06;11.072;11.0;11.044;70777.444
2020-11-18;11.022;11.052;11.022;11.04;101697.48
2020-11-19;11.0;11.052;11.0;11.052;5405.732
2020-11-20;11.032;11.108;11.032;11.108;21846.476
2020-11-23;11.176;11.176;11.12;11.138;29138.14
2020-11-24;11.198;11.234;11.198;11.224;35989.38
2020-11-25;11.164;11.17;11.142;11.142;23720.4
2020-11-26;11.166;11.212;11.166;11.212;13998.9
2020-11-27;11.16;11.19;11.16;11.19;8947.8
2020-11-30;11.15;11.222;11.15;11.22;136920.284
2020-12-01;11.246;11.288;11.24;11.24;119185.094
2020-12-02;11.168;11.216;11.15;11.15;39846.07
2020-12-03;11.13;11.13;11.092;11.106;51226.35
2020-12-04;11.14;11.176;11.12;11.176;107506.944
2020-12-07;11.156;11.174;11.11;11.158;40592.908
2020-12-08;11.19;11.238;11.168;11.238;55414.46
2020-12-09;11.28;11.3;11.276;11.276;27759.052
2020-12-10;11.274;11.274;11.178;11.178;113784.67
2020-12-11;11.198;11.198;11.12;11.182;13750.72
2020-12-14;11.196;11.196;11.196;11.196;11196.0
2020-12-15;11.226;11.264;11.214;11.264;47486.4
2020-12-16;11.358;11.392;11.358;11.376;42076.36
2020-12-17;11.414;11.414;11.392;11.392;22645.818
2020-12-18;11.418;11.434;11.412;11.434;59915.698
2020-12-21;11.188;11.226;11.188;11.226;21116.262
2020-12-22;11.352;11.352;11.352;11.352;454.08
2020-12-28;11.686;11.718;11.678;11.718;41636.42
2020-12-29;11.774;11.798;11.746;11.746;39463.3
2020-12-30;11.76;11.792;11.76;11.78;25550.072
2021-01-04;11.864;11.904;11.81;11.81;231816.888
2021-01-05;11.83;11.83;11.782;11.782;22712.13
2021-01-06;11.83;12.09;11.83;12.09;76420.932
2021-01-07;12.16;12.22;12.144;12.22;37736.346
2021-01-08;12.35;12.412;12.316;12.408;37911.204
2021-01-11;12.296;12.414;12.248;12.358;60801.72
2021-01-13;12.294;12.336;12.294;12.336;40664.86
2021-01-14;12.256;12.276;12.24;12.274;27084.762
2021-01-15;12.206;12.232;12.182;12.2;53953.68
2021-01-18;12.078;12.086;12.05;12.076;22137.22
2021-01-19;12.238;12.256;12.238;12.256;8870.644
2021-01-20;12.222;12.262;12.222;12.262;27715.986
2021-01-21;12.318;12.318;12.238;12.238;10712.522
2021-01-22;12.106;12.106;12.106;12.106;5338.746
2021-01-25;12.134;12.134;12.046;12.08;8098.86
2021-01-26;12.068;12.068;12.06;12.06;6105.672
2021-01-27;12.026;12.026;11.776;11.868;77264.438
2021-01-28;11.65;11.93;11.602;11.93;57825.4
2021-01-29;11.804;11.804;11.804;11.804;1180.4
2021-02-01;11.806;11.866;11.806;11.85;22846.984
2021-02-02;11.956;11.956;11.95;11.95;4648.904
2021-02-03;12.036;12.048;12.036;12.048;5837.64
2021-02-04;12.006;12.01;11.972;11.972;37744.648
2021-02-05;12.036;12.068;12.03;12.03;25912.9
2021-02-08;12.06;12.082;12.06;12.07;47993.448
2021-02-09;12.114;12.114;12.048;12.052;9141.394
2021-02-10;12.088;12.088;12.082;12.088;6829.63
2021-02-11;12.05;12.062;12.036;12.036;16601.018
2021-02-12;12.05;12.05;12.05;12.05;2651.0
2021-02-15;12.082;12.128;12.058;12.128;41932.262
2021-02-16;12.112;12.134;12.1;12.134;24119.512
2021-02-17;12.078;12.09;12.078;12.086;5511.616
2021-02-18;11.888;11.888;11.888;11.888;7132.8
2021-02-19;11.956;12.062;11.956;12.062;2042.06
2021-02-22;11.956;11.986;11.954;11.986;4965.34
2021-02-23;11.91;11.922;11.91;11.922;7746.9
2021-02-24;11.922;12.026;11.922;12.026;14327.2
2021-02-25;12.1;12.118;12.086;12.086;46579.662
2021-03-01;12.056;12.072;12.044;12.072;4654.112
2021-03-02;12.1;12.136;12.1;12.106;59323.758
2021-03-03;12.104;12.126;12.05;12.05;123047.352
2021-03-04;12.046;12.046;11.956;12.002;31466.132
2021-03-05;11.912;12.004;11.912;12.004;10838.272
2021-03-08;12.016;12.078;12.016;12.078;38970.48
2021-03-10;12.27;12.336;12.27;12.316;3554.744
2021-03-11;12.42;12.42;12.384;12.408;115680.692
2021-03-12;12.42;12.424;12.406;12.424;2732.44
2021-03-15;12.502;12.532;12.502;12.508;40344.81
2021-03-16;12.528;12.554;12.516;12.55;48234.24
2021-03-17;12.516;12.516;12.51;12.51;2527.5
2021-03-18;12.438;12.452;12.438;12.452;49971.82
2021-03-19;12.454;12.512;12.454;12.492;8873.34
2021-03-22;12.492;12.492;12.492;12.492;4896.864
2021-03-23;12.414;12.414;12.414;12.414;6703.56
2021-03-24;12.432;12.504;12.432;12.504;592804.1707
2021-03-26;12.57;12.57;12.57;12.57;20212.56
2021-03-29;12.68;12.68;12.68;12.68;13948.0
2021-03-30;12.76;12.82;12.736;12.82;53762.988
2021-03-31;12.824;12.862;12.824;12.862;11019.808
2021-04-01;12.844;12.924;12.844;12.918;3668.816
2021-04-06;12.932;12.976;12.932;12.97;17152.1
2021-04-07;12.944;12.964;12.944;12.95;18516.42
2021-04-08;13.006;13.016;12.98;13.012;24701.976
2021-04-09;13.1;13.102;13.036;13.102;67199.436
2021-04-12;13.0;13.022;13.0;13.002;27811.92
