Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-06-29;28.76;28.76;28.76;28.76;1438.0
2010-06-30;;;;28.76;
2010-07-01;;;;28.76;
2010-07-02;;;;28.76;
2010-07-05;;;;28.76;
2010-07-06;;;;28.76;
2010-07-07;;;;28.76;
2010-07-08;;;;28.76;
2010-07-09;;;;28.76;
2010-07-12;;;;28.76;
2010-07-13;;;;28.76;
2010-07-14;;;;28.76;
2010-07-15;;;;28.76;
2010-07-16;;;;28.76;
2010-07-19;;;;28.76;
2010-07-20;;;;28.76;
2010-07-21;;;;28.76;
2010-07-22;;;;28.76;
2010-07-23;;;;28.76;
2010-07-26;;;;28.76;
2010-07-27;;;;28.76;
2010-07-28;;;;28.76;
2010-07-29;;;;28.76;
2010-07-30;;;;28.76;
2010-08-02;;;;28.76;
2010-08-03;;;;28.76;
2010-08-04;;;;28.76;
2010-08-05;;;;28.76;
2010-08-06;;;;28.76;
2010-08-09;;;;28.76;
2010-08-10;;;;28.76;
2010-08-11;;;;28.76;
2010-08-12;;;;28.76;
2010-08-13;;;;28.76;
2010-08-16;;;;28.76;
2010-08-17;;;;28.76;
2010-08-18;;;;28.76;
2010-08-19;;;;28.76;
2010-08-20;;;;28.76;
2010-08-23;;;;28.76;
2010-08-24;;;;28.76;
2010-08-25;;;;28.76;
2010-08-26;;;;28.76;
2010-08-27;;;;28.76;
2010-08-30;;;;28.76;
2010-08-31;;;;28.76;
2010-09-01;;;;28.76;
2010-09-02;;;;28.76;
2010-09-03;;;;28.76;
2010-09-06;;;;28.76;
2010-09-07;30.56;30.56;30.56;30.56;916.8
2010-09-08;;;;30.56;
2010-09-09;;;;30.56;
2010-09-10;;;;30.56;
2010-09-13;;;;30.56;
2010-09-14;;;;30.56;
2010-09-15;;;;30.56;
2010-09-16;;;;30.56;
2010-09-17;31.02;31.02;31.02;31.02;139590.0
2010-09-20;;;;31.02;
2010-09-21;;;;31.02;
2010-09-22;;;;31.02;
2010-09-23;;;;31.02;
2010-09-24;30.7;30.7;30.7;30.7;1535.0
2010-09-27;;;;30.7;
2010-09-28;31.15;31.15;31.15;31.15;778.7
2010-09-29;;;;31.15;
2010-09-30;;;;31.15;
2010-10-01;;;;31.15;
2010-10-04;;;;31.15;
2010-10-05;;;;31.15;
2010-10-06;;;;31.15;
2010-10-07;;;;31.15;
2010-10-08;;;;31.15;
2010-10-11;;;;31.15;
2010-10-12;;;;31.15;
2010-10-13;;;;31.15;
2010-10-14;;;;31.15;
2010-10-15;;;;31.15;
2010-10-18;;;;31.15;
2010-10-19;;;;31.15;
2010-10-20;30.84;30.84;30.84;30.84;400.9
2010-10-21;30.77;30.77;30.77;30.77;15385.0
2010-10-22;;;;30.77;
2010-10-25;31.11;31.11;31.11;31.11;2333.3
2010-10-26;;;;31.11;
2010-10-27;;;;31.11;
2010-10-28;;;;31.11;
2010-10-29;;;;31.11;
2010-11-01;;;;31.11;
2010-11-02;31.52;31.52;31.52;31.52;4728.0
2010-11-03;;;;31.52;
2010-11-04;;;;31.52;
2010-11-05;31.96;31.96;31.96;31.96;4794.0
2010-11-08;32.61;32.61;32.61;32.61;978.3
2010-11-09;32.57;32.57;32.57;32.57;977.1
2010-11-10;32.29;32.29;32.29;32.29;419.8
2010-11-11;;;;32.29;
2010-11-12;;;;32.29;
2010-11-15;;;;32.29;
2010-11-16;31.88;31.88;31.85;31.85;1911.9
2010-11-17;;;;31.85;
2010-11-18;32.02;32.02;32.02;32.02;4803.0
2010-11-19;;;;32.02;
2010-11-22;;;;32.02;
2010-11-23;;;;32.02;
2010-11-24;;;;32.02;
2010-11-25;;;;32.02;
2010-11-26;;;;32.02;
2010-11-29;;;;32.02;
2010-11-30;;;;32.02;
2010-12-01;;;;32.02;
2010-12-02;;;;32.02;
2010-12-03;;;;32.02;
2010-12-06;;;;32.02;
2010-12-07;;;;32.02;
2010-12-08;;;;32.02;
2010-12-09;33.05;33.05;33.05;33.05;4627.0
2010-12-10;;;;33.05;
2010-12-13;;;;33.05;
2010-12-14;;;;33.05;
2010-12-15;;;;33.05;
2010-12-16;;;;33.05;
2010-12-17;;;;33.05;
2010-12-20;;;;33.05;
2010-12-21;;;;33.05;
2010-12-22;;;;33.05;
2010-12-23;;;;33.05;
2010-12-27;;;;33.05;
2010-12-28;;;;33.05;
2010-12-29;;;;33.05;
2010-12-30;;;;33.05;
2011-01-03;;;;33.05;
2011-01-04;;;;33.05;
2011-01-05;;;;33.05;
2011-01-06;;;;33.05;
2011-01-07;;;;33.05;
2011-01-10;;;;33.05;
2011-01-11;;;;33.05;
2011-01-12;;;;33.05;
2011-01-13;;;;33.05;
2011-01-14;;;;33.05;
2011-01-17;;;;33.05;
2011-01-18;;;;33.05;
2011-01-19;;;;33.05;
2011-01-20;;;;33.05;
2011-01-21;;;;33.05;
2011-01-24;32.88;32.88;32.88;32.88;32.9
2011-01-25;;;;32.88;
2011-01-26;;;;32.88;
2011-01-27;;;;32.88;
2011-01-28;;;;32.88;
2011-01-31;32.01;32.01;32.01;32.01;11843.7
2011-02-01;;;;32.01;
2011-02-02;32.38;32.38;32.38;32.38;1003.8
2011-02-03;;;;32.38;
2011-02-04;33.21;33.21;33.21;33.21;12287.7
2011-02-07;33.03;33.03;33.03;33.03;990.9
2011-02-08;;;;33.03;
2011-02-09;;;;33.03;
2011-02-10;;;;33.03;
2011-02-11;;;;33.03;
2011-02-14;;;;33.03;
2011-02-15;;;;33.03;
2011-02-16;;;;33.03;
2011-02-17;;;;33.03;
2011-02-18;;;;33.03;
2011-02-21;;;;33.03;
2011-02-22;;;;33.03;
2011-02-23;;;;33.03;
2011-02-24;;;;33.03;
2011-02-25;;;;33.03;
2011-02-28;;;;33.03;
2011-03-01;;;;33.03;
2011-03-02;;;;33.03;
2011-03-03;;;;33.03;
2011-03-04;;;;33.03;
2011-03-07;31.89;31.89;31.89;31.89;3189.0
2011-03-08;;;;31.89;
2011-03-09;;;;31.89;
2011-03-10;;;;31.89;
2011-03-11;;;;31.89;
2011-03-14;30.79;30.79;30.61;30.75;6451.1
2011-03-15;;;;30.75;
2011-03-16;;;;30.75;
2011-03-17;;;;30.75;
2011-03-18;;;;30.75;
2011-03-21;;;;30.75;
2011-03-22;30.19;30.44;30.19;30.44;758.5
