Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2014-04-29;24.41;24.41;24.41;24.41;3661.5
2014-04-30;;;;24.41;
2014-05-02;;;;24.41;
2014-05-05;;;;24.41;
2014-05-06;;;;24.41;
2014-05-07;;;;24.41;
2014-05-08;;;;24.41;
2014-05-09;;;;24.41;
2014-05-12;;;;24.41;
2014-05-13;;;;24.41;
2014-05-14;;;;24.41;
2014-05-15;24.955;24.955;24.955;24.955;6238.75
2014-05-16;;;;24.955;
2014-05-19;;;;24.955;
2014-05-20;24.515;24.515;24.515;24.515;1470.9
2014-05-21;24.38;24.38;24.38;24.38;6046.24
2014-05-22;;;;24.38;
2014-05-23;;;;24.38;
2014-05-26;;;;24.38;
2014-05-27;;;;24.38;
2014-05-28;25.0;25.0;25.0;25.0;250.0
2014-05-29;25.205;25.205;25.205;25.205;504.1
2014-05-30;;;;25.205;
2014-06-02;25.03;25.03;25.03;25.03;750.9
2014-06-03;;;;25.03;
2014-06-04;;;;25.03;
2014-06-05;;;;25.03;
2014-06-06;;;;25.03;
2014-06-09;;;;25.03;
2014-06-10;;;;25.03;
2014-06-11;25.27;25.405;25.225;25.405;41685.25
2014-06-12;25.2;25.21;25.2;25.21;30247.0
2014-06-13;;;;25.21;
2014-06-16;25.37;25.37;25.07;25.07;30264.0
2014-06-17;;;;25.07;
2014-06-18;24.74;24.74;24.74;24.74;346.36
2014-06-19;;;;24.74;
2014-06-20;;;;24.74;
2014-06-23;25.205;25.235;25.205;25.235;29639.275
2014-06-24;;;;25.235;
2014-06-25;;;;25.235;
2014-06-26;;;;25.235;
2014-06-27;25.175;25.3;25.07;25.07;21897.175
2014-06-30;;;;25.07;
2014-07-01;;;;25.07;
2014-07-02;;;;25.07;
2014-07-03;;;;25.07;
2014-07-04;;;;25.07;
2014-07-07;;;;25.07;
2014-07-08;;;;25.07;
2014-07-09;;;;25.07;
2014-07-10;;;;25.07;
2014-07-11;;;;25.07;
2014-07-14;;;;25.07;
2014-07-15;25.245;25.245;25.245;25.245;504.9
2014-07-16;;;;25.245;
2014-07-17;;;;25.245;
2014-07-18;25.57;25.57;25.57;25.57;6392.5
2014-07-21;25.67;25.67;25.67;25.67;3850.5
2014-07-22;;;;25.67;
2014-07-23;26.185;26.205;26.185;26.205;6262.215
2014-07-24;26.14;26.14;26.14;26.14;52280.0
2014-07-25;;;;26.14;
2014-07-28;26.01;26.01;26.01;26.01;52020.0
2014-07-29;;;;26.01;
2014-07-30;;;;26.01;
2014-07-31;26.05;26.05;26.05;26.05;3985.65
2014-08-01;25.5;25.61;25.5;25.61;56320.0
2014-08-04;;;;25.61;
2014-08-05;;;;25.61;
2014-08-06;;;;25.61;
2014-08-07;;;;25.61;
2014-08-08;24.945;24.945;24.945;24.945;1496.7
2014-08-11;25.235;25.235;25.215;25.215;4415.825
2014-08-12;;;;25.215;
2014-08-13;;;;25.215;
2014-08-14;;;;25.215;
2014-08-18;;;;25.215;
2014-08-19;26.26;26.26;26.26;26.26;1313.0
2014-08-20;;;;26.26;
2014-08-21;;;;26.26;
2014-08-22;;;;26.26;
2014-08-25;;;;26.26;
2014-08-26;26.495;26.495;26.495;26.495;1324.75
2014-08-27;26.8;26.8;26.8;26.8;6539.2
2014-08-28;;;;26.8;
2014-08-29;;;;26.8;
2014-09-01;26.97;26.97;26.97;26.97;997.89
2014-09-02;;;;26.97;
2014-09-03;27.055;27.055;27.055;27.055;2029.125
2014-09-04;;;;27.055;
2014-09-05;27.205;27.215;27.205;27.215;6475.17
2014-09-08;27.165;27.165;27.165;27.165;1901.55
2014-09-09;27.245;27.245;27.245;27.245;299.695
2014-09-10;26.64;26.645;26.64;26.645;3330.125
