Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-06-24;4.92;4.92;4.8425;4.8425;5157.125
2020-06-25;4.8565;4.8565;4.8565;4.8565;2428.25
2020-06-26;4.8995;4.8995;4.89;4.89;611.4875
2020-06-29;4.8395;4.8395;4.802;4.802;2899.95
2020-06-30;4.8485;4.871;4.8485;4.871;5917.87
2020-07-01;4.92;4.92;4.92;4.92;492.0
2020-07-02;4.9555;4.9555;4.9555;4.9555;2477.75
2020-07-06;5.027;5.027;5.008;5.012;13815.37
2020-07-07;5.035;5.035;4.9925;4.9925;18679.466
2020-07-08;4.985;4.985;4.97;4.97;4228.25
2020-07-09;4.9875;4.995;4.95;4.95;30382.635
2020-07-10;4.965;4.992;4.952;4.992;11189.4945
2020-07-13;5.054;5.054;5.044;5.049;13219.841
2020-07-14;5.02;5.02;4.9335;4.9345;128976.066
2020-07-15;5.022;5.045;5.022;5.045;21505.666
2020-07-16;5.022;5.022;5.022;5.022;10546.2
2020-07-17;5.035;5.037;5.021;5.027;19274.914
2020-07-20;5.01;5.022;5.01;5.016;6019.2
2020-07-22;5.02;5.02;5.02;5.02;4518.0
2020-07-23;5.067;5.071;5.057;5.057;45617.218
2020-07-27;4.934;4.934;4.928;4.928;616.6
2020-07-29;4.9035;4.9335;4.9035;4.9335;13166.395
2020-07-30;4.9;4.91;4.86;4.86;6719.75
2020-07-31;4.9025;4.9025;4.9025;4.9025;122.5625
2020-08-03;4.9695;4.9705;4.9695;4.9705;9940.778
2020-08-05;5.0;5.0;4.9945;4.9945;25222.5
2020-08-11;5.091;5.091;5.07;5.07;27889.2
2020-08-12;5.085;5.089;5.076;5.076;8902.771
2020-08-13;5.075;5.076;5.075;5.076;6750.1
2020-08-14;5.051;5.069;5.051;5.06;37654.544
2020-08-17;5.068;5.073;5.068;5.072;28046.275
2020-08-19;5.065;5.065;5.065;5.065;126.625
2020-08-24;5.145;5.153;5.145;5.153;5151.186
2020-08-25;5.157;5.159;5.157;5.159;5158.358
2020-08-26;5.178;5.178;5.178;5.178;7767.0
2020-08-27;5.207;5.207;5.201;5.201;26007.332
2020-08-28;5.19;5.19;5.19;5.19;129.75
2020-08-31;5.195;5.195;5.187;5.187;3632.5
2020-09-01;5.167;5.167;5.167;5.167;10334.0
2020-09-02;5.292;5.292;5.289;5.289;5290.04
2020-09-03;5.321;5.326;5.22;5.226;13127.192
2020-09-04;5.176;5.19;5.176;5.19;10072.025
2020-09-07;5.107;5.111;5.104;5.104;12506.788
2020-09-08;5.087;5.091;5.046;5.046;20869.813
2020-09-09;5.086;5.107;5.086;5.107;10194.915
2020-09-10;5.147;5.147;5.147;5.147;3088.2
2020-09-11;5.099;5.099;5.044;5.056;80184.505
2020-09-14;5.089;5.108;5.076;5.078;15581.93
2020-09-15;5.145;5.145;5.145;5.145;87.465
2020-09-16;5.135;5.135;5.134;5.134;2053.815
2020-09-17;5.09;5.09;5.056;5.056;12044.31
2020-09-18;5.08;5.084;5.076;5.084;5330.6
2020-09-21;4.97;4.97;4.9555;4.9555;17606.95
2020-09-23;5.091;5.091;5.067;5.067;7283.105
2020-09-24;4.9725;4.988;4.9725;4.988;4189.374
2020-09-25;4.976;4.977;4.976;4.977;3234.828
2020-09-28;5.116;5.117;5.116;5.117;1688.394
2020-09-29;5.107;5.107;5.103;5.103;5104.512
2020-10-01;5.169;5.169;5.169;5.169;5.169
2020-10-06;5.155;5.155;5.14;5.141;19384.625
2020-10-07;5.148;5.165;5.13;5.165;44073.776
2020-10-09;5.21;5.21;5.209;5.209;1875.452
2020-10-14;5.311;5.329;5.305;5.308;13144.8
2020-10-15;5.249;5.249;5.219;5.229;49766.003
2020-10-19;5.275;5.275;5.275;5.275;791.25
2020-10-20;5.203;5.203;5.203;5.203;910.525
2020-10-21;5.154;5.154;5.154;5.154;989.568
2020-10-22;5.169;5.169;5.169;5.169;516.9
2020-10-26;5.155;5.155;5.107;5.107;13249.98
2020-10-28;5.05;5.06;4.987;4.987;18886.32
2020-10-29;4.976;5.017;4.976;5.017;9200.56
2020-11-02;5.046;5.075;5.03;5.03;30359.835
2020-11-03;5.089;5.111;5.089;5.111;2040.0
2020-11-04;5.125;5.125;5.125;5.125;5125.0
2020-11-05;5.253;5.283;5.253;5.283;23198.1
2020-11-06;5.243;5.33;5.243;5.26;543856.341
2020-11-09;5.314;5.354;5.314;5.354;26326.17
2020-11-10;5.355;5.355;5.352;5.355;476.52
2020-11-11;5.435;5.437;5.42;5.435;68772.963
2020-11-12;5.407;5.411;5.394;5.394;14100.587
