Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-07-28;29.965;29.965;29.965;29.965;449475.0
2022-11-15;29.505;29.52;29.495;29.51;809147.085
2022-11-24;29.595;29.595;29.595;29.595;24060.735
2022-12-08;29.67;29.67;29.67;29.67;8901.0
2022-12-13;29.6;29.6;29.6;29.6;16635.2
2022-12-22;29.575;29.575;29.575;29.575;16621.15
2022-12-29;29.585;29.585;29.585;29.585;13313.25
2023-01-19;29.695;29.695;29.66;29.67;810968.035
2023-01-23;29.645;29.645;29.645;29.645;681.835
2023-01-24;29.68;29.68;29.68;29.68;1009.12
2023-02-09;29.72;29.72;29.72;29.72;386.36
2023-03-06;29.575;29.575;29.575;29.575;1035.125
2023-03-07;29.61;29.615;29.58;29.58;764685.44
2023-03-08;29.575;29.59;29.565;29.57;818648.83
2023-03-10;29.585;29.585;29.585;29.585;10502.675
2023-03-13;29.705;29.705;29.66;29.66;712200.0
2023-03-24;29.71;29.71;29.71;29.71;237680.0
2023-03-31;29.71;29.79;29.71;29.735;232375.4
2023-04-03;29.73;29.75;29.73;29.75;887175.745
2023-04-04;29.77;29.77;29.73;29.76;2427080.76
2023-04-05;29.715;29.715;29.715;29.715;7488.18
2023-04-06;29.785;29.785;29.785;29.785;3008.285
2023-04-11;29.755;29.755;29.755;29.755;35706.0
2023-04-12;29.77;29.825;29.745;29.765;2935735.67
2023-04-18;29.735;29.735;29.72;29.72;1428706.56
2023-04-19;29.665;29.665;29.665;29.665;830.62
2023-04-20;29.72;29.725;29.72;29.725;850657.955
2023-04-27;29.76;29.76;29.76;29.76;2976.0
2023-05-02;29.71;29.71;29.71;29.71;1396.37
2023-05-08;29.765;29.84;29.765;29.84;13467.43
2023-05-10;29.82;29.83;29.815;29.82;850292.74
2023-05-12;29.78;29.78;29.78;29.78;1191.2
2023-05-15;29.745;29.745;29.745;29.745;1011.33
2023-05-19;29.76;29.76;29.76;29.76;4285.44
2023-05-22;29.74;29.74;29.725;29.725;5620.05
2023-05-23;29.735;29.735;29.735;29.735;3270.85
2023-05-25;29.79;29.79;29.79;29.79;5332.41
2023-05-29;29.79;29.79;29.79;29.79;446.85
2023-06-07;29.755;29.755;29.755;29.755;803.385
2023-06-12;29.825;29.825;29.825;29.825;6293.075
2023-06-13;29.815;29.815;29.815;29.815;1341.675
2023-06-20;29.74;29.74;29.74;29.74;237.92
2023-06-28;29.775;29.775;29.775;29.775;2977.5
2023-06-30;29.77;29.77;29.77;29.77;803.79
2023-07-11;29.805;29.805;29.805;29.805;3755.43
2023-07-13;29.89;29.89;29.89;29.89;508.13
2023-07-14;29.87;29.9;29.87;29.9;25459.8
2023-07-21;29.92;30.095;29.92;30.095;373032.365
2023-09-07;30.04;30.04;30.04;30.04;12016.0
2023-09-21;30.065;30.08;30.06;30.08;101027.625
2023-09-22;30.0;30.0;30.0;30.0;3000.0
2023-09-25;30.1;30.1;30.085;30.095;820304.55
2023-09-27;30.1;30.1;30.1;30.1;150048.5
2023-09-29;30.125;30.125;30.125;30.125;25033.875
2023-10-02;30.11;30.11;30.11;30.11;347469.4
2023-10-06;30.115;30.12;30.095;30.115;673724.865
2023-10-11;30.18;30.18;30.18;30.18;2099924.4
2023-10-12;30.12;30.12;30.12;30.12;5602.32
2023-10-13;30.155;30.155;30.155;30.155;60310.0
2023-10-17;30.105;30.105;30.105;30.105;4335.12
2023-10-19;30.065;30.065;30.065;30.065;136705.555
2023-10-24;30.13;30.13;30.13;30.13;5122.1
2023-10-27;30.135;30.135;30.135;30.135;2682.015
2023-10-31;30.175;30.175;30.175;30.175;1448.4
2023-11-03;30.265;30.265;30.265;30.265;14860.115
2023-11-10;30.235;30.235;30.235;30.235;2963.03
