Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2009-05-26;87.92;87.92;87.92;87.92;87.9
2009-05-27;85.7;87.33;85.4;87.33;518.9
2009-05-28;85.0;85.0;80.19;80.19;246953.9
2009-05-29;78.28;78.28;75.0;75.72;228987.4
2009-06-01;;;;75.72;
2009-06-02;72.94;72.94;70.9;72.55;5511.2
2009-06-03;74.28;78.3;74.2;78.3;6558.8
2009-06-04;78.96;84.62;78.96;80.38;989767.4
2009-06-05;77.7;80.98;77.3;78.72;958894.0
2009-06-08;81.0;82.34;81.0;82.34;3265.5
2009-06-09;79.92;82.1;79.92;82.1;179938.5
2009-06-10;78.14;78.53;78.14;78.53;100816.9
2009-06-11;81.38;81.38;78.5;79.15;265373.0
2009-06-12;76.35;77.23;76.35;77.15;277786.0
2009-06-15;75.7;75.7;75.7;75.7;7948.5
2009-06-16;74.0;74.0;71.88;72.35;45997.0
2009-06-17;74.16;76.0;74.16;74.5;34035.4
2009-06-18;71.58;72.6;71.58;72.6;9693.9
2009-06-19;73.95;73.95;73.95;73.95;2218.5
2009-06-22;77.56;79.56;77.0;79.56;25978.0
2009-06-23;78.7;79.95;78.7;79.3;723938.4
2009-06-24;81.1;81.1;81.1;81.1;10137.5
2009-06-25;81.1;81.1;81.1;81.1;567.7
2009-06-26;;;;81.1;
2009-06-29;77.79;78.59;77.7;78.59;6220.9
2009-06-30;;;;78.59;
2009-07-01;82.04;82.04;80.47;80.47;740176.6
2009-07-02;82.09;84.15;82.09;84.15;16986.0
2009-07-03;85.1;85.1;85.1;85.1;6808.0
2009-07-06;91.18;92.48;89.77;89.77;310028.3
2009-07-07;90.85;90.85;90.85;90.85;908.5
2009-07-08;92.27;92.93;92.27;92.73;297942.8
2009-07-09;92.75;92.75;89.97;92.01;285652.9
2009-07-10;92.51;94.3;92.51;92.98;14665.9
2009-07-13;94.51;96.14;94.29;95.86;872167.1
2009-07-14;95.8;95.8;90.29;92.25;1089323.4
2009-07-15;89.55;90.09;87.58;90.09;270572.2
2009-07-16;92.95;93.55;87.0;87.0;839758.1
2009-07-17;85.46;85.46;82.47;82.47;510179.0
2009-07-20;82.29;84.3;79.73;84.3;14818.1
2009-07-21;83.29;83.29;81.22;81.8;257380.7
2009-07-22;81.22;81.22;77.99;77.99;242855.7
2009-07-23;78.79;81.5;78.79;81.5;8312.2
2009-07-24;80.68;83.29;80.68;81.8;23718.0
2009-07-27;81.91;82.53;81.74;82.53;5898.7
2009-07-28;81.43;85.25;81.11;85.25;5762.7
2009-07-29;85.62;88.36;85.62;88.36;37219.0
2009-07-30;88.71;89.4;87.4;87.6;33413.6
2009-07-31;84.19;86.5;83.71;86.44;54260.3
2009-08-03;85.0;85.0;76.78;77.17;1479146.1
2009-08-04;75.48;76.78;75.48;76.78;8291.7
2009-08-05;76.45;76.45;74.4;74.4;511284.5
2009-08-06;74.92;80.18;74.0;80.18;202552.4
2009-08-07;79.48;81.27;78.85;79.38;764139.2
2009-08-10;81.7;81.7;81.5;81.7;7185.6
2009-08-11;82.0;85.8;81.92;85.6;451477.9
2009-08-12;85.33;85.7;84.4;84.4;88636.1
2009-08-13;84.38;86.85;84.38;84.9;273271.8
2009-08-14;86.46;88.04;86.46;88.04;13947.5
2009-08-17;89.28;91.44;89.28;91.29;203914.2
2009-08-18;90.64;92.29;90.43;92.29;301758.0
2009-08-19;93.28;93.8;91.78;92.0;678448.5
2009-08-20;90.77;93.18;90.77;93.18;3969.3
2009-08-21;93.36;93.36;92.88;92.88;4928.1
2009-08-24;95.16;95.16;93.29;93.62;574434.0
2009-08-25;91.05;91.05;90.96;90.96;18664.8
2009-08-26;94.0;94.8;94.0;94.24;1164595.5
2009-08-27;94.0;96.99;94.0;96.99;21308.6
2009-08-28;94.67;96.83;94.5;96.83;13012.7
2009-08-31;97.94;99.65;97.47;98.39;18919.2
2009-09-01;98.4;101.19;98.33;101.19;640275.8
2009-09-02;102.25;102.51;100.26;100.26;23624.0
2009-09-03;100.9;104.47;100.4;104.47;321997.4
2009-09-04;107.94;111.92;107.6;108.5;566111.5
2009-09-07;107.49;107.49;104.21;105.88;29222.1
2009-09-08;104.51;104.6;99.11;101.41;118037.8
2009-09-09;100.25;100.25;96.32;96.41;9815.3
2009-09-10;97.75;101.79;97.75;99.22;26377.7
2009-09-11;90.68;90.68;86.39;86.75;645487.9
2009-09-14;92.54;94.36;86.76;86.76;731114.8
2009-09-15;86.05;88.0;83.8;86.66;738643.5
2009-09-16;85.3;85.47;82.98;83.0;85311.6
2009-09-17;82.12;82.12;78.03;79.58;412295.9
2009-09-18;82.0;83.57;80.98;83.57;199336.5
2009-09-21;82.16;82.9;79.95;81.9;73586.7
2009-09-22;81.73;83.0;79.67;82.27;57953.2
2009-09-23;79.75;82.11;78.07;79.25;461952.5
2009-09-24;77.56;78.09;76.0;77.46;284067.1
2009-09-25;75.8;76.61;73.86;76.61;298276.9
2009-09-28;74.81;76.95;74.23;76.27;131610.8
2009-09-29;77.5;80.0;75.46;75.46;397765.6
2009-09-30;75.46;78.25;75.04;75.8;93347.9
2009-10-01;77.6;82.0;76.98;82.0;251456.3
2009-10-02;83.43;84.8;77.72;80.0;237798.2
2009-10-05;77.77;78.84;73.0;73.69;448296.8
