Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-04-20;5.12;5.12;5.12;5.12;15053.0
2007-04-23;5.25;5.26;5.2;5.21;16705.0
2007-04-24;5.2;5.23;5.11;5.23;8569.0
2007-04-25;5.09;5.2;5.09;5.2;4902.0
2007-04-26;5.23;5.23;5.23;5.23;329.0
2007-04-27;5.24;5.28;5.24;5.28;1219.0
2007-04-30;5.3;5.31;5.3;5.3;10631.0
2007-05-02;5.32;5.43;5.32;5.43;5012.0
2007-05-03;5.43;5.43;5.43;5.43;5.0
2007-05-04;5.43;5.43;5.31;5.35;7091.0
2007-05-07;5.32;5.32;5.24;5.25;11616.0
2007-05-08;5.2;5.29;5.2;5.29;6046.0
2007-05-09;5.33;5.33;5.33;5.33;4264.0
2007-05-10;;;;5.33;
2007-05-11;5.39;5.55;5.39;5.54;10030.0
2007-05-14;5.61;5.61;5.52;5.59;3894.0
2007-05-15;5.6;5.6;5.51;5.515;3370.0
2007-05-16;5.515;5.55;5.515;5.55;1664.0
2007-05-17;;;;5.55;
2007-05-18;5.6;5.6;5.6;5.6;4609.0
2007-05-21;5.625;5.625;5.62;5.62;3093.0
2007-05-22;5.65;5.65;5.65;5.65;989.0
2007-05-23;5.66;5.66;5.655;5.655;12706.0
2007-05-24;5.655;5.74;5.655;5.74;17762.0
2007-05-25;5.835;5.835;5.825;5.83;3701.0
2007-05-28;;;;5.83;
2007-05-29;5.83;5.83;5.755;5.755;105544.0
2007-05-30;5.85;5.85;5.705;5.705;4289.0
2007-05-31;5.705;5.825;5.705;5.76;11487.0
2007-06-01;5.785;5.8;5.78;5.8;45067.0
2007-06-04;;;;5.8;
2007-06-05;5.76;5.855;5.76;5.855;50333.0
2007-06-06;5.9;6.0;5.79;5.79;42545.0
2007-06-07;5.875;5.875;5.875;5.875;1763.0
2007-06-08;5.86;5.86;5.8;5.8;9281.0
2007-06-11;5.81;5.81;5.75;5.75;10724.0
2007-06-12;;;;5.75;
2007-06-13;5.6;5.71;5.6;5.6;37796.0
2007-06-14;5.75;5.75;5.75;5.75;3001.0
2007-06-15;5.88;5.88;5.78;5.78;35.0
2007-06-18;5.88;5.88;5.84;5.84;10452.0
2007-06-19;5.85;5.855;5.82;5.855;20458.0
2007-06-20;5.855;5.855;5.735;5.785;11853.0
2007-06-21;5.77;5.77;5.76;5.76;35.0
2007-06-22;5.695;5.695;5.695;5.695;6.0
2007-06-25;5.6;5.6;5.6;5.6;213.0
2007-06-26;5.68;5.68;5.68;5.68;1823.0
2007-06-27;5.69;5.69;5.69;5.69;97.0
2007-06-28;5.69;5.69;5.69;5.69;4324.0
2007-06-29;5.76;5.805;5.76;5.805;4055.0
2007-07-02;5.885;5.885;5.885;5.885;1177.0
2007-07-03;5.6;5.835;5.6;5.83;4667.0
2007-07-04;;;;5.83;
2007-07-05;5.81;5.82;5.81;5.81;7912.0
2007-07-06;5.855;5.88;5.855;5.88;3078.0
2007-07-09;5.945;5.945;5.875;5.92;20437.0
2007-07-10;5.95;5.95;5.92;5.92;1069.0
2007-07-11;5.94;5.95;5.94;5.95;4161.0
2007-07-12;;;;5.95;
2007-07-13;;;;5.95;
2007-07-16;5.92;5.92;5.855;5.855;6622.0
2007-07-17;;;;5.855;
2007-07-18;;;;5.855;
2007-07-19;5.855;5.855;5.8;5.8;6435.0
2007-07-20;5.925;5.925;5.925;5.925;592.0
2007-07-23;5.84;5.84;5.84;5.84;642.0
2007-07-24;;;;5.84;
2007-07-25;;;;5.84;
2007-07-26;5.795;5.8;5.795;5.8;6176.0
2007-07-27;5.755;5.755;5.755;5.755;2014.0
2007-07-30;5.755;5.89;5.755;5.85;17481.0
2007-07-31;5.93;5.93;5.93;5.93;2965.0
2007-08-01;5.985;5.985;5.985;5.985;8379.0
2007-08-02;5.93;5.93;5.93;5.93;1482.0
2007-08-03;;;;5.93;
2007-08-06;5.93;5.93;5.77;5.77;10217.0
2007-08-07;5.745;5.745;5.745;5.745;862.0
2007-08-08;;;;5.745;
2007-08-09;;;;5.745;
2007-08-10;5.83;5.89;5.78;5.78;23344.0
2007-08-13;5.79;5.79;5.78;5.78;12793.0
2007-08-14;5.78;5.78;5.78;5.78;578.0
2007-08-16;;;;5.78;
2007-08-17;5.53;5.53;5.47;5.47;8343.0
2007-08-20;;;;5.47;
2007-08-21;;;;5.47;
2007-08-22;5.575;5.575;5.575;5.575;2230.0
2007-08-23;5.58;5.67;5.58;5.67;1176.0
2007-08-24;;;;5.67;
2007-08-27;5.625;5.625;5.62;5.62;2098.0
2007-08-28;;;;5.62;
2007-08-29;5.62;5.62;5.62;5.62;2810.0
2007-08-30;5.73;5.73;5.73;5.73;1719.0
2007-08-31;5.76;5.76;5.76;5.76;6336.0
2007-09-03;5.75;5.75;5.75;5.75;1092.0
2007-09-04;5.87;5.875;5.87;5.875;6392.0
2007-09-05;;;;5.875;
2007-09-06;;;;5.875;
2007-09-07;5.785;5.785;5.785;5.785;960.0
2007-09-10;5.825;5.86;5.815;5.815;39797.0
2007-09-11;5.895;5.895;5.84;5.84;4681.0
2007-09-12;5.855;5.92;5.855;5.92;17035.0
2007-09-13;5.96;6.0;5.96;5.995;24108.0
2007-09-14;6.07;6.085;6.07;6.085;2918.0
2007-09-17;6.12;6.16;6.11;6.16;26457.0
2007-09-18;6.16;6.19;6.135;6.19;6792.0
2007-09-19;6.055;6.055;6.055;6.055;67.0
2007-09-20;;;;6.055;
2007-09-21;5.98;5.98;5.98;5.98;173.0
2007-09-24;;;;5.98;
2007-09-25;5.98;5.98;5.9;5.9;739.0
2007-09-26;5.855;5.885;5.825;5.825;5944.0
2007-09-27;5.89;5.99;5.89;5.99;4143.0
2007-09-28;6.03;6.03;6.0;6.03;16453.0
2007-10-01;5.98;5.98;5.91;5.97;9364.0
2007-10-02;;;;5.97;
2007-10-03;5.77;5.77;5.77;5.77;58.0
2007-10-04;5.81;5.825;5.8;5.8;6935.0
2007-10-05;5.845;5.845;5.845;5.845;783.0
2007-10-08;5.86;5.86;5.86;5.86;879.0
2007-10-09;5.85;5.85;5.85;5.85;585.0
2007-10-10;5.91;5.92;5.91;5.91;12039.0
2007-10-11;5.89;5.89;5.89;5.89;5890.0
2007-10-12;6.0;6.0;6.0;6.0;198.0
2007-10-15;5.94;5.94;5.895;5.92;6826.0
2007-10-16;5.94;6.05;5.94;5.995;4321.0
2007-10-17;5.975;5.975;5.95;5.95;2684.0
2007-10-18;6.0;6.025;6.0;6.025;23352.0
2007-10-19;6.04;6.04;6.035;6.035;6259.0
2007-10-22;;;;6.035;
2007-10-23;;;;6.035;
2007-10-24;5.955;6.0;5.955;6.0;2331.0
2007-10-25;5.985;5.985;5.985;5.985;1197.0
2007-10-26;6.04;6.075;6.04;6.075;5666.0
2007-10-29;6.14;6.14;6.125;6.14;31129.0
2007-10-30;6.16;6.16;6.12;6.12;9670.0
2007-10-31;6.115;6.115;6.075;6.075;2017.0
2007-11-01;6.17;6.17;6.17;6.17;3079.0
2007-11-02;6.19;6.19;6.19;6.19;5261.0
2007-11-05;6.225;6.225;6.185;6.185;6191.0
2007-11-06;6.27;6.27;6.235;6.235;11212.0
2007-11-07;6.345;6.345;6.34;6.34;919.0
2007-11-08;6.33;6.33;6.33;6.33;190.0
2007-11-09;;;;6.33;
