Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-04-03;10.378;10.378;10.378;10.378;19718.2
2019-04-24;10.428;10.45;10.428;10.45;49700.1
2019-04-26;10.452;10.452;10.452;10.452;1045.2
2019-04-29;10.45;10.45;10.45;10.45;3448.5
2019-05-06;10.45;10.45;10.45;10.45;78688.5
2019-05-23;10.376;10.376;10.376;10.376;31.1
2019-05-29;10.392;10.392;10.392;10.392;19734.4
2019-06-10;10.49;10.49;10.49;10.49;524.5
2019-06-12;10.496;10.496;10.496;10.496;2624.0
2019-07-02;10.648;10.648;10.648;10.648;532.4
2019-07-09;10.684;10.684;10.684;10.684;2403.9
2019-07-22;10.722;10.722;10.722;10.722;257.3
2019-07-25;10.778;10.782;10.778;10.782;15628.3
2019-08-01;10.744;10.744;10.744;10.744;1987.6
2019-08-02;10.726;10.726;10.726;10.726;20454.5
2019-08-07;10.752;10.752;10.75;10.75;41004.3
2019-08-08;10.738;10.758;10.738;10.758;82004.8
2019-08-19;10.792;10.792;10.792;10.792;20580.3
2019-08-22;10.804;10.804;10.804;10.804;432.2
2019-08-26;10.802;10.802;10.802;10.802;108020.0
2019-09-04;10.768;10.768;10.768;10.768;2153.6
2019-09-12;10.774;10.774;10.774;10.774;20546.0
2019-09-17;10.694;10.694;10.694;10.694;374.3
2019-09-25;10.704;10.704;10.704;10.704;20412.5
2019-09-30;10.71;10.71;10.71;10.71;1124.6
2019-10-07;10.728;10.728;10.728;10.728;56944.2
2019-10-15;10.698;10.698;10.698;10.698;13522.3
2019-10-23;10.698;10.756;10.698;10.752;45928.1
2019-10-28;10.692;10.692;10.682;10.682;24141.1
2019-10-30;10.688;10.688;10.688;10.688;13477.6
2019-11-05;10.7;10.7;10.7;10.7;15044.2
2019-11-06;10.744;10.744;10.744;10.744;2503.4
2019-11-08;10.664;10.67;10.664;10.67;26748.9
2019-11-11;10.662;10.672;10.662;10.664;142320.9
2019-11-12;10.656;10.656;10.638;10.638;35202.2
2019-11-18;10.668;10.668;10.66;10.66;17398.4
2019-11-21;10.64;10.64;10.64;10.64;44847.6
2019-11-22;10.65;10.658;10.65;10.658;88946.7
2019-11-25;10.642;10.66;10.642;10.66;46935.0
2019-11-27;10.664;10.664;10.664;10.664;20336.2
2019-11-28;10.686;10.686;10.686;10.686;1335.8
2019-11-29;10.682;10.682;10.682;10.682;13213.6
2019-12-04;10.672;10.672;10.672;10.672;13756.2
2019-12-06;10.668;10.668;10.666;10.666;134204.1
2019-12-09;10.662;10.662;10.662;10.662;522.4
2019-12-10;10.69;10.69;10.69;10.69;3207.0
2019-12-13;10.682;10.7;10.682;10.7;17159.3
2019-12-18;10.72;10.728;10.72;10.728;22481.4
2019-12-19;10.696;10.696;10.696;10.696;15626.856
2019-12-20;10.682;10.702;10.682;10.702;2767.838
2019-12-27;10.716;10.72;10.716;10.72;42872.372
2020-01-03;10.728;10.736;10.728;10.736;22455.192
2020-01-07;10.712;10.718;10.712;10.716;113959.53
2020-01-08;10.682;10.7;10.682;10.694;39092.448
2020-01-09;10.658;10.658;10.658;10.658;2803.054
2020-01-10;10.678;10.678;10.678;10.678;104569.654
2020-01-16;10.682;10.69;10.682;10.69;6518.98
2020-01-17;10.694;10.694;10.676;10.68;17210.31
2020-01-20;10.678;10.678;10.678;10.678;533.9
2020-01-23;10.724;10.724;10.724;10.724;5844.58
2020-01-24;10.734;10.734;10.734;10.734;37579.734
2020-01-27;10.754;10.754;10.754;10.754;18195.768
2020-02-04;10.77;10.77;10.77;10.77;14011.77
2020-02-05;10.768;10.768;10.768;10.768;26844.624
2020-02-10;10.776;10.776;10.776;10.776;15215.712
2020-02-11;10.78;10.792;10.78;10.79;125074.952
2020-02-17;10.796;10.796;10.796;10.796;485.82
2020-02-18;10.788;10.788;10.788;10.788;15987.816
2020-02-19;10.802;10.802;10.802;10.802;29403.044
2020-02-20;10.826;10.826;10.81;10.81;43053.826
2020-02-21;10.8;10.802;10.8;10.802;28427.05
2020-02-24;10.802;10.802;10.798;10.798;2376.24
2020-02-26;10.74;10.744;10.74;10.744;40969.988
2020-02-28;10.656;10.712;10.638;10.638;205398.896
2020-03-03;10.698;10.718;10.698;10.718;40840.312
2020-03-05;10.732;10.732;10.732;10.732;17750.728
2020-03-06;10.706;10.706;10.702;10.702;58779.938
2020-03-09;10.63;10.63;10.418;10.438;127030.13
2020-03-11;10.452;10.452;10.452;10.452;4975.152
2020-03-12;10.3;10.3;10.24;10.24;188538.948
2020-03-13;10.246;10.264;10.228;10.264;667928.086
2020-03-16;10.166;10.29;10.166;10.29;20814.762
2020-03-19;9.599;9.614;9.599;9.614;246028.388
2020-03-20;9.832;9.832;9.832;9.832;88497.832
2020-03-31;10.046;10.046;10.046;10.046;21659.176
2020-04-06;10.05;10.05;10.05;10.05;11306.25
2020-04-07;10.092;10.092;10.092;10.092;1897.296
2020-04-08;10.088;10.088;10.088;10.088;12922.728
2020-04-09;10.194;10.362;10.194;10.362;29558.422
2020-04-14;10.4;10.448;10.4;10.434;353014.378
2020-04-15;10.336;10.336;10.336;10.336;5684.8
2020-04-16;10.34;10.346;10.34;10.346;24958.658
2020-04-17;10.37;10.37;10.35;10.35;44429.68
2020-04-21;10.31;10.31;10.31;10.31;14299.97
2020-04-22;10.316;10.316;10.316;10.316;5065.156
2020-04-23;10.346;10.346;10.346;10.346;35641.97
2020-04-27;10.42;10.42;10.42;10.42;33656.6
2020-05-07;10.36;10.378;10.36;10.378;11891.388
2020-05-08;10.398;10.398;10.398;10.398;20213.712
2020-05-12;10.322;10.322;10.314;10.314;5137.172
2020-05-15;10.312;10.314;10.294;10.296;43580.28
2020-05-18;10.33;10.34;10.322;10.322;109886.606
2020-05-21;10.35;10.372;10.35;10.372;15555.8
2020-05-25;10.418;10.418;10.418;10.418;3865.078
2020-05-26;10.352;10.354;10.352;10.354;42596.156
2020-05-27;10.382;10.382;10.382;10.382;20836.674
2020-05-28;10.446;10.452;10.404;10.404;40763.742
2020-05-29;10.442;10.464;10.442;10.464;141216.588
2020-06-03;10.492;10.492;10.492;10.492;314.76
2020-06-04;10.582;10.6;10.582;10.6;1222844.4
2020-06-05;10.66;10.698;10.66;10.698;70453.322
2020-06-08;10.648;10.656;10.638;10.638;174576.246
2020-06-10;10.578;10.618;10.578;10.618;22312.564
2020-06-11;10.522;10.522;10.522;10.522;20065.454
2020-06-12;10.592;10.592;10.592;10.592;15231.296
2020-06-15;10.602;10.602;10.522;10.522;29519.568
2020-06-16;10.628;10.662;10.608;10.608;34234.86
2020-06-17;10.602;10.602;10.602;10.602;286.254
2020-06-19;10.584;10.584;10.584;10.584;26153.064
2020-06-22;10.53;10.53;10.53;10.53;2474.55
2020-06-24;10.552;10.564;10.508;10.508;69117.818
2020-07-06;10.594;10.626;10.594;10.626;6503.522
2020-07-08;10.584;10.584;10.57;10.57;2495.92
2020-07-16;10.664;10.664;10.612;10.612;174629.938
2020-07-21;10.716;10.726;10.688;10.688;118930.3
2020-07-22;10.738;10.738;10.738;10.738;12907.076
2020-07-24;10.676;10.676;10.676;10.676;736.644
2020-07-31;10.728;10.728;10.728;10.728;75.096
2020-08-03;10.726;10.726;10.726;10.726;385385.18
2020-08-04;10.752;10.752;10.752;10.752;73393.152
2020-08-05;10.742;10.742;10.742;10.742;2449.176
2020-08-06;10.738;10.738;10.738;10.738;76272.014
2020-08-07;10.736;10.736;10.736;10.736;3360.368
2020-08-10;10.79;10.79;10.79;10.79;8329.88
2020-08-12;10.754;10.754;10.754;10.754;39649.998
2020-08-13;10.722;10.722;10.722;10.722;192.996
2020-08-14;10.746;10.748;10.732;10.732;6532.052
2020-08-17;10.744;10.744;10.744;10.744;10.744
2020-08-18;10.744;10.744;10.744;10.744;21.488
2020-08-19;10.728;10.728;10.728;10.728;1727.208
2020-08-20;10.746;10.782;10.746;10.782;20632.788
2020-08-21;10.748;10.748;10.748;10.748;4019.752
2020-08-24;10.75;10.75;10.75;10.75;903.0
2020-08-25;10.75;10.75;10.75;10.75;10.75
2020-08-26;10.744;10.744;10.744;10.744;10.744
2020-08-27;10.746;10.746;10.746;10.746;741.474
2020-08-28;10.746;10.746;10.746;10.746;75.222
2020-08-31;10.682;10.682;10.682;10.682;1826.622
2020-09-01;10.74;10.74;10.74;10.74;10.74
