Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2014-09-10;100.77;100.77;100.77;100.77;2015.4
2014-09-11;100.55;100.55;100.55;100.55;30064.45
2014-09-12;;;;100.55;
2014-09-15;100.45;100.45;100.45;100.45;301350.0
2014-09-16;100.42;100.42;100.42;100.42;11247.04
2014-09-17;;;;100.42;
2014-09-18;100.13;100.13;100.13;100.13;11114.43
2014-09-19;;;;100.13;
2014-09-22;100.24;100.24;100.24;100.24;3007.2
2014-09-23;;;;100.24;
2014-09-24;100.01;100.01;100.01;100.01;3500.35
2014-09-25;99.85;99.85;99.52;99.52;421740.34
2014-09-26;99.2;99.2;99.2;99.2;5852.8
2014-09-29;99.1;99.1;99.08;99.08;2477.1
2014-09-30;99.0;99.0;99.0;99.0;14850.0
2014-10-01;99.17;99.17;99.17;99.17;390531.46
2014-10-02;99.3;99.3;99.3;99.3;21051.6
2014-10-03;;;;99.3;
2014-10-06;99.69;99.69;99.69;99.69;2492.25
2014-10-07;99.89;99.89;99.89;99.89;87403.75
2014-10-08;99.76;99.76;99.73;99.73;37601.21
2014-10-09;99.61;99.61;99.61;99.61;59766.0
2014-10-10;98.85;98.85;98.85;98.85;3459.75
2014-10-13;99.16;99.16;99.16;99.16;14874.0
2014-10-14;99.11;99.11;99.11;99.11;14866.5
2014-10-15;98.86;98.86;98.43;98.78;41659.12
2014-10-16;98.16;98.16;98.16;98.16;490.8
2014-10-17;98.33;99.09;98.33;99.09;2375258.61
2014-10-20;99.16;99.16;99.16;99.16;6941.2
2014-10-21;99.0;99.4;99.0;99.4;421164.8
2014-10-22;99.8;99.8;99.77;99.77;6786.37
2014-10-23;;;;99.77;
2014-10-24;99.74;100.24;99.74;99.74;418696.42
2014-10-27;100.3;100.3;99.66;99.66;65083.76
2014-10-28;99.66;99.71;99.66;99.71;109656.0
2014-10-29;99.71;99.71;99.71;99.71;10469.55
2014-10-30;99.66;99.66;99.61;99.61;51299.9
2014-10-31;99.64;99.64;99.64;99.64;14946.0
