Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-07-26;9.955;9.975;9.955;9.975;25356.55
2023-07-27;10.12;10.15;10.12;10.15;100932.8
2023-07-28;9.975;10.02;9.97;10.01;705468.772
2023-08-01;10.098;10.098;10.098;10.098;252.45
2023-08-02;9.918;9.918;9.918;9.918;247.95
2023-08-08;9.87;9.875;9.845;9.845;6903.0
2023-09-01;9.96;9.995;9.96;9.98;20944.5
2023-09-14;9.93;9.97;9.92;9.96;12935.0
2023-09-18;9.885;9.885;9.885;9.885;9.885
2023-09-21;9.725;9.745;9.715;9.732;223679.519
2023-09-22;9.66;9.694;9.66;9.694;49436.0
2023-09-25;9.63;9.63;9.63;9.63;20223.0
2023-09-27;9.545;9.568;9.545;9.568;45188.974
2023-10-03;9.49;9.49;9.46;9.46;119911.3
2023-10-04;9.39;9.444;9.39;9.398;317148.961
2023-10-09;9.45;9.45;9.45;9.45;2494.8
2023-10-23;9.345;9.346;9.345;9.346;46729.358
2023-10-27;9.228;9.228;9.228;9.228;5924.376
2023-10-31;9.27;9.27;9.27;9.27;120139.2
2023-11-02;9.37;9.455;9.37;9.455;262402.64
2023-11-03;9.587;9.587;9.587;9.587;7688.774
2023-11-06;9.644;9.675;9.64;9.64;334386.424
