Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2016-06-08;18.73;18.73;18.73;18.73;116126.0
2016-06-09;;;;18.73;
2016-06-10;;;;18.73;
2016-06-13;;;;18.73;
2016-06-14;;;;18.73;
2016-06-15;;;;18.73;
2016-06-16;;;;18.73;
2016-06-17;;;;18.73;
2016-06-20;;;;18.73;
2016-06-21;;;;18.73;
2016-06-22;;;;18.73;
2016-06-23;;;;18.73;
2016-06-24;;;;18.73;
2016-06-27;;;;18.73;
2016-06-28;;;;18.73;
2016-06-29;18.5;18.5;18.5;18.5;114700.0
2016-06-30;;;;18.5;
2016-07-01;;;;18.5;
2016-07-04;19.05;19.1;19.05;19.07;1537259.0
2016-07-05;19.08;19.08;19.08;19.08;118296.0
2016-07-06;;;;19.08;
2016-07-07;;;;19.08;
2016-07-08;;;;19.08;
2016-07-11;;;;19.08;
2016-07-12;;;;19.08;
2016-07-13;;;;19.08;
2016-07-14;;;;19.08;
2016-07-15;;;;19.08;
2016-07-18;;;;19.08;
2016-07-19;;;;19.08;
2016-07-20;;;;19.08;
2016-07-21;;;;19.08;
2016-07-22;19.92;19.92;19.92;19.92;99062.16
2016-07-25;;;;19.92;
2016-07-26;;;;19.92;
2016-07-27;;;;19.92;
2016-07-28;;;;19.92;
2016-07-29;;;;19.92;
2016-08-01;;;;19.92;
2016-08-02;;;;19.92;
2016-08-03;;;;19.92;
2016-08-04;;;;19.92;
2016-08-05;;;;19.92;
2016-08-08;19.87;19.87;19.87;19.87;98813.51
2016-08-09;;;;19.87;
2016-08-10;;;;19.87;
2016-08-11;;;;19.87;
2016-08-12;;;;19.87;
2016-08-16;;;;19.87;
2016-08-17;;;;19.87;
2016-08-18;;;;19.87;
2016-08-19;;;;19.87;
2016-08-22;;;;19.87;
2016-08-23;;;;19.87;
2016-08-24;;;;19.87;
2016-08-25;;;;19.87;
2016-08-26;;;;19.87;
2016-08-29;;;;19.87;
2016-08-30;;;;19.87;
2016-08-31;;;;19.87;
2016-09-01;;;;19.87;
2016-09-02;;;;19.87;
2016-09-05;;;;19.87;
2016-09-06;;;;19.87;
2016-09-07;;;;19.87;
2016-09-08;;;;19.87;
2016-09-09;;;;19.87;
2016-09-12;;;;19.87;
2016-09-13;;;;19.87;
2016-09-14;;;;19.87;
2016-09-15;;;;19.87;
2016-09-16;;;;19.87;
2016-09-19;;;;19.87;
2016-09-20;;;;19.87;
2016-09-21;;;;19.87;
2016-09-22;;;;19.87;
2016-09-23;;;;19.87;
2016-09-26;19.38;19.38;19.38;19.38;120156.0
2016-09-27;;;;19.38;
2016-09-28;;;;19.38;
2016-09-29;;;;19.38;
2016-09-30;;;;19.38;
2016-10-03;19.79;19.79;19.79;19.79;214721.5
2016-10-04;;;;19.79;
2016-10-05;;;;19.79;
2016-10-06;;;;19.79;
2016-10-07;;;;19.79;
2016-10-10;;;;19.79;
2016-10-11;;;;19.79;
2016-10-12;;;;19.79;
2016-10-13;;;;19.79;
2016-10-14;;;;19.79;
2016-10-17;19.675;19.675;19.675;19.675;2006.85
2016-10-18;;;;19.675;
2016-10-19;;;;19.675;
2016-10-20;;;;19.675;
2016-10-21;;;;19.675;
2016-10-24;;;;19.675;
2016-10-25;;;;19.675;
2016-10-26;;;;19.675;
2016-10-27;;;;19.675;
2016-10-28;;;;19.675;
2016-10-31;;;;19.675;
2016-11-01;19.78;19.78;19.78;19.78;1978.0
2016-11-02;;;;19.78;
2016-11-03;;;;19.78;
2016-11-04;;;;19.78;
2016-11-07;;;;19.78;
2016-11-08;;;;19.78;
2016-11-09;19.605;19.605;19.605;19.605;3960.21
2016-11-10;;;;19.605;
2016-11-11;;;;19.605;
2016-11-14;;;;19.605;
2016-11-15;21.875;21.875;21.875;21.875;4375.0
2016-11-16;21.78;21.78;21.64;21.64;6560.14
2016-11-17;21.575;21.575;21.575;21.575;409.925
2016-11-18;21.73;21.74;21.73;21.74;912.86
2016-11-21;21.84;21.84;21.84;21.84;1113.84
2016-11-22;21.995;21.995;21.95;21.95;7475.24
2016-11-23;22.075;22.355;22.075;22.355;888.04
2016-11-24;22.54;22.54;22.35;22.4;115863.215
2016-11-25;22.4;22.41;22.33;22.41;6510.78
2016-11-28;22.345;22.345;22.34;22.34;2658.975
2016-11-29;22.305;22.305;22.295;22.295;312.24
2016-11-30;22.15;22.15;22.15;22.15;575.9
2016-12-01;22.15;22.15;22.145;22.145;1749.81
2016-12-02;22.37;22.37;22.37;22.37;1006.65
2016-12-05;22.485;22.485;22.27;22.27;193311.82
2016-12-06;22.045;22.175;22.04;22.175;2778.055
2016-12-07;22.16;22.265;22.16;22.265;195640.73
2016-12-08;;;;22.265;
2016-12-09;22.805;22.805;22.805;22.805;141391.0
2016-12-12;22.805;22.805;22.785;22.785;2667.945
2016-12-13;22.815;22.91;22.6;22.6;649110.535
2016-12-14;22.655;22.655;22.655;22.655;430.445
2016-12-15;22.915;23.145;22.89;23.145;38068.065
2016-12-16;22.915;23.02;22.865;22.94;11861.105
2016-12-19;22.85;22.875;22.85;22.875;1486.7
2016-12-20;23.19;23.28;23.18;23.28;1767.54
2016-12-21;23.015;23.015;23.015;23.015;2370.545
2016-12-22;22.88;22.88;22.88;22.88;1578.72
2016-12-23;22.955;22.955;22.955;22.955;1032.975
2016-12-27;;;;22.955;
2016-12-28;23.07;23.155;23.055;23.155;3370.825
2016-12-29;22.785;22.785;22.785;22.785;934.185
2016-12-30;;;;22.785;
2017-01-02;22.735;22.735;22.735;22.735;545.64
2017-01-03;22.785;22.93;22.785;22.93;155523.86
2017-01-04;;;;22.93;
2017-01-05;22.925;22.925;22.745;22.745;525.635
2017-01-06;;;;22.745;
2017-01-09;22.745;22.745;22.745;22.745;614.115
2017-01-10;22.57;22.57;22.57;22.57;1444.48
2017-01-11;22.63;22.95;22.63;22.95;200983.26
2017-01-12;22.53;22.53;22.4;22.4;422550.4
2017-01-13;22.555;22.555;22.555;22.555;586.43
2017-01-16;22.74;22.74;22.74;22.74;95075.94
2017-01-17;22.525;22.525;22.33;22.335;161386.59
2017-01-18;22.4;22.4;22.33;22.33;6319.6
2017-01-19;;;;22.33;
2017-01-20;22.765;22.765;22.57;22.57;864.095
2017-01-23;22.475;22.475;22.47;22.47;11774.4
2017-01-24;22.365;22.495;22.36;22.495;83006.555
2017-01-25;22.695;22.82;22.615;22.82;120667.49
2017-01-26;23.005;23.005;22.905;22.95;2364.085
2017-01-27;22.99;22.99;22.99;22.99;574.75
2017-01-30;22.94;22.94;22.94;22.94;114.7
2017-01-31;22.7;22.7;22.7;22.7;771.8
2017-02-01;22.42;22.42;22.355;22.355;5533.32
2017-02-02;22.195;22.195;22.195;22.195;1398.285
2017-02-03;22.37;22.545;22.37;22.415;50554.845
2017-02-06;22.535;22.535;22.535;22.535;2163.36
2017-02-07;22.745;22.92;22.745;22.92;137605.885
2017-02-08;22.845;22.845;22.845;22.845;11468.19
2017-02-09;22.85;22.85;22.715;22.79;14091.545
2017-02-10;23.015;23.195;22.995;23.195;25556.45
2017-02-13;23.255;23.275;23.205;23.275;10371.52
2017-02-14;23.415;23.6;23.415;23.6;1967.415
2017-02-15;23.565;23.61;23.565;23.61;31211.43
2017-02-16;23.52;23.52;23.52;23.52;1340.64
2017-02-17;23.425;23.425;23.425;23.425;1475.775
2017-02-20;23.6;23.6;23.6;23.6;70.8
2017-02-21;23.84;23.855;23.815;23.855;163264.43
2017-02-22;24.0;24.0;23.93;23.965;27828.23
2017-02-23;23.805;23.805;23.69;23.69;110325.98
2017-02-24;23.6;23.6;23.42;23.42;1924.61
2017-02-27;23.56;23.605;23.56;23.605;1202.88
2017-02-28;23.755;23.805;23.755;23.805;17324.89
2017-03-01;23.915;24.255;23.91;24.255;22804.52
2017-03-02;24.135;24.255;24.135;24.255;22601.82
2017-03-03;23.76;23.86;23.76;23.86;452.44
2017-03-06;23.69;23.7;23.685;23.7;1018.755
2017-03-07;23.78;23.78;23.78;23.78;107010.0
2017-03-08;23.8;23.8;23.715;23.715;15204.97
2017-03-09;23.775;23.775;23.63;23.63;24311.54
2017-03-10;23.61;23.61;23.585;23.585;5593.545
2017-03-13;23.4;23.51;23.4;23.51;19198.2
2017-03-14;23.52;23.52;23.335;23.335;24087.115
2017-03-15;23.47;23.47;23.285;23.405;4320.055
