Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-05-03;57.1;57.1;57.1;57.1;1027.8
2019-06-19;54.74;54.74;54.74;54.74;2737.0
2019-07-10;55.48;55.48;55.48;55.48;3717.2
2019-07-25;56.13;56.46;56.13;56.46;2083.4
2019-10-09;54.38;54.38;54.37;54.37;166718.9
2019-10-15;56.03;56.03;56.03;56.03;1680.9
2021-05-25;64.88;64.88;64.88;64.88;3244.0
2021-06-15;66.7;66.7;66.7;66.7;3335.0
2021-06-16;65.88;65.88;65.88;65.88;37419.84
2021-06-18;65.61;65.61;65.29;65.29;22443.43
2021-06-22;65.0;65.0;64.98;64.98;251764.8
2021-06-30;64.76;64.76;64.76;64.76;146163.32
2021-07-01;65.64;65.64;65.64;65.64;1247.16
2021-07-06;65.24;65.24;65.24;65.24;978.6
2021-07-09;64.73;64.73;64.73;64.73;4077.99
2021-07-21;64.3;64.3;64.3;64.3;964.5
2021-08-04;65.97;65.97;65.97;65.97;17350.11
2021-08-09;66.52;66.52;66.52;66.52;12372.72
2021-08-10;66.59;66.59;66.54;66.54;37544.66
2021-08-30;66.74;66.74;66.74;66.74;16685.0
2021-09-20;63.59;64.01;63.59;64.01;102766.75
2021-09-23;66.27;66.27;66.27;66.27;994.05
2021-09-24;65.8;65.82;65.8;65.82;86928.22
2021-10-20;67.42;67.42;67.42;67.42;1887.76
2021-12-02;66.31;66.31;66.31;66.31;1856.68
2021-12-16;68.37;68.37;68.37;68.37;117459.66
2021-12-27;69.0;69.0;69.0;69.0;8832.0
2022-01-04;70.49;70.49;70.49;70.49;4863.81
2022-01-20;70.5;70.5;70.5;70.5;423.0
2022-01-21;69.85;69.85;69.85;69.85;419.1
2022-01-24;67.2;67.2;67.2;67.2;470.4
2022-01-25;67.39;67.39;67.39;67.39;105802.3
2022-02-01;70.08;70.08;70.08;70.08;3013.44
2022-02-23;68.35;68.35;68.35;68.35;11961.25
