Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-01-30;34.99;34.99;34.99;34.99;34990.0
2019-02-06;35.235;35.275;35.235;35.275;30614.7
2019-02-07;35.445;35.445;35.445;35.445;27221.8
2019-02-11;35.575;35.575;35.575;35.575;12451.3
2019-02-15;35.67;35.67;35.67;35.67;3567.0
2019-02-19;35.52;35.6;35.52;35.6;17509.8
2019-02-21;35.4;35.4;35.4;35.4;7080.0
2019-02-22;35.48;35.48;35.48;35.48;10644.0
2019-02-25;35.47;35.47;35.47;35.47;7094.0
2019-03-01;35.28;35.28;35.28;35.28;10584.0
2019-03-04;35.38;35.38;35.38;35.38;17690.0
2019-03-06;35.51;35.535;35.51;35.535;223969.1
2019-03-18;35.585;35.585;35.585;35.585;7117.0
2019-03-21;35.715;35.75;35.7;35.75;53107.8
2019-03-26;36.24;36.26;36.24;36.26;9789.8
2019-03-27;36.45;36.45;36.45;36.45;1093.5
2019-03-28;36.53;36.58;36.53;36.58;13529.6
2019-04-10;36.16;36.265;36.16;36.265;137698.0
2019-04-12;35.885;35.885;35.885;35.885;35885.0
2019-06-04;37.445;37.445;37.445;37.445;37445.0
2019-06-05;37.365;37.365;37.365;37.365;9341.3
2019-06-06;37.525;37.525;37.525;37.525;10131.8
2019-06-07;37.415;37.415;37.415;37.415;6360.6
2019-06-12;37.24;37.46;37.24;37.46;1141562.8
2019-06-13;37.4;37.465;37.4;37.465;34817.8
2019-06-14;37.605;37.68;37.605;37.68;21860.5
2019-06-17;37.625;37.625;37.625;37.625;11550.9
2019-06-18;37.97;37.97;37.97;37.97;6341.0
2019-06-19;37.83;37.83;37.77;37.77;14783.7
2019-06-20;37.46;37.46;37.46;37.46;4645.0
2019-06-21;37.34;37.34;37.14;37.14;43950.7
2019-06-24;37.07;37.07;37.07;37.07;5894.1
2019-06-25;37.185;37.185;37.185;37.185;5614.9
2019-06-26;37.15;37.15;37.12;37.12;20751.1
2019-06-27;37.11;37.11;37.11;37.11;2597.7
2019-06-28;37.18;37.18;37.18;37.18;3271.8
2019-07-01;37.295;37.295;37.295;37.295;1939.3
2019-07-02;37.48;37.48;37.48;37.48;2173.8
2019-07-03;37.665;37.665;37.665;37.665;1506.6
2019-07-04;37.665;37.665;37.665;37.665;188.3
2019-07-05;37.71;37.71;37.625;37.625;12082.4
2019-07-08;37.66;37.66;37.66;37.66;2786.8
2019-07-09;37.615;37.615;37.615;37.615;6018.4
2019-07-10;37.46;37.46;37.41;37.41;9622.4
2019-07-11;37.425;37.425;37.425;37.425;3742.5
2019-07-12;37.265;37.265;37.265;37.265;74.5
2019-07-15;37.255;37.255;37.255;37.255;4396.1
2019-07-16;37.505;37.505;37.505;37.505;4313.1
2019-07-17;37.47;37.47;37.47;37.47;824.3
2019-07-18;37.635;37.635;37.635;37.635;414.0
2019-07-19;37.605;37.615;37.605;37.615;5490.7
2019-07-22;37.725;37.725;37.725;37.725;3659.3
