Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-04-07;27.355;27.41;27.355;27.41;304219.575
2017-04-10;;;;27.41;
2017-04-11;;;;27.41;
2017-04-12;;;;27.41;
2017-04-13;;;;27.41;
2017-04-18;;;;27.41;
2017-04-19;;;;27.41;
2017-04-20;27.3;27.3;27.3;27.3;3003.0
2017-04-21;;;;27.3;
2017-04-24;;;;27.3;
2017-04-25;;;;27.3;
2017-04-26;;;;27.3;
2017-04-27;;;;27.3;
2017-04-28;;;;27.3;
2017-05-02;;;;27.3;
2017-05-03;;;;27.3;
2017-05-04;;;;27.3;
2017-05-05;;;;27.3;
2017-05-08;;;;27.3;
2017-05-09;;;;27.3;
2017-05-10;;;;27.3;
2017-05-11;;;;27.3;
2017-05-12;;;;27.3;
2017-05-15;;;;27.3;
2017-05-16;;;;27.3;
2017-05-17;;;;27.3;
2017-05-18;;;;27.3;
2017-05-19;;;;27.3;
2017-05-22;;;;27.3;
2017-05-23;;;;27.3;
2017-05-24;;;;27.3;
2017-05-25;;;;27.3;
2017-05-26;;;;27.3;
2017-05-29;;;;27.3;
2017-05-30;;;;27.3;
2017-05-31;;;;27.3;
2017-06-01;;;;27.3;
2017-06-02;;;;27.3;
2017-06-05;;;;27.3;
2017-06-06;;;;27.3;
2017-06-07;;;;27.3;
2017-06-08;;;;27.3;
2017-06-09;;;;27.3;
2017-06-28;25.93;25.93;25.93;25.93;1011.27
2017-08-02;24.625;24.625;24.625;24.625;197.0
2017-08-03;24.635;24.635;24.635;24.635;145346.5
2017-09-07;24.75;24.75;24.75;24.75;4999.5
2017-11-06;25.17;25.17;25.17;25.17;201.36
2017-11-15;24.6;24.615;24.6;24.615;290368.5
2017-12-06;24.675;24.72;24.675;24.72;11326.23
2017-12-11;24.675;24.675;24.675;24.675;6168.75
2017-12-12;24.745;24.745;24.745;24.745;2474.5
2017-12-13;24.68;24.72;24.68;24.72;254809.76
2018-01-04;23.99;23.99;23.99;23.99;5997.5
2018-01-10;23.94;23.94;23.94;23.94;2394.0
2018-01-19;23.285;23.32;23.285;23.32;125797.575
2018-01-25;22.9;22.9;22.9;22.9;1007.6
2018-01-26;22.965;22.965;22.965;22.965;68895.0
2018-01-29;22.97;22.97;22.97;22.97;252049.81
2018-01-31;22.84;22.84;22.84;22.84;7994.0
2018-02-02;22.45;22.475;22.45;22.475;117868.75
2018-02-05;22.36;22.36;22.36;22.36;4472.0
2018-02-06;22.755;22.755;22.755;22.755;6826.5
2018-02-15;22.28;22.28;22.23;22.23;112152.6
2018-02-23;22.6;22.685;22.6;22.685;38922.07
2018-03-08;22.54;22.54;22.49;22.49;38155.52
2018-03-09;22.71;22.71;22.655;22.685;106007.0
2018-03-12;22.63;22.63;22.59;22.59;22763.97
2018-03-13;22.67;22.67;22.625;22.625;19039.605
2018-03-14;22.655;22.655;22.61;22.61;68963.345
2018-03-15;22.7;22.775;22.655;22.725;12357.455
2018-03-16;22.785;22.785;22.74;22.74;47961.75
2018-03-19;22.795;22.795;22.76;22.76;22861.95
2018-03-20;22.7;22.71;22.66;22.71;69611.09
2018-03-21;22.755;22.755;22.71;22.71;73663.59
2018-03-22;22.615;22.665;22.615;22.665;49082.74
2018-03-23;22.79;22.79;22.72;22.72;80555.345
2018-03-26;22.65;22.65;22.515;22.515;217598.055
2018-03-27;22.515;22.565;22.515;22.565;24673.275
2018-03-28;22.8;22.805;22.755;22.79;74417.255
2018-03-29;22.895;22.935;22.895;22.935;24896.985
2018-04-03;22.95;22.985;22.895;22.985;35323.885
2018-04-04;23.01;23.01;22.965;22.965;20192.745
2018-04-05;22.945;22.945;22.89;22.89;48963.33
2018-04-06;22.98;22.98;22.935;22.935;21376.005
2018-04-09;22.94;22.94;22.9;22.9;74121.6
2018-04-10;22.81;22.85;22.8;22.8;18175.72
2018-04-11;22.76;22.76;22.715;22.715;50852.02
2018-04-12;22.87;22.87;22.825;22.825;12155.14
2018-04-13;22.775;22.775;22.73;22.73;4432.395
2018-04-16;22.66;22.7;22.66;22.7;16819.36
2018-04-17;22.67;22.67;22.61;22.61;37948.73
2018-04-18;22.685;22.685;22.685;22.685;4650.425
2018-04-19;22.59;22.59;22.555;22.555;42082.015
2018-04-20;22.725;22.725;22.685;22.685;726.0
2018-04-23;22.665;22.665;22.665;22.665;997.26
2018-04-24;22.8;22.815;22.8;22.815;11518.11
2018-04-26;22.795;22.795;22.75;22.75;20869.715
2018-04-27;23.055;23.055;22.985;22.99;76306.31
2018-04-30;22.945;23.085;22.945;23.085;63029.38
2018-05-02;23.13;23.13;23.075;23.075;26941.285
2018-05-03;23.24;23.24;23.195;23.195;15845.2
2018-05-04;23.5;23.5;23.29;23.405;173461.535
2018-05-07;23.385;23.385;23.34;23.34;4835.07
2018-05-08;23.435;23.435;23.435;23.435;22169.51
2018-05-09;23.49;23.49;23.43;23.43;51077.07
2018-05-10;23.43;23.43;23.39;23.415;55178.595
2018-05-11;23.355;23.355;23.315;23.315;34136.8
2018-05-14;23.24;23.24;23.185;23.185;136096.83
2018-05-15;23.295;23.295;23.24;23.24;31878.84
2018-05-16;23.31;23.345;23.31;23.32;199975.605
2018-05-17;23.325;23.325;23.275;23.275;38546.45
2018-05-18;23.385;23.385;23.335;23.335;13665.475
2018-05-21;23.575;23.575;23.53;23.54;271583.66
2018-05-22;23.375;23.405;23.375;23.405;41455.275
2018-05-23;23.67;23.67;23.645;23.645;39778.99
2018-05-24;23.65;23.675;23.65;23.675;74927.025
2018-05-25;23.785;23.785;23.76;23.76;37098.975
2018-05-28;23.895;23.895;23.855;23.855;116589.385
2018-05-29;24.285;24.34;24.205;24.34;66378.285
2018-05-30;24.285;24.285;24.18;24.18;22196.04
2018-05-31;24.0;24.035;24.0;24.035;80714.59
2018-06-04;23.935;23.935;23.935;23.935;45476.5
2018-06-05;23.94;23.94;23.94;23.94;287.28
2018-06-06;23.8;23.8;23.75;23.75;26735.6
2018-06-07;23.535;23.535;23.535;23.535;20098.89
2018-06-08;23.81;23.81;23.81;23.81;5976.31
2018-06-11;23.61;23.61;23.61;23.61;20139.33
2018-06-12;23.665;23.665;23.665;23.665;3171.11
2018-06-13;23.74;23.74;23.74;23.74;16570.52
2018-06-15;24.185;24.195;24.185;24.195;28622.575
2018-06-18;24.195;24.195;24.195;24.195;11008.725
2018-06-19;24.265;24.265;24.265;24.265;12205.295
2018-06-21;24.215;24.215;24.215;24.215;8547.895
2018-06-22;24.02;24.02;24.02;24.02;9031.52
2018-06-25;24.125;24.13;24.065;24.065;189452.765
2018-06-26;24.045;24.1;24.04;24.1;280852.18
2018-06-27;24.12;24.26;24.12;24.245;244591.965
2018-06-28;24.4;24.4;24.345;24.345;305713.205
2018-07-02;24.34;24.34;24.245;24.295;23358.0
2018-07-05;24.145;24.145;24.145;24.145;9778.725
2018-07-06;24.165;24.165;24.165;24.165;3866.4
2018-07-09;24.2;24.2;23.965;23.965;4424.835
2018-07-10;24.025;24.06;24.02;24.06;259048.79
2018-07-12;24.125;24.125;24.125;24.125;6586.125
2018-07-16;24.14;24.14;24.14;24.14;18563.66
2018-07-17;24.02;24.02;24.02;24.02;6677.56
2018-07-23;24.025;24.025;23.985;23.985;209836.225
2018-07-24;23.96;23.975;23.96;23.975;8031.565
2018-07-25;24.03;24.03;23.975;23.975;5854.355
2018-08-03;23.955;23.955;23.955;23.955;10013.19
2018-08-07;23.955;23.955;23.955;23.955;10061.1
2018-08-09;23.915;23.915;23.915;23.915;5022.15
2018-08-10;24.03;24.32;24.025;24.32;113532.63
2018-08-13;24.5;24.5;24.5;24.5;1935.5
2018-08-17;24.48;24.48;24.48;24.48;17013.6
2018-08-20;24.505;24.505;24.49;24.49;5389.45
2018-08-21;24.29;24.29;24.29;24.29;47851.3
2018-08-28;23.9;23.9;23.87;23.87;127397.745
2018-08-31;23.92;23.92;23.92;23.92;18370.56
2018-09-03;24.035;24.035;24.03;24.03;41963.82
2018-09-06;23.955;24.07;23.955;24.07;60140.485
2018-09-07;23.975;24.055;23.975;24.055;340676.57
2018-09-10;24.14;24.14;23.985;23.985;332506.035
2018-09-12;23.92;23.92;23.92;23.92;3731.52
2018-09-14;23.72;23.785;23.72;23.785;53147.305
2018-09-17;23.78;23.78;23.78;23.78;10035.16
2018-09-18;23.735;23.735;23.695;23.695;72021.085
2018-09-19;23.615;23.615;23.59;23.59;18277.985
2018-09-20;23.605;23.605;23.555;23.555;57447.485
2018-09-21;23.43;23.43;23.385;23.385;9482.4
2018-09-26;23.455;23.455;23.395;23.395;4080.99
2018-09-28;23.765;23.87;23.76;23.845;777964.23
2018-10-01;23.835;23.835;23.835;23.835;4361.805
2018-10-02;23.93;23.93;23.93;23.93;4881.72
2018-10-03;23.805;23.84;23.805;23.84;190.58
2018-10-04;23.8;23.8;23.8;23.8;1951.6
2018-10-08;23.755;23.805;23.715;23.8;321543.465
2018-10-09;23.8;23.805;23.71;23.805;3302.675
2018-10-10;23.8;23.8;23.765;23.765;5990.53
2018-10-11;23.8;23.8;23.72;23.74;7072.94
2018-10-12;23.69;23.69;23.69;23.69;7107.0
2018-10-15;23.75;23.75;23.705;23.705;19941.405
2018-10-16;23.665;23.665;23.625;23.625;11442.22
2018-10-18;23.78;23.845;23.78;23.845;30956.25
2018-10-22;23.705;23.75;23.705;23.75;30200.575
2018-10-23;23.95;24.01;23.95;23.995;1199.0
2018-10-24;24.11;24.21;24.02;24.21;36207.82
2018-10-25;24.185;24.19;24.15;24.19;119013.345
2018-10-26;24.31;24.31;24.31;24.31;27032.72
2018-10-29;24.285;24.285;24.24;24.24;12179.775
2018-10-30;24.325;24.325;24.315;24.32;2797.08
2018-10-31;24.29;24.33;24.2;24.33;35509.425
2018-11-02;24.015;24.015;24.015;24.015;187557.15
2018-11-05;24.095;24.095;24.095;24.095;18432.675
2018-11-06;24.06;24.06;24.06;24.06;9190.92
2018-11-07;23.88;23.895;23.88;23.895;1719.9
2018-11-08;23.945;23.945;23.945;23.945;10032.955
2018-11-09;24.19;24.19;24.135;24.185;21903.775
2018-11-13;24.51;24.545;24.4;24.4;302721.855
2018-11-14;24.46;24.465;24.395;24.395;3568.29
2018-11-15;24.51;24.53;24.475;24.48;13962.765
2018-11-16;24.29;24.29;24.265;24.265;35542.26
2018-11-19;24.265;24.265;24.24;24.24;18722.93
2018-11-20;24.3;24.335;24.3;24.335;52593.52
2018-11-21;24.29;24.29;24.285;24.285;36602.42
2018-11-22;24.315;24.36;24.315;24.32;68379.425
2018-11-23;24.355;24.515;24.355;24.515;285893.92
2018-11-26;24.405;24.46;24.405;24.46;13486.74
2018-11-27;24.58;24.595;24.53;24.595;13710.14
2018-11-28;24.59;24.615;24.57;24.57;6838.1
2018-11-29;24.52;24.52;24.495;24.495;6028.845
2018-11-30;24.45;24.605;24.45;24.605;368895.705
2018-12-04;24.7;24.7;24.7;24.7;9880.0
2018-12-05;24.705;24.8;24.705;24.8;16507.69
2018-12-06;24.78;24.835;24.77;24.835;46448.04
2018-12-07;24.76;24.76;24.76;24.76;7403.24
2018-12-10;24.77;24.9;24.745;24.9;44777.235
2018-12-12;24.81;24.81;24.755;24.78;87369.33
2018-12-13;24.715;24.73;24.715;24.73;4252.27
2018-12-14;24.965;24.98;24.95;24.965;80263.47
2018-12-17;24.835;24.865;24.835;24.865;248.5
2018-12-18;24.9;24.9;24.875;24.9;72728.63
2018-12-19;24.84;24.84;24.77;24.77;20790.655
2018-12-20;24.8;24.92;24.8;24.92;12903.75
2018-12-21;24.785;24.785;24.78;24.78;15710.82
2018-12-27;24.985;24.985;24.935;24.94;30458.535
2018-12-28;24.835;24.945;24.835;24.945;3484.6
2019-01-02;25.115;25.245;25.115;25.245;3343.025
2019-01-03;25.335;25.335;25.29;25.29;12182.285
2019-01-04;25.31;25.32;25.19;25.19;11290.08
