Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2016-04-26;14.91;14.91;14.91;14.91;1491.0
2016-04-27;;;;14.91;
2016-04-28;;;;14.91;
2016-04-29;;;;14.91;
2016-05-02;;;;14.91;
2016-05-03;;;;14.91;
2016-05-04;;;;14.91;
2016-05-05;;;;14.91;
2016-05-06;;;;14.91;
2016-05-09;;;;14.91;
2016-05-10;;;;14.91;
2016-05-11;;;;14.91;
2016-05-12;;;;14.91;
2016-05-13;;;;14.91;
2016-05-16;;;;14.91;
2016-05-17;;;;14.91;
2016-05-18;;;;14.91;
2016-05-19;;;;14.91;
2016-05-20;;;;14.91;
2016-05-23;;;;14.91;
2016-05-24;;;;14.91;
2016-05-25;;;;14.91;
2016-05-26;;;;14.91;
2016-05-27;;;;14.91;
2016-05-30;;;;14.91;
2016-05-31;;;;14.91;
2016-06-01;;;;14.91;
2016-06-02;;;;14.91;
2016-06-03;;;;14.91;
2016-06-06;;;;14.91;
2016-06-07;;;;14.91;
2016-06-08;;;;14.91;
2016-06-09;;;;14.91;
2016-06-10;;;;14.91;
2016-06-13;;;;14.91;
2016-06-14;;;;14.91;
2016-06-15;;;;14.91;
2016-06-16;;;;14.91;
2016-06-17;;;;14.91;
2016-06-20;;;;14.91;
2016-06-21;;;;14.91;
2016-06-22;;;;14.91;
2016-06-23;;;;14.91;
2016-06-24;;;;14.91;
2016-06-27;;;;14.91;
2016-06-28;;;;14.91;
2016-06-29;;;;14.91;
2016-06-30;;;;14.91;
2016-07-01;;;;14.91;
2016-07-04;;;;14.91;
2016-07-05;;;;14.91;
2016-07-06;;;;14.91;
2016-07-07;;;;14.91;
2016-07-08;;;;14.91;
2016-07-11;;;;14.91;
2016-07-12;;;;14.91;
2016-07-13;;;;14.91;
2016-07-14;;;;14.91;
2016-07-15;;;;14.91;
2016-07-18;;;;14.91;
2016-07-19;;;;14.91;
2016-07-20;;;;14.91;
2016-07-21;;;;14.91;
2016-07-22;;;;14.91;
2016-07-25;15.23;15.23;15.23;15.23;456.9
2016-07-26;;;;15.23;
2016-07-27;;;;15.23;
2016-07-28;;;;15.23;
2016-07-29;;;;15.23;
2016-08-01;;;;15.23;
2016-08-02;;;;15.23;
2016-08-03;;;;15.23;
2016-08-04;;;;15.23;
2016-08-05;;;;15.23;
2016-08-08;;;;15.23;
2016-08-09;;;;15.23;
2016-08-10;;;;15.23;
2016-08-11;;;;15.23;
2016-08-12;;;;15.23;
2016-08-16;;;;15.23;
2016-08-17;;;;15.23;
2016-08-18;;;;15.23;
2016-08-19;;;;15.23;
2016-08-22;;;;15.23;
2016-08-23;;;;15.23;
2016-08-24;;;;15.23;
2016-08-25;;;;15.23;
2016-08-26;;;;15.23;
2016-08-29;;;;15.23;
2016-08-30;;;;15.23;
2016-08-31;;;;15.23;
2016-09-01;;;;15.23;
2016-09-02;;;;15.23;
2016-09-05;;;;15.23;
2016-09-06;;;;15.23;
2016-09-07;;;;15.23;
2016-09-08;;;;15.23;
2016-09-09;;;;15.23;
2016-09-12;;;;15.23;
2016-09-13;;;;15.23;
2016-09-14;;;;15.23;
2016-09-15;;;;15.23;
2016-09-16;;;;15.23;
2016-09-19;;;;15.23;
2016-09-20;;;;15.23;
2016-09-21;;;;15.23;
2016-09-22;;;;15.23;
2016-09-23;;;;15.23;
2016-09-26;;;;15.23;
2016-09-27;;;;15.23;
2016-09-28;;;;15.23;
2016-09-29;;;;15.23;
2016-09-30;;;;15.23;
2016-10-03;;;;15.23;
2016-10-04;;;;15.23;
2016-10-05;;;;15.23;
2016-10-06;;;;15.23;
2016-10-07;;;;15.23;
2016-10-10;;;;15.23;
2016-10-11;;;;15.23;
2016-10-12;;;;15.23;
2016-10-13;;;;15.23;
2016-10-14;;;;15.23;
2016-10-17;;;;15.23;
2016-10-18;;;;15.23;
2016-10-19;;;;15.23;
2016-10-20;;;;15.23;
2016-10-21;;;;15.23;
2016-10-24;;;;15.23;
2016-10-25;;;;15.23;
2016-10-26;;;;15.23;
2016-10-27;;;;15.23;
2016-10-28;;;;15.23;
2016-10-31;;;;15.23;
2016-11-01;;;;15.23;
2016-11-02;;;;15.23;
2016-11-03;;;;15.23;
2016-11-04;;;;15.23;
2016-11-07;;;;15.23;
2016-11-08;;;;15.23;
2016-11-09;;;;15.23;
2016-11-10;;;;15.23;
2016-11-11;;;;15.23;
2016-11-14;;;;15.23;
2016-11-15;;;;15.23;
2016-11-16;;;;15.23;
2016-11-17;;;;15.23;
2016-11-18;;;;15.23;
2016-11-21;;;;15.23;
2016-11-22;;;;15.23;
2016-11-23;;;;15.23;
2016-11-24;;;;15.23;
2016-11-25;15.42;15.42;15.42;15.42;10038.42
2016-11-28;;;;15.42;
2016-11-29;;;;15.42;
2016-11-30;;;;15.42;
2016-12-01;;;;15.42;
2016-12-02;;;;15.42;
2016-12-05;;;;15.42;
2016-12-06;;;;15.42;
2016-12-07;;;;15.42;
2016-12-08;;;;15.42;
2016-12-09;;;;15.42;
2016-12-12;;;;15.42;
2016-12-13;;;;15.42;
2016-12-14;;;;15.42;
2016-12-15;;;;15.42;
2016-12-16;;;;15.42;
2016-12-19;;;;15.42;
2016-12-20;;;;15.42;
2016-12-21;;;;15.42;
2016-12-22;15.7;15.7;15.7;15.7;565.2
2016-12-23;;;;15.7;
2016-12-27;;;;15.7;
2016-12-28;;;;15.7;
2016-12-29;;;;15.7;
2016-12-30;;;;15.7;
2017-01-02;;;;15.7;
2017-01-03;;;;15.7;
2017-01-04;;;;15.7;
2017-01-05;;;;15.7;
2017-01-06;;;;15.7;
2017-01-09;;;;15.7;
2017-01-10;;;;15.7;
2017-01-11;;;;15.7;
2017-01-12;;;;15.7;
2017-01-13;;;;15.7;
2017-01-16;;;;15.7;
2017-01-17;;;;15.7;
2017-01-18;;;;15.7;
2017-01-19;;;;15.7;
2017-01-20;;;;15.7;
2017-01-23;;;;15.7;
2017-01-24;;;;15.7;
2017-01-25;;;;15.7;
2017-01-26;;;;15.7;
2017-01-27;;;;15.7;
2017-01-30;;;;15.7;
2017-01-31;;;;15.7;
2017-02-01;;;;15.7;
2017-02-02;;;;15.7;
2017-02-03;;;;15.7;
2017-02-06;;;;15.7;
2017-02-07;;;;15.7;
2017-02-08;;;;15.7;
2017-02-09;;;;15.7;
2017-02-10;;;;15.7;
2017-02-13;;;;15.7;
2017-02-14;;;;15.7;
2017-02-15;16.205;16.205;16.205;16.205;13774.25
2017-02-16;;;;16.205;
