Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2013-03-18;38.03;38.25;38.03;38.25;52499.0
2013-03-19;;;;38.25;
2013-03-20;;;;38.25;
2013-03-21;;;;38.25;
2013-03-22;;;;38.25;
2013-03-25;;;;38.25;
2013-03-26;;;;38.25;
2013-03-27;;;;38.25;
2013-03-28;;;;38.25;
2013-04-02;;;;38.25;
2013-04-03;;;;38.25;
2013-04-04;;;;38.25;
2013-04-05;;;;38.25;
2013-04-08;;;;38.25;
2013-04-09;;;;38.25;
2013-04-10;;;;38.25;
2013-04-11;;;;38.25;
2013-04-12;;;;38.25;
2013-04-15;;;;38.25;
2013-04-16;;;;38.25;
2013-04-17;;;;38.25;
2013-04-18;;;;38.25;
2013-04-19;;;;38.25;
2013-04-22;;;;38.25;
2013-04-23;;;;38.25;
2013-04-24;;;;38.25;
2013-04-25;;;;38.25;
2013-04-26;;;;38.25;
2013-04-29;;;;38.25;
2013-04-30;;;;38.25;
2013-05-02;;;;38.25;
2013-05-03;;;;38.25;
2013-05-06;;;;38.25;
2013-05-07;;;;38.25;
2013-05-08;;;;38.25;
2013-05-09;39.495;39.495;39.495;39.495;19747.5
2013-05-10;;;;39.495;
2013-05-13;;;;39.495;
2013-05-14;;;;39.495;
2013-05-15;;;;39.495;
2013-05-16;41.06;41.06;41.06;41.06;9443.8
2013-05-17;41.36;41.36;41.36;41.36;82.72
2013-05-20;;;;41.36;
2013-05-21;;;;41.36;
2013-05-22;;;;41.36;
2013-05-23;;;;41.36;
2013-05-24;;;;41.36;
2013-05-27;;;;41.36;
2013-05-28;;;;41.36;
2013-05-29;;;;41.36;
2013-05-30;;;;41.36;
2013-05-31;;;;41.36;
2013-06-03;;;;41.36;
2013-06-04;;;;41.36;
2013-06-05;;;;41.36;
2013-06-06;;;;41.36;
2013-06-07;;;;41.36;
2013-06-10;;;;41.36;
2013-06-11;;;;41.36;
2013-06-12;;;;41.36;
2013-06-13;;;;41.36;
2013-06-14;;;;41.36;
2013-06-17;;;;41.36;
2013-06-18;;;;41.36;
2013-06-19;;;;41.36;
2013-06-20;;;;41.36;
2013-06-21;;;;41.36;
2013-06-24;;;;41.36;
2013-06-25;;;;41.36;
2013-06-26;;;;41.36;
2013-06-27;;;;41.36;
2013-06-28;;;;41.36;
2013-07-01;;;;41.36;
2013-07-02;;;;41.36;
2013-07-03;;;;41.36;
2013-07-04;;;;41.36;
2013-07-05;;;;41.36;
2013-07-08;;;;41.36;
2013-07-09;;;;41.36;
2013-07-10;;;;41.36;
2013-07-11;;;;41.36;
2013-07-12;;;;41.36;
2013-07-15;;;;41.36;
2013-07-16;;;;41.36;
2013-07-17;;;;41.36;
2013-07-18;;;;41.36;
2013-07-19;41.175;41.175;41.175;41.175;9470.25
2013-07-22;;;;41.175;
2013-07-23;;;;41.175;
2013-07-24;;;;41.175;
2013-07-25;;;;41.175;
2013-07-26;;;;41.175;
2013-07-29;;;;41.175;
2013-07-30;;;;41.175;
2013-07-31;;;;41.175;
2013-08-01;;;;41.175;
2013-08-02;;;;41.175;
2013-08-05;;;;41.175;
2013-08-06;;;;41.175;
2013-08-07;;;;41.175;
2013-08-08;;;;41.175;
2013-08-09;;;;41.175;
2013-08-12;;;;41.175;
