Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-08-23;4.7965;4.7965;4.7965;4.7965;1199.125
2022-08-24;4.804;4.804;4.804;4.804;1201.0
2022-08-25;4.817;4.817;4.817;4.817;240.85
2022-09-12;4.693;4.693;4.693;4.693;1173.25
2022-09-13;4.6175;4.6175;4.6175;4.6175;461.75
2022-10-11;4.2375;4.243;4.2375;4.243;266469.1995
2022-10-19;4.3275;4.3275;4.3275;4.3275;4327.5
2022-10-24;4.3855;4.3855;4.3855;4.3855;657.825
2022-10-28;4.3345;4.3345;4.3345;4.3345;4334.5
2022-11-07;4.29;4.29;4.29;4.29;643.5
2022-11-08;4.317;4.317;4.317;4.317;3453.6
2022-11-10;4.254;4.254;4.254;4.254;236628.75
2022-11-15;4.4105;4.4105;4.4105;4.4105;5292.6
2022-11-16;4.3445;4.3445;4.3445;4.3445;68438.9085
2022-11-29;4.3505;4.3505;4.34;4.34;56970.55
2022-11-30;4.3485;4.3485;4.3485;4.3485;652.275
2022-12-01;4.45;4.45;4.45;4.45;20461.1
2022-12-22;4.0655;4.0655;4.0655;4.0655;18693.169
2023-01-03;4.136;4.136;4.136;4.136;10600.568
2023-01-04;4.1035;4.1035;4.1035;4.1035;820.7
2023-01-11;4.156;4.156;4.156;4.156;2015.66
2023-01-13;4.1795;4.18;4.1795;4.18;12409.481
2023-01-16;4.2025;4.2025;4.2025;4.2025;10577.6925
2023-02-07;4.442;4.443;4.442;4.443;18929.188
2023-02-10;4.415;4.415;4.415;4.415;38406.085
2023-02-16;4.4855;4.487;4.4855;4.487;8973.877
2023-02-20;4.411;4.411;4.403;4.403;44912.2
2023-02-21;4.3905;4.3905;4.3905;4.3905;10497.6855
2023-03-01;4.3195;4.3195;4.285;4.285;27635.9315
2023-03-16;4.227;4.227;4.227;4.227;634.05
2023-03-27;4.278;4.28;4.278;4.28;106951.762
2023-04-03;4.3575;4.3575;4.3575;4.3575;549.045
2023-04-04;4.3405;4.347;4.3405;4.347;35075.4945
2023-04-17;4.3345;4.3345;4.3345;4.3345;650.175
2023-05-02;4.36;4.36;4.36;4.36;248.52
2023-05-11;4.388;4.388;4.388;4.388;210.624
2023-05-15;4.403;4.403;4.403;4.403;17.612
2023-05-19;4.5115;4.5115;4.5115;4.5115;2255.75
2023-05-26;4.5485;4.5495;4.5485;4.5495;44810.545
2023-06-01;4.5505;4.5505;4.5505;4.5505;250.2775
2023-06-15;4.6795;4.6795;4.6795;4.6795;4.6795
2023-06-16;4.703;4.703;4.703;4.703;23515.0
2023-06-19;4.6875;4.6875;4.6875;4.6875;10485.9375
2023-07-03;4.7575;4.7575;4.7575;4.7575;247.39
2023-07-17;4.6805;4.6805;4.6805;4.6805;23.4025
2023-07-25;4.806;4.806;4.806;4.806;2004.102
2023-07-27;4.878;4.878;4.861;4.862;284480.815
2023-07-28;4.796;4.796;4.796;4.796;4316.4
2023-08-01;4.866;4.866;4.866;4.866;248.166
2023-08-02;4.8295;4.8295;4.803;4.803;5604.697
2023-08-16;4.712;4.712;4.712;4.712;268.584
2023-08-17;4.682;4.682;4.682;4.682;14256.69
2023-08-18;4.6405;4.6405;4.6405;4.6405;18329.975
2023-08-30;4.795;4.795;4.7935;4.7935;1275.32
2023-09-01;4.8535;4.8535;4.8535;4.8535;247.5285
2023-09-06;4.8625;4.8625;4.8625;4.8625;2431.25
2023-09-13;4.822;4.822;4.822;4.822;9644.0
2023-09-15;4.9045;4.9045;4.85;4.85;679.0005
2023-09-19;4.82;4.82;4.82;4.82;241.0
2023-09-25;4.71;4.71;4.71;4.71;14963.67
2023-10-02;4.742;4.742;4.7305;4.7305;4977.084
2023-10-16;4.764;4.764;4.764;4.764;319.188
2023-10-20;4.629;4.629;4.629;4.629;97750.593
2023-11-01;4.57;4.57;4.57;4.57;607.81
2023-11-02;4.6335;4.6335;4.6335;4.6335;296.544
2023-11-03;4.712;4.712;4.712;4.712;10536.032
2023-11-06;4.7155;4.7155;4.7155;4.7155;20385.1065
