Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-01-21;51.83;51.83;51.64;51.64;931.42
2019-01-29;51.39;51.4;51.39;51.4;9765.1
2019-01-31;51.7;51.7;51.68;51.68;6875.44
2019-02-04;52.28;52.28;52.28;52.28;522.8
2019-02-06;53.04;53.04;53.04;53.04;35006.4
2019-02-11;52.23;52.74;52.23;52.72;11068.3
2019-02-12;53.2;53.2;53.2;53.2;5320.0
2019-02-14;53.76;53.77;53.76;53.77;8871.4
2019-02-19;53.88;53.88;53.88;53.88;13470.0
2019-02-20;53.91;53.91;53.91;53.91;10782.0
2019-02-21;54.1;54.1;53.96;53.96;11069.5
2019-02-25;54.35;54.35;54.35;54.35;5000.2
2019-02-27;54.9;54.9;53.99;53.99;10514.1
2019-03-01;54.16;54.16;54.16;54.16;137349.8
2019-03-04;54.6;54.63;54.53;54.53;14192.9
2019-03-05;54.37;54.49;54.37;54.49;2773.0
2019-03-06;54.39;54.39;54.39;54.39;1087.8
2019-03-11;54.18;54.18;54.18;54.18;15170.4
2019-03-13;54.33;54.73;54.33;54.73;6851.9
2019-03-14;54.8;54.8;54.8;54.8;548.0
2019-03-15;54.81;54.81;54.81;54.81;657.7
2019-03-18;54.86;54.91;54.86;54.91;20189.4
2019-03-22;55.32;55.32;55.32;55.32;5089.4
2019-03-25;54.42;54.42;54.42;54.42;217.7
2019-03-27;54.84;54.84;54.8;54.8;55516.4
2019-03-28;54.67;54.67;54.67;54.67;54.7
2019-03-29;55.06;55.06;55.06;55.06;1431.6
2019-04-01;55.48;55.48;55.48;55.48;9986.4
2019-04-02;55.92;55.92;55.92;55.92;9450.5
2019-04-03;56.05;56.05;56.05;56.05;56.1
2019-04-04;56.06;56.06;56.06;56.06;840.9
2019-04-08;56.08;56.17;56.08;56.17;11848.9
2019-04-09;55.86;55.86;55.86;55.86;2402.0
2019-04-11;55.94;56.08;55.94;56.08;18032.6
2019-04-15;56.22;56.24;56.12;56.12;20551.1
2019-04-16;56.39;56.39;56.39;56.39;56.4
2019-04-23;56.55;56.93;56.55;56.93;11316.3
2019-04-24;56.93;56.93;56.93;56.93;3131.2
2019-04-25;57.1;57.1;57.1;57.1;571.0
2019-04-26;57.11;57.13;56.41;57.13;10071.4
2019-04-29;57.32;57.44;57.32;57.44;14743.9
2019-04-30;57.23;57.23;57.02;57.02;4456.6
2019-05-02;57.02;57.18;57.02;57.18;15920.5
2019-05-03;57.2;57.2;57.2;57.2;1430.0
2019-05-08;56.1;56.21;55.82;56.02;73093.4
2019-05-09;55.75;55.75;55.7;55.7;3233.1
2019-05-13;54.98;54.98;54.81;54.81;139094.3
2019-05-14;54.95;55.15;54.95;55.15;85657.8
2019-05-15;55.23;55.23;55.01;55.2;115612.6
2019-05-16;55.71;56.26;55.71;56.26;26412.8
2019-05-17;55.98;55.98;55.98;55.98;1399.5
2019-05-20;56.04;56.04;55.66;55.66;12870.2
2019-05-21;55.78;55.78;55.71;55.71;37536.9
2019-05-22;55.83;55.83;55.72;55.72;57692.0
2019-05-24;55.37;55.37;55.28;55.28;4426.9
2019-05-28;55.25;55.41;55.25;55.35;5758.4
2019-05-29;54.64;54.64;54.64;54.64;2458.8
2019-06-03;53.87;53.87;53.87;53.87;377.1
2019-06-04;54.26;54.26;54.25;54.25;5425.4
2019-06-05;54.59;54.59;54.59;54.59;6496.2
2019-06-06;55.19;55.2;55.1;55.1;27427.3
2019-06-07;55.35;55.37;55.35;55.37;1051.7
2019-06-11;55.8;55.8;55.8;55.8;33480.0
2019-06-13;55.69;55.69;55.69;55.69;946.7
2019-06-14;55.69;55.84;55.69;55.84;76047.0
2019-06-17;56.12;56.12;56.03;56.03;3419.3
2019-06-18;57.0;57.0;57.0;57.0;2850.0
2019-06-20;57.07;57.17;57.07;57.17;2283.8
2019-06-26;56.42;56.42;56.42;56.42;1128.4
2019-06-27;55.65;55.85;55.65;55.85;55309.2
2019-06-28;55.94;55.95;55.94;55.95;23498.1
2019-07-01;56.98;56.98;56.88;56.88;53317.6
2019-07-02;56.8;56.96;56.8;56.96;84999.1
2019-07-03;57.25;57.25;57.19;57.19;5547.7
2019-07-05;57.53;57.53;57.52;57.52;6155.6
2019-07-08;57.35;57.35;57.35;57.35;229400.0
2019-07-09;57.18;57.18;57.18;57.18;14295.0
2019-07-10;57.05;57.36;57.05;57.36;6167.6
2019-07-11;57.38;57.38;57.38;57.38;4762.5
2019-07-15;57.49;57.54;57.49;57.54;49412.9
2019-07-16;57.75;57.75;57.75;57.75;20963.3
2019-07-17;57.72;57.72;57.71;57.71;44674.4
2019-07-18;57.28;57.28;57.28;57.28;43246.4
2019-07-22;57.35;57.35;57.24;57.24;19418.9
2019-07-23;57.93;57.93;57.93;57.93;8110.2
2019-07-24;57.93;58.0;57.9;57.9;8117.1
2019-07-25;57.9;57.9;57.9;57.9;579.0
2019-07-26;58.0;58.22;58.0;58.22;20665.9
2019-07-29;58.3;58.3;58.3;58.3;14575.0
2019-07-30;57.98;57.98;57.89;57.89;1274.0
2019-07-31;57.92;57.92;57.92;57.92;11584.0
2019-08-01;57.97;57.97;57.92;57.92;30988.9
2019-08-02;56.75;56.75;56.64;56.64;37126.7
2019-08-05;55.0;55.0;55.0;55.0;550.0
2019-08-07;55.02;55.02;55.02;55.02;275.1
2019-08-09;55.95;55.95;55.73;55.88;24489.9
2019-08-13;55.0;55.0;55.0;55.0;22000.0
2019-08-16;55.52;55.52;55.42;55.42;139438.3
2019-08-21;56.24;56.24;56.24;56.24;11248.0
2019-08-23;56.56;56.56;56.19;56.19;144776.1
2019-08-26;55.47;55.47;55.47;55.47;11094.0
2019-08-28;55.72;55.72;55.72;55.72;557.2
2019-08-29;56.28;56.28;56.28;56.28;1407.0
2019-08-30;57.05;57.05;57.05;57.05;5134.5
2019-09-03;56.79;56.96;56.79;56.96;13462.6
2019-09-04;57.29;57.29;57.02;57.02;158848.5
2019-09-05;57.45;57.58;57.45;57.57;171385.4
2019-09-06;57.89;57.89;57.89;57.89;7525.7
2019-09-09;58.04;58.04;57.89;57.89;14319.8
2019-09-10;57.82;57.82;57.82;57.82;24862.6
2019-09-11;58.16;58.46;58.08;58.46;331212.2
2019-09-12;58.3;58.98;58.3;58.44;344919.3
2019-09-13;58.51;58.51;58.51;58.51;1579.8
2019-09-16;58.32;58.53;58.32;58.53;13241.5
2019-09-17;58.4;58.4;58.4;58.4;20031.2
2019-09-19;58.48;58.65;58.44;58.65;78846.1
2019-09-20;58.68;58.78;58.68;58.78;64633.0
2019-09-23;58.71;58.71;58.43;58.61;33776.2
2019-09-24;58.78;58.78;58.52;58.52;151057.9
2019-09-25;58.15;58.15;58.15;58.15;2035.3
2019-09-26;58.42;58.42;58.3;58.31;117828.2
2019-09-27;58.63;58.63;58.24;58.24;42303.2
2019-10-01;58.69;58.69;58.63;58.63;4166.1
2019-10-02;57.61;57.61;57.61;57.61;1152.2
2019-10-03;56.73;56.73;56.6;56.6;31303.8
2019-10-09;56.91;57.1;56.91;56.98;5863.4
2019-10-10;56.83;56.83;56.83;56.83;284.2
2019-10-11;57.76;57.76;57.76;57.76;38121.6
2019-10-15;58.18;58.18;58.18;58.18;1803.6
2019-10-16;58.31;58.31;58.31;58.31;2740.6
2019-10-21;57.78;57.78;57.76;57.76;13520.5
2019-10-22;58.2;58.2;58.2;58.2;1164.0
2019-10-23;58.0;58.17;57.99;57.99;27791.9
2019-10-24;58.44;58.44;58.44;58.44;584.4
2019-10-25;58.41;58.8;58.41;58.8;55730.9
2019-10-28;58.86;59.08;58.86;59.06;85145.0
2019-10-29;58.96;58.96;58.85;58.85;7071.6
2019-10-30;58.85;58.86;58.85;58.86;2001.0
2019-10-31;58.86;58.95;58.86;58.86;20896.7
2019-11-01;58.9;58.92;58.9;58.92;3888.5
2019-11-04;59.54;59.54;59.54;59.54;1071.7
2019-11-05;59.7;59.7;59.68;59.7;69475.2
2019-11-06;59.82;59.82;59.82;59.82;20637.9
2019-11-07;60.43;60.45;60.43;60.45;4835.2
2019-11-08;60.34;60.34;60.34;60.34;2232.6
2019-11-11;60.09;60.09;60.09;60.09;16825.2
2019-11-13;60.3;60.3;60.06;60.06;7231.2
2019-11-15;60.61;60.64;60.61;60.64;4243.8
2019-11-18;60.64;60.64;60.64;60.64;12734.4
2019-11-19;60.9;60.9;60.46;60.46;124191.3
2019-11-21;60.28;60.28;60.27;60.27;20494.5
2019-11-22;60.53;60.55;60.45;60.45;28206.3
