Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-01-15;51.11;51.11;51.11;51.11;255.55
2020-01-16;51.22;51.22;51.22;51.22;512.2
2020-01-20;51.39;51.39;51.39;51.39;2569.5
2020-01-21;50.5;50.5;50.5;50.5;2525.0
2020-01-23;50.44;50.44;50.0;50.0;3022.0
2020-01-27;49.02;49.02;49.02;49.02;2451.0
2020-01-28;48.45;48.945;48.45;48.945;973.95
2020-01-31;48.105;48.105;48.105;48.105;24052.5
2020-02-03;47.6;47.625;47.6;47.625;761.875
2020-02-10;49.3;49.3;49.3;49.3;17107.1
2020-02-11;50.21;50.21;50.21;50.21;6125.62
2020-02-12;50.51;50.51;50.51;50.51;44246.76
2020-02-18;50.27;50.27;50.27;50.27;9601.57
2020-02-21;49.91;49.91;49.91;49.91;33090.33
2020-02-26;47.9;47.9;47.9;47.9;29698.0
2020-02-27;47.39;47.39;47.39;47.39;2369.5
2020-02-28;44.69;44.94;44.69;44.845;67895.97
2020-03-03;46.14;46.15;46.14;46.15;40379.0
2020-03-04;46.03;46.53;46.03;46.53;2648.71
2020-03-09;40.96;40.96;40.96;40.96;327.68
2020-03-11;41.84;41.84;41.84;41.84;5230.0
2020-03-16;36.9;36.9;36.9;36.9;2952.0
2020-03-17;36.5;36.5;36.5;36.5;2555.0
2020-03-18;35.775;35.775;35.775;35.775;679.725
2020-03-19;35.465;35.95;35.465;35.95;54502.2
2020-04-07;40.885;40.885;40.885;40.885;613.275
2020-04-15;40.8;40.8;40.11;40.11;2824.95
2020-04-16;40.54;40.54;40.54;40.54;81.08
2020-04-17;41.53;41.53;41.235;41.235;7462.675
2020-04-27;41.235;41.26;41.235;41.26;15967.245
2020-05-05;41.05;41.05;41.05;41.05;2668.25
2020-05-07;41.52;41.52;41.52;41.52;6061.92
2020-05-11;42.0;42.0;42.0;42.0;4200.0
2020-05-15;41.3;41.3;41.3;41.3;1239.0
2020-05-19;42.475;42.475;42.475;42.475;4247.5
2020-05-20;42.705;42.705;42.705;42.705;10377.315
2020-05-21;42.05;42.05;42.05;42.05;7569.0
2020-05-22;41.57;41.57;41.57;41.57;10143.08
2020-05-26;42.15;42.47;42.15;42.47;23150.22
2020-05-28;42.14;42.14;42.14;42.14;11925.62
2020-06-01;42.655;42.655;42.575;42.575;18183.525
2020-06-05;44.45;44.48;44.45;44.48;18674.4
2020-06-12;43.295;43.295;43.295;43.295;6018.005
2020-06-16;43.065;44.2;43.065;44.2;8775.33
2020-07-02;45.565;45.565;45.565;45.565;91130.0
2020-07-09;48.23;48.23;48.23;48.23;819.91
2020-07-10;47.465;47.465;47.465;47.465;1423.95
2020-07-13;47.73;47.73;47.73;47.73;4773.0
2020-07-16;46.09;46.09;45.79;45.79;2524.45
2020-07-20;46.92;46.92;46.92;46.92;4457.4
2020-07-23;46.82;46.88;46.82;46.88;64231.56
2020-07-24;45.71;45.71;45.71;45.71;1097.04
2020-07-27;45.885;45.885;45.885;45.885;917.7
2020-07-28;46.335;46.335;46.09;46.09;117124.745
2020-07-29;46.11;46.11;46.11;46.11;32000.34
2020-07-30;45.895;45.895;45.895;45.895;45.895
2020-08-03;45.875;45.875;45.44;45.7;5189.5
2020-08-04;46.11;46.345;46.11;46.345;2076.125
2020-08-06;46.225;46.225;46.225;46.225;1802.775
2020-08-07;45.895;45.895;45.895;45.895;826.11
2020-08-10;46.04;46.04;45.85;45.85;9573.85
2020-08-11;46.125;46.275;46.125;46.275;2813.925
2020-08-12;46.08;46.14;46.08;46.14;28339.26
2020-08-13;45.765;45.765;45.765;45.765;732.24
2020-08-14;45.885;45.885;45.885;45.885;45.885
2020-08-18;46.115;46.115;46.115;46.115;645.61
2020-08-21;46.22;46.22;46.22;46.22;785.74
2020-08-25;47.15;47.15;47.15;47.15;6129.5
2020-08-26;47.15;47.15;47.15;47.15;12259.0
2020-08-28;46.88;46.88;46.88;46.88;234.4
2020-09-01;46.81;46.81;46.655;46.655;2101.18
2020-09-02;47.49;47.49;47.49;47.49;569.88
2020-09-04;46.775;46.775;46.775;46.775;46.775
2020-09-07;46.415;46.415;46.415;46.415;46.415
2020-09-08;45.635;45.635;45.635;45.635;1323.415
2020-09-09;46.05;46.065;46.05;46.05;6126.45
2020-09-10;45.955;46.015;45.955;46.015;6022.145
2020-09-11;45.945;46.11;45.945;46.11;5008.335
2020-09-14;46.33;46.33;46.33;46.33;555.96
2020-09-15;47.16;47.16;47.05;47.08;10447.44
2020-09-16;47.295;47.295;47.295;47.295;141.885
2020-09-17;46.57;46.57;46.57;46.57;139.71
2020-09-22;46.13;46.155;46.13;46.155;2445.865
2020-09-23;46.2;46.2;46.065;46.065;1198.095
2020-09-24;45.24;45.255;45.24;45.255;7103.685
2020-09-25;45.25;45.25;45.25;45.25;2172.0
2020-09-29;45.61;45.755;45.61;45.755;6431.88
2020-09-30;45.965;45.965;45.965;45.965;1287.02
2020-10-01;46.625;46.79;46.625;46.79;5324.325
2020-10-02;46.815;46.815;46.815;46.815;327.705
2020-10-05;46.69;46.69;46.485;46.485;20914.455
2020-10-06;46.98;47.05;46.89;46.89;6855.26
2020-10-07;47.35;47.35;47.31;47.31;14816.55
2020-10-08;47.58;47.58;47.4;47.4;10872.6
2020-10-09;47.33;47.8;47.33;47.8;8282.42
2020-10-12;48.145;48.145;48.055;48.055;2068.885
2020-10-13;48.125;48.255;48.125;48.255;1636.51
2020-10-14;48.435;48.435;48.435;48.435;242.175
2020-10-15;47.63;47.855;47.63;47.855;14910.92
2020-10-16;47.88;48.04;47.88;48.04;1053.84
2020-10-19;48.375;48.375;48.01;48.01;23966.115
2020-10-21;48.01;48.01;48.01;48.01;4080.85
2020-10-22;48.14;48.14;48.14;48.14;2551.42
2020-10-23;48.255;48.255;48.255;48.255;4825.5
2020-10-26;47.575;47.85;47.575;47.85;8029.45
2020-11-02;48.07;48.17;47.92;47.92;181622.05
2020-11-03;48.34;48.34;48.34;48.34;105816.26
2020-11-05;49.9;49.9;49.9;49.9;25698.5
2020-11-09;50.37;50.37;50.37;50.37;25185.0
2020-11-10;50.37;50.37;50.37;50.37;805.92
2020-11-11;49.835;49.835;49.835;49.835;1544.885
2020-11-13;50.25;50.25;50.25;50.25;1005.0
2020-11-16;50.7;50.71;50.7;50.71;1368.96
2020-11-18;50.72;50.72;50.72;50.72;507.2
2020-11-19;50.66;50.66;50.42;50.47;37403.53
2020-11-23;51.27;51.27;51.24;51.24;204.99
2020-11-24;51.24;51.33;51.21;51.21;118402.92
2020-11-30;50.46;50.46;50.46;50.46;54749.1
2020-12-01;50.9;50.9;50.77;50.77;3408.19
