Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-03-21;28.87;28.87;28.87;28.87;2165.25
2022-03-25;27.37;27.37;27.37;27.37;2052.75
2022-03-29;26.29;26.29;26.29;26.29;3943.5
2022-04-05;24.3;24.43;24.3;24.43;9868.15
2022-04-06;27.81;28.89;27.81;28.89;5341.68
2022-04-13;28.36;28.36;28.36;28.36;4254.0
2022-04-14;27.07;27.07;27.07;27.07;10828.0
2022-04-21;25.34;25.34;25.19;25.19;5319.9
2022-04-22;27.39;28.07;27.39;28.07;16570.0
2022-04-25;31.8;32.21;31.8;32.0;8481.66
2022-04-27;33.12;33.27;33.12;33.27;6955.95
2022-04-29;33.3;33.44;33.3;33.44;67712.7
2022-05-05;31.87;31.87;31.87;31.87;4780.5
2022-05-06;36.15;36.15;36.08;36.08;6324.5
2022-05-10;37.64;38.4;37.64;38.4;75472.0
2022-05-13;34.7;34.7;34.7;34.7;2880.1
2022-05-19;36.58;36.58;36.58;36.58;3036.14
2022-05-20;32.66;32.66;32.66;32.66;979.8
2022-06-02;29.11;29.11;29.11;29.11;4948.7
2022-06-10;31.17;31.17;31.17;31.17;5298.9
2022-06-13;33.96;33.96;33.96;33.96;5094.0
2022-06-15;34.21;34.21;34.21;34.21;5131.5
2022-06-22;33.7;33.7;33.7;33.7;3370.0
2022-07-08;29.5;29.5;29.5;29.5;295.0
2022-07-11;30.23;30.27;29.82;29.82;3325.16
2022-07-22;28.02;28.02;27.53;27.53;2597.74
2022-07-26;27.92;27.98;27.92;27.98;1257.9
2022-07-28;26.66;26.66;26.66;26.66;533.2
2022-07-29;25.54;25.54;25.54;25.54;510.8
2022-08-03;26.29;26.29;25.92;25.92;8884.05
2022-08-05;25.29;25.29;25.29;25.29;1972.62
2022-08-10;22.99;22.99;22.99;22.99;942.59
2022-08-19;23.28;23.38;23.28;23.38;4416.72
2022-08-25;24.27;24.27;24.27;24.27;242.7
2022-09-02;24.86;24.86;24.86;24.86;248.6
2022-09-14;26.73;26.91;26.73;26.91;187.47
2022-09-16;26.94;26.94;26.94;26.94;404.1
2022-09-19;26.64;26.64;26.64;26.64;99900.0
2022-09-26;29.79;29.79;29.78;29.78;8042.1
2022-09-27;30.12;30.12;30.12;30.12;3012.0
2022-09-28;31.45;31.45;31.45;31.45;3145.0
2022-10-14;31.19;31.19;31.08;31.08;116581.19
2022-10-28;26.73;26.73;26.73;26.73;2673.0
2022-11-03;26.56;26.56;26.56;26.56;5312.0
2022-11-08;24.41;24.41;24.41;24.41;1220.5
2022-11-10;26.43;26.48;24.7;24.7;7054.6
2022-11-14;24.0;24.0;24.0;24.0;2400.0
2022-11-16;23.92;23.92;23.92;23.92;287.04
2022-11-18;23.25;23.25;23.25;23.25;813.75
2022-11-21;23.13;23.13;23.13;23.13;23.13
2022-11-22;22.47;22.47;22.25;22.25;4494.73
2022-11-23;21.87;21.87;21.37;21.37;128.72
2022-11-24;21.11;21.14;21.11;21.13;3212.24
2022-11-25;21.3;21.3;21.3;21.3;10650.0
2022-11-28;21.69;21.69;21.69;21.69;281.97
2022-11-30;21.91;21.91;21.91;21.91;43.82
2022-12-01;20.86;20.9;20.86;20.9;584.88
2022-12-02;20.29;20.29;20.14;20.14;4098.28
2022-12-05;20.06;20.06;20.06;20.06;40.12
2022-12-06;19.9;19.9;19.9;19.9;19900.0
2022-12-13;19.65;19.88;19.52;19.88;9831.88
2022-12-14;20.04;20.04;20.04;20.04;160.32
2022-12-15;19.3;19.3;19.3;19.3;77.2
2022-12-22;18.82;18.99;18.82;18.99;1082.09
2022-12-27;19.18;19.18;19.18;19.18;38.36
2022-12-28;19.29;19.29;18.95;18.95;228.08
2022-12-29;19.2;19.2;19.2;19.2;96.0
2023-01-03;18.83;18.83;18.83;18.83;94.15
2023-01-05;18.76;18.76;18.76;18.76;56.28
2023-01-06;18.99;18.99;18.99;18.99;949.5
2023-01-09;18.21;18.21;18.21;18.21;36.42
2023-01-10;18.24;18.24;18.24;18.24;36.48
2023-01-11;17.28;17.28;17.28;17.28;1728.0
2023-01-12;16.96;16.96;16.96;16.96;50.88
2023-01-13;16.39;16.39;16.06;16.06;8611.41
2023-01-16;16.17;16.17;16.17;16.17;48.51
2023-01-17;16.19;16.19;16.16;16.16;841.82
2023-01-18;16.01;16.01;16.01;16.01;48.03
2023-01-19;16.84;17.13;16.84;17.13;1781.25
2023-01-20;16.33;16.33;16.1;16.1;2060.11
2023-01-23;16.15;16.156;16.15;16.156;565.448
2023-01-24;16.01;16.01;15.646;15.646;814.32
2023-01-25;15.57;15.57;15.38;15.38;800.14
2023-01-26;15.23;15.23;15.05;15.05;8012.34
2023-01-27;15.2;15.3;15.0;15.0;11442.92
2023-01-30;15.22;15.22;15.22;15.22;3805.0
2023-01-31;15.58;15.58;15.08;15.08;12431.8
2023-02-01;15.13;15.13;15.13;15.13;30.26
2023-02-02;14.0;14.18;14.0;14.18;5827.24
2023-02-03;14.96;15.09;14.96;15.09;2368.87
2023-02-09;15.41;15.41;15.27;15.27;261.69
2023-02-10;15.89;16.0;15.89;16.0;7548.85
2023-02-13;16.03;16.03;16.0;16.0;1152.3
2023-02-15;15.34;15.34;15.1;15.1;2893.0
2023-02-16;14.92;15.22;14.91;15.22;632.44
2023-02-21;16.85;16.85;16.85;16.85;1668.15
2023-02-23;16.4;16.4;16.14;16.3;1054.18
2023-02-24;16.99;16.99;16.99;16.99;1053.38
2023-02-27;16.0;16.0;15.9;15.9;1787.0
2023-02-28;15.86;15.86;15.59;15.59;811.22
2023-03-01;15.45;15.45;15.45;15.45;30.9
2023-03-02;15.5;15.5;15.5;15.5;992.0
2023-03-03;15.18;15.18;14.94;14.94;60.24
2023-03-06;14.59;14.61;14.27;14.27;8334.48
2023-03-07;14.27;14.36;14.25;14.25;2326.91
2023-03-09;14.3;14.33;14.3;14.33;2902.99
2023-03-10;16.5;16.6;16.36;16.6;18678.6
2023-03-13;17.3;20.43;17.3;18.46;32233.26
2023-03-14;18.45;18.7;16.55;16.77;5839.17
2023-03-15;18.94;21.07;18.94;21.07;7225.61
2023-03-16;19.55;19.55;18.31;18.31;3979.9
2023-03-17;17.72;18.99;17.72;18.99;3183.16
2023-03-20;20.22;20.22;18.6;18.6;2690.3
2023-03-21;18.0;18.0;17.16;17.16;1228.6
2023-03-22;16.88;16.88;16.87;16.87;877.74
2023-03-23;16.62;16.62;16.62;16.62;33.24
2023-03-28;16.44;16.55;16.42;16.48;2542.8
2023-03-29;15.53;15.54;15.48;15.48;6047.4
2023-03-30;15.29;15.29;15.1;15.1;1855.82
2023-03-31;15.52;15.52;15.4;15.4;1571.04
2023-04-03;15.45;15.45;15.34;15.34;797.9
2023-04-04;14.82;15.25;14.7;15.25;25849.73
2023-04-05;15.0;15.3;15.0;15.3;6259.8
2023-04-06;15.0;15.1;14.95;15.1;4290.15
2023-04-11;14.46;14.46;14.2;14.2;6953.91
2023-04-12;14.0;14.09;14.0;14.09;1540.9
2023-04-13;14.34;14.34;13.94;13.94;569.6
2023-04-14;14.04;14.1;13.95;14.05;54815.37
2023-04-17;13.88;13.88;13.62;13.79;8631.53
2023-04-18;13.56;13.56;13.51;13.51;67.7
2023-04-19;13.56;13.64;13.33;13.4;9590.4
2023-04-20;13.5;13.66;13.5;13.66;972.32
2023-04-25;13.58;13.58;13.58;13.58;1358.0
2023-04-26;14.1;14.4;14.1;14.16;37596.95
2023-04-27;13.76;13.76;13.26;13.26;7828.1
2023-04-28;13.6;13.6;12.99;12.99;3110.9
2023-05-02;12.9;13.02;12.9;13.02;1620.1
2023-05-03;13.24;13.38;13.24;13.35;2148.5
2023-05-04;14.02;14.566;14.02;14.566;54576.78
2023-05-08;13.25;13.33;13.25;13.33;8652.5
2023-05-09;13.34;13.34;13.34;13.34;26.68
2023-05-10;13.44;13.44;12.83;12.88;10894.17
2023-05-11;12.95;12.96;12.95;12.96;919.96
2023-05-12;12.8;12.93;12.8;12.93;1772.7
2023-05-15;12.91;12.91;12.91;12.91;129.1
2023-05-16;12.79;12.79;12.75;12.75;2046.0
2023-05-17;13.12;13.12;12.83;12.83;516.1
2023-05-18;12.47;12.47;12.47;12.47;1247.0
2023-05-19;12.23;12.23;12.03;12.03;524.39
2023-05-22;12.65;12.65;12.65;12.65;126.5
2023-05-24;13.12;13.3;13.12;13.3;10296.4
2023-05-26;12.54;12.54;12.286;12.286;1297.88
2023-05-29;12.36;12.36;12.36;12.36;123.6
2023-05-30;12.4;12.4;12.21;12.21;6322.1
2023-05-31;12.55;12.55;12.5;12.5;1375.5
2023-06-01;11.99;11.99;11.96;11.96;2431.48
2023-06-02;11.23;11.23;11.0;11.0;4706.85
2023-06-05;10.9;11.0;10.9;11.0;8469.2
2023-06-06;10.72;10.72;10.36;10.36;6592.5
2023-06-07;10.09;10.14;10.0;10.13;2706.1
2023-06-08;10.28;10.28;9.8;9.8;1144.0
2023-06-09;9.8;10.16;9.68;10.16;10614.9
2023-06-12;9.76;10.05;9.75;10.05;1416.5
2023-06-13;9.9;9.9;9.77;9.77;246.2
2023-06-14;9.78;9.78;9.64;9.7;6513.73
2023-06-15;9.51;9.51;9.42;9.43;3385.66
2023-06-16;9.7;9.7;9.58;9.58;1074.16
2023-06-19;9.25;9.25;9.25;9.25;4625.0
2023-06-20;9.38;9.43;9.37;9.43;846.5
2023-06-21;9.31;9.31;9.27;9.27;493.31
2023-06-22;9.17;9.17;9.16;9.16;3618.35
2023-06-23;9.04;9.04;9.03;9.03;5512.4
2023-06-26;9.13;9.13;8.88;8.88;2092.95
2023-06-27;8.96;8.96;8.84;8.84;3717.9
2023-06-28;8.77;8.77;8.77;8.77;131.55
2023-06-29;8.42;8.42;8.42;8.42;8420.0
2023-06-30;8.63;8.63;8.61;8.61;4090.05
2023-07-03;8.49;8.49;8.44;8.44;8553.88
2023-07-04;8.42;8.42;8.42;8.42;126.3
2023-07-05;8.52;8.52;8.52;8.52;127.8
2023-07-06;8.93;10.0;8.93;9.97;14975.7
2023-07-07;9.22;9.22;9.2;9.2;6913.0
2023-07-10;8.97;8.97;8.97;8.97;26.91
2023-07-12;7.97;7.97;7.97;7.97;159.4
2023-07-13;7.86;7.86;7.72;7.72;8638.02
2023-07-14;7.97;7.97;7.97;7.97;17940.47
2023-07-18;7.81;7.81;7.76;7.76;2459.4
2023-07-19;7.73;7.74;7.73;7.74;193.35
2023-07-20;7.98;7.98;7.98;7.98;119.7
2023-07-21;7.85;7.85;7.74;7.74;110016.1
2023-07-24;7.87;7.87;7.84;7.84;1177.5
2023-07-26;7.82;7.82;7.82;7.82;1564.0
2023-07-27;7.5;7.5;7.4;7.4;5622.2
2023-07-28;7.76;7.76;7.76;7.76;17460.0
2023-07-31;7.57;7.68;7.57;7.68;128.91
2023-08-02;8.41;8.66;8.23;8.66;132150.24
2023-08-03;8.79;8.93;8.75;8.93;1419.52
2023-08-04;8.17;8.34;7.98;7.98;10833.7
