Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-01-23;23.77;23.77;23.77;23.77;11885.0
2020-02-28;21.04;21.04;21.04;21.04;25774.0
2020-03-10;20.1;20.1;20.1;20.1;10050.0
2020-03-11;19.63;19.63;19.63;19.63;9815.0
2020-03-13;18.0;18.0;18.0;18.0;14400.0
2020-03-18;18.072;18.072;18.072;18.072;14457.6
2020-04-15;20.59;20.59;20.45;20.45;1234.0
2020-04-17;20.53;20.53;20.53;20.53;1129.15
2020-05-06;21.115;21.115;21.115;21.115;20101.48
2020-05-15;21.195;21.195;21.195;21.195;1271.7
2020-05-25;21.39;21.39;21.39;21.39;85.56
2020-05-28;22.59;22.59;22.59;22.59;5263.47
2020-05-29;22.045;22.045;22.045;22.045;30025.29
2020-06-02;22.4;22.4;22.395;22.395;60613.17
2020-06-03;22.395;22.395;22.395;22.395;179.16
2020-06-04;22.015;22.015;22.015;22.015;91956.655
2020-06-09;22.485;22.485;22.485;22.485;6745.5
2020-06-10;22.48;22.48;22.48;22.48;16860.0
2020-06-15;21.51;21.525;21.51;21.525;19383.93
2020-06-16;22.15;22.42;22.15;22.42;64020.21
2020-06-19;22.505;22.505;22.505;22.505;225.05
2020-06-22;22.245;22.245;22.245;22.245;266.94
2020-06-24;22.135;22.135;22.135;22.135;265.62
2020-07-15;22.18;22.18;22.18;22.18;998.1
2020-07-16;21.95;21.95;21.95;21.95;3621.75
2020-07-24;21.43;21.43;21.43;21.43;77812.33
2020-07-27;21.64;21.64;21.64;21.64;23717.44
2020-08-07;21.04;21.04;21.04;21.04;1788.4
2020-08-17;21.765;21.765;21.765;21.765;870.6
2020-08-18;21.84;21.84;21.84;21.84;17821.44
2020-08-21;21.78;21.78;21.78;21.78;31842.36
2020-09-01;21.67;21.67;21.67;21.67;2492.05
2020-09-07;21.84;21.84;21.84;21.84;26208.0
2020-09-08;21.74;21.74;21.74;21.74;347.84
2020-09-09;21.885;21.885;21.885;21.885;98482.5
2020-09-15;22.34;22.34;22.34;22.34;67.02
2020-09-21;22.095;22.095;22.095;22.095;1276803.765
2020-10-06;22.485;22.535;22.485;22.535;33074.88
2020-10-07;22.615;22.615;22.615;22.615;5110.99
2020-10-12;22.575;22.58;22.575;22.58;124990.2
2020-10-15;22.475;22.475;22.475;22.475;44.95
2020-10-19;22.455;22.455;22.455;22.455;21669.075
2020-10-20;22.235;22.235;22.23;22.23;126556.77
2020-10-21;22.4;22.4;22.4;22.4;46636.8
2020-10-27;22.345;22.345;22.345;22.345;22.345
2020-10-28;22.24;22.24;22.24;22.24;21461.6
2020-10-29;22.44;22.445;22.44;22.445;355258.295
2020-11-03;22.815;22.815;22.81;22.81;4562.75
2020-11-05;23.085;23.12;23.085;23.12;17706.755
2020-11-06;23.145;23.145;23.145;23.145;23.145
2020-11-10;23.765;23.765;23.765;23.765;47.53
2020-11-12;23.71;23.71;23.71;23.71;806.14
2020-11-16;24.0;24.24;23.99;24.24;9939.86
2020-11-17;24.04;24.04;24.04;24.04;2500.16
2020-11-19;24.01;24.01;24.01;24.01;10012.17
2020-11-24;24.675;24.675;24.675;24.675;14977.725
2020-11-25;24.435;24.435;24.3;24.3;7317.0
2020-11-30;24.31;24.31;24.31;24.31;3281.85
2020-12-01;24.3;24.3;24.3;24.3;7290.0
2020-12-03;24.12;24.12;24.11;24.11;108515.73
2020-12-07;24.035;24.035;24.035;24.035;2980.34
2020-12-11;24.22;24.22;24.215;24.215;164686.49
2020-12-14;24.445;24.445;24.445;24.445;1955.6
2020-12-15;24.28;24.375;24.28;24.375;4421.05
2020-12-21;24.345;24.345;23.96;23.96;141412.935
2020-12-28;24.345;24.375;24.345;24.375;23252.475
2021-01-06;24.47;24.47;24.47;24.47;24.47
2021-01-08;25.28;25.28;25.28;25.28;10112.0
2021-01-14;25.585;25.585;25.585;25.585;144376.155
2021-01-15;25.45;25.45;25.45;25.45;12775.9
2021-01-18;25.425;25.425;25.425;25.425;711.9
2021-01-19;25.505;25.505;25.505;25.505;24994.9
2021-01-20;25.545;25.545;25.545;25.545;582630.36
2021-01-22;25.235;25.29;25.235;25.29;33245.9
2021-01-25;25.42;25.42;25.42;25.42;4067.2
2021-01-26;25.43;25.43;25.43;25.43;1447090.4688
2021-01-27;25.43;25.43;25.43;25.43;559.46
2021-01-28;25.225;25.225;25.225;25.225;15135.0
2021-02-01;25.0;25.0;25.0;25.0;1100.0
2021-02-02;25.25;25.285;25.25;25.285;106120.76
2021-02-04;25.5;25.5;25.5;25.5;25.5
2021-02-08;26.16;26.16;26.115;26.14;16444.19
2021-02-09;26.18;26.18;26.17;26.17;70639.73
2021-02-10;26.2;26.235;26.2;26.21;11246.445
2021-02-11;25.83;26.17;25.83;26.17;1070.93
2021-02-12;26.155;26.26;26.155;26.26;1233.485
2021-02-16;26.565;26.655;26.565;26.655;6190.365
2021-02-17;26.595;26.595;26.595;26.595;132.975
2021-02-19;26.155;26.155;26.155;26.155;3269.375
2021-02-23;26.09;26.09;26.03;26.03;31305.59
2021-02-24;25.845;25.845;25.71;25.71;3717.63
