Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-12-10;25.18;25.18;24.945;24.945;131977.57
2020-12-11;25.015;25.02;24.92;25.0;317533.91
2020-12-14;25.205;25.205;25.035;25.035;166139.6
2020-12-15;25.045;25.06;25.0;25.05;67068.745
2020-12-16;25.14;25.195;25.12;25.195;689529.46
2020-12-17;25.225;25.275;25.225;25.26;267403.785
2020-12-18;25.24;25.265;25.21;25.23;156795.275
2020-12-21;25.315;25.315;24.95;25.025;113281.065
2020-12-22;25.2;25.215;25.075;25.215;192776.335
2020-12-23;25.2;25.225;25.18;25.225;37173.8
2020-12-28;25.27;25.37;25.19;25.35;245251.24
2020-12-29;25.42;25.44;25.4;25.435;266913.66
2020-12-30;25.575;25.575;25.335;25.43;420355.145
2021-01-04;25.575;25.575;25.27;25.29;819341.07
2021-01-05;25.255;25.335;25.25;25.335;127640.895
2021-01-06;25.3;25.425;25.215;25.415;376645.34
2021-01-07;25.46;25.6;25.415;25.48;599167.33
2021-01-08;25.645;25.71;25.615;25.62;272235.59
2021-01-11;25.67;25.73;25.625;25.7;148505.88
2021-01-12;25.715;25.755;25.7;25.725;190419.465
2021-01-13;25.66;25.795;25.625;25.795;323981.015
2021-01-14;25.825;25.92;25.78;25.87;202936.17
2021-01-15;25.79;25.8;25.625;25.75;463918.095
2021-01-18;25.85;25.85;25.715;25.825;1265766.45
2021-01-19;25.79;25.825;25.76;25.76;422722.105
2021-01-20;25.65;25.975;25.635;25.93;211608.59
2021-01-21;26.05;26.05;25.9;25.935;265672.485
2021-01-22;25.735;25.84;25.735;25.82;254914.955
2021-01-25;25.9;25.94;25.68;25.79;385134.405
2021-01-26;25.87;25.935;25.87;25.88;339752.8
2021-01-27;25.89;25.89;25.61;25.685;335960.68
2021-01-28;25.585;25.655;25.34;25.65;168304.615
2021-01-29;25.5;25.5;25.34;25.36;205043.835
2021-02-01;25.435;25.485;25.365;25.48;328395.84
2021-02-02;25.65;25.82;25.65;25.82;63982.055
2021-02-03;25.895;25.895;25.745;25.845;241592.39
2021-02-04;25.88;25.93;25.795;25.93;59402.9
2021-02-05;26.0;26.075;25.915;25.915;255128.955
2021-02-08;26.015;26.095;26.015;26.085;234555.265
2021-02-09;26.12;26.12;26.01;26.07;176580.4
2021-02-10;26.12;26.13;25.975;26.025;311015.935
2021-02-11;26.11;26.14;26.065;26.065;190053.76
2021-02-12;26.11;26.195;26.1;26.15;184687.25
2021-02-15;26.2;26.275;26.185;26.265;95485.585
2021-02-16;26.3;26.3;26.135;26.175;713367.46
2021-02-17;26.18;26.24;26.115;26.195;224853.065
2021-02-18;26.27;26.27;25.95;26.0;144364.585
2021-02-19;26.13;26.13;25.98;26.015;260069.705
2021-02-22;25.95;25.95;25.78;25.88;167388.855
2021-02-23;25.975;25.975;25.61;25.75;279684.175
2021-02-24;25.75;25.8;25.69;25.8;84939.485
2021-02-25;25.9;25.9;25.65;25.65;131067.42
2021-02-26;25.575;25.575;25.23;25.42;304417.885
2021-03-01;25.805;25.87;25.65;25.815;211248.43
2021-03-02;25.895;25.895;25.79;25.795;95831.395
2021-03-03;25.9;25.9;25.59;25.715;127168.2
2021-03-04;25.68;25.68;25.52;25.55;185763.295
2021-03-05;25.58;25.67;25.4;25.4;178654.605
2021-03-08;25.74;25.86;25.6;25.835;354341.26
2021-03-09;25.775;25.85;25.775;25.835;258898.23
2021-03-10;25.88;25.975;25.81;25.975;140662.15
2021-03-11;26.055;26.07;26.0;26.07;112327.745
2021-03-12;26.09;26.09;25.94;25.95;253703.79
2021-03-15;26.08;26.13;26.01;26.04;448659.385
2021-03-16;26.1;26.245;26.1;26.155;132390.445
2021-03-17;26.2;26.2;26.01;26.01;171774.705
2021-03-18;26.15;26.15;26.0;26.105;126835.955
2021-03-19;26.105;26.105;25.95;26.035;265961.055
2021-03-22;26.005;26.055;25.925;26.055;295697.11
2021-03-23;26.055;26.14;25.955;26.115;272355.685
2021-03-24;26.13;26.13;25.965;26.08;322356.73
2021-03-25;26.085;26.085;25.895;25.9;162539.04
2021-03-26;26.18;26.18;26.1;26.125;281081.1
2021-03-29;26.24;26.26;26.165;26.2;142424.03
2021-03-30;26.29;26.29;26.22;26.29;427416.66
2021-03-31;26.245;26.335;26.22;26.325;147602.2
2021-04-01;26.365;26.475;26.295;26.45;230128.82
2021-04-06;26.61;26.61;26.515;26.58;885989.69
2021-04-07;26.625;26.625;26.44;26.44;324021.505
2021-04-08;26.515;26.67;26.5;26.545;781802.705
2021-04-09;26.6;26.6;26.505;26.57;291804.985
2021-04-12;26.59;26.59;26.5;26.535;126407.43
2021-04-13;26.58;26.58;26.505;26.58;168503.24
2021-04-14;26.66;26.66;26.555;26.61;208791.41
2021-04-15;26.73;26.73;26.595;26.705;196540.29
2021-04-16;26.72;26.765;26.68;26.74;172797.065
2021-04-19;26.9;26.905;26.63;26.645;492008.82
2021-04-20;26.73;26.73;26.44;26.455;153710.43
2021-04-21;26.51;26.56;26.44;26.545;86182.27
2021-04-22;26.55;26.66;26.52;26.65;211566.46
2021-04-23;26.55;26.62;26.5;26.62;61247.135
2021-04-26;26.6;26.655;26.56;26.65;213046.69
2021-04-27;26.675;26.68;26.57;26.63;523061.535
2021-04-28;26.745;26.75;26.59;26.625;282245.235
2021-04-29;26.65;26.66;26.55;26.58;241521.825
2021-04-30;26.685;26.685;26.515;26.59;244584.985
2021-05-03;26.65;26.66;26.54;26.59;502260.43
2021-05-04;26.67;26.675;26.46;26.49;232729.685
2021-05-05;26.54;26.665;26.515;26.6;321825.83
2021-05-06;26.64;26.665;26.54;26.55;342339.915
2021-05-07;26.655;26.76;26.65;26.65;492060.455
2021-05-10;26.775;26.775;26.625;26.625;157866.43
2021-05-11;26.56;26.56;26.225;26.31;452177.95
2021-05-12;26.355;26.37;26.2;26.25;101913.825
2021-05-13;26.155;26.25;25.95;26.22;264520.975
2021-05-14;26.385;26.385;26.18;26.31;531923.73
2021-05-17;26.35;26.37;26.305;26.33;251070.075
2021-05-18;26.525;26.525;26.3;26.36;193684.98
2021-05-19;26.225;26.225;25.97;26.11;347815.29
2021-05-20;26.2;26.25;26.115;26.25;466762.855
2021-05-21;26.365;26.46;26.25;26.37;453140.075
2021-05-24;26.39;26.46;26.37;26.46;114822.885
2021-05-25;26.52;26.55;26.465;26.535;329203.43
2021-05-26;26.645;26.645;26.5;26.58;422600.165
2021-05-27;26.575;26.635;26.495;26.61;370890.905
2021-05-28;26.57;26.71;26.57;26.675;99427.335
2021-05-31;26.755;26.755;26.5;26.58;297280.63
2021-06-01;26.635;26.775;26.615;26.64;405568.04
2021-06-02;26.685;26.725;26.61;26.72;74855.715
2021-06-03;26.73;26.74;26.555;26.74;169101.38
2021-06-04;26.745;26.81;26.7;26.81;206147.465
2021-06-07;26.8;26.845;26.695;26.8;518758.4
2021-06-08;26.82;26.89;26.75;26.83;1152211.315
2021-06-09;26.77;26.86;26.76;26.86;541007.005
2021-06-10;26.96;26.96;26.795;26.875;184246.76
2021-06-11;26.92;27.015;26.875;27.0;191186.455
2021-06-14;27.005;27.065;26.955;26.995;373580.655
2021-06-15;27.04;27.065;26.98;26.98;158496.525
2021-06-16;27.1;27.1;26.935;27.035;210609.12
2021-06-17;26.97;27.155;26.97;27.155;196316.535
2021-06-18;27.2;27.2;27.02;27.045;345217.0
2021-06-21;27.05;27.085;26.855;27.085;102742.69
2021-06-22;27.1;27.145;27.045;27.1;455014.62
2021-06-23;27.1;27.205;27.07;27.13;301794.485
2021-06-24;27.17;27.245;27.105;27.23;594441.36
2021-06-25;27.25;27.26;27.21;27.25;83166.54
2021-06-28;27.26;27.33;27.2;27.29;256367.635
2021-06-29;27.315;27.37;27.26;27.345;101765.885
2021-06-30;27.35;27.375;27.235;27.3;188787.425
2021-07-01;27.37;27.475;27.305;27.33;434466.0
2021-07-02;27.45;27.505;27.425;27.495;175182.93
2021-07-05;27.59;27.59;27.43;27.53;318668.87
2021-07-06;27.545;27.575;27.47;27.47;422226.27
2021-07-07;27.665;27.665;27.505;27.62;158564.065
2021-07-08;27.6;27.6;27.255;27.345;346159.375
2021-07-09;27.465;27.525;27.43;27.525;116526.015
2021-07-12;27.6;27.61;27.5;27.61;106710.875
2021-07-13;27.62;27.7;27.62;27.7;188380.815
2021-07-14;27.7;27.7;27.56;27.67;159882.455
2021-07-15;27.65;27.675;27.545;27.595;209077.925
2021-07-16;27.605;27.64;27.55;27.55;319102.72
2021-07-19;27.55;27.55;27.165;27.24;249667.13
2021-07-20;27.495;27.495;27.28;27.47;302949.05
2021-07-21;27.6;27.6;27.5;27.55;267177.45
2021-07-22;27.67;27.69;27.595;27.665;116497.64
2021-07-23;27.84;27.84;27.715;27.775;203674.57
2021-07-26;27.795;27.795;27.61;27.73;427567.035
2021-07-27;27.65;27.71;27.56;27.565;261834.495
2021-07-28;27.58;27.72;27.58;27.705;160578.56
2021-07-29;27.75;27.755;27.67;27.755;426665.89
2021-07-30;27.655;27.69;27.5;27.69;203123.995
2021-08-02;27.65;27.75;27.65;27.75;578413.01
2021-08-03;27.75;27.75;27.655;27.72;118252.765
2021-08-04;27.85;27.85;27.66;27.805;169520.995
2021-08-05;27.83;27.845;27.8;27.835;187160.22
2021-08-06;27.845;27.93;27.845;27.85;142730.095
2021-08-09;27.99;27.99;27.86;27.925;156857.625
2021-08-10;27.96;27.995;27.885;27.97;225457.855
2021-08-11;28.0;28.035;27.9;27.925;814142.66
2021-08-12;27.985;28.01;27.915;27.995;100561.155
2021-08-13;28.02;28.02;27.925;27.98;243451.795
2021-08-16;28.02;28.02;27.855;27.855;441046.855
2021-08-17;27.92;27.955;27.87;27.955;268335.59
2021-08-18;27.93;27.96;27.92;27.94;112037.46
2021-08-19;27.81;27.81;27.575;27.78;433574.645
2021-08-20;27.8;27.85;27.62;27.84;432893.815
2021-08-23;27.9;27.97;27.765;27.97;389378.395
2021-08-24;27.945;28.025;27.945;28.0;152166.195
2021-08-25;28.025;28.025;27.97;28.0;234452.06
2021-08-26;27.97;27.98;27.855;27.92;180989.145
2021-08-27;27.92;27.98;27.855;27.98;98786.225
2021-08-30;27.945;28.085;27.94;28.085;218438.145
2021-08-31;28.115;28.12;28.0;28.07;182775.325
2021-09-01;28.055;28.15;28.05;28.09;580148.375
2021-09-02;28.09;28.115;28.035;28.1;285835.785
2021-09-03;28.2;28.2;28.02;28.07;238757.755
2021-09-06;28.15;28.185;28.14;28.185;257632.845
2021-09-07;28.18;28.18;28.065;28.09;112957.495
2021-09-08;28.16;28.16;28.0;28.05;561364.4
2021-09-09;28.06;28.13;27.935;28.1;310655.23
2021-09-10;28.1;28.1;28.0;28.0;207307.06
2021-09-13;28.18;28.18;27.96;27.975;431383.635
2021-09-14;27.975;28.015;27.925;27.965;327141.515
2021-09-15;28.0;28.0;27.8;27.905;565595.01
2021-09-16;27.95;28.045;27.94;27.95;388908.665
2021-09-17;27.93;28.0;27.85;27.895;286667.09
2021-09-20;27.81;27.81;27.55;27.55;474231.7
2021-09-21;27.81;27.81;27.625;27.645;127491.49
2021-09-22;27.655;27.835;27.625;27.835;580871.715
2021-09-23;27.955;27.965;27.9;27.94;282446.155
2021-09-24;27.9;27.9;27.715;27.805;347086.38
2021-09-27;28.0;28.0;27.81;27.89;238169.27
2021-09-28;27.86;27.87;27.505;27.57;2985789.915
2021-09-29;27.535;27.7;27.535;27.68;169972.885
2021-09-30;27.8;27.835;27.62;27.65;177498.47
2021-10-01;27.485;27.64;27.35;27.49;658671.45
2021-10-04;27.515;27.555;27.35;27.385;226341.26
2021-10-05;27.46;27.62;27.44;27.59;204339.555
2021-10-06;27.45;27.51;27.31;27.5;215265.375
