Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-12-10;25.08;25.08;25.08;25.08;25.08
2020-12-11;25.01;25.05;24.96;25.05;39001.4
2020-12-14;25.13;25.13;25.05;25.08;63501.505
2020-12-15;25.035;25.1;25.035;25.1;20790.0
2020-12-16;25.135;25.14;25.1;25.105;33167.0
2020-12-17;25.17;25.17;25.17;25.17;12585.0
2020-12-18;25.145;25.17;25.145;25.17;1384.225
2020-12-21;25.18;25.18;24.9;25.0;79449.8
2020-12-22;24.995;25.11;24.995;25.11;34241.4
2020-12-23;25.12;25.13;25.09;25.09;6028.4
2020-12-28;25.09;25.19;25.05;25.19;31700.2
2020-12-29;25.245;25.25;25.245;25.25;9846.5
2020-12-30;25.245;25.245;25.245;25.245;1262.25
2021-01-04;25.325;25.33;25.28;25.28;256434.94
2021-01-05;25.255;25.36;25.255;25.36;30327.0
2021-01-06;25.21;25.21;25.18;25.18;6299.5
2021-01-07;25.28;25.335;25.28;25.335;11845.44
2021-01-08;25.425;25.48;25.42;25.42;61158.89
2021-01-11;25.38;25.495;25.38;25.46;30509.35
2021-01-12;25.495;25.495;25.4;25.4;6567.99
2021-01-13;25.45;25.495;25.45;25.495;1782.85
2021-01-14;25.555;25.58;25.555;25.58;21734.0
2021-01-15;25.545;25.545;25.46;25.48;136670.25
2021-01-18;25.48;25.48;25.46;25.465;14034.07
2021-01-19;25.555;25.555;25.46;25.54;97045.95
2021-01-20;25.52;25.63;25.52;25.63;12757.11
2021-01-21;25.625;25.645;25.59;25.59;60194.5
2021-01-22;25.53;25.53;25.46;25.46;169778.9
2021-01-25;25.52;25.58;25.5;25.5;173808.1
2021-01-27;25.45;25.45;25.45;25.45;1527.0
2021-01-28;25.4;25.4;25.305;25.36;119456.525
2021-01-29;25.21;25.21;25.19;25.19;11462.25
2021-02-01;25.295;25.295;25.295;25.295;18010.04
2021-02-02;25.395;25.445;25.395;25.445;36860.75
2021-02-03;25.49;25.56;25.49;25.54;19533.2
2021-02-04;25.55;25.6;25.55;25.595;55079.585
2021-02-05;25.6;25.675;25.585;25.585;26036.675
2021-02-08;25.63;25.64;25.63;25.64;38037.13
2021-02-09;25.675;25.675;25.66;25.675;14630.1
2021-02-10;25.66;25.69;25.6;25.6;72953.55
2021-02-11;25.615;25.695;25.615;25.695;25380.355
2021-02-12;25.68;25.705;25.68;25.68;30132.39
2021-02-15;25.68;25.74;25.68;25.74;22973.985
2021-02-16;25.72;25.725;25.63;25.65;99310.5
2021-02-17;25.685;25.685;25.64;25.64;33306.33
2021-02-18;25.485;25.485;25.465;25.465;5093.8
2021-02-19;25.485;25.565;25.485;25.56;27925.66
2021-02-22;25.495;25.495;25.34;25.37;34314.535
2021-02-23;25.315;25.315;25.2;25.205;13892.175
2021-02-24;25.27;25.27;25.27;25.27;12635.0
2021-02-26;25.12;25.12;25.0;25.0;25636.22
2021-03-01;25.26;25.325;25.26;25.325;15494.54
2021-03-02;25.385;25.41;25.325;25.375;85424.0
2021-03-03;25.345;25.38;25.315;25.38;30001.94
2021-03-04;25.14;25.14;25.135;25.135;1985.865
2021-03-05;25.065;25.065;25.05;25.05;5536.83
2021-03-08;25.1;25.235;25.1;25.235;3828.17
2021-03-09;25.265;25.265;25.265;25.265;6013.07
2021-03-10;25.35;25.35;25.35;25.35;10140.0
2021-03-11;25.48;25.485;25.48;25.485;6625.3
2021-03-12;25.44;25.44;25.345;25.345;10147.5
2021-03-15;25.375;25.475;25.375;25.475;15853.425
2021-03-16;25.52;25.52;25.455;25.505;29052.3
2021-03-17;25.5;25.5;25.405;25.405;5090.5
2021-03-18;25.32;25.32;25.32;25.32;2532.0
2021-03-19;25.44;25.44;25.39;25.39;35991.35
2021-03-22;25.33;25.35;25.33;25.35;25456.75
2021-03-24;25.46;25.465;25.46;25.465;6416.0
2021-03-25;25.41;25.43;25.37;25.395;93909.0
2021-03-26;25.48;25.49;25.48;25.49;17078.1
2021-03-29;25.685;25.685;25.51;25.51;28102.0
2021-03-30;25.55;25.55;25.55;25.55;255.5
2021-03-31;25.575;25.575;25.555;25.555;5034.355
2021-04-01;25.665;25.665;25.595;25.66;153115.57
2021-04-06;25.77;25.775;25.76;25.775;118717.875
2021-04-07;25.755;25.755;25.74;25.75;11898.35
2021-04-08;25.915;25.915;25.79;25.79;19682.745
2021-04-09;25.73;25.73;25.73;25.73;43226.4
2021-04-12;25.81;25.81;25.805;25.805;25034.725
2021-04-13;25.8;25.8;25.78;25.8;37056.43
2021-04-14;25.77;25.77;25.77;25.77;20280.99
2021-04-15;25.83;25.91;25.83;25.9;33075.48
2021-04-16;25.875;25.94;25.875;25.94;20952.5
2021-04-19;25.94;25.94;25.82;25.82;15882.795
2021-04-20;25.78;25.79;25.665;25.71;36534.0
2021-04-21;25.715;25.795;25.715;25.795;15703.75
2021-04-22;25.76;25.87;25.76;25.87;24392.485
2021-04-23;25.815;25.82;25.815;25.82;56797.5
2021-04-26;25.725;25.855;25.725;25.85;13236.01
2021-04-28;25.795;25.8;25.795;25.8;28379.5
2021-04-29;25.8;25.85;25.8;25.85;20094.3
2021-05-03;25.81;25.87;25.81;25.87;21425.73
2021-05-04;25.795;25.795;25.72;25.72;106563.3
2021-05-05;25.835;25.865;25.835;25.865;60399.005
2021-05-06;25.83;25.83;25.785;25.785;9033.0
2021-05-07;25.88;25.88;25.88;25.88;3882.0
2021-05-11;25.62;25.62;25.565;25.565;20464.5
2021-05-12;25.64;25.64;25.56;25.56;29087.92
2021-05-13;25.335;25.49;25.335;25.49;10449.35
2021-05-14;25.65;25.65;25.65;25.65;11286.0
2021-05-17;25.57;25.61;25.555;25.595;45773.29
2021-05-18;25.61;25.61;25.61;25.61;6735.43
2021-05-19;25.545;25.545;25.4;25.4;15339.1
2021-05-20;25.495;25.585;25.47;25.585;13772.22
2021-05-24;25.675;25.675;25.675;25.675;77.025
2021-05-25;25.77;25.78;25.7;25.78;86941.52
2021-05-26;25.78;25.785;25.78;25.785;25703.16
2021-05-27;25.78;25.83;25.78;25.83;18665.92
2021-05-28;25.775;25.89;25.775;25.86;12529.6
2021-05-31;25.845;25.845;25.75;25.84;73330.55
2021-06-01;25.895;25.915;25.83;25.83;34009.735
2021-06-02;25.88;25.88;25.88;25.88;2199.8
2021-06-03;25.885;25.89;25.81;25.86;221364.155
2021-06-04;25.885;25.885;25.815;25.885;9315.8
2021-06-07;25.89;26.0;25.89;25.95;46297.18
2021-06-08;26.0;26.02;25.985;25.99;97873.755
2021-06-09;26.0;26.02;25.99;26.02;58237.78
2021-06-10;25.96;26.035;25.96;26.035;10514.175
2021-06-11;26.03;26.16;26.03;26.145;58312.45
2021-06-14;26.2;26.2;26.125;26.125;65617.625
2021-06-15;26.1;26.155;26.1;26.125;50726.005
2021-06-16;26.145;26.155;26.145;26.145;58261.56
2021-06-17;25.855;25.915;25.855;25.915;9337.055
2021-06-18;25.96;25.96;25.92;25.92;14266.0
2021-06-21;25.87;25.925;25.87;25.925;27557.05
2021-06-22;25.91;25.91;25.91;25.91;14690.97
2021-06-23;26.06;26.06;25.945;25.945;5575.23
2021-06-24;25.975;25.995;25.975;25.995;49510.475
2021-06-25;26.0;26.0;26.0;26.0;3900.0
2021-06-28;26.1;26.1;25.99;25.99;56436.6
2021-06-29;26.06;26.085;26.005;26.085;10150.225
2021-06-30;26.09;26.125;26.015;26.125;22054.185
2021-07-01;26.1;26.14;26.0;26.14;76320.93
2021-07-02;26.14;26.14;26.14;26.14;10456.0
2021-07-05;26.18;26.21;26.18;26.205;43052.955
2021-07-06;26.195;26.23;26.155;26.23;36673.515
2021-07-07;26.3;26.33;26.3;26.33;11154.86
2021-07-09;26.25;26.25;26.215;26.225;19151.45
2021-07-12;26.27;26.27;26.27;26.27;12478.25
2021-07-13;26.3;26.355;26.3;26.355;40013.855
2021-07-15;26.33;26.35;26.33;26.35;35857.3
2021-07-16;26.34;26.34;26.34;26.34;7585.92
2021-07-19;26.23;26.23;26.14;26.17;35885.64
2021-07-20;26.26;26.26;26.165;26.165;9466.465
2021-07-21;26.35;26.35;26.35;26.35;32937.5
2021-07-22;26.36;26.385;26.35;26.35;6064.75
2021-07-23;26.46;26.46;26.46;26.46;10584.0
2021-07-26;26.455;26.455;26.43;26.43;44201.46
2021-07-27;26.41;26.41;26.325;26.325;32527.33
2021-07-28;26.41;26.44;26.41;26.435;64905.37
2021-07-29;26.435;26.445;26.425;26.445;151391.755
2021-07-30;26.345;26.415;26.345;26.415;29032.33
2021-08-02;26.44;26.47;26.4;26.47;69824.58
2021-08-03;26.385;26.465;26.385;26.4;3145.025
2021-08-04;26.5;26.545;26.5;26.5;54622.7
2021-08-05;26.55;26.58;26.55;26.58;77666.13
2021-08-06;26.57;26.57;26.54;26.55;23949.71
2021-08-09;26.555;26.565;26.555;26.565;27254.93
2021-08-10;26.57;26.57;26.56;26.56;56312.15
2021-08-11;26.56;26.565;26.51;26.51;30150.795
2021-08-12;26.525;26.595;26.525;26.585;15284.125
