Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-01-16;52.83;52.83;52.83;52.83;105.66
2020-01-20;53.52;53.52;53.52;53.52;3746.4
2020-01-21;53.28;53.28;53.27;53.27;8523.8
2020-01-22;53.65;53.65;53.65;53.65;482.85
2020-01-27;53.1;53.11;52.67;52.68;222143.18
2020-01-31;52.92;52.92;52.92;52.92;2116.8
2020-02-03;52.27;52.3;52.27;52.3;4445.05
2020-02-05;53.97;53.97;53.97;53.97;39937.8
2020-02-07;54.45;54.45;54.36;54.36;6039.0
2020-02-10;54.4;54.6;54.4;54.6;24703.8
2020-02-11;55.05;55.2;54.96;55.2;226143.6
2020-02-12;55.14;55.26;55.14;55.26;44979.9
2020-02-14;55.71;55.71;55.71;55.71;4456.8
2020-02-17;55.76;55.9;55.76;55.9;73642.66
2020-02-18;55.56;55.66;55.56;55.66;10185.68
2020-02-19;55.87;55.87;55.87;55.87;100566.0
2020-02-20;56.08;56.08;56.0;56.0;6497.18
2020-02-21;55.6;55.6;54.99;54.99;43088.78
2020-02-24;53.77;53.77;53.68;53.75;150494.24
2020-02-25;53.27;53.44;53.22;53.44;27206.47
2020-02-26;51.37;52.02;51.26;51.88;38364.67
2020-02-27;50.5;50.5;49.47;49.8;132828.79
2020-02-28;47.39;47.72;46.8;46.925;116481.935
2020-03-02;48.535;48.535;47.55;47.55;46054.545
2020-03-03;49.715;49.73;49.145;49.63;133407.635
2020-03-04;48.605;49.365;48.605;49.035;58989.665
2020-03-05;49.16;49.245;48.48;49.245;29971.7
2020-03-06;47.665;47.665;46.005;46.91;86575.115
2020-03-09;43.7;44.445;43.4;43.4;118867.545
2020-03-10;44.1;45.255;43.22;43.81;442930.25
2020-03-11;44.53;44.845;44.04;44.275;318572.005
2020-03-12;41.58;41.745;40.755;40.755;5376.03
2020-03-13;41.615;42.3;40.815;40.815;187721.035
2020-03-16;39.995;40.6;38.525;40.3;242962.405
2020-03-17;40.3;41.0;38.6;41.0;35869.01
2020-03-18;39.045;39.94;38.485;39.235;265450.05
2020-03-19;39.7;40.425;39.235;40.275;68323.025
2020-03-20;41.3;41.3;39.85;40.325;42249.18
2020-03-23;37.11;39.24;36.845;37.275;16234.895
2020-03-24;38.575;38.995;38.455;38.6;25049.075
2020-03-25;41.495;41.495;40.24;40.24;114433.81
2020-03-26;40.155;42.33;40.155;42.33;15678.585
2020-03-27;42.01;42.01;41.245;41.245;9630.31
2020-03-30;41.22;42.125;41.19;42.125;127524.295
2020-03-31;42.94;43.22;42.76;42.935;56173.05
2020-04-01;40.89;41.46;40.89;41.46;25449.65
2020-04-02;40.945;41.31;40.55;41.31;9971.855
2020-04-03;41.615;41.95;41.305;41.61;27262.05
2020-04-06;43.03;43.345;42.895;43.2;98930.635
2020-04-07;44.75;45.345;44.75;44.77;72584.46
2020-04-08;43.885;44.495;43.885;44.495;83170.67
2020-04-09;45.82;46.0;45.195;45.93;60967.75
2020-04-14;45.93;46.385;45.81;45.98;76531.87
2020-04-15;46.095;46.125;45.49;45.49;121402.05
2020-04-16;46.03;46.2;45.525;45.795;275957.65
2020-04-17;47.7;47.7;47.0;47.0;67862.095
2020-04-20;47.22;47.465;46.45;46.49;30827.47
2020-04-21;46.23;46.23;45.24;45.24;28149.24
2020-04-22;45.79;46.22;45.79;46.22;11743.1
2020-04-23;46.695;47.145;46.5;47.145;57213.18
2020-04-24;46.665;47.0;46.36;46.475;38494.01
2020-04-27;47.4;47.45;47.265;47.42;73999.68
2020-04-28;47.65;48.0;47.65;47.65;273779.11
2020-04-29;47.8;47.875;47.8;47.875;16970.875
2020-04-30;48.69;48.69;47.9;47.9;77474.585
2020-05-04;46.085;46.34;45.785;46.245;38329.06
2020-05-05;46.825;47.785;46.79;47.785;22517.895
2020-05-06;47.795;47.845;47.47;47.47;25470.185
2020-05-07;47.865;48.1;47.755;48.1;507258.81
2020-05-08;48.305;48.35;48.13;48.13;32599.0
2020-05-11;48.6;48.6;48.08;48.345;58211.25
2020-05-12;48.275;48.46;48.275;48.335;23691.66
2020-05-13;47.28;47.45;47.0;47.185;82640.71
2020-05-14;46.78;46.78;46.33;46.33;1209.53
2020-05-15;47.47;47.47;46.75;47.05;12888.89
