Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-01-14;78.75;78.75;78.75;78.75;78.75
2020-01-15;78.6;78.68;78.5;78.61;15800.78
2020-01-16;78.9;78.9;78.78;78.78;56487.06
2020-01-17;79.57;79.66;79.57;79.66;4059.06
2020-01-20;79.6;79.6;79.6;79.6;1990.0
2020-01-21;79.15;79.15;79.15;79.15;1978.75
2020-01-22;79.5;79.78;79.5;79.54;25096.5
2020-01-23;79.77;79.77;79.25;79.25;17800.85
2020-01-27;78.72;78.72;77.62;77.74;120840.77
2020-01-28;77.87;78.39;77.87;78.39;3906.7
2020-01-30;77.63;77.63;77.63;77.63;2484.16
2020-01-31;77.75;77.75;77.0;77.0;29433.28
2020-02-03;77.14;77.6;77.09;77.6;32890.36
2020-02-04;78.43;78.43;78.43;78.43;3999.93
2020-02-05;79.8;79.8;79.24;79.24;161899.34
2020-02-06;79.9;80.21;79.9;80.21;2558.66
2020-02-07;79.74;80.0;79.74;80.0;12394.8
2020-02-10;79.59;79.92;79.59;79.92;32106.78
2020-02-11;81.15;81.15;81.15;81.15;973.8
2020-02-12;81.16;81.47;81.16;81.47;5038.12
2020-02-13;81.73;81.73;80.74;81.36;41977.35
2020-02-14;81.82;81.82;81.5;81.56;32381.1
2020-02-17;81.89;81.89;81.87;81.88;8269.75
2020-02-18;81.55;81.55;81.35;81.4;43597.09
2020-02-19;81.86;82.0;81.85;82.0;82453.75
2020-02-20;81.98;81.98;81.86;81.86;43688.17
2020-02-21;81.05;81.05;81.0;81.0;83269.4
2020-02-24;79.9;79.9;77.9;78.01;56493.09
2020-02-25;78.36;78.36;76.69;76.69;24430.35
2020-02-26;76.15;76.61;75.2;76.49;61523.97
2020-02-27;74.51;74.86;72.59;73.6;49737.57
2020-02-28;71.03;71.03;69.56;70.3;84833.74
2020-03-02;72.17;72.17;70.03;71.1;491844.97
2020-03-03;72.82;73.38;72.31;73.38;175914.4
2020-03-04;71.88;73.05;71.88;72.47;30638.72
2020-03-05;73.45;73.45;71.79;71.92;10528.6
2020-03-06;70.65;70.65;68.35;69.0;90539.02
2020-03-09;67.02;67.02;64.0;65.1;32765.5
2020-03-10;66.3;66.91;64.05;64.8;140952.15
2020-03-11;65.39;65.4;64.35;64.35;28639.68
2020-03-12;62.1;63.52;59.19;59.19;80717.68
2020-03-13;59.56;62.63;59.0;59.4;196660.98
2020-03-16;58.57;59.18;55.36;58.23;146253.14
2020-03-17;58.0;59.3;56.73;59.18;34969.11
2020-03-18;57.03;57.03;55.8;56.7;82693.77
2020-03-19;56.4;58.04;55.5;58.0;37262.35
2020-03-20;60.82;60.82;58.0;58.0;48745.43
2020-03-23;54.87;58.23;54.0;54.0;126593.4
2020-03-24;56.93;58.7;56.93;58.7;90190.39
2020-03-25;60.6;61.06;59.32;59.34;29019.66
2020-03-26;59.3;59.3;59.0;59.0;37326.4
2020-03-27;61.34;61.34;60.56;60.75;13764.79
2020-03-30;60.05;61.43;60.05;61.0;1010620.38
2020-03-31;62.54;62.54;61.56;62.2;205196.96
2020-04-01;59.96;60.27;59.8;60.27;61637.2
