Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-09-27;24.38;24.38;24.38;24.38;4876.0
2022-09-29;23.505;23.505;23.505;23.505;164.535
2022-10-20;22.33;22.33;22.33;22.33;1339.8
2022-10-24;22.61;22.61;22.61;22.61;22.61
2022-10-28;23.705;24.055;23.705;24.055;7146.5
2022-11-03;22.865;22.865;22.865;22.865;182.92
2022-11-04;22.59;22.59;22.59;22.59;45.18
2022-11-10;19.5;19.5;19.162;19.454;38664.216
2022-11-21;17.198;17.198;17.198;17.198;171.98
2022-11-28;16.678;16.678;16.678;16.678;166.78
2022-12-01;17.17;17.17;17.17;17.17;686.8
2022-12-05;17.492;17.492;17.492;17.492;1749.2
2022-12-14;15.156;15.156;15.156;15.156;45.468
2022-12-15;14.3;14.3;14.3;14.3;1072.5
2022-12-27;13.47;13.47;13.47;13.47;323.28
2022-12-28;12.756;12.756;12.756;12.756;1517.964
2023-01-03;13.66;13.66;13.66;13.66;177.58
2023-01-09;14.07;14.07;14.07;14.07;1055.25
2023-01-10;14.404;14.45;14.404;14.45;1488.212
2023-01-13;16.722;16.722;16.722;16.722;367.884
2023-01-16;18.068;18.178;17.834;17.844;328611.724
2023-01-17;17.672;18.0;17.672;18.0;111261.2
2023-01-19;16.582;16.582;16.582;16.582;155008.536
2023-01-20;16.834;16.834;16.834;16.834;2525.1
2023-01-24;18.854;18.854;18.854;18.854;980.408
2023-01-30;18.56;18.56;18.394;18.394;4449.42
2023-01-31;17.974;17.974;17.974;17.974;1078.44
2023-02-01;18.644;18.644;18.644;18.644;298.304
2023-02-02;20.2;21.765;20.15;21.765;189927.64
2023-02-03;21.06;21.865;21.06;21.865;1866.595
2023-02-07;20.62;20.77;19.744;19.744;51492.512
2023-02-09;19.998;20.15;19.246;19.246;106888.172
2023-02-10;18.0;18.0;17.978;17.978;4137.8
2023-02-16;20.89;20.89;20.89;20.89;731.15
2023-02-21;19.542;19.542;18.966;18.966;287.37
2023-02-22;18.188;18.188;18.188;18.188;103635.224
2023-02-28;17.63;17.63;17.628;17.628;49501.53
2023-03-01;18.4;18.582;17.852;17.852;2901.404
2023-03-02;16.2;16.2;16.1;16.1;1840.8
2023-03-03;16.444;16.444;16.444;16.444;10030.84
2023-03-06;16.802;16.802;16.802;16.802;117.614
2023-03-09;15.426;15.426;15.426;15.426;1542.6
2023-03-13;14.296;14.42;13.262;13.262;309839.45
2023-03-20;15.172;15.984;15.172;15.984;4345.856
2023-03-21;16.06;16.146;16.06;16.146;1931.5
2023-03-22;16.766;16.766;16.766;16.766;5029.8
2023-03-23;15.178;15.52;15.178;15.52;2280.544
2023-03-24;15.18;15.18;15.18;15.18;212.52
2023-03-27;14.52;14.52;14.52;14.52;2178.0
2023-03-30;15.172;15.396;15.172;15.394;29710.166
2023-04-03;16.138;16.138;16.138;16.138;403.45
2023-04-05;15.73;15.73;15.73;15.73;1022.45
2023-04-06;15.18;15.18;15.178;15.18;1669.768
2023-04-11;16.53;16.896;16.516;16.89;388900.478
2023-04-12;17.396;17.396;17.184;17.184;17739.68
2023-04-13;18.112;18.514;18.024;18.514;37462.078
2023-04-14;18.5;18.654;18.5;18.534;22248.48
2023-04-17;18.388;18.388;17.744;17.744;2596.014
2023-04-20;17.096;17.096;17.096;17.096;10257.6
2023-04-25;15.448;15.448;15.448;15.448;156117.488
2023-04-26;15.97;15.97;15.97;15.97;255.52
2023-04-27;15.912;15.912;15.912;15.912;111.384
2023-05-02;15.334;15.428;15.334;15.428;692.38
2023-05-03;15.776;15.776;15.776;15.776;78.88
2023-05-05;16.25;16.25;16.25;16.25;16.25
2023-05-15;16.102;16.17;16.102;16.17;4976.13
2023-05-24;16.654;16.654;16.654;16.654;16654.0
2023-05-29;16.858;16.924;16.858;16.924;11975.78
2023-05-31;17.0;17.0;17.0;17.0;17.0
2023-06-01;17.418;17.418;17.418;17.418;418.032
2023-06-02;17.712;17.712;17.306;17.306;2030.79
2023-06-05;17.754;17.754;17.754;17.754;266.31
2023-06-12;16.436;16.436;16.216;16.216;1305.64
2023-06-14;16.864;16.864;16.864;16.864;101.184
2023-06-21;18.53;18.53;18.53;18.53;3706.0
2023-06-22;18.668;18.668;18.55;18.55;2516.05
2023-06-23;18.436;18.436;18.436;18.436;553.08
2023-06-26;18.682;18.682;18.682;18.682;971.464
2023-06-28;19.718;19.718;19.612;19.612;2118.944
2023-06-29;19.65;19.86;19.65;19.86;866.49
2023-07-04;21.78;21.835;21.745;21.835;1872.76
2023-07-05;21.225;21.445;21.225;21.345;2427.38
2023-07-07;21.635;22.785;21.635;22.785;7765.675
2023-07-10;22.345;22.825;22.345;22.825;1283.265
2023-07-11;23.82;24.13;23.82;24.13;2275.3
2023-07-12;24.65;24.65;24.385;24.435;2697.6
2023-07-13;24.4;24.75;24.4;24.75;2342.5
2023-07-14;26.965;26.965;26.6;26.6;4413.75
2023-07-17;26.055;26.055;26.01;26.01;806.535
2023-07-19;25.135;25.135;25.135;25.135;477.565
2023-07-24;24.575;24.575;24.575;24.575;4915.0
2023-07-25;24.555;24.725;24.555;24.725;16060.25
2023-07-26;24.565;24.65;24.565;24.64;5187.05
2023-07-31;24.82;24.82;24.82;24.82;1241.0
2023-08-01;25.11;25.11;25.11;25.11;451.98
2023-08-02;24.3;24.3;24.3;24.3;1968.3
2023-08-03;23.37;23.37;23.37;23.37;3505.5
2023-08-04;23.43;23.43;23.27;23.27;2513.32
2023-08-07;22.615;22.615;22.615;22.615;678.45
2023-08-08;22.02;22.05;22.02;22.05;726.9
