Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-10-07;21.755;21.755;21.745;21.745;15032.7
2019-10-08;21.485;21.485;21.485;21.485;10742.5
2019-10-09;21.465;21.465;21.465;21.465;4293.0
2019-10-10;21.53;21.565;21.53;21.565;6467.8
2019-10-14;21.74;21.755;21.74;21.755;6524.5
2019-10-15;21.985;22.0;21.985;22.0;64884.5
2019-10-16;21.9;22.0;21.16;21.35;594729.8
2019-10-18;21.1;21.1;20.65;20.65;31695.9
2019-10-21;20.44;20.44;20.38;20.38;20517.9
2019-10-23;20.315;20.315;20.315;20.315;10157.5
2019-10-24;20.25;20.25;20.25;20.25;6075.0
2019-10-25;20.91;20.91;20.85;20.85;74465.6
2019-10-28;21.19;21.245;21.19;21.245;4875.4
2019-10-29;21.135;21.21;21.135;21.21;10800.4
2019-10-30;21.2;21.535;21.18;21.465;80756.6
2019-10-31;21.52;21.52;21.125;21.3;177385.4
2019-11-01;21.285;21.46;21.285;21.4;39535.8
2019-11-04;21.655;21.7;21.43;21.45;81539.3
2019-11-05;21.645;21.745;21.45;21.45;49328.5
2019-11-06;21.565;21.565;21.485;21.485;71866.8
2019-11-07;21.57;21.845;21.57;21.845;451044.6
2019-11-08;21.49;21.665;21.48;21.65;131376.4
2019-11-12;22.085;22.25;22.08;22.25;32932.8
2019-11-13;22.105;22.19;22.105;22.165;67064.1
2019-11-14;21.6;22.46;21.6;22.405;62842.0
2019-11-15;22.42;22.435;22.31;22.4;48718.1
2019-11-18;22.835;22.835;22.615;22.65;44798.3
2019-11-19;22.62;22.82;22.62;22.72;145179.7
2019-11-20;22.84;23.21;22.79;23.2;257415.7
2019-11-21;23.04;23.23;22.99;23.195;88557.6
2019-11-22;23.07;23.27;23.05;23.125;117295.7
2019-11-25;23.32;23.64;23.26;23.57;166641.5
2019-11-26;23.595;23.815;23.49;23.785;179791.2
2019-11-27;23.815;24.0;23.735;23.745;140796.4
2019-11-28;23.9;23.9;23.745;23.865;159062.8
2019-11-29;23.81;23.86;23.74;23.76;66625.5
2019-12-02;23.9;23.96;22.7;22.805;109338.8
2019-12-03;23.39;23.39;22.75;22.905;78332.3
2019-12-04;23.36;23.365;23.17;23.17;18454.8
2019-12-05;23.045;23.085;23.0;23.0;96050.1
2019-12-06;22.87;23.0;22.87;23.0;54353.5
2019-12-09;22.93;23.005;22.91;23.005;60306.0
2019-12-10;22.89;22.89;22.79;22.8;22708.9
2019-12-11;22.7;22.7;22.235;22.235;131925.6
2019-12-12;22.385;22.47;22.13;22.19;837541.4
2019-12-13;22.115;22.28;22.11;22.28;63528.8
2019-12-16;22.575;22.705;22.5;22.705;111838.0
2019-12-17;22.56;22.635;22.4;22.48;31426.9
