Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-04-21;23.87;23.87;23.87;23.87;9548.0
2022-04-22;24.04;24.04;23.5;23.5;23073.88
2022-04-28;23.255;23.255;23.21;23.21;7832.92
2022-04-29;23.075;23.075;23.035;23.035;12025.15
2022-05-05;22.4;22.4;22.155;22.155;1822.655
2022-05-09;21.5;21.5;21.1;21.1;5850.46
2022-05-13;20.68;20.68;20.68;20.68;992.64
2022-05-16;20.75;20.88;20.59;20.68;4162.49
2022-05-18;20.51;20.51;20.51;20.51;1025.5
2022-05-23;20.86;21.02;20.86;21.02;13414.58
2022-05-30;21.3;21.38;21.3;21.38;27485.0
2022-06-01;20.915;21.115;20.915;21.115;14801.415
2022-06-08;21.085;21.085;21.085;21.085;484.955
2022-06-09;21.2;21.2;21.2;21.2;2120.0
2022-06-15;20.47;20.47;20.47;20.47;10030.3
2022-06-16;20.445;20.45;20.445;20.45;24944.255
2022-06-24;18.31;18.31;18.31;18.31;1373.25
2022-06-30;18.518;18.518;18.518;18.518;3703.6
2022-07-06;17.77;17.77;17.77;17.77;799.65
2022-07-13;17.64;17.64;17.64;17.64;229.32
2022-07-15;16.77;16.77;16.77;16.77;83.85
2022-07-22;17.54;17.54;17.54;17.54;52.62
2022-08-01;18.87;18.87;18.87;18.87;1698.3
2022-08-03;18.38;18.38;18.38;18.38;4282.54
2022-08-04;18.34;18.34;18.34;18.34;5043.5
2022-08-10;18.8;18.8;18.58;18.58;786.3
2022-08-12;20.0;20.0;19.22;19.22;2588.52
2022-08-23;18.9;18.9;18.9;18.9;699.3
2022-08-25;18.89;18.89;18.81;18.81;433.63
2022-09-01;17.7;17.7;17.7;17.7;531.0
2022-09-02;17.5;17.5;17.5;17.5;2502.5
2022-09-14;18.68;18.68;18.68;18.68;1008.72
2022-09-15;18.77;18.77;18.77;18.77;93.85
2022-09-26;18.25;18.32;18.25;18.28;10259.51
2022-10-03;17.92;17.92;17.92;17.92;358.4
2022-10-05;18.46;18.59;18.4;18.59;9146.42
2022-10-06;18.87;18.87;18.87;18.87;56.61
2022-10-11;18.45;18.45;18.45;18.45;922.5
2022-10-26;18.1;18.1;18.1;18.1;651.6
2022-10-28;17.8;17.8;17.8;17.8;712.0
2022-11-03;18.4;18.4;18.4;18.4;6366.4
2022-11-04;18.87;18.87;18.87;18.87;943.5
2022-11-07;18.81;18.81;18.81;18.81;37.62
2022-11-09;18.952;18.952;18.952;18.952;37.904
2022-11-11;19.588;19.588;19.588;19.588;3134.08
2022-11-14;19.7;19.7;19.7;19.7;1280.5
2022-11-15;20.12;20.38;20.12;20.38;14733.72
2022-11-16;19.864;19.864;19.35;19.35;858.082
2022-11-17;18.93;18.93;18.93;18.93;946.5
2022-11-21;18.92;18.92;18.92;18.92;6697.68
2022-11-23;18.88;18.88;18.88;18.88;5664.0
2022-11-24;18.93;18.996;18.91;18.91;2921.28
2022-11-25;18.85;18.85;18.85;18.85;942.5
2022-12-05;19.82;19.82;19.82;19.82;23585.8
2022-12-15;19.69;19.69;19.69;19.69;492.25
2022-12-19;19.4;19.4;19.4;19.4;970.0
2022-12-20;19.53;19.53;19.53;19.53;1269.45
2023-01-04;19.8;19.8;19.8;19.8;990.0
2023-01-05;19.7;19.7;19.7;19.7;788.0
2023-01-09;19.996;20.04;19.97;20.0;4798.8
2023-01-11;20.02;20.02;20.02;20.02;2002.0
2023-01-12;20.5;20.55;19.8;19.8;10903.5
2023-01-16;20.28;20.28;20.23;20.23;12419.14
2023-01-17;20.02;20.12;20.02;20.12;17555.0
2023-01-18;20.64;20.66;20.55;20.55;41195.0
2023-01-19;20.4;20.7;20.4;20.7;2886.0
2023-01-20;20.63;20.63;20.63;20.63;2764.42
2023-01-23;20.47;20.51;20.47;20.51;15239.44
2023-01-30;20.59;20.59;20.59;20.59;8236.0
2023-01-31;20.4;20.45;20.4;20.45;11245.0
2023-02-01;20.78;20.78;20.34;20.34;13358.18
2023-02-02;20.24;20.55;20.24;20.55;33458.0
2023-02-03;20.3;20.3;19.98;19.98;8057.0
2023-02-06;19.67;19.67;19.55;19.55;5979.2
2023-02-07;19.6;19.6;19.6;19.6;3920.0
2023-02-08;19.9;19.9;19.88;19.88;5969.0
2023-02-09;19.59;19.59;19.59;19.59;1959.0
2023-02-13;19.38;19.4;19.38;19.4;14545.0
2023-02-14;19.33;19.33;19.33;19.33;10051.6
2023-02-15;19.09;19.09;19.06;19.06;13348.0
2023-02-16;19.13;19.13;19.1;19.11;233140.48
2023-02-20;19.27;19.27;19.27;19.27;5665.38
2023-02-23;19.37;19.37;19.37;19.37;5113.68
2023-03-01;18.97;19.01;18.97;19.01;34102.35
2023-03-07;18.41;18.44;18.372;18.44;11686.46
2023-03-08;18.37;18.43;18.37;18.43;30955.55
2023-03-09;18.32;18.32;18.32;18.32;2491.52
2023-03-13;18.14;18.14;18.14;18.14;544.2
2023-03-14;18.14;18.2;18.14;18.2;2111.14
2023-03-16;17.97;17.97;17.97;17.97;539.1
2023-03-17;18.22;18.22;18.22;18.22;13446.36
2023-03-20;18.574;18.574;18.574;18.574;928.7
2023-03-27;18.45;18.45;18.45;18.45;1494.45
2023-03-28;18.58;18.67;18.58;18.67;6561.71
2023-03-30;18.57;18.57;18.57;18.57;334.26
2023-03-31;18.36;18.64;18.36;18.64;7562.0
2023-04-03;18.71;18.71;18.67;18.7;1308.45
2023-04-11;18.1;18.1;18.1;18.1;72.4
2023-04-12;18.0;18.19;18.0;18.19;1269.5
2023-04-14;18.76;18.76;18.76;18.76;9942.8
2023-04-17;18.87;18.87;18.87;18.87;3019.2
2023-04-18;18.9;19.1;18.9;19.1;5707.5
2023-04-19;18.956;18.99;18.956;18.99;6829.8
2023-04-25;18.17;18.17;18.1;18.1;7438.5
2023-04-26;17.99;17.99;17.99;17.99;5037.2
2023-04-27;17.94;17.94;17.94;17.94;2081.04
2023-04-28;18.13;18.13;18.09;18.09;3984.6
2023-05-03;18.14;18.3;18.14;18.3;14703.0
2023-05-04;18.31;18.31;18.31;18.31;915.5
2023-05-08;18.418;18.53;18.418;18.53;1217.604
2023-05-09;18.25;18.31;18.25;18.31;21283.82
2023-05-15;17.43;17.43;17.43;17.43;7181.16
2023-05-16;17.33;17.33;17.33;17.33;5199.0
2023-05-18;17.43;17.43;17.43;17.43;9987.39
2023-05-19;17.57;17.57;17.57;17.57;983.92
2023-05-22;17.4;17.4;17.4;17.4;8004.0
2023-05-23;17.1;17.1;17.1;17.1;684.0
2023-05-24;16.94;16.94;16.94;16.94;1118.04
2023-05-29;17.44;17.44;17.44;17.44;3191.52
2023-05-30;17.27;17.27;17.25;17.25;7888.99
2023-06-05;17.37;17.38;17.31;17.31;59015.07
2023-06-08;17.37;17.37;17.37;17.37;243.18
2023-06-12;17.45;17.45;17.37;17.37;19778.1
2023-06-13;17.49;17.49;17.49;17.49;29733.0
2023-06-14;17.71;17.71;17.71;17.71;10626.0
2023-06-15;17.82;17.82;17.72;17.78;36180.4
2023-06-21;17.43;17.43;17.3;17.3;21594.39
2023-06-22;17.18;17.18;17.18;17.18;4209.1
2023-06-23;17.18;17.18;17.0;17.01;1502.18
2023-06-26;17.0;17.0;17.0;17.0;4250.0
2023-06-27;16.93;16.93;16.93;16.93;981.94
2023-06-29;16.57;16.57;16.57;16.57;39768.0
2023-06-30;16.83;16.83;16.81;16.81;3196.5
2023-07-03;17.01;17.01;17.0;17.01;2737.61
2023-07-04;17.05;17.05;17.05;17.05;1705.0
2023-07-05;16.92;16.92;16.92;16.92;20304.0
2023-07-06;17.194;17.194;17.19;17.19;29345.358
2023-07-07;16.9;16.9;16.9;16.9;4225.0
2023-07-13;17.4;17.4;17.29;17.29;5500.2
2023-07-17;17.31;17.31;17.14;17.14;224.52
2023-07-19;16.95;17.0;16.95;17.0;12628.5
2023-07-20;17.23;17.23;17.23;17.23;1723.0
2023-07-24;17.244;17.244;17.144;17.144;3438.8
2023-07-28;17.46;17.61;17.46;17.61;3566.79
2023-07-31;17.68;17.68;17.618;17.618;9450.45
2023-08-01;17.8;17.8;17.79;17.79;13385.58
2023-08-02;17.43;17.44;17.43;17.44;14572.88
2023-08-03;17.42;17.42;17.26;17.26;4999.2
2023-08-07;17.27;17.28;17.27;17.28;1001.86
2023-08-08;17.1;17.1;17.05;17.05;9794.65
2023-08-09;17.05;17.05;17.05;17.05;852.5
2023-08-10;16.85;16.85;16.816;16.826;30346.97
2023-08-11;16.6;16.6;16.486;16.486;4296.62
2023-08-16;16.48;16.48;16.448;16.448;1384.192
2023-08-23;17.226;17.226;17.226;17.226;172.26
2023-08-24;17.1;17.1;17.1;17.1;3420.0
2023-08-28;17.304;17.304;17.304;17.304;51912.0
2023-08-29;17.302;17.302;17.302;17.302;69.208
2023-08-30;17.16;17.436;17.126;17.126;33119.298
2023-08-31;17.2;17.2;17.142;17.142;8388.496
2023-09-01;17.494;17.494;17.494;17.494;34.988
2023-09-04;17.372;17.438;17.372;17.438;32218.776
2023-09-05;17.4;17.4;17.384;17.384;3095.792
2023-09-07;17.194;17.194;17.194;17.194;3679.516
2023-09-08;17.0;17.0;17.0;17.0;4930.0
2023-09-13;17.022;17.022;17.022;17.022;85.11
2023-09-14;16.932;16.932;16.932;16.932;321.708
2023-09-15;17.244;17.244;17.24;17.24;9725.604
2023-09-20;17.37;17.37;17.178;17.208;28716.126
2023-09-21;17.0;17.0;17.0;17.0;3400.0
2023-09-25;17.142;17.142;17.142;17.142;1028.52
2023-09-26;16.998;17.074;16.998;17.074;5270.14
