Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-11-01;24.78;24.78;24.78;24.78;495.6
2022-11-18;27.78;27.78;27.78;27.78;138.9
2022-11-23;28.54;28.54;28.54;28.54;142.7
2022-11-30;26.08;26.08;26.08;26.08;391.2
2022-12-06;28.245;28.245;28.245;28.245;282.45
2022-12-07;30.6;30.6;30.6;30.6;306.0
2022-12-08;31.66;31.66;31.66;31.66;949.8
2022-12-12;33.14;33.14;30.46;30.46;1230.82
2022-12-27;25.5;25.5;25.5;25.5;280.5
2023-01-04;29.035;29.035;29.035;29.035;290.35
2023-01-09;27.2;27.2;27.2;27.2;326.4
2023-01-17;24.725;24.725;24.295;24.295;14644.725
2023-01-19;24.5;24.5;24.5;24.5;12250.0
2023-01-24;24.02;24.02;24.02;24.02;2426.02
2023-03-15;31.32;31.32;31.32;31.32;1409.4
2023-03-27;30.175;30.175;30.175;30.175;603.5
2023-03-29;27.0;27.0;27.0;27.0;540.0
2023-04-03;22.95;23.0;22.95;23.0;3218.0
2023-04-14;21.1;21.1;21.1;21.1;422.0
2023-04-19;22.8;22.8;22.8;22.8;2736.0
2023-04-20;23.65;23.65;23.65;23.65;2365.0
2023-04-27;25.62;25.62;25.62;25.62;3074.4
2023-05-02;26.72;27.0;26.72;27.0;2686.0
2023-05-24;25.84;25.84;25.84;25.84;620.16
2023-06-14;28.205;28.205;28.205;28.205;676.92
2023-06-22;25.6;26.6;25.55;26.6;26713.2
2023-07-25;21.03;21.03;21.03;21.03;273.39
2023-08-28;20.33;20.33;20.33;20.33;1016.5
2023-08-29;20.01;20.01;20.01;20.01;1000.5
2023-09-01;18.4;18.4;18.4;18.4;1564.0
2023-09-05;17.876;17.876;17.876;17.876;232.388
2023-09-15;15.868;15.868;15.868;15.868;507.776
2023-09-18;15.67;15.67;15.67;15.67;501.44
2023-09-19;15.35;15.35;15.35;15.35;506.55
2023-09-27;14.87;14.87;14.87;14.87;505.58
2023-09-28;14.654;14.654;14.654;14.654;600.814
