Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-05-31;20.065;20.24;20.065;20.125;1335362.045
2022-06-02;19.978;19.978;19.974;19.974;245961.064
2022-06-07;19.874;19.898;19.874;19.898;14125.656
2022-06-10;19.67;19.694;19.67;19.694;9667.926
2022-06-13;19.268;19.268;19.244;19.244;70973.724
2022-06-14;19.35;19.374;19.35;19.374;47406.302
2022-06-15;19.238;19.38;19.212;19.38;362489.034
2022-06-16;19.238;19.246;19.222;19.246;28231.054
2022-06-22;19.31;19.386;19.31;19.386;281363.904
2022-06-23;19.416;19.53;19.416;19.458;80716.788
2022-06-24;19.544;19.544;19.536;19.536;2539.904
2022-06-27;19.484;19.496;19.484;19.496;54977.18
2022-06-28;19.38;19.408;19.35;19.358;898271.958
2022-06-29;19.416;19.44;19.416;19.44;12925.796
2022-06-30;19.512;19.536;19.512;19.536;172481.492
2022-07-01;19.616;19.642;19.616;19.642;10840.532
2022-07-07;19.708;19.734;19.708;19.734;18567.816
2022-07-11;19.69;19.69;19.622;19.622;205563.138
2022-07-14;19.722;19.746;19.722;19.746;25016.33
2022-07-19;19.688;19.71;19.688;19.71;21009.016
2022-07-22;19.888;19.922;19.862;19.862;265210.572
2022-07-25;19.92;19.92;19.898;19.898;4000.136
2022-07-26;19.984;20.025;19.982;20.025;27609.054
2022-07-29;20.13;20.13;20.125;20.125;1006.38
2022-08-01;20.155;20.155;20.13;20.13;14938.595
2022-08-04;20.12;20.23;20.11;20.23;68688.26
2022-08-05;20.15;20.155;19.964;19.964;168276.288
2022-08-08;20.05;20.05;20.045;20.045;2706.21
2022-08-09;20.08;20.08;19.99;19.99;29679.682
2022-08-11;20.04;20.04;20.02;20.02;6506.98
2022-08-16;20.05;20.05;19.992;19.992;28957.193
2022-08-18;19.898;19.898;19.898;19.898;99490.0
2022-08-22;19.752;19.762;19.752;19.762;9168.684
2022-08-29;19.502;19.502;19.49;19.49;240547.144
2022-08-30;19.47;19.478;19.47;19.478;1596.996
2022-08-31;19.49;19.514;19.49;19.514;28937.434
2022-09-01;19.4;19.422;19.4;19.422;35364.982
2022-09-02;19.394;19.394;19.374;19.374;2906.66
2022-09-05;19.444;19.444;19.444;19.444;233464.108
2022-09-06;19.416;19.498;19.416;19.498;38372.738
2022-09-08;19.46;19.468;19.46;19.468;3776.56
2022-09-09;19.424;19.436;19.424;19.436;27247.744
2022-09-14;19.342;19.342;19.33;19.33;238591.766
2022-09-15;19.362;19.362;19.362;19.362;4588.794
2022-09-16;19.19;19.19;19.172;19.172;2128.578
2022-09-22;19.06;19.06;19.05;19.05;29889.7
2022-09-23;18.754;18.754;18.754;18.754;2269.234
2022-09-27;18.834;18.89;18.724;18.724;60226.398
2022-09-28;18.658;18.666;18.638;18.666;235261.638
2022-09-30;18.734;18.91;18.688;18.91;41113.058
2022-10-05;18.992;18.992;18.968;18.968;51225.536
2022-10-10;18.778;18.79;18.694;18.694;167252.722
2022-10-11;18.642;18.642;18.606;18.606;73871.502
2022-10-12;18.624;18.624;18.57;18.57;119437.816
2022-10-13;18.5;18.5;18.5;18.5;499.5
2022-10-14;18.704;18.704;18.602;18.602;331633.916
2022-10-17;18.598;18.598;18.588;18.588;59873.466
2022-10-19;18.582;18.582;18.57;18.57;200074.72
2022-10-20;18.512;18.548;18.504;18.542;77275.616
2022-10-24;18.59;18.59;18.564;18.564;16820.94
2022-10-25;18.644;18.674;18.618;18.664;268438.334
2022-10-26;18.678;18.82;18.656;18.82;146546.396
2022-10-28;18.888;18.948;18.762;18.828;243678.984
2022-10-31;18.708;18.708;18.69;18.69;1420.944
2022-11-04;18.736;18.748;18.736;18.748;37494.448
2022-11-07;18.688;18.736;18.674;18.7;52409.088
2022-11-08;18.624;18.624;18.612;18.612;9530.896
2022-11-09;18.706;18.706;18.684;18.684;29541.182
2022-11-15;18.884;18.926;18.882;18.906;1059020.522
2022-11-16;19.032;19.032;19.032;19.032;2645.448
2022-11-17;19.024;19.024;19.016;19.016;1255.28
2022-11-18;18.958;18.958;18.946;18.946;44808.806
2022-11-21;19.032;19.074;19.03;19.074;60705.696
2022-11-23;19.036;19.226;19.014;19.226;42086.186
2022-11-25;19.13;19.176;19.122;19.142;59256.724
2022-11-29;19.124;19.186;19.124;19.18;238020.266
2022-11-30;19.202;19.202;19.202;19.202;19.202
2022-12-01;19.348;19.358;19.348;19.358;69107.186
2022-12-05;19.34;19.352;19.34;19.352;15015.588
2022-12-06;19.352;19.37;19.35;19.37;76827.698
2022-12-07;19.342;19.342;19.334;19.334;1334.254
2022-12-08;19.364;19.364;19.364;19.364;5208.916
2022-12-09;19.286;19.368;19.278;19.368;8627.898
2022-12-12;19.264;19.264;19.256;19.256;6296.904
2022-12-13;19.208;19.366;19.208;19.338;165985.966
2022-12-14;19.276;19.35;19.268;19.35;1666567.402
2022-12-15;19.3;19.3;19.3;19.3;2451.1
2022-12-16;19.22;19.22;19.22;19.22;1479.94
2022-12-19;19.05;19.05;19.038;19.038;34918.184
2022-12-20;19.022;19.034;18.962;19.002;52882.646
2022-12-21;19.016;19.028;19.016;19.028;194464.62
2022-12-22;18.934;18.994;18.922;18.994;124309.686
2022-12-23;18.93;18.964;18.922;18.964;11527.732
2022-12-27;18.862;18.918;18.848;18.918;433240.024
2022-12-28;18.882;18.938;18.864;18.864;13166.406
