Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2009-02-18;21.52;21.58;21.17;21.3;882390.0
2009-02-19;;;;21.3;
2009-02-20;20.85;20.85;20.4;20.4;350050.0
2009-02-23;20.55;20.55;20.04;20.04;425110.0
2009-02-24;19.91;19.91;19.74;19.86;558617.5
2009-02-25;20.09;20.09;19.61;19.61;277160.4
2009-02-26;;;;19.61;
2009-02-27;19.61;19.86;19.61;19.86;139118.0
2009-03-02;19.21;19.21;19.21;19.21;134470.0
2009-03-03;19.1;19.1;19.1;19.1;49660.0
2009-03-04;;;;19.1;
2009-03-05;;;;19.1;
2009-03-06;;;;19.1;
2009-03-09;18.2;18.2;17.87;17.87;125581.0
2009-03-10;;;;17.87;
2009-03-11;19.88;19.9;19.88;19.9;278460.0
2009-03-12;19.08;19.68;19.04;19.68;840939.6
2009-03-13;19.83;19.83;19.83;19.83;138810.0
2009-03-16;;;;19.83;
2009-03-17;;;;19.83;
2009-03-18;;;;19.83;
2009-03-19;;;;19.83;
2009-03-20;;;;19.83;
2009-03-23;21.0;21.4;21.0;21.4;176310.0
2009-03-24;21.78;21.78;21.59;21.59;119695.0
2009-03-25;21.39;21.41;21.39;21.41;299600.0
2009-03-26;21.78;21.78;21.63;21.63;109116.3
2009-03-27;21.8;21.8;21.28;21.28;134202.5
2009-03-30;;;;21.28;
2009-03-31;;;;21.28;
2009-04-01;20.88;20.88;20.88;20.88;146160.0
2009-04-02;;;;20.88;
2009-04-03;;;;20.88;
2009-04-06;22.0;22.0;22.0;22.0;3300.0
2009-04-07;21.82;21.82;21.71;21.79;157156.3
2009-04-08;21.52;21.7;21.52;21.7;6504.6
2009-04-09;22.24;22.24;22.24;22.24;3491.7
2009-04-14;;;;22.24;
2009-04-15;;;;22.24;
2009-04-16;;;;22.24;
2009-04-17;;;;22.24;
2009-04-20;;;;22.24;
2009-04-21;22.24;22.25;22.24;22.25;5050.7
2009-04-22;22.68;22.68;22.68;22.68;136080.0
2009-04-23;23.11;23.11;23.11;23.11;3119.9
2009-04-24;23.36;23.36;23.36;23.36;163520.0
2009-04-27;23.33;23.33;23.33;23.33;163310.0
2009-04-28;23.12;23.13;23.0;23.01;325590.3
2009-04-29;23.53;23.53;23.53;23.53;164710.0
2009-04-30;24.07;24.07;24.07;24.07;601.8
2009-05-04;24.51;24.83;24.51;24.83;28368.3
2009-05-05;24.93;24.93;24.76;24.76;2567.3
2009-05-06;24.9;25.06;24.9;25.06;154412.0
2009-05-07;24.85;24.85;24.85;24.85;9940.0
2009-05-08;25.47;25.47;25.47;25.47;170649.0
2009-05-11;25.18;25.18;24.87;24.87;219004.0
2009-05-12;25.13;25.13;25.13;25.13;100520.0
2009-05-13;25.15;25.15;24.34;24.34;513940.9
2009-05-14;24.01;24.09;23.99;24.01;256404.7
2009-05-15;24.35;24.43;24.35;24.43;4943.3
2009-05-18;;;;24.43;
2009-05-19;25.44;25.44;25.39;25.39;178156.2
2009-05-20;;;;25.39;
2009-05-21;25.14;25.14;25.0;25.0;350980.0
2009-05-22;25.25;25.32;25.25;25.32;70714.0
2009-05-25;24.99;24.99;24.99;24.99;999.6
2009-05-26;;;;24.99;
2009-05-27;25.68;25.68;25.68;25.68;513.6
2009-05-28;25.52;25.52;25.2;25.2;771292.7
2009-05-29;25.75;25.75;25.43;25.43;622621.0
2009-06-01;;;;25.43;
2009-06-02;26.15;26.15;26.15;26.15;26150.0
2009-06-03;;;;26.15;
2009-06-04;25.93;25.93;25.93;25.93;51.9
2009-06-05;;;;25.93;
2009-06-08;;;;25.93;
2009-06-09;;;;25.93;
2009-06-10;;;;25.93;
2009-06-11;;;;25.93;
2009-06-12;;;;25.93;
2009-06-15;25.65;25.65;25.65;25.65;297540.0
2009-06-16;25.46;25.46;25.46;25.46;323342.0
2009-06-17;25.2;25.2;24.9;24.9;79957.2
2009-06-18;24.88;24.88;24.83;24.83;347970.0
2009-06-19;25.16;25.36;25.16;25.18;305756.7
2009-06-22;24.93;24.93;24.72;24.72;105743.6
2009-06-23;24.69;24.69;24.69;24.69;44442.0
2009-06-24;24.73;24.9;24.73;24.9;1300700.0
2009-06-25;;;;24.9;
2009-06-26;;;;24.9;
2009-06-29;;;;24.9;
2009-06-30;25.44;25.44;25.44;25.44;15264.0
2009-07-01;25.45;25.45;25.45;25.45;279950.0
2009-07-02;25.2;25.2;24.98;24.98;829851.3
2009-07-03;24.57;24.57;24.54;24.54;14724.6
2009-07-06;24.33;24.33;24.3;24.3;330810.0
2009-07-07;24.32;24.32;24.32;24.32;218.9
2009-07-08;23.96;23.97;23.92;23.92;528904.4
2009-07-09;;;;23.92;
