Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2013-10-30;191.65;191.65;191.65;191.65;4791.25
2013-10-31;;;;191.65;
2013-11-01;;;;191.65;
2013-11-04;;;;191.65;
2013-11-05;;;;191.65;
2013-11-06;;;;191.65;
2013-11-07;;;;191.65;
2013-11-08;;;;191.65;
2013-11-11;;;;191.65;
2013-11-12;;;;191.65;
2013-11-13;;;;191.65;
2013-11-14;;;;191.65;
2013-11-15;;;;191.65;
2013-11-18;;;;191.65;
2013-11-19;;;;191.65;
2013-11-20;;;;191.65;
2013-11-21;;;;191.65;
2013-11-22;;;;191.65;
2013-11-25;;;;191.65;
2013-11-26;;;;191.65;
2013-11-27;;;;191.65;
2013-11-28;;;;191.65;
2013-11-29;;;;191.65;
2013-12-02;;;;191.65;
2013-12-03;;;;191.65;
2013-12-04;;;;191.65;
2013-12-05;;;;191.65;
2013-12-06;;;;191.65;
2013-12-09;;;;191.65;
2013-12-10;;;;191.65;
2013-12-11;;;;191.65;
2013-12-12;;;;191.65;
2013-12-13;;;;191.65;
2013-12-16;;;;191.65;
2013-12-17;;;;191.65;
2013-12-18;;;;191.65;
2013-12-19;;;;191.65;
2013-12-20;188.58;188.58;188.58;188.58;377.16
2013-12-23;;;;188.58;
2013-12-27;;;;188.58;
2013-12-30;;;;188.58;
2014-01-02;;;;188.58;
2014-01-03;;;;188.58;
2014-01-06;;;;188.58;
2014-01-07;;;;188.58;
2014-01-08;;;;188.58;
2014-01-09;;;;188.58;
2014-01-10;;;;188.58;
2014-01-13;;;;188.58;
2014-01-14;;;;188.58;
2014-01-15;;;;188.58;
2014-01-16;;;;188.58;
2014-01-17;;;;188.58;
2014-01-20;;;;188.58;
2014-01-21;;;;188.58;
2014-01-22;;;;188.58;
2014-01-23;190.03;190.03;190.03;190.03;10071.59
2014-01-24;;;;190.03;
2014-01-27;;;;190.03;
2014-01-28;;;;190.03;
2014-01-29;;;;190.03;
2014-01-30;;;;190.03;
2014-01-31;;;;190.03;
2014-02-03;;;;190.03;
2014-02-04;;;;190.03;
2014-02-05;;;;190.03;
2014-02-06;;;;190.03;
2014-02-07;;;;190.03;
2014-02-10;;;;190.03;
2014-02-11;;;;190.03;
2014-02-12;;;;190.03;
2014-02-13;;;;190.03;
2014-02-14;;;;190.03;
2014-02-17;;;;190.03;
2014-02-18;;;;190.03;
2014-02-19;;;;190.03;
2014-02-20;191.28;191.28;191.28;191.28;5738.4
2014-02-21;;;;191.28;
2014-02-24;;;;191.28;
2014-02-25;;;;191.28;
2014-02-26;;;;191.28;
2014-02-27;;;;191.28;
2014-02-28;;;;191.28;
2014-03-03;191.48;191.48;191.48;191.48;10148.44
2014-03-04;;;;191.48;
2014-03-05;;;;191.48;
2014-03-06;;;;191.48;
