Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-08-03;32.935;33.04;32.935;33.04;48516.125
2022-08-05;34.525;34.525;34.525;34.525;345.25
2022-08-10;33.505;33.505;33.505;33.505;2512.875
2022-08-11;34.15;34.15;34.1;34.1;99547.3
2022-08-12;34.08;34.08;33.895;33.895;70559.8
2022-08-17;34.04;34.04;34.04;34.04;1021.2
2022-08-19;33.235;33.235;33.235;33.235;8142.575
2022-09-21;30.43;30.43;30.43;30.43;7455.35
2022-09-23;29.285;29.285;29.285;29.285;7174.825
2022-09-26;29.59;29.67;29.59;29.67;533.42
2022-09-30;29.555;29.555;29.555;29.555;7240.975
2022-10-06;30.605;30.605;30.605;30.605;7498.225
2022-10-12;29.265;29.265;29.265;29.265;146.325
2022-10-14;29.62;29.62;29.62;29.62;7256.9
2022-10-17;29.445;29.445;29.445;29.445;7214.025
2022-10-25;28.975;28.975;28.975;28.975;7098.875
2022-10-26;29.37;29.485;29.37;29.485;43511.7
2022-10-27;30.0;30.0;30.0;30.0;2010.0
2022-11-01;30.585;30.585;30.405;30.405;37728.375
2022-11-09;29.525;29.525;29.525;29.525;7646.975
2022-11-24;30.175;30.175;30.085;30.085;10809.515
2022-11-28;29.9;29.9;29.9;29.9;7325.5
2022-11-29;30.115;30.115;30.01;30.01;8858.2
2022-12-06;30.16;30.16;30.16;30.16;3016.0
2022-12-08;29.93;30.04;29.93;30.04;689.82
2022-12-13;30.335;30.335;30.335;30.335;7432.075
2022-12-20;28.375;28.375;28.375;28.375;16031.875
2022-12-22;28.81;28.81;28.81;28.81;16277.65
2022-12-28;28.595;28.595;28.595;28.595;2001.65
2023-01-03;29.67;29.67;29.445;29.445;7451.385
2023-01-17;30.22;30.22;30.22;30.22;453.3
2023-02-02;30.09;30.09;30.09;30.09;150.45
2023-02-17;29.645;29.645;29.645;29.645;237.16
2023-03-07;29.07;29.07;29.06;29.06;31043.2
2023-03-13;27.95;27.95;27.715;27.715;278.325
2023-03-20;27.735;27.735;27.735;27.735;138.675
2023-04-03;28.25;28.25;28.25;28.25;1130.0
2023-04-14;28.76;28.76;28.72;28.72;141946.32
2023-04-19;28.355;28.355;28.355;28.355;9782.475
2023-04-25;28.075;28.09;28.075;28.09;20303.505
2023-04-26;27.35;27.35;27.35;27.35;410.25
2023-05-02;27.665;27.67;27.665;27.67;21137.97
2023-05-08;28.025;28.025;27.965;27.965;162367.59
2023-05-18;29.2;29.2;28.04;28.04;11564.0
2023-06-14;28.54;28.54;28.54;28.54;142.7
2023-06-22;27.51;27.51;27.51;27.51;1375.5
2023-07-26;28.105;28.105;28.105;28.105;6885.725
2023-07-28;28.17;28.17;28.17;28.17;1887.39
2023-08-07;27.63;27.63;27.63;27.63;4697.1
2023-08-17;26.89;26.89;26.89;26.89;21512.0
2023-08-25;27.295;27.295;27.295;27.295;545.9
2023-09-14;27.27;27.45;27.27;27.45;273065.55
2023-10-02;25.975;25.975;25.975;25.975;6363.875
2023-10-30;23.725;23.725;23.725;23.725;735.475
2023-10-31;23.36;23.36;23.23;23.23;159557.275
2023-11-03;24.495;24.515;24.455;24.51;8231.055
2023-11-07;24.68;24.68;24.68;24.68;6046.6
2023-11-09;24.42;24.42;24.25;24.25;9199.37
2023-11-16;24.5;24.505;24.5;24.505;29894.26
2023-11-17;24.31;24.31;24.31;24.31;2431.0
2023-11-30;24.715;24.75;24.715;24.75;182389.2
2023-12-01;25.0;25.0;25.0;25.0;25.0
2023-12-04;25.23;25.33;25.15;25.28;721320.18
2023-12-05;25.285;25.285;25.285;25.285;202.28
2023-12-12;25.41;25.45;25.41;25.45;23840.58
2023-12-13;25.64;25.64;25.64;25.64;384.6
2023-12-15;26.56;26.56;26.54;26.54;19646.46
2023-12-19;26.38;26.38;26.38;26.38;10472.86
2023-12-20;26.69;26.69;26.69;26.69;2001.75
2023-12-21;26.35;26.35;26.35;26.35;20026.0
2024-01-02;27.02;27.02;27.02;27.02;270.2
2024-01-03;27.475;27.475;27.07;27.07;39920.945
2024-01-04;27.035;27.035;27.035;27.035;27.035
2024-01-05;26.865;26.865;26.865;26.865;8059.5
2024-01-08;26.865;26.865;26.865;26.865;913.41
2024-01-15;27.175;27.175;27.175;27.175;135.875
2024-01-16;26.95;27.0;26.95;27.0;5931.5
2024-01-22;27.265;27.265;27.265;27.265;81.795
2024-01-26;27.15;27.15;27.15;27.15;3963.9
2024-01-31;27.31;27.31;27.195;27.24;41433.98
2024-02-01;27.055;27.055;27.0;27.0;2539.935
2024-02-02;26.81;26.81;26.81;26.81;11689.16
2024-02-09;27.1;27.1;27.1;27.1;5420.0
2024-02-12;27.125;27.125;27.115;27.115;5831.725
2024-02-15;27.375;27.375;27.335;27.335;41291.85
2024-02-16;27.505;27.505;27.505;27.505;2750.5
2024-02-20;27.245;27.245;27.245;27.245;1089.8
2024-02-23;27.915;27.915;27.915;27.915;697.875
2024-02-26;27.85;27.85;27.85;27.85;27.85
2024-02-27;27.805;28.01;27.805;28.01;2352.635
2024-02-28;28.295;28.295;28.295;28.295;1980.65
2024-02-29;28.35;28.395;28.16;28.16;20287.01
2024-03-01;28.105;28.105;27.95;27.95;1910.83
2024-03-04;28.37;28.37;28.37;28.37;170.22
2024-03-12;28.37;28.37;28.36;28.365;453.82
2024-03-14;27.76;27.76;27.725;27.725;39878.25
2024-03-15;27.885;27.885;27.885;27.885;83.655
2024-03-19;27.8;27.8;27.72;27.755;213826.4
2024-03-20;27.945;27.945;27.945;27.945;838.35
2024-03-21;28.145;28.15;28.145;28.15;9992.96
2024-03-26;27.96;27.96;27.96;27.96;167.76
2024-03-27;28.095;28.095;28.095;28.095;5619.0
2024-04-02;28.345;28.345;28.1;28.1;11779.64
2024-04-03;28.15;28.15;27.735;27.735;1564.78
2024-04-04;27.655;27.685;27.655;27.685;32085.85
2024-04-05;27.355;27.355;27.355;27.355;10942.0
2024-04-08;27.42;27.42;27.42;27.42;54.84
2024-04-11;27.615;27.615;27.615;27.615;110.46
2024-04-12;27.6;27.6;27.6;27.6;2208.0
2024-04-15;27.395;27.395;27.2;27.2;31333.82
2024-04-16;26.78;26.78;26.68;26.68;2187.96
2024-04-18;26.385;26.385;26.315;26.385;1291.325
2024-04-22;26.17;26.17;26.17;26.17;130.85
2024-04-23;26.57;26.57;26.57;26.57;159.42
2024-04-29;26.625;26.625;26.625;26.625;718.875
2024-04-30;26.75;26.75;26.75;26.75;1819.0
2024-05-02;27.2;27.2;27.11;27.11;217.51
2024-05-03;27.165;27.165;27.165;27.165;10866.0
2024-05-06;27.065;27.065;27.065;27.065;27.065
2024-05-08;27.45;27.45;27.45;27.45;274.5
2024-05-09;27.23;27.23;27.23;27.23;2505.16
2024-05-10;27.505;27.615;27.505;27.52;25314.3
2024-05-15;27.79;27.79;27.79;27.79;83.37
2024-05-16;27.925;27.925;27.925;27.925;4188.75
2024-05-21;27.75;27.75;27.75;27.75;138.75
2024-05-22;27.69;27.69;27.69;27.69;830.7
2024-05-28;27.18;27.18;27.18;27.18;625.14
2024-05-30;26.965;26.965;26.965;26.965;539.3
2024-06-03;27.015;27.125;26.875;27.125;5456.155
2024-06-10;27.8;27.8;27.8;27.8;750.6
2024-06-11;27.835;27.835;27.835;27.835;556.7
2024-06-14;27.64;27.64;27.635;27.635;13818.405
2024-06-17;27.495;27.495;27.45;27.45;137.385
2024-06-19;27.415;27.415;27.415;27.415;1507.825
2024-06-24;27.75;27.89;27.75;27.89;218684.18
2024-06-25;28.11;28.11;28.01;28.09;73342.56
2024-07-01;27.505;27.505;27.455;27.455;137.375
2024-07-03;27.19;27.19;27.19;27.19;14954.5
2024-07-08;27.1;27.125;27.1;27.125;4285.55
2024-07-12;28.21;28.21;28.21;28.21;2821.0
2024-07-15;28.365;28.365;28.17;28.17;197.775
2024-07-16;28.3;28.3;28.3;28.3;11320.0
2024-07-17;28.905;28.905;28.805;28.805;15857.75
2024-07-22;28.25;28.425;28.25;28.305;162538.8
2024-07-23;28.655;28.7;28.655;28.7;43001.85
2024-07-24;28.575;28.575;28.575;28.575;11430.0
2024-07-29;29.47;29.565;29.44;29.44;11625.68
2024-07-30;29.625;29.625;29.545;29.545;24612.045
2024-07-31;29.86;29.89;29.86;29.89;16997.84
2024-08-01;29.765;29.765;29.655;29.76;33021.415
2024-08-06;28.455;28.455;28.455;28.455;1422.75
2024-08-07;28.74;28.74;28.74;28.74;718.5
2024-08-08;28.065;28.065;28.065;28.065;673.56
2024-08-12;28.73;28.73;28.73;28.73;5113.94
2024-08-14;28.45;28.45;28.45;28.45;711.25
2024-08-16;28.8;28.8;28.8;28.8;230.4
2024-08-19;28.895;28.895;28.895;28.895;144.475
2024-08-20;29.175;29.175;28.99;28.99;6970.55
2024-08-21;28.99;28.99;28.99;28.99;579.8
2024-08-22;28.975;28.975;28.975;28.975;8692.5
2024-08-26;28.885;28.885;28.885;28.885;115.54
2024-08-27;28.72;28.72;28.72;28.72;2872.0
2024-08-28;28.695;28.785;28.685;28.785;21551.045
2024-08-30;29.15;29.24;29.025;29.025;4166.0
2024-09-02;28.915;29.04;28.915;29.04;2285.41
2024-09-03;29.03;29.03;29.015;29.015;493.39
2024-09-16;28.63;28.63;28.475;28.52;4699.6
2024-09-23;28.495;28.495;28.495;28.495;1054.315
2024-09-24;28.245;28.245;28.245;28.245;8473.5
2024-09-25;27.88;27.88;27.88;27.88;11152.0
2024-09-26;28.08;28.08;28.08;28.08;8620.56
2024-10-01;28.86;28.86;28.86;28.86;259.74
2024-10-02;28.995;28.995;28.995;28.995;202.965
2024-10-03;28.84;28.84;28.84;28.84;778.68
2024-10-04;28.535;28.535;28.535;28.535;15152.085
2024-10-07;28.915;28.915;28.915;28.915;520.47
2024-10-08;28.535;28.535;28.535;28.535;199.745
2024-10-14;28.905;28.905;28.905;28.905;5781.0
2024-10-15;29.34;29.4;29.205;29.4;41104.47
2024-10-17;29.31;29.31;29.31;29.31;556.89
2024-10-18;29.18;29.22;29.17;29.22;37529.965
2024-10-22;28.7;28.79;28.7;28.79;25012.6
2024-11-01;27.945;28.41;27.945;28.41;450.375
2024-11-04;28.34;28.405;28.315;28.405;45914.225
2024-11-08;28.99;28.99;28.99;28.99;2899.0
2024-11-12;29.335;29.335;29.335;29.335;10267.25
2024-11-15;28.305;28.305;27.56;27.56;332.955
2024-11-20;27.66;27.66;27.66;27.66;1659.6
2024-11-22;28.685;28.685;28.685;28.685;24324.88
2024-11-25;28.665;28.665;28.665;28.665;372.645
2024-11-26;28.875;28.875;28.875;28.875;5197.5
2024-11-27;29.095;29.095;29.095;29.095;4364.25
2024-11-28;29.185;29.26;29.185;29.26;5178.495
2024-11-29;29.145;29.27;29.145;29.27;408.905
2024-12-02;29.3;29.4;29.3;29.4;499.205
2024-12-03;29.435;29.445;29.26;29.26;47899.69
2024-12-04;29.1;29.1;29.1;29.1;378.3
2024-12-05;29.085;29.22;29.085;29.22;349.83
2024-12-09;29.125;29.43;29.11;29.43;1543.635
2024-12-10;29.485;29.485;29.485;29.485;2063.95
2024-12-13;28.585;28.585;28.585;28.585;1429.25
2024-12-16;28.665;28.86;28.665;28.86;287.82
2024-12-18;28.81;28.81;28.81;28.81;201.67
2024-12-20;27.62;27.62;27.605;27.605;20046.435
2024-12-23;28.05;28.05;28.05;28.05;112.2
2024-12-27;28.295;28.3;28.295;28.3;7639.665
2025-01-02;28.05;28.66;28.05;28.66;6631.595
2025-01-03;28.36;28.36;28.36;28.36;1049.32
2025-01-07;28.61;28.61;28.61;28.61;8583.0
2025-01-13;28.705;28.705;28.62;28.62;43005.075
2025-01-15;28.565;28.565;28.565;28.565;85.695
2025-01-16;28.575;28.575;28.575;28.575;57.15
2025-01-17;28.755;28.755;28.75;28.75;575.07
2025-01-21;28.985;28.985;28.985;28.985;28.985
2025-01-22;29.29;29.31;29.235;29.235;29263.205
2025-01-23;29.435;29.495;29.435;29.495;5916.495
2025-01-27;29.485;29.485;29.305;29.305;12695.005
