Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-07-18;28.88;28.88;28.88;28.88;29.0
2007-07-19;29.28;29.28;29.28;29.28;878.0
2007-07-20;29.46;29.46;29.25;29.25;6048.0
2007-07-23;;;;29.25;
2007-07-24;29.78;29.83;29.73;29.73;15647.0
2007-07-25;29.44;29.62;29.41;29.62;9357.0
2007-07-26;29.08;29.08;29.08;29.08;145.0
2007-07-27;;;;29.08;
2007-07-30;28.06;28.14;27.85;28.14;11428.0
2007-07-31;;;;28.14;
2007-08-01;;;;28.14;
2007-08-02;;;;28.14;
2007-08-03;28.01;28.01;28.01;28.01;2997.0
2007-08-06;27.02;27.15;26.87;27.15;11156.0
2007-08-07;;;;27.15;
2007-08-08;;;;27.15;
2007-08-09;27.79;27.79;27.77;27.77;361.0
2007-08-10;;;;27.77;
2007-08-13;27.21;27.54;27.21;27.54;1694.0
2007-08-14;;;;27.54;
2007-08-16;25.34;27.5;25.34;27.5;575.0
2007-08-17;24.84;25.77;24.84;25.58;9042.0
2007-08-20;;;;25.58;
2007-08-21;25.79;25.85;25.7;25.7;31146.0
2007-08-22;26.47;26.54;26.47;26.54;1405.0
2007-08-23;27.17;27.17;27.05;27.05;7723.0
2007-08-24;26.71;26.76;26.71;26.76;4414.0
2007-08-27;27.47;27.47;27.47;27.47;4121.0
2007-08-28;27.32;27.32;27.32;27.32;2049.0
2007-08-29;;;;27.32;
2007-08-30;27.47;27.47;27.47;27.47;165.0
2007-08-31;28.1;28.1;28.01;28.01;8276.0
2007-09-03;28.2;28.21;28.19;28.21;19905.0
2007-09-04;28.59;28.59;28.59;28.59;1429.0
2007-09-05;28.34;28.34;28.0;28.0;8809.0
2007-09-06;28.0;28.32;28.0;28.32;4351.0
2007-09-07;28.21;28.21;27.63;27.63;3159.0
2007-09-10;27.69;27.69;27.66;27.66;11351.0
2007-09-11;27.69;27.69;27.69;27.69;1966.0
2007-09-12;27.63;27.63;27.63;27.63;55.0
2007-09-13;;;;27.63;
2007-09-14;;;;27.63;
2007-09-17;27.96;27.96;27.96;27.96;280.0
2007-09-18;28.0;28.0;28.0;28.0;3080.0
2007-09-19;28.89;29.06;28.89;29.06;418137.0
2007-09-20;;;;29.06;
2007-09-21;29.16;29.16;29.16;29.16;2041.0
2007-09-24;29.5;29.5;29.46;29.46;109014.0
2007-09-25;29.28;29.3;29.17;29.17;14640.0
2007-09-26;29.6;29.6;29.6;29.6;4440.0
2007-09-27;29.85;29.85;29.85;29.85;4477.0
2007-09-28;29.85;30.0;29.85;30.0;3075.0
2007-10-01;30.06;30.4;30.0;30.39;341890.0
2007-10-02;30.98;31.08;30.92;31.0;30275.0
2007-10-03;31.13;31.13;30.72;30.93;17488.0
2007-10-04;30.58;30.58;30.58;30.58;1223.0
2007-10-05;31.0;31.35;31.0;31.35;4375.0
2007-10-08;31.53;31.53;31.47;31.47;16621.0
2007-10-09;31.49;31.92;31.49;31.92;39499.0
2007-10-10;31.95;31.95;31.76;31.76;19463.0
2007-10-11;32.14;32.34;32.14;32.34;28966.0
2007-10-12;31.8;32.07;31.79;32.07;71811.0
2007-10-15;32.08;32.1;31.95;31.95;41457.0
2007-10-16;31.85;31.85;31.45;31.77;26073.0
2007-10-17;31.7;31.84;31.42;31.72;1287816.0
2007-10-18;31.9;31.9;31.0;31.0;43764.0
2007-10-19;31.62;31.62;31.25;31.25;10677.0
2007-10-22;30.02;30.47;30.02;30.47;5782.0
2007-10-23;31.44;31.74;31.34;31.74;398736.0
2007-10-24;31.67;31.68;31.6;31.6;31541.0
2007-10-25;31.72;31.72;31.7;31.7;12050.0
2007-10-26;32.11;32.21;31.9;32.21;1122669.0
2007-10-29;32.61;32.96;32.61;32.75;215755.0
2007-10-30;32.77;32.77;32.6;32.7;7777.0
2007-10-31;32.5;32.83;32.38;32.83;24008.0
2007-11-01;32.8;32.8;32.01;32.01;7436.0
2007-11-02;31.93;31.93;31.87;31.87;33951.0
2007-11-05;31.12;31.31;31.12;31.31;1028.0
2007-11-06;31.46;31.86;31.46;31.62;1134747.0
