Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-02-15;42.82;42.88;42.81;42.88;13030.0
2007-02-16;42.93;42.93;42.93;42.93;5152.0
2007-02-19;42.97;43.04;42.91;42.96;36053.0
2007-02-20;43.0;43.0;42.51;42.62;246961.0
2007-02-21;42.78;42.79;42.25;42.32;5203800.0
2007-02-22;42.51;42.62;42.5;42.62;1711125.0
2007-02-23;42.45;42.45;42.42;42.42;18250.0
2007-02-26;42.74;42.83;42.74;42.82;2585214.0
2007-02-27;42.8;42.8;41.68;41.68;26389.0
2007-02-28;41.04;41.4;41.0;41.32;2570153.0
2007-03-01;42.0;42.0;40.45;40.45;2524119.0
2007-03-02;40.86;40.86;40.42;40.64;48134.0
2007-03-05;39.96;40.25;39.96;40.22;35907.0
2007-03-06;40.41;40.41;40.32;40.38;7906.0
2007-03-07;40.0;40.53;40.0;40.53;152804.0
2007-03-08;40.56;40.9;40.56;40.9;3413488.0
2007-03-09;41.91;41.91;40.72;40.72;22907.0
2007-03-12;41.7;41.7;40.76;40.78;92631.0
2007-03-13;40.69;40.79;40.59;40.59;16572.0
2007-03-14;39.6;39.73;39.31;39.31;118644.0
2007-03-15;39.99;39.99;39.58;39.86;5678892.0
2007-03-16;39.85;40.02;39.61;39.81;838919.0
2007-03-19;40.21;40.49;40.21;40.49;57682.0
2007-03-20;40.22;40.5;40.22;40.5;24219.0
2007-03-21;40.78;40.78;40.74;40.74;309630.0
2007-03-22;41.25;41.44;41.2;41.44;1350952.0
2007-03-23;41.45;41.8;41.45;41.8;286415.0
2007-03-26;41.92;41.92;41.5;41.5;22116.0
2007-03-27;41.6;41.61;41.5;41.5;90810.0
2007-03-28;41.22;41.22;41.22;41.22;8244.0
2007-03-29;41.6;41.74;41.6;41.73;2105972.0
2007-03-30;41.7;41.93;41.7;41.93;438401.0
2007-04-02;41.82;41.98;41.75;41.82;2529643.0
2007-04-03;42.18;42.27;42.18;42.23;1047929.0
2007-04-04;42.39;42.41;42.28;42.29;472605.0
2007-04-05;42.45;42.46;42.42;42.45;34797.0
2007-04-10;42.52;42.73;42.51;42.73;435268.0
2007-04-11;43.0;43.04;42.96;42.96;40405.0
2007-04-12;43.0;43.0;42.05;42.8;54486.0
2007-04-13;42.9;43.05;42.88;42.98;28428.0
2007-04-16;43.29;43.5;43.29;43.47;91905.0
2007-04-17;43.44;43.54;43.44;43.54;19775.0
2007-04-18;43.5;43.5;43.14;43.18;34169.0
2007-04-19;43.01;43.01;42.85;42.93;128365.0
2007-04-20;43.53;43.7;43.46;43.7;30923.0
2007-04-23;43.62;43.65;43.62;43.65;5540.0
2007-04-24;43.67;43.67;43.41;43.43;16363.0
2007-04-25;43.75;43.77;43.75;43.77;8752.0
2007-04-26;44.04;44.1;43.89;44.01;73110.0
2007-04-27;43.89;43.91;43.7;43.84;54323.0
2007-04-30;43.98;44.0;43.96;43.96;39945.0
2007-05-02;44.07;44.16;43.86;44.02;31027.0
2007-05-03;44.0;44.12;43.77;43.81;54362.0
2007-05-04;44.05;44.12;44.05;44.09;34912.0
2007-05-07;44.21;44.21;44.02;44.12;34785.0
2007-05-08;44.1;44.1;43.58;43.75;7930892.0
2007-05-09;44.09;44.14;43.85;43.99;910336.0
2007-05-10;43.92;44.1;43.62;43.62;21697.0
2007-05-11;43.62;43.77;43.31;43.77;1074896.0
2007-05-14;43.91;43.91;43.7;43.7;184145.0
2007-05-15;43.89;44.15;43.86;44.1;40011.0
2007-05-16;44.1;44.1;43.96;43.96;255982.0
2007-05-17;;;;43.96;
2007-05-18;44.3;44.5;44.3;44.5;34086.0
