Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-09-09;20.63;20.63;20.63;20.63;6189.0
2020-09-14;21.48;21.48;21.48;21.48;6444.0
2020-09-16;22.31;22.31;22.31;22.31;4462.0
2020-09-17;21.48;21.48;21.48;21.48;1503.6
2020-10-16;19.61;19.61;19.586;19.586;3919.672
2020-11-19;21.13;21.13;21.13;21.13;2176.39
2020-11-24;20.83;21.61;20.83;21.61;12828.95
2020-11-25;21.615;21.705;21.34;21.705;162156.755
2020-11-27;21.535;21.78;21.435;21.77;101543.06
2020-12-01;22.01;22.435;22.01;22.435;18376.745
2020-12-02;22.63;22.81;22.57;22.795;67765.245
2020-12-03;22.97;22.97;22.825;22.825;18529.8
2020-12-04;23.715;23.955;23.655;23.915;72683.285
2020-12-07;23.05;23.05;23.05;23.05;6776.7
2020-12-10;22.655;23.305;22.655;23.185;60848.035
2020-12-11;22.78;22.78;22.78;22.78;2346.34
2020-12-14;22.955;22.965;22.71;22.71;25861.755
2020-12-15;22.885;22.885;22.885;22.885;9154.0
2020-12-21;22.305;22.305;22.305;22.305;6557.67
2020-12-30;23.69;23.69;23.69;23.69;6964.86
2021-01-11;22.995;22.995;22.995;22.995;6760.53
2021-01-20;24.21;24.21;24.21;24.21;7117.74
2021-01-21;25.11;25.11;25.11;25.11;7382.34
2021-01-22;24.475;24.475;24.475;24.475;7195.65
2021-01-28;24.29;24.29;24.29;24.29;7141.26
2021-02-08;25.5;25.895;25.5;25.895;17053.5
2021-02-09;26.205;26.205;26.205;26.205;7704.27
2021-02-11;27.885;28.0;27.885;28.0;18194.19
2021-02-12;27.27;27.29;27.27;27.29;9386.76
2021-02-15;28.59;28.84;28.59;28.825;57556.495
2021-02-16;29.09;29.09;28.235;28.925;82655.8
2021-02-17;27.555;27.555;27.525;27.525;16193.52
2021-02-18;27.96;28.0;27.96;28.0;11020.24
2021-02-19;28.595;28.595;28.595;28.595;8406.93
2021-02-22;28.2;28.2;28.16;28.16;4931.0
2021-02-23;28.065;28.065;27.16;27.16;32494.35
2021-02-24;27.87;27.92;27.87;27.92;10985.78
2021-02-26;26.5;26.62;26.5;26.62;930.5
2021-03-01;26.775;26.775;26.775;26.775;7871.85
2021-03-02;26.315;26.315;26.315;26.315;263.15
2021-03-03;26.84;26.84;26.84;26.84;7890.96
2021-03-16;27.14;27.14;27.14;27.14;7979.16
2021-03-19;26.19;26.19;26.0;26.0;8999.86
2021-03-22;25.95;25.95;25.835;25.835;9256.905
2021-03-25;25.765;26.02;25.765;26.02;15224.79
2021-03-30;25.88;25.88;25.88;25.88;7608.72
2021-03-31;26.415;26.415;26.415;26.415;264.15
2021-04-08;27.41;27.41;27.2;27.2;546.1
2021-04-20;26.64;26.64;26.64;26.64;5328.0
2021-04-23;27.6;27.6;27.6;27.6;8114.4
2021-04-26;27.41;27.41;27.41;27.41;8058.54
2021-04-28;26.91;26.91;26.91;26.91;7911.54
2021-04-29;26.15;26.15;26.15;26.15;7688.1
2021-04-30;26.78;27.0;26.78;27.0;4940.78
2021-05-03;27.51;27.51;27.51;27.51;17138.73
2021-05-04;27.515;27.515;27.515;27.515;16509.0
2021-05-05;27.015;27.015;26.915;26.915;7940.025
2021-05-07;27.69;27.69;27.69;27.69;3821.22
2021-05-10;27.92;27.92;27.92;27.92;9213.6
2021-05-12;27.24;27.24;27.12;27.12;18042.96
2021-05-17;27.185;27.185;27.185;27.185;5437.0
2021-05-19;27.03;27.03;26.59;26.59;23741.28
2021-05-21;26.415;26.415;26.415;26.415;1030.185
2021-06-02;26.145;26.145;26.145;26.145;10196.55
2021-06-03;26.06;26.06;26.06;26.06;5212.0
2021-06-04;25.72;25.72;25.72;25.72;2186.2
2021-06-10;25.08;25.08;25.08;25.08;7373.52
2021-06-11;25.515;25.625;25.515;25.625;27323.05
2021-06-17;24.2;24.2;24.2;24.2;24200.0
2021-06-18;23.3;23.3;23.3;23.3;34950.0
2021-06-24;23.975;23.98;23.975;23.98;35964.985
2021-06-29;23.565;23.565;23.565;23.565;6928.11
2021-07-14;24.7;25.075;24.7;25.075;19919.345
2021-07-15;25.27;25.27;25.02;25.085;24335.49
2021-07-20;23.5;23.5;23.5;23.5;23500.0
2021-07-28;23.22;23.22;23.22;23.22;23220.0
2021-07-29;23.635;23.635;23.52;23.52;8805.68
2021-08-03;23.175;23.175;23.175;23.175;2317.5
2021-08-04;23.0;23.0;23.0;23.0;92.0
2021-08-05;22.32;22.32;22.32;22.32;22320.0
2021-08-06;22.06;22.06;21.52;21.52;26968.82
2021-08-11;22.035;22.035;22.035;22.035;6478.29
2021-08-17;22.17;22.17;22.17;22.17;16560.99
2021-08-23;22.315;22.315;22.315;22.315;490.93
2021-08-24;22.325;22.325;22.325;22.325;4465.0
2021-08-26;21.615;21.615;21.615;21.615;6354.81
2021-08-30;22.19;22.21;22.1;22.135;23455.36
2021-08-31;22.335;22.335;22.115;22.115;10968.81
2021-09-02;22.005;22.005;22.005;22.005;2200.5
2021-09-08;21.71;21.71;21.705;21.705;22555.22
2021-09-09;21.525;21.525;21.415;21.415;12881.34
2021-09-13;21.06;21.06;21.06;21.06;16848.0
2021-09-14;20.85;20.85;20.85;20.85;6129.9
2021-09-15;20.535;20.535;20.46;20.46;38464.335
2021-09-20;20.16;20.195;20.16;20.195;26211.5
2021-09-21;20.63;20.745;20.585;20.725;178396.4
2021-09-22;21.605;22.0;21.605;22.0;15151.87
2021-09-28;21.5;21.5;21.5;21.5;6321.0
2021-10-08;22.74;22.74;22.74;22.74;6685.56
2021-10-11;22.565;22.565;22.565;22.565;4513.0
2021-10-15;23.1;23.1;23.1;23.1;6791.4
2021-10-19;23.145;23.145;23.145;23.145;1434.99
2021-10-22;23.255;23.255;23.255;23.255;10046.16
2021-11-03;22.785;22.785;22.785;22.785;227.85
2021-11-08;23.065;23.065;23.065;23.065;2652.475
2021-11-09;23.04;23.08;23.04;23.08;21710.4
2021-11-10;23.075;23.075;23.075;23.075;17929.275
2021-11-11;23.69;23.69;23.69;23.69;23690.0
2021-11-22;22.59;22.59;22.59;22.59;19879.2
2021-11-23;21.985;21.99;21.21;21.21;22440.155
2021-11-24;21.445;21.445;21.445;21.445;750.575
2021-11-26;21.37;21.84;21.09;21.09;18795.84
2021-11-30;20.865;20.865;20.865;20.865;834.6
2021-12-01;20.88;20.88;20.88;20.88;730.8
2021-12-03;20.285;20.285;20.285;20.285;5963.79
2021-12-07;20.9;20.9;20.9;20.9;10303.7
2021-12-09;20.6;20.6;20.59;20.59;10274.61
2021-12-13;20.72;20.72;20.37;20.37;30858.325
2021-12-16;20.255;20.355;20.255;20.32;946614.98
2021-12-20;20.145;20.255;20.145;20.255;39108.495
2021-12-21;20.4;20.4;20.4;20.4;20400.0
2021-12-29;21.075;21.075;21.075;21.075;8914.725
2022-01-06;20.865;20.865;20.865;20.865;1919.58
2022-01-07;21.08;21.08;20.83;20.83;10332.66
2022-01-10;20.69;20.69;20.69;20.69;6082.86
2022-01-18;21.5;21.5;21.5;21.5;2150.0
2022-01-19;21.76;22.54;21.76;22.54;90623.25
2022-01-20;22.67;22.975;22.67;22.78;974268.745
2022-01-21;22.59;22.69;22.59;22.69;13312.32
2022-01-24;22.27;22.27;22.27;22.27;2227.0
2022-01-26;22.98;22.98;22.98;22.98;7445.52
2022-01-28;21.685;21.685;21.685;21.685;6375.39
2022-02-02;22.545;22.545;22.525;22.525;29160.29
2022-02-03;22.245;22.245;22.245;22.245;6540.03
2022-02-04;22.205;22.205;22.205;22.205;6528.27
2022-02-07;22.01;22.025;21.99;21.99;39490.29
2022-02-08;22.5;22.5;22.5;22.5;22.5
2022-02-09;22.48;22.48;22.48;22.48;2472.8
2022-02-10;22.715;22.715;22.6;22.6;9390.51
2022-02-11;22.415;22.415;22.11;22.11;9862.59
2022-02-14;22.485;22.485;22.475;22.475;22477.94
2022-02-15;22.22;22.22;22.22;22.22;9887.9
2022-02-17;23.4;23.64;23.355;23.64;1447113.29
2022-02-22;23.445;23.6;23.445;23.6;58515.39
2022-02-23;23.6;23.6;23.6;23.6;23600.0
2022-02-24;24.055;24.35;24.055;24.3;117897.1
2022-02-28;23.0;23.0;23.0;23.0;690.0
2022-03-04;23.945;23.945;23.945;23.945;95.78
2022-03-07;25.17;25.17;24.905;24.905;17843.45
2022-03-08;24.945;25.745;24.945;25.745;14512.385
2022-03-09;25.06;25.06;23.39;23.505;31333.94
2022-03-10;23.585;23.71;23.58;23.71;94494.005
2022-03-14;22.59;22.65;22.37;22.395;109296.18
2022-03-15;21.95;22.09;21.765;21.765;1303136.09
2022-03-16;21.8;22.04;21.8;22.015;28750.93
2022-03-21;22.59;22.635;22.58;22.58;39867.87
2022-03-22;22.485;22.485;22.12;22.12;17234.12
2022-03-25;22.18;22.185;22.015;22.015;32547.27
2022-03-29;20.785;20.785;20.68;20.69;30464.28
2022-03-31;21.355;21.355;21.355;21.355;213.55
2022-04-06;21.0;21.0;21.0;21.0;630.0
2022-04-11;21.31;21.31;21.255;21.255;7030.32
2022-04-13;21.31;21.31;21.31;21.31;6265.14
2022-04-22;20.32;20.325;20.32;20.325;11949.63
2022-04-25;20.11;20.11;19.868;19.868;3000.31
2022-04-28;19.9;20.02;19.9;20.02;24480.6
2022-05-02;20.38;20.49;20.38;20.49;45472.655
2022-05-03;20.48;20.505;20.48;20.505;9100.47
2022-05-05;21.27;21.27;21.26;21.26;12503.82
2022-05-06;20.66;20.675;20.66;20.675;12152.49
2022-05-09;20.335;20.665;20.145;20.665;165338.91
2022-05-10;21.505;21.505;21.505;21.505;6322.47
2022-05-11;21.46;21.675;21.46;21.675;8089.25
2022-05-13;20.4;20.4;20.4;20.4;5997.6
2022-05-16;20.295;20.465;20.295;20.465;11983.44
2022-05-17;20.535;20.805;20.535;20.68;42986.0
2022-05-18;20.88;20.93;20.88;20.92;24594.57
2022-05-20;20.925;20.925;20.51;20.51;67179.0
2022-05-23;20.99;21.08;20.695;20.805;36829.215
2022-05-25;20.33;20.33;20.33;20.33;5977.02
2022-05-31;21.02;21.02;20.765;20.765;22579.89
2022-06-01;21.04;21.615;21.04;21.615;18842.46
