Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-06-29;11.978;11.978;11.978;11.978;479.12
2018-07-05;11.896;11.896;11.896;11.896;11896.0
2018-07-16;12.084;12.13;12.044;12.058;437712.444
2018-07-23;12.034;12.034;12.034;12.034;5054.28
2018-07-24;12.054;12.08;12.02;12.08;1063290.076
2018-07-27;12.218;12.256;12.214;12.214;37276.762
2018-08-03;12.106;12.106;12.106;12.106;9830.072
2018-08-08;12.114;12.114;12.114;12.114;3706.884
2018-08-10;12.114;12.114;12.114;12.114;12114.0
2018-08-16;12.18;12.18;12.18;12.18;5481.0
2018-08-27;12.038;12.038;12.038;12.038;36.114
2018-08-31;11.74;11.864;11.74;11.864;46318.06
2018-09-03;11.878;11.892;11.858;11.866;211684.332
2018-09-05;11.814;11.814;11.814;11.814;11814.0
2018-09-06;11.822;11.9;11.82;11.878;99526.326
2018-09-07;11.952;11.96;11.952;11.96;23912.0
2018-09-11;11.872;11.874;11.872;11.874;44642.872
2018-09-20;11.912;11.916;11.894;11.91;217806.25
2018-09-27;12.116;12.124;12.084;12.12;407793.048
2018-10-02;12.2;12.2;12.2;12.2;11858.4
2018-10-04;12.116;12.13;12.116;12.13;89727.322
2018-10-05;12.044;12.068;12.044;12.068;24112.0
2018-10-08;12.08;12.08;12.08;12.08;12080.0
2018-10-12;12.058;12.058;12.058;12.058;12058.0
2018-10-16;12.002;12.05;11.99;12.05;48497.03
2018-10-25;12.104;12.104;12.102;12.102;28320.698
2018-10-31;12.188;12.188;12.18;12.18;24368.0
2018-11-01;12.146;12.146;12.146;12.146;12146.0
2018-11-02;12.136;12.136;12.136;12.136;12136.0
2018-11-05;12.14;12.14;12.14;12.14;5098.8
2018-11-08;12.164;12.164;12.164;12.164;12164.0
2018-11-16;12.15;12.15;12.15;12.15;2976.75
2018-11-20;11.99;11.99;11.99;11.99;4867.94
2018-11-29;12.074;12.074;12.074;12.074;5336.708
2018-11-30;12.172;12.172;12.172;12.172;27813.02
2018-12-03;12.25;12.25;12.2;12.2;14812.0
2018-12-06;12.168;12.168;12.164;12.164;8808.02
2018-12-07;12.164;12.164;12.164;12.164;8806.736
2018-12-12;12.25;12.266;12.25;12.266;80875.732
2018-12-14;12.328;12.328;12.328;12.328;34469.088
2019-01-04;12.376;12.43;12.376;12.418;39027.258
2019-01-22;12.674;12.674;12.64;12.64;5062.8
2019-01-24;12.754;12.794;12.73;12.778;8311248.58
2019-01-25;12.76;12.76;12.742;12.76;25720.326
2019-01-28;12.68;12.68;12.578;12.578;28428.934
2019-01-29;12.568;12.598;12.568;12.598;37627.42
2019-01-30;12.564;12.608;12.564;12.608;21022.148
2019-01-31;12.664;12.758;12.664;12.758;29357.148
2019-02-01;12.704;12.734;12.704;12.712;10458.21
2019-02-04;12.728;12.754;12.728;12.754;69564.7
2019-02-05;12.81;12.848;12.788;12.848;43818.5
2019-02-06;12.814;12.846;12.808;12.808;58656.0
2019-02-07;12.824;12.844;12.824;12.84;40658.3
2019-02-08;12.836;12.836;12.802;12.802;22000.3
2019-02-11;12.828;12.85;12.828;12.85;7039683.2
2019-02-12;12.868;12.904;12.858;12.858;173344.9
2019-02-13;12.908;12.926;12.908;12.926;141614.5
2019-02-14;12.856;12.88;12.856;12.88;30169.8
2019-02-15;12.91;12.952;12.91;12.92;80322.9
2019-02-18;12.888;12.896;12.852;12.878;51528.8
2019-02-19;12.884;12.908;12.876;12.896;126288.4
2019-02-20;12.896;12.896;12.854;12.854;59054.0
2019-02-21;12.86;12.874;12.842;12.842;50116.2
2019-02-22;12.868;12.924;12.868;12.924;65468.7
2019-02-25;12.932;12.95;12.92;12.95;175030.1
2019-02-26;12.94;12.94;12.878;12.91;115359.1
2019-02-27;12.922;12.932;12.922;12.932;69664.6
2019-02-28;12.87;12.91;12.868;12.868;111970.1
2019-03-01;12.91;12.91;12.86;12.886;49235.2
2019-03-04;12.892;12.92;12.892;12.912;64537.2
2019-03-05;12.878;12.9;12.878;12.9;47847.6
2019-03-06;12.908;12.936;12.908;12.93;15899.6
2019-03-07;12.994;13.004;12.978;12.984;60895.1
2019-03-08;12.948;12.982;12.948;12.982;37154.0
2019-03-11;12.996;13.048;12.996;13.036;93106.3
2019-03-12;13.044;13.056;13.004;13.004;172549.5
2019-03-13;13.024;13.024;12.98;13.01;70308.3
2019-03-14;13.004;13.034;13.004;13.034;9078.4
2019-03-15;13.012;13.03;13.008;13.03;16147.9
2019-03-18;13.136;13.136;13.004;13.048;148168.9
2019-03-19;13.034;13.04;13.026;13.026;50414.8
2019-03-20;13.05;13.05;12.98;13.014;101156.8
2019-03-21;13.084;13.146;13.084;13.146;59374.3
2019-03-22;13.146;13.162;13.138;13.162;116561.7
2019-03-25;13.048;13.078;13.048;13.078;51516.4
2019-03-26;13.164;13.19;13.16;13.16;55682.6
2019-03-27;13.148;13.22;13.148;13.178;495590.7
2019-03-28;13.19;13.224;13.19;13.224;77124.7
2019-03-29;13.24;13.276;13.24;13.276;71563.3
2019-04-01;13.278;13.312;13.278;13.286;225813.5
2019-04-02;13.304;13.328;13.298;13.324;88061.8
2019-04-03;13.288;13.292;13.268;13.292;73871.2
2019-04-04;13.288;13.31;13.288;13.31;34066.3
2019-04-05;13.29;13.298;13.27;13.296;34980.4
2019-04-08;13.3;13.3;13.218;13.254;86248.4
2019-04-09;13.244;13.244;13.214;13.214;69155.6
2019-04-10;13.23;13.268;13.23;13.268;25833.3
2019-04-11;13.17;13.17;12.94;13.12;15700.3
2019-04-12;13.08;13.08;13.026;13.046;147194.6
2019-04-15;13.054;13.08;13.048;13.08;192037.9
2019-04-16;13.07;13.1;13.068;13.096;53025.3
2019-04-17;13.1;13.122;13.074;13.074;232568.2
2019-04-18;13.14;13.162;13.138;13.162;877563.9
2019-04-23;13.134;13.23;13.132;13.23;461336.8
2019-04-24;13.242;13.264;13.22;13.22;172705.6
2019-04-26;13.28;13.288;13.258;13.258;156727.3
2019-04-29;13.24;13.254;13.226;13.242;1510592.3
2019-04-30;13.22;13.222;13.198;13.214;71070.9
2019-05-02;13.226;13.262;13.216;13.216;89092.1
2019-05-03;13.244;13.27;13.244;13.27;43922.4
2019-05-06;13.222;13.25;13.216;13.244;94391.3
2019-05-07;13.26;13.276;13.234;13.25;107708.0
2019-05-08;13.17;13.252;13.17;13.228;595886.0
2019-05-09;13.168;13.172;13.166;13.172;95155.9
2019-05-10;13.138;13.162;13.136;13.144;77259.7
2019-05-13;13.136;13.136;13.054;13.068;55174.9
2019-05-14;13.108;13.142;13.058;13.134;37311.5
2019-05-15;13.148;13.19;13.144;13.156;175919.5
2019-05-16;13.222;13.246;13.222;13.246;44588.0
2019-05-17;13.216;13.25;13.214;13.25;116642.2
2019-05-20;13.25;13.26;13.218;13.242;277624.5
2019-05-21;13.296;13.31;13.268;13.31;42052.2
2019-05-22;13.332;13.336;13.288;13.328;82217.8
2019-05-23;13.308;13.332;13.3;13.3;64511.1
2019-05-24;13.256;13.268;13.216;13.216;84434.9
2019-05-27;13.228;13.26;13.226;13.236;45571.7
2019-05-28;13.258;13.278;13.256;13.278;54480.4
2019-05-29;13.276;13.318;13.274;13.318;109530.4
2019-05-30;13.352;13.386;13.346;13.346;32744.4
2019-05-31;13.344;13.344;13.278;13.31;42161.2
2019-06-03;13.29;13.29;13.204;13.23;2449352.9
2019-06-04;13.252;13.282;13.25;13.282;59715.1
