Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-10-12;181.0;181.0;181.0;181.0;7240.0
2017-11-06;186.9;186.9;186.9;186.9;7476.0
2017-12-04;180.29;180.29;180.29;180.29;7211.6
2017-12-12;181.92;181.92;181.87;181.87;36379.0
2017-12-13;181.98;181.98;181.98;181.98;18198.0
2017-12-14;181.21;182.06;181.18;182.06;72617.0
2017-12-18;182.04;182.04;182.04;182.04;910.2
2017-12-20;180.26;180.26;180.06;180.06;54051.0
2017-12-21;179.6;179.6;179.6;179.6;17960.0
2017-12-22;179.8;179.8;179.77;179.77;35957.0
2017-12-27;179.78;179.78;179.78;179.78;17978.0
2018-01-02;177.78;177.78;177.78;177.78;9955.68
2018-01-09;178.83;178.96;178.83;178.96;4650.36
2018-01-12;175.8;175.8;175.01;175.01;35080.8
2018-01-15;174.18;174.18;173.63;173.63;86932.0
2018-01-16;174.32;174.32;174.32;174.32;17432.0
2018-01-26;169.89;170.79;169.89;170.79;34068.0
2018-02-01;169.57;169.57;169.57;169.57;1695.7
2018-02-05;168.39;168.92;168.39;168.92;70928.8
2018-02-21;169.96;169.96;169.96;169.96;16996.0
2018-02-22;170.12;170.12;170.12;170.12;7995.64
2018-02-23;170.11;170.11;170.11;170.11;2041.32
2018-02-27;171.2;171.2;171.2;171.2;17120.0
2018-03-01;171.57;172.68;171.57;171.98;117110.4
2018-03-02;171.65;171.65;171.65;171.65;17165.0
2018-03-28;170.87;170.87;170.87;170.87;17087.0
2018-04-11;168.41;168.41;168.41;168.41;16841.0
2018-04-19;167.59;167.61;167.59;167.59;50279.0
2018-04-20;168.6;168.6;168.6;168.6;16860.0
2018-04-25;169.1;169.1;168.99;169.08;76080.0
2018-04-30;170.67;170.67;170.67;170.67;170.67
2018-05-02;172.95;172.95;172.95;172.95;17295.0
2018-05-07;173.61;173.91;173.61;173.63;61172.76
2018-05-08;174.1;174.1;174.1;174.1;1566.9
2018-05-11;173.52;173.52;173.29;173.29;38667.63
2018-05-14;172.47;172.47;172.47;172.47;13797.6
2018-05-15;173.95;173.95;173.95;173.95;173.95
2018-05-17;173.88;173.88;173.88;173.88;3999.24
2018-05-21;175.38;175.38;175.38;175.38;4735.26
2018-05-22;174.15;174.15;174.15;174.15;1219.05
2018-05-23;175.7;175.7;175.7;175.7;4041.1
2018-05-28;177.4;179.3;177.36;179.3;43300.16
2018-05-29;180.11;180.11;180.11;180.11;45027.5
2018-05-30;180.51;180.51;179.47;179.47;51080.72
2018-05-31;177.78;177.78;177.6;177.6;19198.8
2018-06-04;177.63;177.78;177.35;177.78;150113.75
2018-06-05;177.73;177.73;177.73;177.73;1777.3
2018-06-06;176.58;176.58;175.97;175.97;42808.81
2018-06-07;175.19;175.52;175.08;175.52;70095.0
2018-06-08;176.55;176.71;176.55;176.71;37103.5
2018-06-11;175.61;175.69;175.55;175.55;34774.44
2018-06-12;175.72;176.02;175.72;175.88;52249.0
2018-06-13;176.58;176.58;176.27;176.35;39500.84
2018-06-14;177.82;177.82;177.82;177.82;17782.0
2018-06-15;179.56;179.71;179.39;179.39;61936.88
2018-06-18;179.65;179.65;179.12;179.12;18454.13
2018-06-19;179.93;180.57;179.93;179.94;79429.68
2018-06-20;180.03;180.03;179.7;179.7;88873.02
2018-06-21;179.79;180.39;179.43;179.43;55756.98
2018-06-22;178.05;179.15;178.05;179.15;55577.15
2018-06-26;178.48;178.89;178.35;178.89;131531.34
2018-06-27;178.83;180.25;178.83;180.25;108708.6
2018-06-28;180.88;180.88;180.46;180.46;27084.36
2018-06-29;179.66;179.66;179.6;179.6;35926.0
2018-07-02;179.91;180.22;179.75;180.1;77250.35
2018-07-03;179.04;179.43;179.04;179.43;35847.0
2018-07-04;179.85;179.85;179.52;179.52;169793.49
2018-07-05;179.03;179.03;178.79;178.96;36672.01
2018-07-09;177.83;177.99;177.67;177.99;18686.39
2018-07-10;178.18;178.35;178.18;178.35;15868.22
2018-07-11;178.61;178.61;178.09;178.09;88038.1
2018-07-12;178.88;179.28;178.81;179.28;38858.59
2018-07-13;179.79;179.83;179.79;179.83;37040.98
2018-07-16;178.96;179.04;178.34;178.38;40510.2
2018-07-17;178.28;178.96;178.28;178.96;8583.28
2018-07-19;180.08;180.19;180.08;180.19;36027.0
2018-07-20;178.97;178.97;178.27;178.27;124903.0
2018-07-23;177.9;178.25;177.59;178.25;165783.34
2018-07-24;177.92;177.92;177.66;177.66;2665.16
2018-07-25;178.09;178.09;178.0;178.0;21182.77
2018-07-26;177.62;178.58;177.62;178.58;35620.0
2018-07-31;177.71;177.79;177.71;177.79;35550.0
2018-08-02;178.62;178.62;178.62;178.62;17862.0
2018-08-03;179.88;179.88;179.58;179.58;10421.04
2018-08-06;179.99;179.99;179.99;179.99;2159.88
2018-08-07;180.01;180.01;179.64;179.7;72852.68
2018-08-09;179.68;180.09;179.68;180.09;19446.44
2018-08-10;182.65;183.03;182.65;183.03;237483.0
2018-08-13;184.07;184.07;182.94;182.94;86429.12
2018-08-16;183.7;183.7;183.7;183.7;18370.0
2018-08-17;183.46;183.58;183.38;183.58;50641.82
2018-08-21;182.07;182.07;182.07;182.07;15111.81
2018-08-23;181.51;181.51;181.51;181.51;18151.0
2018-08-27;180.83;180.83;179.91;179.91;38677.74
2018-08-28;179.27;179.27;179.27;179.27;1254.89
2018-08-31;179.31;179.71;179.31;179.71;23708.92
2018-09-03;180.27;180.27;180.27;180.27;13159.71
2018-09-05;180.66;180.66;180.66;180.66;18066.0
2018-09-06;179.67;180.37;179.67;180.37;58473.75
2018-09-07;179.73;179.75;179.73;179.75;17255.66
2018-09-10;180.76;180.76;180.69;180.69;14096.2
2018-09-11;178.57;178.57;178.57;178.57;1071.42
2018-09-12;179.67;179.8;179.55;179.55;53902.0
2018-09-13;178.54;178.54;178.54;178.54;17854.0
2018-09-14;177.82;177.82;177.82;177.82;9602.28
2018-09-17;178.85;178.85;178.85;178.85;3040.45
2018-09-18;178.03;178.04;177.74;177.74;40204.63
2018-09-19;177.28;177.28;177.09;177.09;6027.33
2018-09-20;177.26;177.26;177.19;177.19;17189.88
2018-09-21;176.09;176.09;176.01;176.01;3345.15
2018-09-24;175.96;176.05;175.96;176.05;36257.3
2018-09-25;175.85;176.04;175.58;175.6;56239.0
2018-09-26;176.2;176.2;176.14;176.14;1761.94
2018-09-27;177.62;177.78;177.48;177.78;47421.26
2018-09-28;178.64;178.64;178.61;178.61;20361.96
2018-10-01;179.07;179.07;178.82;178.86;2148.38
2018-10-02;179.94;179.94;179.77;179.89;38305.22
2018-10-03;179.28;179.57;179.28;179.43;46483.37
2018-10-04;179.37;179.37;178.93;178.93;18251.74
2018-10-05;178.18;178.47;178.18;178.47;35665.0
2018-10-08;178.88;179.17;178.81;179.17;73253.43
2018-10-09;178.85;178.85;178.85;178.85;715.4
2018-10-10;179.09;179.09;179.09;179.09;1074.54
