Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-11-11;45.215;45.215;45.215;45.215;6058.81
2020-12-16;45.305;45.305;45.305;45.305;9061.0
2021-01-05;45.325;45.325;45.325;45.325;5892.25
2021-01-11;45.31;45.31;45.31;45.31;2265.5
2021-01-15;45.195;45.195;45.19;45.19;696830.47
2021-01-19;45.16;45.16;45.16;45.16;684264.32
2021-01-21;45.205;45.205;45.205;45.205;78747.11
2021-01-28;45.205;45.205;45.205;45.205;1356.15
2021-02-15;45.25;45.25;45.25;45.25;22625.0
2021-02-24;45.25;45.25;45.25;45.25;22625.0
2021-02-25;45.21;45.21;45.21;45.21;22605.0
2021-03-01;45.235;45.245;45.235;45.245;30310.13
2021-03-02;45.25;45.25;45.25;45.25;22625.0
2021-03-08;45.155;45.155;45.155;45.155;6050.77
2021-03-10;45.21;45.21;45.21;45.21;4114.11
2021-03-15;45.2;45.2;45.2;45.2;24227.2
2021-03-25;45.245;45.245;45.245;45.245;6062.83
2021-04-08;45.32;45.33;45.32;45.325;63636.3
2021-04-09;45.3;45.35;45.29;45.295;118906.93
2021-04-12;45.3;45.3;45.295;45.295;272318.57
2021-04-21;45.28;45.285;45.28;45.285;16663.63
2021-04-22;45.295;45.295;45.295;45.295;1585.325
2021-04-23;45.23;45.23;45.23;45.23;17368.32
2021-04-29;45.24;45.24;45.235;45.235;23433.65
2021-04-30;45.245;45.245;45.23;45.235;341698.29
2021-05-03;45.24;45.25;45.24;45.24;31850.11
2021-05-04;45.24;45.24;45.21;45.21;37901.85
2021-05-05;45.24;45.24;45.24;45.24;1357.2
2021-05-06;45.25;45.25;45.25;45.25;6063.5
2021-05-10;45.24;45.24;45.24;45.24;60350.16
2021-05-11;45.21;45.21;45.21;45.21;6058.14
2021-05-12;45.195;45.195;45.195;45.195;6056.13
2021-05-14;45.17;45.17;45.17;45.17;13144.47
2021-05-18;45.165;45.165;45.165;45.165;6052.11
2021-05-19;45.14;45.19;45.14;45.17;27686.81
2021-05-20;45.165;45.185;45.16;45.16;22809.47
2021-05-28;45.235;45.24;45.22;45.22;47399.66
2021-05-31;45.22;45.23;45.21;45.21;118207.9
2021-06-04;45.29;45.29;45.29;45.29;181.16
2021-06-16;45.295;45.315;45.285;45.315;62795.59
