Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-05-09;6.362;6.363;6.362;6.363;39193.0
2022-05-10;6.313;6.37;6.313;6.37;81421.65
2022-05-11;6.266;6.266;6.266;6.266;19988.54
2022-05-23;6.145;6.145;6.144;6.144;16098.59
2022-05-27;6.373;6.385;6.373;6.385;40180.14
2022-05-30;6.57;6.57;6.561;6.563;24223.62
2022-06-02;6.386;6.386;6.386;6.386;8046.36
2022-06-06;6.493;6.493;6.493;6.493;16232.5
2022-06-07;6.387;6.387;6.377;6.38;31648.52
2022-06-13;5.986;5.986;5.954;5.954;23102.94
2022-06-15;5.906;5.906;5.906;5.906;8091.22
2022-06-16;5.86;5.86;5.772;5.772;393201.234
2022-06-21;5.882;5.882;5.882;5.882;8117.16
2022-06-24;6.168;6.168;6.167;6.167;16405.55
2022-07-18;6.114;6.114;6.114;6.114;122.28
2022-07-21;6.201;6.227;6.181;6.227;25039879.62
2022-07-22;6.272;6.274;6.272;6.274;4033.63
2022-07-25;6.226;6.23;6.226;6.23;10118.518
2022-07-26;6.203;6.203;6.203;6.203;5378.001
2022-07-27;6.209;6.209;6.191;6.191;20389.488
2022-07-28;6.287;6.325;6.267;6.325;56203.42
2022-07-29;6.412;6.424;6.412;6.42;62294.944
2022-08-01;6.442;6.491;6.426;6.491;40334.954
2022-08-02;6.412;6.412;6.412;6.412;6880.076
2022-08-03;6.41;6.443;6.41;6.443;15681.65
2022-08-04;6.503;6.539;6.488;6.507;196323.727
2022-08-05;6.534;6.542;6.458;6.481;1124006.392
2022-08-09;6.488;6.504;6.488;6.504;6982.168
2022-08-10;6.458;6.588;6.458;6.578;5323028.418
2022-08-11;6.606;6.612;6.597;6.612;56423.844
2022-08-12;6.612;6.612;6.612;6.612;5216.868
2022-08-16;6.718;6.729;6.713;6.713;14211.207
2022-08-17;6.676;6.676;6.662;6.664;31733.73
2022-08-18;6.657;6.696;6.657;6.669;3655962.872
2022-08-19;6.623;6.626;6.623;6.625;23848.8
2022-08-22;6.515;6.518;6.47;6.473;1173112.586
2022-08-23;6.447;6.462;6.447;6.462;47439.984
2022-08-24;6.406;6.435;6.406;6.435;42025.078
2022-08-25;6.46;6.46;6.448;6.452;26619.895
2022-08-26;6.451;6.451;6.451;6.451;8128.26
2022-08-29;6.207;6.228;6.207;6.217;13206.141
2022-08-30;6.281;6.281;6.25;6.25;34577.576
2022-08-31;6.161;6.17;6.161;6.17;20601.226
2022-09-01;6.052;6.087;6.029;6.052;2878860.61
2022-09-02;6.111;6.196;6.111;6.193;5359090.763
2022-09-05;6.079;6.079;6.041;6.063;15091.326
2022-09-06;6.098;6.098;6.044;6.044;143152.956
2022-09-07;6.034;6.034;6.034;6.034;4060.882
2022-09-08;6.142;6.15;6.135;6.15;17825.765
2022-09-09;6.25;6.25;6.25;6.25;5687.5
2022-09-12;6.314;6.32;6.314;6.315;18103.87
2022-09-13;6.37;6.37;6.355;6.355;23315.0
2022-09-14;6.091;6.091;6.091;6.091;4537.795
2022-09-15;6.092;6.092;6.075;6.075;48360.762
2022-09-16;5.953;5.953;5.94;5.94;31523.403
2022-09-19;5.933;5.933;5.933;5.933;31177.915
2022-09-21;5.918;5.918;5.918;5.918;2692.69
2022-09-22;5.821;5.829;5.821;5.827;70281.022
2022-09-23;5.735;5.753;5.718;5.718;43259.871
2022-09-26;5.697;5.697;5.683;5.683;30706.259
2022-09-27;5.693;5.71;5.667;5.668;41001.403
2022-09-28;5.573;5.587;5.573;5.575;34063.894
2022-09-29;5.673;5.687;5.673;5.687;3041.918
2022-09-30;5.671;5.68;5.635;5.635;54604.763
2022-10-03;5.543;5.657;5.543;5.64;30725990.551
2022-10-04;5.721;5.829;5.721;5.829;2259200.59
2022-10-05;5.774;5.775;5.76;5.762;83076.476
2022-10-06;5.792;5.802;5.757;5.8;1777536.268
2022-10-07;5.724;5.724;5.709;5.709;9279.963
2022-10-10;5.554;5.554;5.542;5.542;23474.414
2022-10-11;5.489;5.49;5.486;5.486;45059.273
2022-10-13;5.486;5.576;5.402;5.511;189523.594
2022-10-14;5.615;5.63;5.615;5.63;44431.53
2022-10-17;5.528;5.54;5.523;5.54;104100.244
2022-10-18;5.728;5.728;5.685;5.703;37401.46
2022-10-20;5.585;5.585;5.582;5.582;10894.772
2022-10-21;5.53;5.533;5.525;5.533;51969.481
2022-10-24;5.664;5.727;5.664;5.727;74214.306
2022-10-25;5.77;5.77;5.739;5.75;69839.726
2022-10-26;5.806;5.806;5.806;5.806;2943.642
2022-10-27;5.835;5.835;5.81;5.81;63769.515
2022-10-28;5.773;5.88;5.77;5.88;68913.057
2022-10-31;5.901;5.901;5.899;5.899;8383.987
2022-11-02;5.88;5.88;5.815;5.815;153762.062
2022-11-03;5.706;5.706;5.619;5.672;1919844.47
2022-11-04;5.663;5.743;5.527;5.743;354381.466
2022-11-07;5.752;5.755;5.745;5.755;21849.61
2022-11-08;5.797;5.849;5.784;5.847;39854.612
2022-11-09;5.818;5.825;5.789;5.789;43133.182
2022-11-10;5.722;5.924;5.717;5.924;62059.396
2022-11-11;6.067;6.067;6.051;6.051;13783.488
2022-11-14;6.048;6.048;6.045;6.045;10368.57
2022-11-15;6.058;6.132;6.046;6.09;499827.993
2022-11-16;6.092;6.092;6.092;6.092;5720.388
2022-11-17;6.048;6.06;5.943;5.957;3613504.948
2022-11-18;6.007;6.058;6.007;6.016;3734.169
2022-11-21;5.996;6.045;5.996;6.026;140403.294
2022-11-22;6.02;6.035;6.02;6.035;13021.925
2022-11-23;6.089;6.089;6.086;6.086;11257.232
2022-11-24;6.148;6.148;6.148;6.148;301.252
2022-11-25;6.138;6.148;6.138;6.148;4289.454
2022-11-28;6.103;6.119;6.103;6.119;8699.266
2022-11-29;6.078;6.081;6.016;6.016;279681.941
2022-11-30;6.05;6.059;6.027;6.041;13650344.085
2022-12-01;6.229;6.264;6.188;6.212;2210683.442
