Date,ACWI EX USA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.000573347074
1999-01-04,1013.9563833048221
1999-01-05,1021.441058885016
1999-01-06,1050.9362666585405
1999-01-07,1048.0479061358428
1999-01-08,1054.4830676735883
1999-01-11,1042.3919535580396
1999-01-12,1033.1234510865331
1999-01-13,986.7066995054374
1999-01-14,982.3165789282965
1999-01-15,1001.3058865085467
1999-01-18,1017.8415973449036
1999-01-19,1014.0512331010128
1999-01-20,1022.2299049198834
1999-01-21,1011.3690706133995
1999-01-22,986.4170903622892
1999-01-25,983.8142372162972
1999-01-26,982.9611399459324
1999-01-27,991.0521492510409
1999-01-28,1001.5938181161692
1999-01-29,1012.0515275876065
1999-02-01,1030.9159445989997
1999-02-02,1029.6877286077954
1999-02-03,1022.9700111985414
1999-02-04,1031.3054474294472
1999-02-05,1033.5251814140368
1999-02-08,1035.6483484726848
1999-02-09,1018.0313122247178
1999-02-10,1005.668830238306
1999-02-11,1015.705393589552
1999-02-12,1024.6300505718214
1999-02-15,1029.094817491154
1999-02-16,1036.1277749486644
1999-02-17,1021.849425063534
1999-02-18,1022.1631651966252
1999-02-19,1028.9061659390798
1999-02-22,1038.5350565669614
1999-02-23,1050.0531104862282
1999-02-24,1057.3187053574163
1999-02-25,1045.7268679951364
1999-02-26,1052.6106152524776
1999-03-01,1048.127918437621
1999-03-02,1052.6067413045184
1999-03-03,1051.187319388926
1999-03-04,1067.7962679853965
1999-03-05,1091.994161787549
1999-03-08,1088.799594734558
1999-03-09,1092.8008368753456
1999-03-10,1097.988167264557
1999-03-11,1124.8847093882823
1999-03-12,1124.0205198934266
1999-03-15,1122.7349567661417
1999-03-16,1130.6310440020718
1999-03-17,1124.4191731992837
1999-03-18,1126.2430468634864
1999-03-19,1141.714908293651
1999-03-22,1139.275265614924
1999-03-23,1127.7198836783373
1999-03-24,1119.7938935404336
1999-03-25,1136.9054055678093
1999-03-26,1143.2133275967276
1999-03-29,1155.926525905072
1999-03-30,1153.3089366853267
1999-03-31,1152.755123188125
1999-04-01,1149.1814722030804
1999-04-02,1150.9954230972212
1999-04-05,1157.6738115249793
1999-04-06,1165.1318560710483
1999-04-07,1174.7873722684649
1999-04-08,1175.9594178282869
1999-04-09,1188.4547501115983
1999-04-12,1183.5945836493306
1999-04-13,1198.1674161833344
1999-04-14,1199.2726936221454
1999-04-15,1212.955923373518
1999-04-16,1233.6780138656447
1999-04-19,1261.5932687798963
1999-04-20,1234.1358489237734
1999-04-21,1234.7379688469775
1999-04-22,1245.1446468334718
1999-04-23,1242.9554227213291
1999-04-26,1250.622190155912
1999-04-27,1265.857644004438
1999-04-28,1268.8893943265239
1999-04-29,1275.9153628224756
1999-04-30,1289.3461986968052
1999-05-03,1296.2528076183169
1999-05-04,1300.4459518092187
1999-05-05,1281.1021439074973
1999-05-06,1282.0464865260622
1999-05-07,1272.758706176919
1999-05-10,1273.4799383256923
1999-05-11,1277.2669596043606
1999-05-12,1268.9220356301983
1999-05-13,1281.4746407056314
1999-05-14,1259.1435131118526
1999-05-17,1241.9018337168918
1999-05-18,1248.724707076145
1999-05-19,1252.5083218666168
1999-05-20,1259.7955582142617
1999-05-21,1260.8734713455856
1999-05-24,1257.3923297218303
1999-05-25,1239.666277866229
1999-05-26,1250.6940455704728
1999-05-27,1240.1369874760717
1999-05-28,1242.7579929315355
1999-05-31,1250.1069554737676
1999-06-01,1249.6329210757856
1999-06-02,1262.9249951243723
1999-06-03,1270.8183753022204
1999-06-04,1282.3015840902972
1999-06-07,1294.1070284621046
1999-06-08,1286.242427353696
1999-06-09,1289.2492245981223
1999-06-10,1280.336427332179
1999-06-11,1293.9309772180607
1999-06-14,1291.7139481938161
1999-06-15,1293.9484690485338
1999-06-16,1314.5385179637256
1999-06-17,1320.793390676879
1999-06-18,1320.9119407187452
1999-06-21,1332.3745637719408
1999-06-22,1329.4234981119657
1999-06-23,1316.390149208873
1999-06-24,1303.151050464383
1999-06-25,1292.512272417511
1999-06-28,1297.5597815925146
1999-06-29,1296.5353121902183
1999-06-30,1300.039634343127
1999-07-01,1325.1008437549233
1999-07-02,1334.932767813426
1999-07-05,1356.821122144052
1999-07-06,1353.7192047012336
1999-07-07,1345.735099142455
1999-07-08,1345.66795379179
1999-07-09,1349.1015185968893
1999-07-12,1351.1818694179728
