Date,ACWI HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0003889734915
1999-01-04,1008.4263948471037
1999-01-05,1017.499039616603
1999-01-06,1048.2846151450908
1999-01-07,1046.061498583949
1999-01-08,1057.543314195333
1999-01-11,1046.643218406805
1999-01-12,1032.5954476830814
1999-01-13,996.0700541695501
1999-01-14,986.593837298415
1999-01-15,1007.470607558126
1999-01-18,1019.8978401383467
1999-01-19,1015.9070930281837
1999-01-20,1022.5040072077092
1999-01-21,1012.6761739090505
1999-01-22,995.2873330520994
1999-01-25,996.4452690240057
1999-01-26,998.346675659017
1999-01-27,996.3919090216009
1999-01-28,1010.4107338612904
1999-01-29,1019.7813992409041
1999-02-01,1031.110649916466
1999-02-02,1025.6653514250447
1999-02-03,1022.2674351715871
1999-02-04,1023.8576199619765
1999-02-05,1026.1868513754607
1999-02-08,1028.228288016562
1999-02-09,1009.8982085095361
1999-02-10,1002.0507513950993
1999-02-11,1014.2091433144899
1999-02-12,1017.727813939546
1999-02-15,1023.2779551720565
1999-02-16,1030.4319462644894
1999-02-17,1021.0885500695408
1999-02-18,1025.3062612301385
1999-02-19,1032.93832992428
1999-02-22,1047.4644689307515
1999-02-23,1053.7675514869677
1999-02-24,1055.1941485036236
1999-02-25,1042.1183947840195
1999-02-26,1046.3385311048733
1999-03-01,1042.381636456026
1999-03-02,1044.8239822398552
1999-03-03,1044.9845486836948
1999-03-04,1062.5112581094972
1999-03-05,1083.0459622748267
1999-03-08,1078.9609937303064
1999-03-09,1081.4709417449083
1999-03-10,1088.5111219293422
1999-03-11,1111.1330274506984
1999-03-12,1105.9669398203514
1999-03-15,1103.9760631220254
1999-03-16,1106.421740976474
1999-03-17,1096.8586733643683
1999-03-18,1102.449214344239
1999-03-19,1109.2722886567628
1999-03-22,1110.2787320490759
1999-03-23,1092.4343827676273
1999-03-24,1086.2226080702515
1999-03-25,1101.0749176693455
1999-03-26,1105.3413192866938
1999-03-29,1121.2220083743634
1999-03-30,1110.0455788941488
1999-03-31,1106.8916350803515
1999-04-01,1104.4473828461985
1999-04-02,1106.299782314825
1999-04-05,1118.343957205578
1999-04-06,1120.8189758234614
1999-04-07,1128.3346229133883
1999-04-08,1135.2896807149896
1999-04-09,1144.7006809352463
1999-04-12,1144.5733554354176
1999-04-13,1154.9870190875263
1999-04-14,1153.6842467172107
1999-04-15,1171.6805542755424
1999-04-16,1185.4905890418997
1999-04-19,1208.5498072502335
1999-04-20,1186.800192978745
1999-04-21,1188.3405950874294
1999-04-22,1197.4337904013225
1999-04-23,1194.7358684616252
1999-04-26,1197.7963421373659
1999-04-27,1213.7652250019007
1999-04-28,1220.6891928536388
1999-04-29,1227.9992362861647
1999-04-30,1230.5630957735991
1999-05-03,1247.2985156865384
1999-05-04,1242.1707025775397
1999-05-05,1227.1485602155644
1999-05-06,1217.3888890696956
1999-05-07,1213.649443252155
1999-05-10,1212.2081723284537
1999-05-11,1218.5313971971264
1999-05-12,1214.337971894623
1999-05-13,1229.1094287673177
1999-05-14,1204.395132626274
1999-05-17,1192.8103172252922
1999-05-18,1195.1689325009152
1999-05-19,1204.856357331816
1999-05-20,1209.9305573557112
1999-05-21,1214.0099606268789
1999-05-24,1204.5310536025513
1999-05-25,1187.9135374763257
1999-05-26,1205.820731263273
1999-05-27,1187.3276415161122
1999-05-28,1192.788754203422
1999-05-31,1198.4541220209094
1999-06-01,1197.000911181031
1999-06-02,1210.5991374690848
1999-06-03,1216.4765070597837
1999-06-04,1228.9535311712457
1999-06-07,1240.2765201856357
1999-06-08,1227.4319134719178
1999-06-09,1228.3930825783889
1999-06-10,1218.0991542996599
1999-06-11,1223.4485429901563
1999-06-14,1228.8929748519813
1999-06-15,1233.4336548881681
1999-06-16,1251.0065677597854
1999-06-17,1256.5826846369941
1999-06-18,1254.481098981654
1999-06-21,1263.1625769188604
1999-06-22,1258.6477462078421
1999-06-23,1248.8807340923722
1999-06-24,1231.8193496692434
1999-06-25,1222.466586255707
1999-06-28,1230.4198619976166
1999-06-29,1235.0551127624467
1999-06-30,1240.3111499785932
1999-07-01,1262.5867719285643
