Date,ACWI IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1000.5839574408328
2001-06-04,1001.8251034461778
2001-06-05,1003.8715382953804
2001-06-06,999.5344256341876
2001-06-07,998.9299443345332
2001-06-08,999.3685704475982
2001-06-11,1001.1180639319532
2001-06-12,991.2548883312733
2001-06-13,986.5897749350586
2001-06-14,974.5211570161229
2001-06-15,967.3871579388644
2001-06-18,963.3129971114301
2001-06-19,965.9706574399207
2001-06-20,973.7283485169627
2001-06-21,973.6729006779143
2001-06-22,971.7010501034287
2001-06-25,962.2326817584243
2001-06-26,962.514422206665
2001-06-27,961.4274158667499
2001-06-28,974.062072564603
2001-06-29,980.6159798318977
2001-07-02,984.4805414300505
2001-07-03,981.7840376100881
2001-07-04,980.0586207158988
2001-07-05,985.8738117807792
2001-07-06,969.3329659857758
2001-07-09,964.2829788732757
2001-07-10,957.0684261823787
2001-07-11,950.6949250292186
2001-07-12,964.0551543858662
2001-07-13,964.1931496150023
2001-07-16,958.6852278776555
2001-07-17,962.6699191699461
2001-07-18,942.8407354883502
2001-07-19,948.3938551571702
2001-07-20,942.6464857584479
2001-07-23,935.0246863075689
2001-07-24,922.6519994590255
2001-07-25,924.270143756564
2001-07-26,929.1057868809309
2001-07-27,933.8374844156941
2001-07-30,933.2421327318355
2001-07-31,940.397721964652
2001-08-01,939.9863084218103
2001-08-02,943.1820753749304
2001-08-03,936.8082166923095
2001-08-06,936.6942104772861
2001-08-07,940.8743845700143
2001-08-08,935.8189370003757
2001-08-09,920.7608298040456
2001-08-10,918.1093873387646
2001-08-13,914.5562319719219
2001-08-14,921.5535451845373
2001-08-15,912.6669582041887
2001-08-16,909.4703757941836
2001-08-17,900.5354604622597
2001-08-20,902.8488158340781
2001-08-21,904.2757490834907
2001-08-22,899.9302784112458
2001-08-23,903.6673807399552
2001-08-24,909.0098395695957
2001-08-27,911.8758086516457
2001-08-28,906.3695796005163
2001-08-29,902.0851167190314
2001-08-30,895.1180154848325
2001-08-31,894.3180674013214
2001-09-03,891.3074503741844
2001-09-04,911.0693850215404
2001-09-05,908.5998390138056
2001-09-06,897.969282751192
2001-09-07,880.3643426834859
2001-09-10,876.2049092998055
2001-09-11,861.8530586101717
2001-09-12,856.1692092843002
2001-09-13,856.9029698269409
2001-09-14,842.6948925663141
2001-09-17,827.0883948370686
2001-09-18,825.6382959987378
2001-09-19,815.7433949155152
2001-09-20,802.6206316945058
2001-09-21,791.33318375871
2001-09-24,801.5347370250723
2001-09-25,802.6983909709271
2001-09-26,804.3577804998073
2001-09-27,812.5436117130956
2001-09-28,836.4948961242894
2001-10-01,830.1267106019953
2001-10-02,835.97272773103
2001-10-03,832.7003201678747
2001-10-04,844.9689807101391
2001-10-05,843.190045534919
2001-10-08,840.6673081632804
2001-10-09,836.1256436443093
2001-10-10,848.9152658797519
2001-10-11,860.1081797881648
2001-10-12,858.0900025096759
2001-10-15,854.5515850774865
2001-10-16,859.2015058372167
2001-10-17,862.2413731019574
2001-10-18,856.0032039659076
2001-10-19,859.887308646246
2001-10-22,868.1186506198009
2001-10-23,872.050763387539
2001-10-24,868.3372133996534
2001-10-25,865.6816284654467
2001-10-26,872.4526568426747
2001-10-29,856.4897395539266
2001-10-30,844.123021538717
2001-10-31,851.7365331407308
2001-11-01,856.4432243287105
2001-11-02,858.8462312807851
2001-11-05,871.5443492800438
2001-11-06,876.1972178728652
2001-11-07,871.7765036573334
2001-11-08,882.741721549545
2001-11-09,878.5078334804967
2001-11-12,873.0367540666355
2001-11-13,887.4040810807123
2001-11-14,884.0569229168475
2001-11-15,888.7121689815398
2001-11-16,887.2386409067285
2001-11-19,895.2666266851619
2001-11-20,890.7137700997395
2001-11-21,894.3927317097282
2001-11-22,892.5736238340407
2001-11-23,896.2571311170236
2001-11-26,897.5020071138167
2001-11-27,891.2673830171665
2001-11-28,880.9873618900918
2001-11-29,882.5666498460637
2001-11-30,876.6631818139891
2001-12-03,877.7474263346809
2001-12-04,882.701981263681
2001-12-05,894.0719134111079
2001-12-06,891.1952463808226
2001-12-07,889.2173230883822
2001-12-10,882.6198853129374
2001-12-11,878.3325657947196
2001-12-12,876.5887676282814
2001-12-13,867.6825084671108
2001-12-14,864.7440162106385
2001-12-17,864.3748383215342
2001-12-18,871.0152295820859
2001-12-19,874.7681631699796
2001-12-20,876.3710502375422
2001-12-21,887.4344292654972
2001-12-24,896.1652581629684
2001-12-25,897.122934024938
2001-12-26,897.0435454748292
2001-12-27,896.100001544832
2001-12-28,904.0284046254831
2001-12-31,896.1606952428617
2002-01-01,896.2401355057431
2002-01-02,882.4712810370362
2002-01-03,886.9392984720969
2002-01-04,896.0443892560871
2002-01-07,896.6483940174841
2002-01-08,890.8456826530509
2002-01-09,891.9058235159265
2002-01-10,887.195129103771
2002-01-11,887.9969940417724
2002-01-14,884.5934329711677
2002-01-15,890.0140299533333
2002-01-16,891.4824515161271
2002-01-17,895.5655520466497
2002-01-18,891.4602301208627
2002-01-21,892.8161286176099
2002-01-22,889.6086979959757
2002-01-23,889.3592599981865
2002-01-24,895.0956534203256
2002-01-25,907.8166397362249
2002-01-28,913.8456676372718
2002-01-29,902.7710734818256
2002-01-30,903.4125776839965
2002-01-31,912.8887674474327
2002-02-01,911.3457590373511
2002-02-04,902.3552328355652
2002-02-05,896.1822287043663
2002-02-06,892.723247243567
2002-02-07,891.9669430875151
2002-02-08,892.9441352073432
2002-02-11,893.7638710647083
2002-02-12,900.0326797911539
2002-02-13,908.2728779596837
2002-02-14,913.0527341811138
2002-02-15,910.1347158268655
2002-02-18,911.6349259795319
2002-02-19,897.3704016195228
2002-02-20,900.3970359827412
2002-02-21,902.1962738987221
2002-02-22,902.7118335463974
2002-02-25,909.9059228487168
2002-02-26,914.042318844331
2002-02-27,925.7007123800552
2002-02-28,924.9668646981401
2002-03-01,935.1558900281959
2002-03-04,943.669525990114
2002-03-05,940.9540864264075
2002-03-06,943.7221529290861
2002-03-07,942.9842760979564
2002-03-08,945.661382818487
2002-03-11,948.3569759652443
2002-03-12,946.8004614694644
2002-03-13,940.8841267383474
2002-03-14,937.9991993542823
2002-03-15,940.5266655047309
2002-03-18,942.1406362894677
2002-03-19,944.2840297795823
2002-03-20,939.9803619921296
2002-03-21,944.3722912857259
2002-03-22,945.691758287469
2002-03-25,944.8914945161268
2002-03-26,946.1431578287113
2002-03-27,953.6660728597195
2002-03-28,957.1366844010062
2002-03-29,954.3716861722515
2002-04-01,947.667614359824
2002-04-02,948.0057475907191
2002-04-03,946.1917846672799
2002-04-04,944.4508336672752
2002-04-05,948.0597033397194
2002-04-08,951.9485286904765
2002-04-09,948.6055910456467
2002-04-10,956.7024998326228
2002-04-11,944.2738519078702
2002-04-12,950.2628379125184
2002-04-15,947.4923581872005
2002-04-16,952.2477364609981
2002-04-17,950.0309958565712
2002-04-18,950.832139358641
2002-04-19,953.6103030122708
2002-04-22,953.4324830844016
2002-04-23,951.2583326787799
2002-04-24,947.6477730870852
2002-04-25,941.1507661886144
2002-04-26,936.9893187319296
2002-04-29,930.8792974723347
2002-04-30,933.6916954698265
2002-05-01,935.6878969125053
2002-05-02,939.1521612535128
2002-05-03,931.1314419381496
2002-05-06,921.8923594218077
2002-05-07,919.0095342360487
2002-05-08,930.6432858865904
2002-05-09,928.2627618497132
2002-05-10,920.4113121952349
2002-05-13,925.1478728583742
2002-05-14,935.4624784216915
2002-05-15,932.6975032904296
2002-05-16,931.0208244845714
2002-05-17,925.48552555453
2002-05-20,922.2791801471448
2002-05-21,923.8917842164781
2002-05-22,922.3704001025415
2002-05-23,929.2776184639083
2002-05-24,927.4702588259128
2002-05-27,928.6305847496427
2002-05-28,920.0847479294869
2002-05-29,915.3949444838735
2002-05-30,909.669590997167
2002-05-31,911.9350178168194
2002-06-03,902.5085697866862
2002-06-04,893.8326686941997
2002-06-05,895.9964491483826
