Date,AC FAR EAST ex JAPAN VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1014.9899124401037
1999-01-05,1033.6986920076472
1999-01-06,1078.7586050348918
1999-01-07,1132.6403971877623
1999-01-08,1130.9799691940086
1999-01-11,1135.5249346223325
1999-01-12,1120.801699789566
1999-01-13,1079.036539758791
1999-01-14,1040.0870431705582
1999-01-15,1068.1075792336433
1999-01-18,1085.9561231091031
1999-01-19,1078.275597135774
1999-01-20,1083.2029719398715
1999-01-21,1039.3842280978345
1999-01-22,992.0302476811119
1999-01-25,962.682294646474
1999-01-26,965.0788309910503
1999-01-27,1006.7364739924868
1999-01-28,998.2307016287472
1999-01-29,1006.5641442263867
1999-02-01,1015.9439869837453
1999-02-02,999.7936239599492
1999-02-03,984.1708259347834
1999-02-04,980.555114058894
1999-02-05,969.314373761493
1999-02-08,963.7015341444503
1999-02-09,940.406290192852
1999-02-10,932.0273432566544
1999-02-11,943.1937117680457
1999-02-12,979.2469557116121
1999-02-15,983.9263186980053
1999-02-16,988.7441142399289
1999-02-17,982.6731791364757
1999-02-18,966.645160699099
1999-02-19,953.9682338381216
1999-02-22,956.3824003038636
1999-02-23,963.7339225759845
1999-02-24,973.5112005933374
1999-02-25,963.6615967079832
1999-02-26,994.4169224577047
1999-03-01,1008.4870055692327
1999-03-02,1011.7060951615803
1999-03-03,1010.9591281592135
1999-03-04,1012.6237288878065
1999-03-05,1022.7148580052866
1999-03-08,1049.8950341010707
1999-03-09,1056.633782074458
1999-03-10,1061.5465370518018
1999-03-11,1080.7747233847874
1999-03-12,1084.6354838912691
1999-03-15,1093.3792294510472
1999-03-16,1107.8733494874468
1999-03-17,1096.3674355716323
1999-03-18,1075.0541429095383
1999-03-19,1121.54808951849
1999-03-22,1132.3898589997696
1999-03-23,1135.9553246664798
1999-03-24,1119.442418661597
1999-03-25,1127.4425808567562
1999-03-26,1140.9589577393638
1999-03-29,1129.7771681715744
1999-03-30,1152.8306714646135
1999-03-31,1150.6555774317833
1999-04-01,1176.6921060195791
1999-04-02,1195.0946737253853
1999-04-05,1204.204659452865
1999-04-06,1220.2558759355638
1999-04-07,1243.5756958481534
1999-04-08,1255.9482806215756
1999-04-09,1286.1491960029662
1999-04-12,1271.626886551839
1999-04-13,1289.6771105265343
1999-04-14,1289.538032362399
1999-04-15,1338.7849786867387
1999-04-16,1383.0116281922442
1999-04-19,1462.4406235400256
1999-04-20,1440.8052672064168
1999-04-21,1435.8082414929656
1999-04-22,1455.0707548093692
1999-04-23,1464.1984147732655
1999-04-26,1515.6865162998881
1999-04-27,1552.1021032184817
1999-04-28,1535.8970382420223
1999-04-29,1504.0500534885512
1999-04-30,1520.9679415462872
1999-05-03,1525.0588753331679
1999-05-04,1559.2685501634583
1999-05-05,1560.233175939751
1999-05-06,1589.0226895586798
1999-05-07,1561.6367556521227
1999-05-10,1562.891543094245
1999-05-11,1541.7725547495063
1999-05-12,1547.4711145655826
1999-05-13,1526.7375264578689
1999-05-14,1502.6136152836896
1999-05-17,1467.4895406882417
1999-05-18,1491.5076645465128
1999-05-19,1482.6867721951303
1999-05-20,1462.9365138540377
1999-05-21,1474.789838750527
1999-05-24,1471.6033056555573
1999-05-25,1464.9882160069344
1999-05-26,1501.0689505905102
1999-05-27,1509.9440806147607
1999-05-28,1501.3120595812477
1999-05-31,1503.7289113106028
1999-06-01,1525.3497265843419
1999-06-02,1559.1574469344764
1999-06-03,1567.7029132370014
1999-06-04,1587.2381637123785
1999-06-07,1646.9359537460505
1999-06-08,1651.4336050120958
1999-06-09,1627.7193614522043
1999-06-10,1658.6675208658417
1999-06-11,1668.1441325945
1999-06-14,1661.1280776977967
1999-06-15,1643.9810761657398
1999-06-16,1692.8082878093107
1999-06-17,1717.8452890708304
1999-06-18,1713.7120428645246
1999-06-21,1794.6132957212276
1999-06-22,1822.049977112832
1999-06-23,1823.83365188406
1999-06-24,1806.9820629163253
1999-06-25,1781.7486408012837
1999-06-28,1818.181922631563
1999-06-29,1826.5895114333134
1999-06-30,1803.70808917173
1999-07-01,1840.843273588326
1999-07-02,1889.6022251941458
1999-07-05,1917.9345129679864
1999-07-06,1916.8205307194924
1999-07-07,1914.6147003805922
1999-07-08,1911.1572671274532
1999-07-09,1925.0019005412219
1999-07-12,1914.654342202977
1999-07-13,1878.0325442339015
1999-07-14,1817.1174027026
1999-07-15,1832.9070187566188
1999-07-16,1837.185727618771
1999-07-19,1840.4652170425263
1999-07-20,1797.5551289168636
1999-07-21,1748.037619703249
1999-07-22,1740.3262954618524
1999-07-23,1671.2451660341026
1999-07-26,1601.4306623437892
1999-07-27,1650.2211765276736
1999-07-28,1686.093463077612
1999-07-29,1705.2058047786163
1999-07-30,1692.0286797785818
1999-08-02,1698.7039843223397
1999-08-03,1713.5253693495279
