Date,USA IMI HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.7555098206736
1999-01-05,1002.4719719635917
1999-01-06,1030.2939171367411
1999-01-07,1037.454505752745
1999-01-08,1060.5747149873011
1999-01-11,1051.474568761381
1999-01-12,1031.4564280229997
1999-01-13,1009.0212072998397
1999-01-14,989.9269143728364
1999-01-15,1019.481853735246
1999-01-18,1018.8664900225491
1999-01-19,1023.0861976980781
1999-01-20,1023.9163001526214
1999-01-21,1007.7090162868315
1999-01-22,1002.3859562491983
1999-01-25,1007.699429713164
1999-01-26,1006.5191998172223
1999-01-27,993.9959904404595
1999-01-28,1014.8704068152335
1999-01-29,1022.9801867457799
1999-02-01,1021.3393847203236
1999-02-02,1007.8249305505179
1999-02-03,1018.5876920615452
1999-02-04,1010.2132438860474
1999-02-05,1009.9014148538164
1999-02-08,1015.3943699481421
1999-02-09,1001.0952463434803
1999-02-10,997.5160317506233
1999-02-11,1009.4833254736914
1999-02-12,996.291127043828
1999-02-15,999.9707498598577
1999-02-16,1009.83563514978
1999-02-17,1002.9924207130008
1999-02-18,1014.9623757207368
1999-02-19,1025.3830619853231
1999-02-22,1052.1682144576957
1999-02-23,1050.2912471927996
1999-02-24,1041.5559493526434
1999-02-25,1029.5755373139798
1999-02-26,1034.1070815714313
1999-03-01,1036.8710196698385
1999-03-02,1037.4828380342974
1999-03-03,1036.776817619008
1999-03-04,1059.0797954239129
1999-03-05,1079.5275724402077
1999-03-08,1073.7114601431438
1999-03-09,1069.7439551098132
1999-03-10,1075.065020698805
1999-03-11,1094.4579597880554
1999-03-12,1079.6776777854402
1999-03-15,1081.252857865683
1999-03-16,1077.0634316037576
1999-03-17,1063.3642928480483
1999-03-18,1080.5240558626288
1999-03-19,1071.230623675055
1999-03-22,1072.2511088426186
1999-03-23,1048.6312589397728
1999-03-24,1049.513883031768
1999-03-25,1061.6019948207465
1999-03-26,1067.9994162959504
1999-03-29,1083.023248678241
1999-03-30,1058.836215839609
1999-03-31,1048.326116560247
1999-04-01,1046.8465017359595
1999-04-02,1049.1755229217454
1999-04-05,1068.386186426715
1999-04-06,1060.2974175359175
1999-04-07,1071.8472890180808
1999-04-08,1079.9648505920939
1999-04-09,1085.3044419961407
1999-04-12,1095.6350554789901
1999-04-13,1100.1763048397318
1999-04-14,1098.7587405186214
1999-04-15,1116.656283183759
1999-04-16,1131.0492629373932
1999-04-19,1147.4382053110103
1999-04-20,1143.5245564671293
1999-04-21,1157.0112034821786
1999-04-22,1160.5312847662806
1999-04-23,1146.16600816763
1999-04-26,1140.763346206909
1999-04-27,1148.0107193539486
1999-04-28,1166.3876249151026
1999-04-29,1179.6273735124144
1999-04-30,1169.1132805800587
1999-05-03,1194.56072947349
1999-05-04,1182.8411910978764
1999-05-05,1183.2991973203852
1999-05-06,1168.8978286089257
1999-05-07,1176.6486028648762
1999-05-10,1168.9919014547495
1999-05-11,1180.0338897157246
1999-05-12,1187.798793883205
1999-05-13,1202.9487724817761
1999-05-14,1170.8102360402265
1999-05-17,1164.75775742795
1999-05-18,1155.7120527869845
1999-05-19,1164.281960141396
1999-05-20,1170.6760204469242
1999-05-21,1180.9859304623944
1999-05-24,1162.824146878426
1999-05-25,1145.3647490476035
1999-05-26,1175.7519964348364
1999-05-27,1149.8367250385068
1999-05-28,1161.1164446597857
1999-05-31,1164.2339841381838
1999-06-01,1160.694005591494
1999-06-02,1171.12640782391
1999-06-03,1174.869345012651
1999-06-04,1189.9265841077063
1999-06-07,1198.7529079185483
1999-06-08,1176.2450045207843
1999-06-09,1173.9542430829547
1999-06-10,1159.7818126119614
1999-06-11,1152.3186067118686
1999-06-14,1164.5202961289986
1999-06-15,1171.5313710376033
1999-06-16,1195.818947262654
1999-06-17,1201.969563807486
1999-06-18,1194.0178136649222
1999-06-21,1200.4050573006398
1999-06-22,1195.849557613427
1999-06-23,1186.288758783762
1999-06-24,1165.2022481902084
1999-06-25,1156.0982617631798
1999-06-28,1176.8178281621906
1999-06-29,1194.2592126083614
1999-06-30,1210.2967862340183
1999-07-01,1224.865556824988
1999-07-02,1233.8718489290072
1999-07-05,1232.5451698480024
1999-07-06,1228.9614781547639
1999-07-07,1234.4781749893461
1999-07-08,1235.3802654885144
1999-07-09,1236.2276262543414
1999-07-12,1238.2817807461167
1999-07-13,1224.5963006221107
1999-07-14,1217.3331115896756
1999-07-15,1221.1228577485606
1999-07-16,1228.9528523678366
1999-07-19,1227.3577641329148
1999-07-20,1186.3410287707297
1999-07-21,1177.4262815170966
1999-07-22,1177.802520409522
1999-07-23,1173.8013543896748
1999-07-26,1153.029930059479
1999-07-27,1164.5407705911368
1999-07-28,1162.1334713245399
1999-07-29,1133.1006688445939
1999-07-30,1125.5640167802667
1999-08-02,1133.1165561564528
1999-08-03,1129.2339225471594
