Date,SWEDEN VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1039.0000475735985
1999-01-05,1062.9262202355262
1999-01-06,1075.5995766072767
1999-01-07,1093.377248223539
1999-01-08,1108.0666915789448
1999-01-11,1097.2694666428033
1999-01-12,1072.4302965139761
1999-01-13,1031.3101414859184
1999-01-14,1037.9910917143434
1999-01-15,1035.0296667703033
1999-01-18,1061.9969259492648
1999-01-19,1082.4668581089545
1999-01-20,1097.5131640209108
1999-01-21,1075.9625731527815
1999-01-22,1058.1404283219647
1999-01-25,1054.949658343223
1999-01-26,1054.1017509652827
1999-01-27,1067.3872206545689
1999-01-28,1080.5058110346483
1999-01-29,1088.3431288399536
1999-02-01,1108.6311263048513
1999-02-02,1115.273531532039
1999-02-03,1108.623501448924
1999-02-04,1124.5444789439332
1999-02-05,1133.5134572901015
1999-02-08,1119.951670212934
1999-02-09,1098.4576639285808
1999-02-10,1088.4448428085498
1999-02-11,1096.449565649112
1999-02-12,1103.6728503417326
1999-02-15,1106.9606221996676
1999-02-16,1120.536120592828
1999-02-17,1100.9444174917003
1999-02-18,1105.3578684158613
1999-02-19,1119.9874873220115
1999-02-22,1135.7789375405428
1999-02-23,1135.897805475846
1999-02-24,1136.9835311592637
1999-02-25,1117.1268549992672
1999-02-26,1109.6059874028074
1999-03-01,1094.3351312425457
1999-03-02,1104.3876187182198
1999-03-03,1107.2247612249505
1999-03-04,1116.773418415822
1999-03-05,1140.1542661077451
1999-03-08,1129.5426880791856
1999-03-09,1129.2923130597833
1999-03-10,1125.113319528512
1999-03-11,1133.1010713662433
1999-03-12,1125.3109794852905
1999-03-15,1122.9969600915563
1999-03-16,1123.0314430227065
1999-03-17,1114.6802618078764
1999-03-18,1103.9646533851785
1999-03-19,1125.8152658692384
1999-03-22,1113.9954356860258
1999-03-23,1111.5822331676918
1999-03-24,1092.878988037172
1999-03-25,1125.1143473345442
1999-03-26,1143.2418816496095
1999-03-29,1159.1200317446917
1999-03-30,1158.6803152320983
1999-03-31,1180.5004835530565
1999-04-01,1183.072438250125
1999-04-02,1183.3290944016835
1999-04-05,1184.3386152722974
1999-04-06,1222.8318784505939
1999-04-07,1213.3260042636516
1999-04-08,1212.7536326255172
1999-04-09,1222.5022581378698
1999-04-12,1204.0178041373392
1999-04-13,1219.0554523035175
1999-04-14,1224.939721880889
1999-04-15,1226.0116778822903
1999-04-16,1255.040567893244
1999-04-19,1268.410355227817
1999-04-20,1243.6753250847141
1999-04-21,1248.7458957428933
1999-04-22,1258.1140257632421
1999-04-23,1257.0822353653239
1999-04-26,1272.0810481460067
1999-04-27,1281.7518606695364
1999-04-28,1272.7968812874174
1999-04-29,1283.1951561179544
1999-04-30,1287.663745348923
1999-05-03,1310.6482810852444
1999-05-04,1313.7394336900807
1999-05-05,1289.4580164715449
1999-05-06,1264.0102878890525
1999-05-07,1273.9073091322284
1999-05-10,1277.2873846368732
1999-05-11,1286.3559531931066
1999-05-12,1280.5246298157413
1999-05-13,1279.967802550539
1999-05-14,1259.5462065471054
1999-05-17,1247.327334532813
1999-05-18,1261.298800536427
1999-05-19,1280.8145861666221
1999-05-20,1299.1557133817003
1999-05-21,1291.3985050912024
1999-05-24,1290.6587723864275
1999-05-25,1276.1918340655754
1999-05-26,1272.8088825503232
1999-05-27,1258.9667507945712
1999-05-28,1250.5466416847473
1999-05-31,1251.1937502886706
1999-06-01,1250.5116556473517
1999-06-02,1264.083245902218
1999-06-03,1283.3599805019744
1999-06-04,1297.8103671167007
1999-06-07,1312.2094592901537
1999-06-08,1311.7378013271873
1999-06-09,1316.1233514127443
1999-06-10,1307.0498263317575
1999-06-11,1325.9278499345023
1999-06-14,1324.3716418292945
1999-06-15,1314.3498496314612
1999-06-16,1332.2197962024593
1999-06-17,1336.3872020560973
1999-06-18,1363.2726763407652
1999-06-21,1384.7016680491872
1999-06-22,1369.5581104180997
1999-06-23,1370.1640590322309
1999-06-24,1365.0052655529096
1999-06-25,1359.6314939274366
1999-06-28,1372.2362115355877
1999-06-29,1387.3500977028873
1999-06-30,1362.4518329873072
1999-07-01,1378.7007010103987
1999-07-02,1398.6309310519323
1999-07-05,1406.4074384240375
1999-07-06,1396.716775053715
1999-07-07,1367.1366613625923
1999-07-08,1367.5835722976171
1999-07-09,1391.1089555916285
1999-07-12,1389.7728838028422
1999-07-13,1368.749559686992
1999-07-14,1373.7231238574234
1999-07-15,1382.9353636030705
1999-07-16,1385.2113073027265
1999-07-19,1404.408986538907
1999-07-20,1392.8423595272852
1999-07-21,1375.1962092684362
1999-07-22,1357.2262811860821
1999-07-23,1361.3262610413049
1999-07-26,1350.7673146940633
1999-07-27,1357.4459587576089
1999-07-28,1371.9260938765633
1999-07-29,1356.2501651258438
1999-07-30,1376.4291659045916
1999-08-02,1365.0945573973872
