Date,EUROPE & MIDDLE EAST IMI GROWTH
2010-05-26,1000.0
2010-05-27,1026.8151291128659
2010-05-28,1024.389974350563
2010-05-31,1030.492127837458
2010-06-01,1036.148862600819
2010-06-02,1039.2468131202727
2010-06-03,1054.9332374423782
2010-06-04,1040.3983753214495
2010-06-07,1033.0393758722514
2010-06-08,1022.944313998803
2010-06-09,1044.3910862550777
2010-06-10,1061.184611019247
2010-06-11,1059.252610839306
2010-06-14,1074.2509155580162
2010-06-15,1080.3533527999462
2010-06-16,1081.859448194659
2010-06-17,1081.8999684642652
2010-06-18,1082.2630918223222
2010-06-21,1095.8651264322846
2010-06-22,1093.0304386868734
2010-06-23,1083.8701546904708
2010-06-24,1065.6761867248176
2010-06-25,1060.1095177279412
2010-06-28,1072.4843298783646
2010-06-29,1043.9133359889552
2010-06-30,1038.5220307092
2010-07-01,1010.2382931964629
2010-07-02,1010.4046207489723
2010-07-05,1009.3772455305786
2010-07-06,1033.896434469474
2010-07-07,1042.278072542571
2010-07-08,1051.4379224731429
2010-07-09,1057.5363818868345
2010-07-12,1060.818246296794
2010-07-13,1079.628251836371
2010-07-14,1079.9680024210975
2010-07-15,1069.1236588587333
2010-07-16,1049.911376413142
2010-07-19,1040.7241256775462
2010-07-20,1042.3222034346545
2010-07-21,1056.4662512642553
2010-07-22,1074.6488534010234
2010-07-23,1083.747396968752
2010-07-26,1084.788067713424
2010-07-27,1082.2224516228569
2010-07-28,1078.632869491545
2010-07-29,1070.9534878321429
2010-07-30,1069.1027288850387
2010-08-02,1093.335276163801
2010-08-03,1093.9555641665067
2010-08-04,1094.217009379229
2010-08-05,1089.2074892306514
2010-08-06,1078.7851301492158
2010-08-09,1092.5261519153469
2010-08-10,1084.4826405940573
2010-08-11,1066.4837816386455
2010-08-12,1069.6944526959082
2010-08-13,1074.738320380532
2010-08-16,1078.2936305234082
2010-08-17,1089.5887515649029
2010-08-18,1087.856734948294
2010-08-19,1075.3669577256794
2010-08-20,1069.7932071680214
2010-08-23,1075.1105906205933
2010-08-24,1058.3141260355803
2010-08-25,1050.8620207246122
2010-08-26,1060.5152277443626
2010-08-27,1065.8975046746361
2010-08-30,1067.7736858542614
2010-08-31,1068.414596762776
2010-09-01,1096.6816576865795
2010-09-02,1096.4311166478535
2010-09-03,1103.980161741803
2010-09-06,1105.2287609024868
2010-09-07,1102.2952799080883
2010-09-08,1114.3054985036395
2010-09-09,1126.2824882884302
2010-09-10,1124.3644447910642
2010-09-13,1130.0558025840483
2010-09-14,1130.221583087873
2010-09-15,1127.3154279091002
2010-09-16,1117.151334198922
2010-09-17,1118.7698744005522
2010-09-20,1132.659710983298
2010-09-21,1127.8654095418221
2010-09-22,1113.9145399228862
2010-09-23,1115.5788636895281
2010-09-24,1126.6670345724
2010-09-27,1123.195482356552
2010-09-28,1121.225486696387
2010-09-29,1116.340067243841
2010-09-30,1109.3872709316922
2010-10-01,1105.4396306894223
2010-10-04,1101.425627252143
