Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1025.5840764546997
2010-05-28,1024.4888213621898
2010-05-31,1028.7707624805357
2010-06-01,1025.7975880984666
2010-06-02,1029.3699291803803
2010-06-03,1045.4531608841744
2010-06-04,1035.1172326357569
2010-06-07,1026.832904661944
2010-06-08,1016.0977515527571
2010-06-09,1024.0783503547739
2010-06-10,1033.8977728393204
2010-06-11,1043.7912047178745
2010-06-14,1047.8984575980728
2010-06-15,1052.5879936226077
2010-06-16,1055.314877422426
2010-06-17,1054.9693698042756
2010-06-18,1052.6879087338132
2010-06-21,1060.6344344465892
2010-06-22,1056.3934330465058
2010-06-23,1047.2470883692486
2010-06-24,1034.5674660081784
2010-06-25,1028.1942885477
2010-06-28,1037.1135342595614
2010-06-29,1015.6354783957046
2010-06-30,1014.0804939101162
2010-07-01,992.480876219689
2010-07-02,990.613278786116
2010-07-05,989.4270396244286
2010-07-06,1008.6159525326148
2010-07-07,1018.9234670885234
2010-07-08,1028.9832336898883
2010-07-09,1034.794556812266
2010-07-12,1040.983521579197
2010-07-13,1054.5824815683359
2010-07-14,1055.7042338303054
2010-07-15,1046.4922397516673
2010-07-16,1029.520123556687
2010-07-19,1020.3641306265642
2010-07-20,1022.1557308709162
2010-07-21,1030.0175205726357
2010-07-22,1043.299010653866
2010-07-23,1050.3295995924423
2010-07-26,1052.3828653331718
2010-07-27,1050.4195704650344
2010-07-28,1047.1922822842623
2010-07-29,1048.2760163206617
2010-07-30,1046.4804904818561
2010-08-02,1065.8735035150426
2010-08-03,1067.4437721404001
2010-08-04,1072.260880620249
2010-08-05,1070.3612688969417
2010-08-06,1061.2175791804336
2010-08-09,1076.252213538645
2010-08-10,1071.6269068814372
2010-08-11,1058.0552212963116
2010-08-12,1059.5285678466646
2010-08-13,1066.124935111287
2010-08-16,1062.0793804236373
2010-08-17,1069.1422096271847
2010-08-18,1067.648025142068
2010-08-19,1054.6091261288673
2010-08-20,1052.3702289318526
2010-08-23,1060.359061384407
2010-08-24,1045.3326997034158
2010-08-25,1040.5027612115537
2010-08-26,1045.6916062981238
2010-08-27,1055.2314554521843
2010-08-30,1059.006081587874
2010-08-31,1055.4320682040238
2010-09-01,1076.5226963512694
2010-09-02,1077.5476272805563
2010-09-03,1085.6170432663896
2010-09-06,1089.7765717658713
2010-09-07,1091.1292498053751
2010-09-08,1100.5323646190272
2010-09-09,1107.6826362862214
2010-09-10,1107.7966550873537
2010-09-13,1110.8122999453626
2010-09-14,1107.8511090869376
2010-09-15,1104.9444847249895
2010-09-16,1098.2175102568442
2010-09-17,1094.9522590116167
