Date,EUROPE VALUE WEIGHTED
1998-12-31,698.6527396890759
1999-01-01,698.6531699333293
1999-01-04,717.3844926390778
1999-01-05,725.5138649686294
1999-01-06,743.5836186440952
1999-01-07,734.7901765361521
1999-01-08,738.9612076207773
1999-01-11,729.4327855297598
1999-01-12,719.7488989506181
1999-01-13,691.1523871291997
1999-01-14,691.5696954138291
1999-01-15,702.0440990997821
1999-01-18,716.2287254342579
1999-01-19,713.5335928012363
1999-01-20,719.9370520586099
1999-01-21,712.3680112332751
1999-01-22,694.7208433189544
1999-01-25,696.8545335638461
1999-01-26,696.4686925865117
1999-01-27,700.4186883302115
1999-01-28,709.3812323910417
1999-01-29,713.9825011994736
1999-02-01,725.570139694235
1999-02-02,723.3560474787325
1999-02-03,716.7056598124863
1999-02-04,718.2961653360168
1999-02-05,717.3335402952976
1999-02-08,714.3487216370099
1999-02-09,700.3743579362854
1999-02-10,695.3953409068366
1999-02-11,704.8618654596278
1999-02-12,710.9613989406489
1999-02-15,714.4525361110659
1999-02-16,719.3667235988322
1999-02-17,712.5114946273711
1999-02-18,713.2656779902242
1999-02-19,716.6825597768784
1999-02-22,724.3625566097937
1999-02-23,732.5070743486074
1999-02-24,738.5227973525956
1999-02-25,728.2006544034988
1999-02-26,728.1607360637931
1999-03-01,720.510989612549
1999-03-02,724.4050832026721
1999-03-03,720.5974923419038
1999-03-04,728.0717659119457
1999-03-05,742.5468075959838
1999-03-08,737.9595689421593
1999-03-09,739.7154355615118
1999-03-10,740.4758088003259
1999-03-11,753.9041894093616
1999-03-12,754.5882150710194
1999-03-15,750.944097928294
1999-03-16,754.8400709468684
1999-03-17,749.363546576154
1999-03-18,747.8161564750365
1999-03-19,756.8815277920835
1999-03-22,753.371184775492
1999-03-23,741.2038271876289
1999-03-24,735.9704137083237
1999-03-25,747.1245323991625
1999-03-26,746.5272157622135
1999-03-29,756.870912573119
1999-03-30,753.547502972137
1999-03-31,758.5578400826475
1999-04-01,757.0918361026027
1999-04-02,757.4737013237798
1999-04-05,758.5876976070876
1999-04-06,765.9704580589568
1999-04-07,771.3290546310832
1999-04-08,773.2406257850914
1999-04-09,778.9680811121825
1999-04-12,776.2562661274043
1999-04-13,785.6191151745766
1999-04-14,784.8338973084774
1999-04-15,785.9360213067341
1999-04-16,787.9295426710191
1999-04-19,802.3507518087084
1999-04-20,784.6314474023985
1999-04-21,786.6606827476477
1999-04-22,793.5681213817235
1999-04-23,792.7735887716035
